CI,Département,Commune,Art,Aire géographique,IDA
30258,GARD,Saint-Gilles,,Costières de Nîmes,1251
30258,GARD,Saint-Gilles,,Huile d'olive de Nîmes,1610
30258,GARD,Saint-Gilles,,Olive de Nîmes,1644
30258,GARD,Saint-Gilles,,Sable de Camargue,2507
30258,GARD,Saint-Gilles,,Taureau de Camargue,1504
35001,ILLE-ET-VILAINE,Acigné,,Eau-de-vie de cidre de Bretagne,1449
35001,ILLE-ET-VILAINE,Acigné,,Pommeau de Bretagne,2367
35001,ILLE-ET-VILAINE,Acigné,,Whisky breton ou Whisky de Bretagne,2379
35022,ILLE-ET-VILAINE,Bécherel,,Prés-salés du Mont-Saint-Michel,1674
35022,ILLE-ET-VILAINE,Bécherel,,Whisky breton ou Whisky de Bretagne,2379
35024,ILLE-ET-VILAINE,Betton,,Prés-salés du Mont-Saint-Michel,1674
35024,ILLE-ET-VILAINE,Betton,,Whisky breton ou Whisky de Bretagne,2379
35032,ILLE-ET-VILAINE,Bourgbarré,,Eau-de-vie de cidre de Bretagne,1449
35032,ILLE-ET-VILAINE,Bourgbarré,,Pommeau de Bretagne,2367
35032,ILLE-ET-VILAINE,Bourgbarré,,Whisky breton ou Whisky de Bretagne,2379
35039,ILLE-ET-VILAINE,Brécé,,Eau-de-vie de cidre de Bretagne,1449
35039,ILLE-ET-VILAINE,Brécé,,Pommeau de Bretagne,2367
35039,ILLE-ET-VILAINE,Brécé,,Whisky breton ou Whisky de Bretagne,2379
35047,ILLE-ET-VILAINE,Bruz,,Whisky breton ou Whisky de Bretagne,2379
35051,ILLE-ET-VILAINE,Cesson-Sévigné,,Eau-de-vie de cidre de Bretagne,1449
35051,ILLE-ET-VILAINE,Cesson-Sévigné,,Pommeau de Bretagne,2367
35051,ILLE-ET-VILAINE,Cesson-Sévigné,,Whisky breton ou Whisky de Bretagne,2379
35055,ILLE-ET-VILAINE,Chantepie,,Eau-de-vie de cidre de Bretagne,1449
35055,ILLE-ET-VILAINE,Chantepie,,Pommeau de Bretagne,2367
35055,ILLE-ET-VILAINE,Chantepie,,Prés-salés du Mont-Saint-Michel,1674
35055,ILLE-ET-VILAINE,Chantepie,,Whisky breton ou Whisky de Bretagne,2379
35066,ILLE-ET-VILAINE,Chartres-de-Bretagne,,Whisky breton ou Whisky de Bretagne,2379
35076,ILLE-ET-VILAINE,Chavagne,,Whisky breton ou Whisky de Bretagne,2379
35079,ILLE-ET-VILAINE,Chevaigné,,Prés-salés du Mont-Saint-Michel,1674
35079,ILLE-ET-VILAINE,Chevaigné,,Whisky breton ou Whisky de Bretagne,2379
35080,ILLE-ET-VILAINE,Cintré,,Whisky breton ou Whisky de Bretagne,2379
35081,ILLE-ET-VILAINE,Clayes,,Whisky breton ou Whisky de Bretagne,2379
35088,ILLE-ET-VILAINE,Corps-Nuds,,Eau-de-vie de cidre de Bretagne,1449
35088,ILLE-ET-VILAINE,Corps-Nuds,,Pommeau de Bretagne,2367
35088,ILLE-ET-VILAINE,Corps-Nuds,,Whisky breton ou Whisky de Bretagne,2379
35120,ILLE-ET-VILAINE,Gévezé,,Prés-salés du Mont-Saint-Michel,1674
35120,ILLE-ET-VILAINE,Gévezé,,Whisky breton ou Whisky de Bretagne,2379
35139,ILLE-ET-VILAINE,Laillé,,Eau-de-vie de cidre de Bretagne,1449
35139,ILLE-ET-VILAINE,Laillé,,Pommeau de Bretagne,2367
35139,ILLE-ET-VILAINE,Laillé,,Whisky breton ou Whisky de Bretagne,2379
35144,ILLE-ET-VILAINE,Langan,,Prés-salés du Mont-Saint-Michel,1674
35144,ILLE-ET-VILAINE,Langan,,Whisky breton ou Whisky de Bretagne,2379
35180,ILLE-ET-VILAINE,Miniac-sous-Bécherel,,Prés-salés du Mont-Saint-Michel,1674
35180,ILLE-ET-VILAINE,Miniac-sous-Bécherel,,Whisky breton ou Whisky de Bretagne,2379
