Num_Acc,catr,voie,v1,v2,circ,nbv,vosp,prof,pr,pr1,plan,lartpc,larrout,surf,infra,situ,vma
202200001165,4,RENNES (RUE DE),0,N/A,3,2,3,1,(1),(1),2,, -1,1,0,5,30
202200005673,4,RUE DE RENNES,0,N/A,2,2,0,1,(1),(1),1,, -1,1,0,1,30
202200009181,4,STALINGRAD  - ESPACE TETE D'Or - (Boulev,0,N/A,2,4,0,2,(1),(1),2,, -1,1,0,1,70
202200011213,4,CHANTEPIE (RUE DE),0,N/A,2,2,0,2,(1),(1),1,, -1,2,0,1,50
202200017486,7,MONTGERMONT (ROND POINT DE),0,N/A,2,2,0,1,5,950,2,, -1,2,0,1,80
202200017661,4,GRANDES VARENNES   AVENUE DES,0,N/A,2,2,0,1,(1),(1),1,, -1,1,0,1,30
202200017965,2,RENNES (RTE DE) RN 137,0,N/A,3,4,0,1,28,200,1,, -1,2,0,1,90
202200019940,4,RUE DE RENNES,0,N/A,2,3,0,1,(1),(1),1,, -1,1,0,1,30
202200023359,2,RENNES (RTE DE) RN 137,0,N/A,3,4,0,1,28,933,1,, -1,1,0,1,90
202200024065,4,RUE DE RENNES,0,N/A,2,3,0,1,(1),(1),1,, -1,1,0,1,30
202200026928,4,RUE DE RENNES,0,N/A,2,4,0,1,(1),(1),1,, -1,1,0,1,30
202200028471,4,RUE DE RENNES,0,N/A,2,4,1,1,(1),(1),1,, -1,1,0,1,30
202200028725,4,AVENUE DES GARENNES,0,N/A,2,4,0,4,(1),(1),1,, -1,1,0,1,70
202200031136,4,RUE SAINT GILLES,0,N/A,1,1,0,1,(1),(1),1,, -1,1,0,1,30
202200033335,4,RUE DE RENNES,0,N/A, -1,2,1,2,(1),(1),1,, -1,1,0,5,30
202200034033,4,RUE DE RENNES,0,N/A,2,2,0,1,(1),(1),1,, -1,1,0,1,30
202200037862,4,CR 1 DIT DE VARENNES A MOISSY,0,N/A,2,2,2,2,0,0,1,, -1,1,9,5,50
202200039088,4,RUE DE RENNES,0,N/A,2,4,0,1,(1),(1),1,, -1,1,0,1,30
202200039138,7,BETTON (ROND POINT DE),0,N/A,2,2,0,1,7,830,1,, -1,1,0,3,80
202200040397,4,RUE DE RENNES,0,N/A,2,3,0,1,(1),(1),1,, -1,1,0,1,30
202200041324,4,RUE DE RENNES,0,N/A,2,2,0,1,(1),(1),1,, -1,1,0,1,30
202200044557,4,RUE DE RENNES,0,N/A,2,4,3,1,(1),(1),1,, -1,2,0,6,30
202200045675,4,PLACE DES GARENNES,0,N/A,2,2,0,2,(1),(1),1,, -1,2,0,1,30
202200046643,3,SAINT GILLES (ROUTE),0,N/A,2,2,0,1,(1),(1),1,, -1,1,0,1,50
202200049590,4,RUE DE RENNES,0,N/A,2,2,0,1,(1),(1),1,, -1,1,0,1,30
202200050030,4,RENNES (RUE DE),0,N/A,3,2,3,1,(1),(1),1,, -1,1,0,1,30
202200050111,3,RENNES (RUE DE),0,N/A,2,2,0,1,0,0,1,, -1,1,9,1,50
202200052068,3,saint gilles route de D38,0,N/A,2,2,0,1,9,576,1,, -1,1,0,1,80
202200054017,4,RUE DE L ESPACE SCHENGEN,0,N/A,2,2,0,1,0,1,1,, -1,2,0,1,50
202200055085,4,RUE DE RENNES,0,N/A,2,2,0,1,(1),(1),1,, -1,1,0,1,30
