insee,nom,wikipedia,surf_m2,lat_centro,lon_centro,statut,x_chf_lieu,y_chf_lieu,z_moyen,population,code_cant,code_arr,code_dept,nom_dept,code_reg,nom_region
35238,Rennes,fr:Rennes,50358620.000000000000000,-1.681846356254090,48.111673018544799,Préfecture de régi,3518,67896,38,206.6,98,3,35,ILLE-ET-VILAINE,53,BRETAGNE
35281,Saint-Jacques-de-la-Lande,fr:Saint-Jacques-de-la-Lande,12343908.000000000000000,-1.722563098999180,48.076128086252801,Commune simple,3505,67871,32,10.3,49,3,35,ILLE-ET-VILAINE,53,BRETAGNE
35189,Montgermont,fr:Montgermont,4687329.000000000000000,-1.717041423975740,48.153998758697199,Commune simple,3495,67945,50,3.0,52,3,35,ILLE-ET-VILAINE,53,BRETAGNE
35240,Le Rheu,fr:Le Rheu,19147531.000000000000000,-1.780975416657000,48.097241781200701,Commune simple,3432,67887,32,7.6,24,3,35,ILLE-ET-VILAINE,53,BRETAGNE
35353,Vezin-le-Coquet,fr:Vezin-le-Coquet,7926077.000000000000000,-1.749234062952870,48.117645975985504,Commune simple,3463,67904,38,4.1,49,3,35,ILLE-ET-VILAINE,53,BRETAGNE
35131,L'Hermitage,fr:L'Hermitage,6860797.000000000000000,-1.816441956128340,48.121926366804097,Commune simple,3419,67915,43,3.7,24,3,35,ILLE-ET-VILAINE,53,BRETAGNE
35055,Chantepie,fr:Chantepie,11973955.000000000000000,-1.603886616779270,48.082008476839299,Commune simple,3564,67865,51,9.0,46,3,35,ILLE-ET-VILAINE,53,BRETAGNE
35210,Pacé,fr:Pacé (Ille-et-Vilaine),35094125.000000000000000,-1.777424180783920,48.152606389235899,Commune simple,3451,67937,52,9.5,31,3,35,ILLE-ET-VILAINE,53,BRETAGNE
35051,Cesson-Sévigné,fr:Cesson-Sévigné,32158528.000000000000000,-1.597250119552130,48.120383860483500,Chef-lieu canton,3576,67900,51,15.2,53,3,35,ILLE-ET-VILAINE,53,BRETAGNE
35001,Acigné,fr:Acigné,30206991.000000000000000,-1.519136912138280,48.146457580168303,Commune simple,3627,67912,55,6.2,53,3,35,ILLE-ET-VILAINE,53,BRETAGNE
35039,Brécé,fr:Brécé,7247057.000000000000000,-1.489815063773260,48.110452900697197,Commune simple,3665,67881,48,1.9,07,3,35,ILLE-ET-VILAINE,53,BRETAGNE
35334,Thorigné-Fouillard,fr:Thorigné-Fouillard,13620559.000000000000000,-1.584440913232080,48.156601749575799,Commune simple,3596,67942,64,7.1,19,3,35,ILLE-ET-VILAINE,53,BRETAGNE
35088,Corps-Nuds,fr:Corps-Nuds,22897129.000000000000000,-1.570214282648110,47.982438776176402,Commune simple,3579,67741,64,2.9,18,3,35,ILLE-ET-VILAINE,53,BRETAGNE
35024,Betton,fr:Betton,26794183.000000000000000,-1.646486774275370,48.181220658778699,Chef-lieu canton,3550,67970,50,10.1,52,3,35,ILLE-ET-VILAINE,53,BRETAGNE
35047,Bruz,fr:Bruz,29952474.000000000000000,-1.748524926051720,48.025941698780898,Chef-lieu canton,3464,67799,29,16.2,47,3,35,ILLE-ET-VILAINE,53,BRETAGNE
35032,Bourgbarré,fr:Bourgbarré,14794459.000000000000000,-1.622325648756260,47.988647484687398,Commune simple,3559,67760,58,3.3,47,3,35,ILLE-ET-VILAINE,53,BRETAGNE
35066,Chartres-de-Bretagne,fr:Chartres-de-Bretagne,9953724.000000000000000,-1.706513878531220,48.044914001970398,Commune simple,3496,67814,32,7.1,47,3,35,ILLE-ET-VILAINE,53,BRETAGNE
35076,Chavagne,fr:Chavagne,12570688.000000000000000,-1.786580263691470,48.056319294630001,Commune simple,3437,67834,24,3.7,24,3,35,ILLE-ET-VILAINE,53,BRETAGNE
