nom_comm,nom_dept,insee_com,classe_potentiel,reg
BRECE,ILLE-ET-VILAINE,35039,1,FR
MONTGERMONT,ILLE-ET-VILAINE,35189,1,FR
LOUTEHEL,ILLE-ET-VILAINE,35160,3,FR
POILLEY,ILLE-ET-VILAINE,35230,3,FR
CORPS-NUDS,ILLE-ET-VILAINE,35088,3,FR
MONTHAULT,ILLE-ET-VILAINE,35190,3,FR
SAINT-GREGOIRE,ILLE-ET-VILAINE,35278,1,FR
CINTRE,ILLE-ET-VILAINE,35080,1,FR
CLAYES,ILLE-ET-VILAINE,35081,1,FR
CHEVAIGNE,ILLE-ET-VILAINE,35079,2,FR
NOUVOITOU,ILLE-ET-VILAINE,35204,1,FR
SAINT-ERBLON,ILLE-ET-VILAINE,35266,1,FR
SAINT-SULPICE-LA-FORET,ILLE-ET-VILAINE,35315,1,FR
PONT-PEAN,ILLE-ET-VILAINE,35363,2,FR
LA CHAPELLE-DES-FOUGERETZ,ILLE-ET-VILAINE,35059,1,FR
BECHEREL,ILLE-ET-VILAINE,35022,3,FR
MINIAC-SOUS-BECHEREL,ILLE-ET-VILAINE,35180,3,FR
SAINT-JACQUES-DE-LA-LANDE,ILLE-ET-VILAINE,35281,2,FR
CHAVAGNE,ILLE-ET-VILAINE,35076,2,FR
JANZE,ILLE-ET-VILAINE,35136,3,FR
ORGERES,ILLE-ET-VILAINE,35208,3,FR
LE VERGER,ILLE-ET-VILAINE,35351,3,FR
LANGAN,ILLE-ET-VILAINE,35144,1,FR
CHARTRES-DE-BRETAGNE,ILLE-ET-VILAINE,35066,2,FR
ACIGNE,ILLE-ET-VILAINE,35001,1,FR
VEZIN-LE-COQUET,ILLE-ET-VILAINE,35353,1,FR
LA CHAPELLE-THOUARAULT,ILLE-ET-VILAINE,35065,1,FR
GEVEZE,ILLE-ET-VILAINE,35120,1,FR
CESSON-SEVIGNE,ILLE-ET-VILAINE,35051,3,FR
SAINT-ARMEL,ILLE-ET-VILAINE,35250,1,FR
ROMILLE,ILLE-ET-VILAINE,35245,1,FR
PARTHENAY-DE-BRETAGNE,ILLE-ET-VILAINE,35216,1,FR
HIREL,ILLE-ET-VILAINE,35132,1,FR
NOYAL-CHATILLON-SUR-SEICHE,ILLE-ET-VILAINE,35206,2,FR
CHANTEPIE,ILLE-ET-VILAINE,35055,1,FR
MECE,ILLE-ET-VILAINE,35170,3,FR
BETTON,ILLE-ET-VILAINE,35024,1,FR
SAINT-GILLES,ILLE-ET-VILAINE,35275,1,FR
BOURGBARRE,ILLE-ET-VILAINE,35032,3,FR
BRUZ,ILLE-ET-VILAINE,35047,3,FR
LA CHAPELLE-CHAUSSEE,ILLE-ET-VILAINE,35058,3,FR
LECOUSSE,ILLE-ET-VILAINE,35150,3,FR
SAINT-SAUVEUR-DES-LANDES,ILLE-ET-VILAINE,35310,3,FR
MORDELLES,ILLE-ET-VILAINE,35196,1,FR
IRODOUER,ILLE-ET-VILAINE,35135,2,FR
L'HERMITAGE,ILLE-ET-VILAINE,35131,1,FR
MOUTIERS,ILLE-ET-VILAINE,35200,1,FR
LE RHEU,ILLE-ET-VILAINE,35240,2,FR
VERN-SUR-SEICHE,ILLE-ET-VILAINE,35352,1,FR
LAILLE,ILLE-ET-VILAINE,35139,3,FR
THORIGNE-FOUILLARD,ILLE-ET-VILAINE,35334,3,FR
PACE,ILLE-ET-VILAINE,35210,1,FR
RANNEE,ILLE-ET-VILAINE,35235,3,FR
RENNES,ILLE-ET-VILAINE,35238,3,FR
