Identifiant_de_l_etablissement,Type_etablissement,Statut_public_prive,Type_contrat_prive,Nom_etablissement,Adresse_1,Adresse_2,Adresse_3,Code_postal,Code_commune,Nom_commune,Code_departement,Libelle_departement,Code_academie,Libelle_academie,Code_region,Libelle_region,Ecole_maternelle,Ecole_elementaire,Voie_generale,Voie_technologique,Voie_professionnelle,Telephone,Fax,Web,Mail,Restauration,Hebergement,ULIS,Lycee_des_metiers,Apprentissage,Segpa,Post_BAC,Section_arts,Section_cinema,Section_theatre,Section_sport,Section_internationale,Section_europeenne,Lycee_Agricole,Lycee_militaire,Nombre_d_eleves,GRETA,SIREN_SIRET,Fiche_onisep,Appartenance_Education_Prioritaire,coordX_origine,coordY_origine,epsg_origine,nom_circonscription,latitude,longitude,position,precision_localisation,date_ouverture,date_maj_ligne,etat,ministere_tutelle,multi_uai,rpi_concentre,rpi_disperse,code_nature,libelle_nature
0351873W,Ecole,Public,SANS OBJET,Ecole maternelle publique les Grains d'Orge,10 rue DE RENNES ,,35230 ORGERES,35230,35208,Orgères,35,Ille-et-Vilaine,14,Rennes,53,Bretagne,1,0,,,,0299576264,,,ecole.0351873W@ac-rennes.fr,1,0,0,,,,,,,,,,,,,145,,21350208100036,,,352060.6,6776596.5,EPSG:2154,Circonscription d'inspection du 1er degré de Chartres-de-Bretagne,47.9971717389008,-1.6678126654391066,"47.9971717389008,-1.6678126654391066",Numéro de rue,1974-07-05,2019-09-11,OUVERT,MINISTERE DE L'EDUCATION NATIONALE,0,0,,101,ECOLE MATERNELLE
0352892D,Ecole,Privé,HORS CONTRAT,ECOLE PRIMAIRE PRIVEE LAFAYETTE,4 rue CARRICK-ON-SHANNON ,,35510 CESSON SEVIGNE,35510,35051,Cesson-Sévigné,35,Ille-et-Vilaine,14,Rennes,53,Bretagne,1,1,,,,0256012147,,,ec.0352892D@ac-rennes.fr,0,0,0,,,,,,,,,,,,,11,,,,,357198.8,6788676.9,EPSG:2154,Circonscription d'inspection du 1er degré de Cesson-Sévigné,48.108407769439545,-1.6084858742259667,"48.108407769439545,-1.6084858742259667",Numéro de rue,2016-09-01,2019-09-11,OUVERT,MINISTERE DE L'EDUCATION NATIONALE,0,0,,151,ECOLE DE NIVEAU ELEMENTAIRE
0352945L,Ecole,Privé,HORS CONTRAT,ECOLE PRIMAIRE PRIVEE LAFAYETTE INTERNATIONALE,Domaine du Plessis ,,35770 VERN SUR SEICHE,35770,35352,Vern-sur-Seiche,35,Ille-et-Vilaine,14,Rennes,53,Bretagne,1,1,,,,,,,,1,0,0,,,,,,,,,,,,,,,,,,,,,Circonscription d'inspection du 1er degré de Cesson-Sévigné,,,,,2019-09-01,2019-09-11,OUVERT,MINISTERE DE L'EDUCATION NATIONALE,0,0,,151,ECOLE DE NIVEAU ELEMENTAIRE
0350659B,Ecole,Public,SANS OBJET,Ecole maternelle publique Faux Pont,4 ruelle du Faux Pont ,,35000 RENNES,35000,35238,Rennes,35,Ille-et-Vilaine,14,Rennes,53,Bretagne,1,0,,,,0299306861,,,ecole.0350659B@ac-rennes.fr,1,0,0,,,,,,,,,,,,,154,,21350238800704,,,352419.3,6788812.1,EPSG:2154,Circonscription d'inspection du 1er degré de Rennes Ouest,48.10709614187444,-1.6726981750648502,"48.10709614187444,-1.6726981750648502",Numéro de rue,1965-10-01,2019-09-11,OUVERT,MINISTERE DE L'EDUCATION NATIONALE,0,0,,101,ECOLE MATERNELLE
0351686T,Ecole,Public,SANS OBJET,Ecole primaire publique Françoise Dolto,8 rue Frédéric Lanne ,,35230 BOURGBARRE,35230,35032,Bourgbarré,35,Ille-et-Vilaine,14,Rennes,53,Bretagne,1,1,,,,0299577207,,,ecole.0351686T@ac-rennes.fr,1,0,0,,,,,,,,,,,,,416,,21350032500039,,,356019.4,6775725.5,EPSG:2154,Circonscription d'inspection du 1er degré de Chartres-de-Bretagne,47.991439704536894,-1.6141425205275897,"47.991439704536894,-1.6141425205275897",Numéro de rue,1972-03-18,2019-09-11,OUVERT,MINISTERE DE L'EDUCATION NATIONALE,0,0,,151,ECOLE DE NIVEAU ELEMENTAIRE
0351657L,Ecole,Public,SANS OBJET,Ecole élémentaire publique Léonard de Vinci,4 rue du Pâtis ,,35890 LAILLE,35890,35139,Laillé,35,Ille-et-Vilaine,14,Rennes,53,Bretagne,0,1,,,,0299425787,,,ecole.0351657L@ac-rennes.fr,1,0,0,,,,,,,,,,,,,289,,21350139800035,,,348426.2,6774783.7,EPSG:2154,Circonscription d'inspection du 1er degré de Chartres-de-Bretagne,47.97894475957482,-1.7150045787126666,"47.97894475957482,-1.7150045787126666",Numéro de rue,1971-06-24,2019-09-11,OUVERT,MINISTERE DE L'EDUCATION NATIONALE,0,0,,151,ECOLE DE NIVEAU ELEMENTAIRE
0351749L,Ecole,Privé,CONTRAT D'ASSOCIATION TOUTES CLASSES,Ecole primaire privée Notre Dame,4 chemin Roblot ,,35770 VERN SUR SEICHE,35770,35352,Vern-sur-Seiche,35,Ille-et-Vilaine,14,Rennes,53,Bretagne,1,1,,,,0299627017,,,ec.0351749L@ac-rennes.fr,1,0,0,,,,,,,,,,,,,276,,77778689800018,,,357330.8,6781762.0,EPSG:2154,Circonscription d'inspection du 1er degré de Cesson-Sévigné,48.046357955440136,-1.60130443281346,"48.046357955440136,-1.60130443281346",Numéro de rue,1972-06-01,2019-09-11,OUVERT,MINISTERE DE L'EDUCATION NATIONALE,0,0,,151,ECOLE DE NIVEAU ELEMENTAIRE
0351765D,Ecole,Public,SANS OBJET,Ecole élémentaire publique les Grands Prés Verts,30 avenue Gabriel Fauré ,,35235 THORIGNE FOUILLARD,35235,35334,Thorigné-Fouillard,35,Ille-et-Vilaine,14,Rennes,53,Bretagne,0,1,,,,0299620718,,,ecole.0351765D@ac-rennes.fr,1,0,0,,,,,,,,,,,,,376,,21350334500166,,,358989.1,6793812.2,EPSG:2154,Circonscription d'inspection du 1er degré de Cesson-Sévigné,48.15547621479249,-1.5884792196785418,"48.15547621479249,-1.5884792196785418",Numéro de rue,1972-06-01,2019-09-11,OUVERT,MINISTERE DE L'EDUCATION NATIONALE,0,0,,151,ECOLE DE NIVEAU ELEMENTAIRE
0351893T,Ecole,Public,SANS OBJET,Ecole maternelle publique la Chalotais,8 allée de la Chalotais ,,35770 VERN SUR SEICHE,35770,35352,Vern-sur-Seiche,35,Ille-et-Vilaine,14,Rennes,53,Bretagne,1,0,,,,0299627162,,,ecole.0351893T@ac-rennes.fr,1,0,0,,,,,,,,,,,,,96,,21350352700029,,,357150.0,6781429.5,EPSG:2154,Circonscription d'inspection du 1er degré de Cesson-Sévigné,48.043276142110955,-1.603466690870026,"48.043276142110955,-1.603466690870026",Numéro de rue,1975-05-14,2019-09-11,OUVERT,MINISTERE DE L'EDUCATION NATIONALE,0,0,,101,ECOLE MATERNELLE
0352184J,Ecole,Public,SANS OBJET,Ecole maternelle publique Noël du Fail,Rue Guillotin de Corson ,,35770 VERN SUR SEICHE,35770,35352,Vern-sur-Seiche,35,Ille-et-Vilaine,14,Rennes,53,Bretagne,1,0,,,,0299628982,,,ecole.0352184J@ac-rennes.fr,1,0,0,,,,,,,,,,,,,107,,21350352700045,,,357479.9,6781210.2,EPSG:2154,Circonscription d'inspection du 1er degré de Cesson-Sévigné,48.04147893144019,-1.5988758190923977,"48.04147893144019,-1.5988758190923977",Numéro de rue,1985-09-01,2019-09-11,OUVERT,MINISTERE DE L'EDUCATION NATIONALE,0,0,,101,ECOLE MATERNELLE
