etablissement,UAI,Annee,Ville,Code commune,Academie,Departement,Secteur,Presents - Specialites pluri-technologiques de la production,Presents - Transformations,Presents - Genie civil construction bois,Presents - Materiaux souples,Presents - Mecanique electricite electronique,Presents - Production,Presents - Specialites plurivalentes des services,Presents - Echanges et gestion,Presents - Communication et information,Presents - Services aux personnes,Presents - Services a la collectivite,Presents - Services,Presents - Toutes series,Taux de reussite - Specialites pluri-technologiques de la production,Taux de reussite - Transformations,Taux de reussite - Genie civil construction bois,Taux de reussite - Materiaux souples,Taux de reussite - Mecanique electricite electronique,Taux de reussite - Production,Taux de reussite - Specialites plurivalentes des services,Taux de reussite - Echanges et gestion,Taux de reussite - Communication et information,Taux de reussite - Services aux personnes,Taux de reussite - Services a la collectivite,Taux de reussite - Services,Taux de reussite - Toutes series,Taux de reussite attendu france - Specialites pluri-technologiques de la production,Taux de reussite attendu france - Transformations,Taux de reussite attendu france - Genie civil construction bois,Taux de reussite attendu france - Materiaux souples,Taux de reussite attendu france - Mecanique electricite electronique,Taux de reussite attendu france - Specialites plurivalentes des services,Taux de reussite attendu france - Echanges et gestion,Taux de reussite attendu france - Communication et information,Taux de reussite attendu france - Services aux personnes,Taux de reussite attendu france - Services a la collectivite,Taux de reussite attendu acad - Production,Taux de reussite attendu acad - Services,Taux de reussite attendu acad - Toutes series,Taux de reussite attendu france - Production,Taux de reussite attendu france - Services,Taux de reussite attendu france - Toutes series,Pourcentage bacheliers sortants 2de 1re Terminale Etablissement,Pourcentage bacheliers sortants Terminales Etablissement,Pourcentage bacheliers sortants 2de 1re Terminale Acad,Pourcentage bacheliers sortants Terminale Acad,Pourcentage bacheliers sortants 2de 1re Terminale France,Pourcentage bacheliers sortants Terminale France,Effectif de seconde,Effectif de premiere,Effectif de terminale,Taux d'acces 2nde-bac,Taux d'acces attendu acad 2nde-bac,Taux d'acces attendu france 2nde-bac,Taux d'acces 1ere-bac,Taux d'acces attendu acad 1ere-bac,Taux d'acces attendu france 1ere-bac,Taux d'acces terminale-bac,Taux d'acces attendu france terminale-bac,Taux de mentions - Specialites pluri-technologiques de la production,Taux de mentions - Transformations,Taux de mentions - Genie civil construction bois,Taux de mentions - Materiaux souples,Taux de mentions - Mecanique electricite electronique,Taux de mentions - Specialites plurivalentes des services,Taux de mentions - Echanges et gestion,Taux de mentions - Communication et information,Taux de mentions - Services aux personnes,Taux de mentions - Services a la collectivite,Taux de mentions - Production,Taux de mentions - Services,Taux de mentions - Toutes series,Taux de mentions attendu - Specialites pluri-technologiques de la production,Taux de mentions attendu - Transformations,Taux de mentions attendu - Genie civil construction bois,Taux de mentions attendu - Materiaux souples,Taux de mentions attendu - Mecanique electricite electronique,Taux de mentions attendu - Specialites plurivalentes des services,Taux de mentions attendu - Echanges et gestion,Taux de mentions attendu - Communication et information,Taux de mentions attendu - Services aux personnes,Taux de mentions attendu - Services a la collectivite,Taux de mentions attendu - Production,Taux de mentions attendu - Services,Taux de mentions attendu - Toutes series,Structure pedagogique 7 groupes,Region,Code region,Libelle departement,Code departement,Valeur ajoutee du taux de reussite - Specialites pluri-technologiques de la production,Valeur ajoutee du taux de reussite - Transformations,Valeur ajoutee du taux de reussite - Genie civil construction bois,Valeur ajoutee du taux de reussite - Materiaux souples,Valeur ajoutee du taux de reussite - Mecanique electricite electronique,Valeur ajoutee du taux de reussite - Production,Valeur ajoutee du taux de reussite - Specialites plurivalentes des services,Valeur ajoutee du taux de reussite - Echanges et gestion,Valeur ajoutee du taux de reussite - Communication et information,Valeur ajoutee du taux de reussite - Services aux personnes,Valeur ajoutee du taux de reussite - Services a la collectivite,Valeur ajoutee du taux de reussite - Services,Valeur ajoutee du taux de reussite - Toutes series,Valeur ajoutee du taux d'acces 2nde-bac,Valeur ajoutee du taux d'acces 1ere-bac,Valeur ajoutee du taux d'acces terminale-bac,Valeur ajoutee du taux de mentions - Specialites pluri-technologiques de la production,Valeur ajoutee du taux de mentions - Transformations,Valeur ajoutee du taux de mentions - Genie civil construction bois,Valeur ajoutee du taux de mentions - Materiaux souples,Valeur ajoutee du taux de mentions - Mecanique electricite electronique,Valeur ajoutee du taux de mentions - Production,Valeur ajoutee du taux de mentions - Specialites plurivalentes des services,Valeur ajoutee du taux de mentions - Echanges et gestion,Valeur ajoutee du taux de mentions - Communication et information,Valeur ajoutee du taux de mentions - Services aux personnes,Valeur ajoutee du taux de mentions - Services a la collectivite,Valeur ajoutee du taux de mentions - Services,Valeur ajoutee du taux de mentions - Toutes series,nombre_de_mentions_tb_sans_felicitations_p,nombre_de_mentions_b_p,nombre_de_mentions_ab_p
LYCEE PROFESSIONNEL CHARLES TILLON,0351054F,2012,RENNES,35238,RENNES,ILLE-ET-VILAINE,public,,,,,,54,,,,,,52,106,,,,,,89,,,,,,73,81.0,,,,,,,,,,,84,90,,80,84,82.0,58,83,69,89,61,80,148,115,,55.0,59,58,73,76,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BRETAGNE,53,Ille-et-Vilaine,35,,,,,,9,,,,,,-11,-1,-3,1,,,,,,,,,,,,,,,,,
LYCEE PIERRE MENDES FRANCE (PROFESSIONNEL),0350030T,2020,RENNES,35238,RENNES,ILLE-ET-VILAINE,public,,28,77,,10,115,,,,,,,115,,93,84,,100,88,,,,,,,88.0,,,,,,,,,,,,,,,,,,,,,,,126,122,110,68.0,,,79,,,86,,,61,58,,90,,,,,,62,,62.0,,,,,,,,,,,,,,G,BRETAGNE,53,Ille-et-Vilaine,35,,8,-8,,4,-3,,,,,,,-3,-5,-5,-5,,12,-5,,18,2,,,,,,,2,,,
LYCEE JEANNE D'ARC (PROFESSIONNEL),0350797B,2020,RENNES,35238,RENNES,ILLE-ET-VILAINE,privé sous contrat,,,,,,,,,,80,,80,80,,,,,,,,,,100,,100,100.0,,,,,,,,,,,,,,,,,,,,,,,54,73,79,90.0,,,95,,,100,,,,,,,,,,81,,,81,81.0,,,,,,,,,,,,,,G,BRETAGNE,53,Ille-et-Vilaine,35,,,,,,,,,,3,,3,3,7,5,5,,,,,,,,,,5,,5,5,,,
LYCEE PROFESSIONNEL COETLOGON,0351878B,2020,RENNES,35238,RENNES,ILLE-ET-VILAINE,public,,,,,69,69,55,29,43,56,,183,252,,,,,80,80,62,83,93,88,,80,80.0,,,,,,,,,,,,,,,,,,,,,,,290,289,272,73.0,,,78,,,81,,,,,,54,33,48,65,70,,54,54,54.0,,,,,,,,,,,,,,G,BRETAGNE,53,Ille-et-Vilaine,35,,,,,-11,-11,-26,-9,0,-8,,-12,-12,-2,-6,-10,,,,,-4,-4,-19,-11,-1,-3,,-9,-7,,,
LYCEE PROFESSIONNEL LOUIS GUILLOUX,0350032V,2014,RENNES,35238,RENNES,ILLE-ET-VILAINE,public,,,,,,85,,,,,,76,161,,,,,,89,,,,,,89,89.0,,,,,,,,,,,91,90,,89,88,89.0,72,91,72,91,64,85,178,160,,67.0,73,71,80,85,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BRETAGNE,53,Ille-et-Vilaine,35,,,,,,0,,,,,,1,0,-4,-2,,,,,,,,,,,,,,,,,
LYCEE PROFESSIONNEL CHARLES TILLON,0351054F,2014,RENNES,35238,RENNES,ILLE-ET-VILAINE,public,,,,,,59,,,,,,44,103,,,,,,81,,,,,,80,81.0,,,,,,,,,,,87,85,,86,86,86.0,53,83,72,91,64,85,164,145,,53.0,59,64,72,73,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BRETAGNE,53,Ille-et-Vilaine,35,,,,,,-5,,,,,,-6,-5,-11,-4,,,,,,,,,,,,,,,,,
LYCEE FREDERIC OZANAM (PROFESSIONNEL),0350793X,2023,CESSON SEVIGNE,35051,RENNES,ILLE-ET-VILAINE,privé sous contrat,,,30,,63,93,,40,,,,40,133,,,97,,97,97,,98,,,,98,97.0,,,,,,,,,,,,,,,,,,,,,,,172,186,147,70.0,,,78,,,96,,,,57,,63,,85,,,,61,85,68.0,,,,,,,,,,,,,,P,BRETAGNE,53,Ille-et-Vilaine,35,,,8,,5,6,,4,,,,4,5,-4,-7,3,,,-4,,-6,-6,,17,,,,17,1,6,31,54
LYCEE FREDERIC OZANAM (PROFESSIONNEL),0350793X,2022,CESSON SEVIGNE,35051,RENNES,ILLE-ET-VILAINE,privé sous contrat,,,27,,80,107,,54,,,,54,161,,,93,,98,96,,98,,,,98,97.0,,,,,,,,,,,,,,,,,,,,,,,188,181,135,66.0,,,75,,,95,,,,81,,59,64,,72,,,,72,67.0,,,,,,,,,,,,,,P,BRETAGNE,53,Ille-et-Vilaine,35,,,1,,7,5,,4,,,,4,5,-7,-9,3,,,9,,-6,-3,,2,,,,2,-1,11,37,60
LYCEE PROFESSIONNEL BREQUIGNY,0350059Z,2018,RENNES,35238,RENNES,ILLE-ET-VILAINE,public,,,,,,,,62,,56,,118,118,,,,,,,,87,,93,,90,90.0,,,,,,,86,,92,,,,,,89,89.0,,,,,,,122,117,111,68.0,,70,79,,80,89,88,,,,,,,53,,46,,,50,50.0,,,,,,,45,,51,,,48,48,H,BRETAGNE,53,Ille-et-Vilaine,35,,,,,,,,1,,1,,1,1,-2,-1,1,,,,,,,,8,,-5,,2,2,,,
LYCEE JEANNE D'ARC (PROFESSIONNEL),0350797B,2018,RENNES,35238,RENNES,ILLE-ET-VILAINE,privé sous contrat,,,,,,,,,,92,,92,92,,,,,,,,,,100,,100,100.0,,,,,,,,,97,,,,,,97,97.0,,,,,,,86,89,80,86.0,,79,93,,89,100,95,,,,,,,,,76,,,76,76.0,,,,,,,,,66,,,66,66,H,BRETAGNE,53,Ille-et-Vilaine,35,,,,,,,,,,3,,3,3,7,4,5,,,,,,,,,,10,,10,10,,,
