CodeInsee,Inscrits,Abstentions,Votants,Blancs,Exprimés,Joly,LePen,Sarkozy,Mélenchon,Poutou,Arthaud,Cheminade,Bayrou,DupontAignan,Hollande
35001,4672,520,4152,42,4110,164,310,872,474,57,11,6,551,58,1607
35022,474,79,395,6,389,22,48,122,52,5,5,0,30,7,98
35024,8016,974,7042,111,6931,334,505,1518,802,72,20,14,879,114,2673
35032,2511,342,2169,55,2114,60,293,434,208,41,16,4,243,45,770
35039,1388,176,1212,27,1185,28,140,253,121,14,10,1,200,27,391
35047,11305,1658,9647,182,9465,297,1009,2463,1003,116,43,27,1311,192,3004
35051,12629,1776,10853,159,10694,394,761,3202,939,76,35,29,1719,137,3402
35055,6808,970,5838,69,5769,222,512,1151,633,53,33,11,876,89,2189
35058,828,88,740,12,728,20,98,185,86,8,4,1,99,12,215
35059,3133,367,2766,39,2727,98,241,593,307,26,16,9,328,44,1065
35065,1546,154,1392,28,1364,33,177,238,165,14,10,1,141,29,556
35066,5772,1002,4770,76,4694,161,523,1003,460,66,27,8,590,74,1782
35076,2956,435,2521,45,2476,64,294,555,259,25,12,7,320,56,884
35079,1421,117,1304,23,1281,57,116,270,147,11,6,2,207,22,443
35080,1511,169,1342,23,1319,47,155,274,153,9,13,1,167,17,483
35081,474,49,425,5,420,18,37,87,51,9,3,0,53,10,152
35088,2231,282,1949,33,1916,78,262,378,222,19,17,8,247,39,646
35120,3181,434,2747,61,2686,81,295,672,278,33,18,14,345,43,907
35131,2859,414,2445,39,2406,55,312,481,232,26,13,6,285,40,956
35132,1062,148,914,19,895,31,198,243,88,7,3,2,70,8,245
35135,1470,190,1280,29,1251,28,228,306,117,15,8,3,150,27,369
35136,5558,743,4815,124,4691,74,661,1379,403,56,35,12,667,86,1318
35139,3377,393,2984,68,2916,114,345,641,310,31,19,9,444,60,943
35144,712,103,609,8,601,17,88,143,67,9,3,0,58,16,200
35150,2637,340,2297,55,2242,52,284,670,190,23,18,5,383,54,563
35160,185,25,160,1,159,9,30,49,14,3,2,0,15,3,34
35170,440,62,378,14,364,10,69,93,36,6,4,1,55,13,77
35180,514,65,449,8,441,12,82,104,40,2,0,1,59,8,133
35189,2282,247,2035,35,2000,77,152,478,191,14,7,3,311,20,747
35190,185,26,159,5,154,4,37,41,16,3,0,0,28,3,22
35196,5625,769,4856,94,4762,141,548,1239,449,46,44,12,571,95,1617
35200,616,81,535,17,518,3,87,201,37,8,4,0,81,14,83
35204,2189,312,1877,31,1846,66,220,438,203,22,13,6,233,40,605
35206,4741,611,4130,58,4072,135,449,910,432,52,26,10,493,74,1491
35208,2729,279,2450,54,2396,92,309,576,194,35,15,11,282,58,824
35210,7355,746,6609,111,6498,235,450,1993,573,59,22,19,971,102,2074
35216,938,123,815,17,798,29,103,163,87,7,2,1,108,15,283
35230,309,66,243,9,234,2,31,101,15,4,1,0,46,4,30
35235,862,106,756,22,734,16,117,274,51,6,4,5,108,20,133
35238,116983,23006,93977,1270,92707,4663,6800,19393,12464,925,517,203,9737,1106,36899
35240,5374,740,4634,77,4557,158,378,1029,505,45,26,22,570,72,1752
35245,2601,342,2259,38,2221,62,262,550,249,24,14,8,298,37,717
35250,1227,109,1118,18,1100,47,141,208,143,9,7,6,141,31,367
35266,1863,188,1675,22,1653,63,199,421,155,15,8,9,200,26,557
35275,2805,272,2533,46,2487,56,249,654,244,24,14,2,337,46,861
35278,7093,936,6157,96,6061,190,343,2104,433,36,14,10,921,60,1950
35281,6550,1171,5379,102,5277,187,577,919,718,58,55,14,556,84,2109
35310,941,120,821,20,801,14,119,239,51,19,5,2,102,23,227
35315,1047,108,939,10,929,34,69,169,112,11,1,2,133,17,381
35334,5626,611,5015,71,4944,192,353,1105,456,54,8,11,701,74,1990
35351,1035,120,915,12,903,21,127,193,98,14,5,1,121,21,302
35352,6353,881,5472,92,5380,180,516,1149,549,69,31,8,682,124,2072
35353,3120,375,2745,36,2709,107,230,663,276,24,15,8,349,47,990
35363,2822,397,2425,42,2383,72,284,466,267,19,13,2,319,42,899
