CD_STATION,NUM_COM,NOM_COM,NUM_DEP,codagence,ALTITUDE,PROFONDEUR_MAXI_POINT,Unit�_coord_fictifs,X_FICT_L93,Y_FICT_L93,CD_ME_v2,CD_ME_niv1_surf,reseau2009,reseau2010,reseau2011,reseau2012,reseau2013,reseau2014,fi_ma_2007,fi_ma_2008,fi_ma_2009,fi_ma_2010,fi_ma_2011,fi_ma_2012,fi_ma_2013,fi_ma_2014,
09921X0029/CAMBON,30258,SAINT-GILLES,30,AERM&C,3,30,30258_FRDG531_FRDG101,"809281,2838","6287795,068",DG101,DG101,RCS,RCS/RCO,RCS/RCO,RCS/RCO,RCS/RCO,RCS/RCO,oui,oui,oui,oui,oui,oui,oui,oui,
09922X0228/S,30258,SAINT-GILLES,30,AERM&C,2,15,30258_FRDG531_FRDG323,"817168,5838","6287345,758",DG323,DG323,RCS,RCS/RCO,RCS/RCO,RCS/RCO,RCS/RCO,RCS/RCO,oui,oui,oui,oui,oui,oui,oui,oui,
03172X0001/P,35024,BETTON,35,AELB,43,8,35024_ _FRGG015,"353490,3561","6798946,506",GG015,GG015,RCS,RCS/RCO,RCS/RCO,RCS/RCO,RCS/RCO,RCS/RCO,oui,oui,oui,oui,oui,oui,oui,oui,
03531X0013/P,35047,BRUZ,35,AELB,20,10,35047_ _FRGG015,"344772,6051","6777728,847",GG015,GG015,RCS,RCS/RCO,RCS/RCO,RCS/RCO,RCS/RCO,RCS/RCO,oui,oui,oui,oui,oui,oui,oui,oui,
02818X0030/F,35058,LA CHAPELLE-CHAUSSEE,35,AELB,118,82.5,35058_ _FRGG015,"340845,6233","6807282,246",GG015,GG015,Hors RCS et RCO,horsRCSRCODRIRE,,,,,,oui,,,,,,,
03531X0007/F,35066,CHARTRES-DE-BRETAGNE,35,AELB,39,49.6,35066_ _FRGG015,"347796,7522","6782414,505",GG015,GG015,Hors RCS et RCO,horsRCSRCODRIRE,,,,,oui,oui,oui,,,,,,
03532X0005/F,35066,CHARTRES-DE-BRETAGNE,35,AELB,39,67.2,35066_ _FRGG015,"348672,9827","6784039,442",GG015,GG015,Hors RCS et RCO,horsRCSRCODRIRE,,,,,oui,oui,oui,,,,,,
03175X0061/P4,35238,RENNES,35,AELB,23,30,35238_ _FRGG015,"354341,5643","6792247,143",GG015,GG015,Hors RCS et RCO,,,,,,oui,oui,oui,,,,,,
03175X0013/P2,35238,RENNES,35,AELB,"20,5",15.2,35238_ _FRGG015,"354052,7495","6786522,61",GG015,GG015,Hors RCS et RCO,,,,,,oui,oui,oui,,,,,,
03175X0045/P3,35238,RENNES,35,AELB,"20,75",15,35238_ _FRGG015,"353563,4661","6790938,253",GG015,GG015,Hors RCS et RCO,,,,,,oui,oui,oui,,,,,,
03172X0003/F,35278,SAINT-GREGOIRE,35,AELB,"37,75",30.5,35278_ _FRGG015,"351491,3896","6794486,093",GG015,GG015,Hors RCS et RCO,horsRCSRCODRIRE,,,,,,oui,,,,,,,
