CODGEO,LIBGEO,MED14
35001,Acigné,"23468,0"
35022,Bécherel,"18680,0"
35024,Betton,"24716,2"
35032,Bourgbarré,"22006,3"
35039,Brécé,"21479,0"
35047,Bruz,"23004,3"
35051,Cesson-Sévigné,"26463,8"
35055,Chantepie,"22191,7"
35058,La Chapelle-Chaussée,"20878,0"
35059,La Chapelle-des-Fougeretz,"22759,5"
35065,La Chapelle-Thouarault,"21587,5"
35066,Chartres-de-Bretagne,"22643,3"
35076,Chavagne,"21950,4"
35079,Chevaigné,"24102,4"
35080,Cintré,"22310,0"
35081,Clayes,"21728,1"
35088,Corps-Nuds,"21502,0"
35120,Gévezé,"22241,1"
35131,L'Hermitage,"21723,2"
35132,Hirel,"19134,6"
35135,Irodouër,"20443,3"
35136,Janzé,"20397,5"
35139,Laillé,"23418,0"
35144,Langan,"21332,5"
35150,Lécousse,"21735,4"
35160,Loutehel,"18982,0"
35170,Mecé,"19280,4"
35180,Miniac-sous-Bécherel,"20760,0"
35189,Montgermont,"24028,9"
35190,Monthault,"16444,0"
35196,Mordelles,"21934,8"
35200,Moutiers,"19590,0"
35204,Nouvoitou,"22537,1"
35206,Noyal-Châtillon-sur-Seiche,"22142,7"
35208,Orgères,"22080,0"
35210,Pacé,"24844,9"
35216,Parthenay-de-Bretagne,"20917,3"
35230,Poilley,"18740,6"
35235,Rannée,"19967,8"
35238,Rennes,"20197,6"
35240,Le Rheu,"22362,7"
35245,Romillé,"21204,0"
35250,Saint-Armel,"21950,0"
35266,Saint-Erblon,"22828,5"
35275,Saint-Gilles,"22594,5"
35278,Saint-Grégoire,"28689,2"
35281,Saint-Jacques-de-la-Lande,"19118,0"
35310,Saint-Sauveur-des-Landes,"20566,2"
35315,Saint-Sulpice-la-Forêt,"26183,9"
35334,Thorigné-Fouillard,"25548,0"
35351,Le Verger,"20870,7"
35352,Vern-sur-Seiche,"23618,8"
35353,Vezin-le-Coquet,"22767,6"
35363,Pont-Péan,"22508,7"
