Année,Code IRIS,Consommation gaz (MWh) - GRTgaz,PDL gaz - GRTgaz,Consommation gaz (MWh) - Teréga,PDL gaz - Teréga,Consommation électricité (MWh) - RTE,PDL électricité - RTE,Consommation totale (MWh),PDL total,Code INSEE commune,Commune,Code INSEE département,Departement,Code INSEE région,Region,Géo-shape IRIS,Géo-point IRIS
2016,350660103,175950.234,2,0.0,0,51129.174,1,227079.408,3,35066,Chartres-de-Bretagne,35,Ille-et-Vilaine,53,Bretagne,"{""coordinates"": [[[[-1.7290481468, 48.0530078277], [-1.7290773734, 48.0531391727], [-1.7281690525, 48.0558559436], [-1.7266483102, 48.0576288759], [-1.7265906139, 48.0576302925], [-1.7265393716, 48.0576738198], [-1.7265888884, 48.0577313289], [-1.7266723596, 48.0577775573], [-1.72703733, 48.0579792513], [-1.7280809426, 48.0585368064], [-1.728097825, 48.0585451429], [-1.7280557437, 48.0586459982], [-1.7276939839, 48.0590517839], [-1.7276620371, 48.0590855214], [-1.7234080504, 48.0605396593], [-1.7206888415, 48.0614804183], [-1.7165260242, 48.0634969881], [-1.7137293165, 48.0655285399], [-1.7097592946, 48.0665867383], [-1.7064877168, 48.0648565503], [-1.7037733258, 48.0639297534], [-1.7000771358, 48.0628194577], [-1.6996846147, 48.0627305665], [-1.6995103719, 48.0627068763], [-1.6995127327, 48.0627031761], [-1.7001090818, 48.0616661012], [-1.7004746089, 48.0610128055], [-1.7008548936, 48.0603138447], [-1.7021725341, 48.0587539251], [-1.7034490887, 48.0573074117], [-1.7035170123, 48.0572244647], [-1.7036361593, 48.0570673515], [-1.7038418697, 48.0567949939], [-1.7038946722, 48.0567234689], [-1.7040097173, 48.0565656177], [-1.7040637607, 48.0564778164], [-1.704279133, 48.056117628], [-1.7043136553, 48.0560522426], [-1.7044074617, 48.0558672944], [-1.7044392241, 48.0558011178], [-1.7044982493, 48.0556635356], [-1.7045522344, 48.0555297609], [-1.7047341306, 48.055065437], [-1.7048410066, 48.0546798371], [-1.7054042612, 48.0530463645], [-1.7055275343, 48.0528602359], [-1.706456855, 48.0514275648], [-1.7066658721, 48.0510568059], [-1.7067279071, 48.0508776332], [-1.7077554953, 48.0490921407], [-1.709455972, 48.046544983], [-1.7094641294, 48.0465158088], [-1.7094672684, 48.0465057668], [-1.7094882622, 48.0464697682], [-1.7095187934, 48.0464351907], [-1.7103740572, 48.0456527077], [-1.7113541096, 48.0458487428], [-1.7125676674, 48.0458136481], [-1.714595408, 48.0453654788], [-1.7183360395, 48.0438569264], [-1.7202447602, 48.0418430221], [-1.7209916699, 48.0407979558], [-1.7215486705, 48.0400201392], [-1.7216420796, 48.0400425324], [-1.7253965208, 48.0398895952], [-1.7287278467, 48.0409009406], [-1.7288035418, 48.0432661446], [-1.7296638205, 48.0454296392], [-1.7294076061, 48.0483073891], [-1.729161803, 48.0493098226], [-1.7289941453, 48.050156309], [-1.7289542696, 48.0504847051], [-1.7289465705, 48.0509531211], [-1.7290316728, 48.0529138328], [-1.7290481468, 48.0530078277]]]], ""type"": ""MultiPolygon""}","48.0537472949, -1.7165332615"
2012,352380308,0.0,0,0.0,0,33429.211,1,33429.211,1,35238,Rennes,35,Ille-et-Vilaine,53,Bretagne,"{""coordinates"": [[[[-1.7185804638, 48.1118318343], [-1.7185078401, 48.1115462786], [-1.7183785525, 48.1109880493], [-1.7175936115, 48.1076101914], [-1.7175220892, 48.1072614886], [-1.7174957041, 48.1071318344], [-1.7174593017, 48.106950297], [-1.7174267852, 48.1067821258], [-1.7173766634, 48.1065524593], [-1.7172012229, 48.1057635008], [-1.7171820939, 48.1056849389], [-1.7171195607, 48.1054368388], [-1.717102896, 48.1053707985], [-1.7180653933, 48.1047246553], [-1.7200353227, 48.1036121847], [-1.7228506042, 48.101930304], [-1.7231812342, 48.1016844642], [-1.7234665172, 48.1015486182], [-1.7245439569, 48.1012412616], [-1.726457391, 48.1009066494], [-1.7271173326, 48.1007918125], [-1.732825001, 48.0999931557], [-1.7394884934, 48.101305942], [-1.7395376912, 48.1013742767], [-1.7394199828, 48.1014123694], [-1.7374377365, 48.1019996711], [-1.7367953765, 48.1021904839], [-1.7365950641, 48.1023130291], [-1.7344531205, 48.1036269766], [-1.7353337175, 48.1053728719], [-1.7363129607, 48.1076178132], [-1.7365849254, 48.1098551372], [-1.7365836443, 48.109930912], [-1.7358475589, 48.1100082936], [-1.7316534325, 48.1104310966], [-1.7286104668, 48.1107372175], [-1.7285091722, 48.1107935694], [-1.7284217981, 48.110870096], [-1.7284122001, 48.1107929557], [-1.7282884642, 48.1106888468], [-1.7279639078, 48.1107172021], [-1.7272799977, 48.1108212812], [-1.7270537787, 48.1108655186], [-1.7228583661, 48.1114106529], [-1.7186725311, 48.1118227367], [-1.7185804638, 48.1118318343]]]], ""type"": ""MultiPolygon""}","48.1060161281, -1.7273786946"
2016,350510104,0.0,0,0.0,0,44653.213,1,44653.213,1,35051,Cesson-Sévigné,35,Ille-et-Vilaine,53,Bretagne,"{""coordinates"": [[[[-1.6245340001, 48.0999328872], [-1.6245696545, 48.0999405009], [-1.6249421304, 48.100029532], [-1.6252619908, 48.1001170232], [-1.626718291, 48.1005348466], [-1.630082803, 48.1015356573], [-1.6314157805, 48.1020655412], [-1.6321348719, 48.102523562], [-1.6328740035, 48.1030641699], [-1.6347669046, 48.105764648], [-1.6349100583, 48.1062304466], [-1.6349590387, 48.1063898696], [-1.6340422206, 48.1076293201], [-1.634041962, 48.1078411592], [-1.6340395836, 48.1079521249], [-1.6339681282, 48.1092087829], [-1.6346925994, 48.1116825565], [-1.6348091271, 48.1118294056], [-1.6348433668, 48.111882142], [-1.634490742, 48.1119131451], [-1.6329799864, 48.1117535449], [-1.6322937703, 48.1116795808], [-1.6279490398, 48.111220313], [-1.6259408522, 48.111020678], [-1.6253201419, 48.1109567205], [-1.6221486069, 48.1106134125], [-1.6217126195, 48.1105376795], [-1.6207000752, 48.1103024865], [-1.6201836117, 48.1102299054], [-1.6195931055, 48.1102494639], [-1.6188730985, 48.1103272803], [-1.6181294825, 48.1104429749], [-1.6176569806, 48.1105345142], [-1.6176067158, 48.1105445975], [-1.6175559205, 48.1105024211], [-1.6172962718, 48.110272832], [-1.6171640861, 48.1101464118], [-1.6170646495, 48.1100096938], [-1.6168833722, 48.1097373704], [-1.616787261, 48.1095770857], [-1.6167249257, 48.1094028575], [-1.6166334687, 48.1090648169], [-1.616584393, 48.1085186972], [-1.6165789342, 48.1078248426], [-1.6163949344, 48.1073056448], [-1.6158744395, 48.106092948], [-1.6157614003, 48.1058774399], [-1.6156241414, 48.1056619796], [-1.615462663, 48.105446567], [-1.6152731772, 48.1052340546], [-1.6150584452, 48.1050252356], [-1.6148201223, 48.1048236504], [-1.6145600209, 48.1046346362], [-1.614282243, 48.1044589336], [-1.6139882866, 48.1042982865], [-1.6103184837, 48.1019253473], [-1.6103072481, 48.1018428596], [-1.6102914235, 48.101784889], [-1.6102625879, 48.1017166111], [-1.610223894, 48.1016433109], [-1.6101709182, 48.1015759782], [-1.610130788, 48.10153248], [-1.6103148093, 48.1014360378], [-1.6107793576, 48.1011925015], [-1.6119899191, 48.1005384585], [-1.6122263309, 48.1004102152], [-1.6122685483, 48.1003851254], [-1.6131929762, 48.0998450345], [-1.6142813538, 48.0992101743], [-1.6144382955, 48.0991274056], [-1.6147366333, 48.0991382483], [-1.6193402454, 48.0992317562], [-1.6214110432, 48.0993911707], [-1.6244548065, 48.0999044486], [-1.6245340001, 48.0999328872]]]], ""type"": ""MultiPolygon""}","48.1052634522, -1.6237145276"
2021,350660103,197825.5141,2,0.0,0,39761.947,1,237587.46110000001,3,35066,Chartres-de-Bretagne,35,Ille-et-Vilaine,53,Bretagne,"{""coordinates"": [[[[-1.7290481468, 48.0530078277], [-1.7290773734, 48.0531391727], [-1.7281690525, 48.0558559436], [-1.7266483102, 48.0576288759], [-1.7265906139, 48.0576302925], [-1.7265393716, 48.0576738198], [-1.7265888884, 48.0577313289], [-1.7266723596, 48.0577775573], [-1.72703733, 48.0579792513], [-1.7280809426, 48.0585368064], [-1.728097825, 48.0585451429], [-1.7280557437, 48.0586459982], [-1.7276939839, 48.0590517839], [-1.7276620371, 48.0590855214], [-1.7234080504, 48.0605396593], [-1.7206888415, 48.0614804183], [-1.7165260242, 48.0634969881], [-1.7137293165, 48.0655285399], [-1.7097592946, 48.0665867383], [-1.7064877168, 48.0648565503], [-1.7037733258, 48.0639297534], [-1.7000771358, 48.0628194577], [-1.6996846147, 48.0627305665], [-1.6995103719, 48.0627068763], [-1.6995127327, 48.0627031761], [-1.7001090818, 48.0616661012], [-1.7004746089, 48.0610128055], [-1.7008548936, 48.0603138447], [-1.7021725341, 48.0587539251], [-1.7034490887, 48.0573074117], [-1.7035170123, 48.0572244647], [-1.7036361593, 48.0570673515], [-1.7038418697, 48.0567949939], [-1.7038946722, 48.0567234689], [-1.7040097173, 48.0565656177], [-1.7040637607, 48.0564778164], [-1.704279133, 48.056117628], [-1.7043136553, 48.0560522426], [-1.7044074617, 48.0558672944], [-1.7044392241, 48.0558011178], [-1.7044982493, 48.0556635356], [-1.7045522344, 48.0555297609], [-1.7047341306, 48.055065437], [-1.7048410066, 48.0546798371], [-1.7054042612, 48.0530463645], [-1.7055275343, 48.0528602359], [-1.706456855, 48.0514275648], [-1.7066658721, 48.0510568059], [-1.7067279071, 48.0508776332], [-1.7077554953, 48.0490921407], [-1.709455972, 48.046544983], [-1.7094641294, 48.0465158088], [-1.7094672684, 48.0465057668], [-1.7094882622, 48.0464697682], [-1.7095187934, 48.0464351907], [-1.7103740572, 48.0456527077], [-1.7113541096, 48.0458487428], [-1.7125676674, 48.0458136481], [-1.714595408, 48.0453654788], [-1.7183360395, 48.0438569264], [-1.7202447602, 48.0418430221], [-1.7209916699, 48.0407979558], [-1.7215486705, 48.0400201392], [-1.7216420796, 48.0400425324], [-1.7253965208, 48.0398895952], [-1.7287278467, 48.0409009406], [-1.7288035418, 48.0432661446], [-1.7296638205, 48.0454296392], [-1.7294076061, 48.0483073891], [-1.729161803, 48.0493098226], [-1.7289941453, 48.050156309], [-1.7289542696, 48.0504847051], [-1.7289465705, 48.0509531211], [-1.7290316728, 48.0529138328], [-1.7290481468, 48.0530078277]]]], ""type"": ""MultiPolygon""}","48.0537472949, -1.7165332615"
2013,352380308,0.0,0,0.0,0,27145.515,1,27145.515,1,35238,Rennes,35,Ille-et-Vilaine,53,Bretagne,"{""coordinates"": [[[[-1.7185804638, 48.1118318343], [-1.7185078401, 48.1115462786], [-1.7183785525, 48.1109880493], [-1.7175936115, 48.1076101914], [-1.7175220892, 48.1072614886], [-1.7174957041, 48.1071318344], [-1.7174593017, 48.106950297], [-1.7174267852, 48.1067821258], [-1.7173766634, 48.1065524593], [-1.7172012229, 48.1057635008], [-1.7171820939, 48.1056849389], [-1.7171195607, 48.1054368388], [-1.717102896, 48.1053707985], [-1.7180653933, 48.1047246553], [-1.7200353227, 48.1036121847], [-1.7228506042, 48.101930304], [-1.7231812342, 48.1016844642], [-1.7234665172, 48.1015486182], [-1.7245439569, 48.1012412616], [-1.726457391, 48.1009066494], [-1.7271173326, 48.1007918125], [-1.732825001, 48.0999931557], [-1.7394884934, 48.101305942], [-1.7395376912, 48.1013742767], [-1.7394199828, 48.1014123694], [-1.7374377365, 48.1019996711], [-1.7367953765, 48.1021904839], [-1.7365950641, 48.1023130291], [-1.7344531205, 48.1036269766], [-1.7353337175, 48.1053728719], [-1.7363129607, 48.1076178132], [-1.7365849254, 48.1098551372], [-1.7365836443, 48.109930912], [-1.7358475589, 48.1100082936], [-1.7316534325, 48.1104310966], [-1.7286104668, 48.1107372175], [-1.7285091722, 48.1107935694], [-1.7284217981, 48.110870096], [-1.7284122001, 48.1107929557], [-1.7282884642, 48.1106888468], [-1.7279639078, 48.1107172021], [-1.7272799977, 48.1108212812], [-1.7270537787, 48.1108655186], [-1.7228583661, 48.1114106529], [-1.7186725311, 48.1118227367], [-1.7185804638, 48.1118318343]]]], ""type"": ""MultiPolygon""}","48.1060161281, -1.7273786946"
2018,350660103,249040.9894,2,0.0,0,77757.406,1,326798.3954,3,35066,Chartres-de-Bretagne,35,Ille-et-Vilaine,53,Bretagne,"{""coordinates"": [[[[-1.7290481468, 48.0530078277], [-1.7290773734, 48.0531391727], [-1.7281690525, 48.0558559436], [-1.7266483102, 48.0576288759], [-1.7265906139, 48.0576302925], [-1.7265393716, 48.0576738198], [-1.7265888884, 48.0577313289], [-1.7266723596, 48.0577775573], [-1.72703733, 48.0579792513], [-1.7280809426, 48.0585368064], [-1.728097825, 48.0585451429], [-1.7280557437, 48.0586459982], [-1.7276939839, 48.0590517839], [-1.7276620371, 48.0590855214], [-1.7234080504, 48.0605396593], [-1.7206888415, 48.0614804183], [-1.7165260242, 48.0634969881], [-1.7137293165, 48.0655285399], [-1.7097592946, 48.0665867383], [-1.7064877168, 48.0648565503], [-1.7037733258, 48.0639297534], [-1.7000771358, 48.0628194577], [-1.6996846147, 48.0627305665], [-1.6995103719, 48.0627068763], [-1.6995127327, 48.0627031761], [-1.7001090818, 48.0616661012], [-1.7004746089, 48.0610128055], [-1.7008548936, 48.0603138447], [-1.7021725341, 48.0587539251], [-1.7034490887, 48.0573074117], [-1.7035170123, 48.0572244647], [-1.7036361593, 48.0570673515], [-1.7038418697, 48.0567949939], [-1.7038946722, 48.0567234689], [-1.7040097173, 48.0565656177], [-1.7040637607, 48.0564778164], [-1.704279133, 48.056117628], [-1.7043136553, 48.0560522426], [-1.7044074617, 48.0558672944], [-1.7044392241, 48.0558011178], [-1.7044982493, 48.0556635356], [-1.7045522344, 48.0555297609], [-1.7047341306, 48.055065437], [-1.7048410066, 48.0546798371], [-1.7054042612, 48.0530463645], [-1.7055275343, 48.0528602359], [-1.706456855, 48.0514275648], [-1.7066658721, 48.0510568059], [-1.7067279071, 48.0508776332], [-1.7077554953, 48.0490921407], [-1.709455972, 48.046544983], [-1.7094641294, 48.0465158088], [-1.7094672684, 48.0465057668], [-1.7094882622, 48.0464697682], [-1.7095187934, 48.0464351907], [-1.7103740572, 48.0456527077], [-1.7113541096, 48.0458487428], [-1.7125676674, 48.0458136481], [-1.714595408, 48.0453654788], [-1.7183360395, 48.0438569264], [-1.7202447602, 48.0418430221], [-1.7209916699, 48.0407979558], [-1.7215486705, 48.0400201392], [-1.7216420796, 48.0400425324], [-1.7253965208, 48.0398895952], [-1.7287278467, 48.0409009406], [-1.7288035418, 48.0432661446], [-1.7296638205, 48.0454296392], [-1.7294076061, 48.0483073891], [-1.729161803, 48.0493098226], [-1.7289941453, 48.050156309], [-1.7289542696, 48.0504847051], [-1.7289465705, 48.0509531211], [-1.7290316728, 48.0529138328], [-1.7290481468, 48.0530078277]]]], ""type"": ""MultiPolygon""}","48.0537472949, -1.7165332615"
2015,350660103,176654.8691,2,0.0,0,49988.666,1,226643.5351,3,35066,Chartres-de-Bretagne,35,Ille-et-Vilaine,53,Bretagne,"{""coordinates"": [[[[-1.7290481468, 48.0530078277], [-1.7290773734, 48.0531391727], [-1.7281690525, 48.0558559436], [-1.7266483102, 48.0576288759], [-1.7265906139, 48.0576302925], [-1.7265393716, 48.0576738198], [-1.7265888884, 48.0577313289], [-1.7266723596, 48.0577775573], [-1.72703733, 48.0579792513], [-1.7280809426, 48.0585368064], [-1.728097825, 48.0585451429], [-1.7280557437, 48.0586459982], [-1.7276939839, 48.0590517839], [-1.7276620371, 48.0590855214], [-1.7234080504, 48.0605396593], [-1.7206888415, 48.0614804183], [-1.7165260242, 48.0634969881], [-1.7137293165, 48.0655285399], [-1.7097592946, 48.0665867383], [-1.7064877168, 48.0648565503], [-1.7037733258, 48.0639297534], [-1.7000771358, 48.0628194577], [-1.6996846147, 48.0627305665], [-1.6995103719, 48.0627068763], [-1.6995127327, 48.0627031761], [-1.7001090818, 48.0616661012], [-1.7004746089, 48.0610128055], [-1.7008548936, 48.0603138447], [-1.7021725341, 48.0587539251], [-1.7034490887, 48.0573074117], [-1.7035170123, 48.0572244647], [-1.7036361593, 48.0570673515], [-1.7038418697, 48.0567949939], [-1.7038946722, 48.0567234689], [-1.7040097173, 48.0565656177], [-1.7040637607, 48.0564778164], [-1.704279133, 48.056117628], [-1.7043136553, 48.0560522426], [-1.7044074617, 48.0558672944], [-1.7044392241, 48.0558011178], [-1.7044982493, 48.0556635356], [-1.7045522344, 48.0555297609], [-1.7047341306, 48.055065437], [-1.7048410066, 48.0546798371], [-1.7054042612, 48.0530463645], [-1.7055275343, 48.0528602359], [-1.706456855, 48.0514275648], [-1.7066658721, 48.0510568059], [-1.7067279071, 48.0508776332], [-1.7077554953, 48.0490921407], [-1.709455972, 48.046544983], [-1.7094641294, 48.0465158088], [-1.7094672684, 48.0465057668], [-1.7094882622, 48.0464697682], [-1.7095187934, 48.0464351907], [-1.7103740572, 48.0456527077], [-1.7113541096, 48.0458487428], [-1.7125676674, 48.0458136481], [-1.714595408, 48.0453654788], [-1.7183360395, 48.0438569264], [-1.7202447602, 48.0418430221], [-1.7209916699, 48.0407979558], [-1.7215486705, 48.0400201392], [-1.7216420796, 48.0400425324], [-1.7253965208, 48.0398895952], [-1.7287278467, 48.0409009406], [-1.7288035418, 48.0432661446], [-1.7296638205, 48.0454296392], [-1.7294076061, 48.0483073891], [-1.729161803, 48.0493098226], [-1.7289941453, 48.050156309], [-1.7289542696, 48.0504847051], [-1.7289465705, 48.0509531211], [-1.7290316728, 48.0529138328], [-1.7290481468, 48.0530078277]]]], ""type"": ""MultiPolygon""}","48.0537472949, -1.7165332615"
2023,350660103,,,,,45253.086,1,,,35066,Chartres-de-Bretagne,35,Ille-et-Vilaine,53,Bretagne,"{""coordinates"": [[[[-1.729048147, 48.053007828], [-1.729077373, 48.053139173], [-1.728169053, 48.055855944], [-1.72664831, 48.057628876], [-1.726590614, 48.057630292], [-1.726539372, 48.05767382], [-1.726588888, 48.057731329], [-1.72667236, 48.057777557], [-1.72703733, 48.057979251], [-1.728080943, 48.058536806], [-1.728097825, 48.058545143], [-1.728055744, 48.058645998], [-1.727693984, 48.059051784], [-1.727662037, 48.059085521], [-1.72340805, 48.060539659], [-1.720688842, 48.061480418], [-1.716526024, 48.063496988], [-1.713729316, 48.06552854], [-1.709759295, 48.066586738], [-1.706487717, 48.06485655], [-1.703773326, 48.063929753], [-1.700077136, 48.062819458], [-1.699684615, 48.062730567], [-1.699510372, 48.062706876], [-1.699512733, 48.062703176], [-1.700109082, 48.061666101], [-1.700474609, 48.061012805], [-1.700854894, 48.060313845], [-1.702172534, 48.058753925], [-1.703449089, 48.057307412], [-1.703517012, 48.057224465], [-1.703636159, 48.057067352], [-1.70384187, 48.056794994], [-1.703894672, 48.056723469], [-1.704009717, 48.056565618], [-1.704063761, 48.056477816], [-1.704279133, 48.056117628], [-1.704313655, 48.056052243], [-1.704407462, 48.055867294], [-1.704439224, 48.055801118], [-1.704498249, 48.055663536], [-1.704552234, 48.055529761], [-1.704734131, 48.055065437], [-1.704841007, 48.054679837], [-1.705404261, 48.053046364], [-1.705527534, 48.052860236], [-1.706456855, 48.051427565], [-1.706665872, 48.051056806], [-1.706727907, 48.050877633], [-1.707755495, 48.049092141], [-1.709455972, 48.046544983], [-1.709464129, 48.046515809], [-1.709467268, 48.046505767], [-1.709488262, 48.046469768], [-1.709518793, 48.046435191], [-1.710374057, 48.045652708], [-1.71135411, 48.045848743], [-1.712567667, 48.045813648], [-1.714595408, 48.045365479], [-1.71833604, 48.043856926], [-1.72024476, 48.041843022], [-1.72099167, 48.040797956], [-1.72154867, 48.040020139], [-1.72164208, 48.040042532], [-1.725396521, 48.039889595], [-1.728727847, 48.040900941], [-1.728803542, 48.043266145], [-1.729663821, 48.045429639], [-1.729407606, 48.048307389], [-1.729161803, 48.049309823], [-1.728994145, 48.050156309], [-1.72895427, 48.050484705], [-1.728946571, 48.050953121], [-1.729031673, 48.052913833], [-1.729048147, 48.053007828]]]], ""type"": ""MultiPolygon""}","48.053747295, -1.716533262"
2015,350510104,0.0,0,0.0,0,45493.512,1,45493.512,1,35051,Cesson-Sévigné,35,Ille-et-Vilaine,53,Bretagne,"{""coordinates"": [[[[-1.6245340001, 48.0999328872], [-1.6245696545, 48.0999405009], [-1.6249421304, 48.100029532], [-1.6252619908, 48.1001170232], [-1.626718291, 48.1005348466], [-1.630082803, 48.1015356573], [-1.6314157805, 48.1020655412], [-1.6321348719, 48.102523562], [-1.6328740035, 48.1030641699], [-1.6347669046, 48.105764648], [-1.6349100583, 48.1062304466], [-1.6349590387, 48.1063898696], [-1.6340422206, 48.1076293201], [-1.634041962, 48.1078411592], [-1.6340395836, 48.1079521249], [-1.6339681282, 48.1092087829], [-1.6346925994, 48.1116825565], [-1.6348091271, 48.1118294056], [-1.6348433668, 48.111882142], [-1.634490742, 48.1119131451], [-1.6329799864, 48.1117535449], [-1.6322937703, 48.1116795808], [-1.6279490398, 48.111220313], [-1.6259408522, 48.111020678], [-1.6253201419, 48.1109567205], [-1.6221486069, 48.1106134125], [-1.6217126195, 48.1105376795], [-1.6207000752, 48.1103024865], [-1.6201836117, 48.1102299054], [-1.6195931055, 48.1102494639], [-1.6188730985, 48.1103272803], [-1.6181294825, 48.1104429749], [-1.6176569806, 48.1105345142], [-1.6176067158, 48.1105445975], [-1.6175559205, 48.1105024211], [-1.6172962718, 48.110272832], [-1.6171640861, 48.1101464118], [-1.6170646495, 48.1100096938], [-1.6168833722, 48.1097373704], [-1.616787261, 48.1095770857], [-1.6167249257, 48.1094028575], [-1.6166334687, 48.1090648169], [-1.616584393, 48.1085186972], [-1.6165789342, 48.1078248426], [-1.6163949344, 48.1073056448], [-1.6158744395, 48.106092948], [-1.6157614003, 48.1058774399], [-1.6156241414, 48.1056619796], [-1.615462663, 48.105446567], [-1.6152731772, 48.1052340546], [-1.6150584452, 48.1050252356], [-1.6148201223, 48.1048236504], [-1.6145600209, 48.1046346362], [-1.614282243, 48.1044589336], [-1.6139882866, 48.1042982865], [-1.6103184837, 48.1019253473], [-1.6103072481, 48.1018428596], [-1.6102914235, 48.101784889], [-1.6102625879, 48.1017166111], [-1.610223894, 48.1016433109], [-1.6101709182, 48.1015759782], [-1.610130788, 48.10153248], [-1.6103148093, 48.1014360378], [-1.6107793576, 48.1011925015], [-1.6119899191, 48.1005384585], [-1.6122263309, 48.1004102152], [-1.6122685483, 48.1003851254], [-1.6131929762, 48.0998450345], [-1.6142813538, 48.0992101743], [-1.6144382955, 48.0991274056], [-1.6147366333, 48.0991382483], [-1.6193402454, 48.0992317562], [-1.6214110432, 48.0993911707], [-1.6244548065, 48.0999044486], [-1.6245340001, 48.0999328872]]]], ""type"": ""MultiPolygon""}","48.1052634522, -1.6237145276"
2015,352380308,0.0,0,0.0,0,28004.006,1,28004.006,1,35238,Rennes,35,Ille-et-Vilaine,53,Bretagne,"{""coordinates"": [[[[-1.7185804638, 48.1118318343], [-1.7185078401, 48.1115462786], [-1.7183785525, 48.1109880493], [-1.7175936115, 48.1076101914], [-1.7175220892, 48.1072614886], [-1.7174957041, 48.1071318344], [-1.7174593017, 48.106950297], [-1.7174267852, 48.1067821258], [-1.7173766634, 48.1065524593], [-1.7172012229, 48.1057635008], [-1.7171820939, 48.1056849389], [-1.7171195607, 48.1054368388], [-1.717102896, 48.1053707985], [-1.7180653933, 48.1047246553], [-1.7200353227, 48.1036121847], [-1.7228506042, 48.101930304], [-1.7231812342, 48.1016844642], [-1.7234665172, 48.1015486182], [-1.7245439569, 48.1012412616], [-1.726457391, 48.1009066494], [-1.7271173326, 48.1007918125], [-1.732825001, 48.0999931557], [-1.7394884934, 48.101305942], [-1.7395376912, 48.1013742767], [-1.7394199828, 48.1014123694], [-1.7374377365, 48.1019996711], [-1.7367953765, 48.1021904839], [-1.7365950641, 48.1023130291], [-1.7344531205, 48.1036269766], [-1.7353337175, 48.1053728719], [-1.7363129607, 48.1076178132], [-1.7365849254, 48.1098551372], [-1.7365836443, 48.109930912], [-1.7358475589, 48.1100082936], [-1.7316534325, 48.1104310966], [-1.7286104668, 48.1107372175], [-1.7285091722, 48.1107935694], [-1.7284217981, 48.110870096], [-1.7284122001, 48.1107929557], [-1.7282884642, 48.1106888468], [-1.7279639078, 48.1107172021], [-1.7272799977, 48.1108212812], [-1.7270537787, 48.1108655186], [-1.7228583661, 48.1114106529], [-1.7186725311, 48.1118227367], [-1.7185804638, 48.1118318343]]]], ""type"": ""MultiPolygon""}","48.1060161281, -1.7273786946"
