Reference,Destination_actuelle_de_l_edifice,Adresse_forme_index,Etablissement_affectataire_de_l_edifice,Autre_appellation_de_l_edifice,Nature_de_la_protection,Auteur_de_l_edifice,Cadastre,Commune_forme_index,Copyright,Type_de_couverture,Datation_de_l_edifice,Denomination_de_l_edifice,Lieu_de_conservation_d_un_element_architectural_deplace,Description_de_l_edifice,Dimensions_normalisees_des_edicules_uniquement,Date_de_Label,Date_de_la_derniere_mise_a_jour,Date_de_creation_de_la_notice,Domaine,Typologie_du_dossier,Date_et_typologie_de_la_protection,Departement_format_numerique,Departement_en_lettres,Partie_d_elevation_exterieure,Source_de_l_energie_utilisee_par_l_edifice,Emplacement__forme_et_structure_de_l_escalier,Description_de_l_elevation_interieure,etat_de_conservation,Cadre_de_l_etude,Genre_du_destinataire,Historique,Nom_du_cours_d_eau_traversant_ou_bordant_l_edifice,Identifiant_Agregee,COG_Insee_lors_de_la_protection,Justification_attribution,Justification_de_la_datation,Liens_externes,Lieudit,Lien_vers_la_base_Archiv_MH,Materiaux_du_gros_oeuvre,Nom_du_redacteur,Observations,Precision_affectataire,Partie_constituante_non_etudiee,Partie_constituante,Precision_sur_la_denomination,Personnes_liees_a_l_edifice,Typologie_de_plan,Precision_de_la_localisation,Precision_de_la_protection,Description_de_l_iconographie,Typologie_de_la_protection,Precision_sur_le_statut_de_l_edifice,Reference_a_un_ensemble,Lien_vers_la_base_Joconde,Lien_vers_la_base_Palissy,References_des_parties_constituantes_etudiees,Region,Elements_remarquables_dans_l_edifice,Remploi,Renvoi_vers_une_notice_de_la_base_Merimee_ou_Palissy,Indexation_iconographique_normalisee,Siecle_de_campagne_secondaire_de_construction,Siecle_de_la_campagne_principale_de_construction,Format_abrege_du_siecle_de_construction,Typologie_de_la_zone_de_protection,Statut_juridique_de_l_edifice,Technique_du_decor_porte_de_l_edifice,Titre_editorial_de_la_notice,Materiaux_de_la_couverture,Couverts_ou_decouverts_du_jardin_de_l_edifice,Vocable___pour_les_edifices_cultuels,Typologie_du_couvrement,Adresse_forme_editoriale,Commune_forme_editoriale,coordonnees_au_format_WGS84,Producteur
PA00125343,,,,,arrêté,,"ZS 31, 33",Corps-Nuds,"© Monuments historiques. Cette notice reprend intégralement les termes de l’arrêté de protection au titre des Monuments historiques. Elle répond à l’obligation réglementaire du ministère de la Culture d’établir la liste générale des immeubles protégés (art. R. 621-80 du Code du patrimoine). Elle est donc opposable et fait foi juridiquement. Aucune copie numérique ou papier ne sera fournie par courrier ni courriel. Le dossier de protection complet et l’arrêté sont consultables uniquement sur place, dans la salle de lecture de la Médiathèque du patrimoine et de la photographie (MPP), à Charenton-le-Pont (Val-de-Marne).",,1632,château,,,,,2026-03-04,1995-07-12,architecture domestique,dossier de protection,1993/12/03 : inscrit MH partiellement ; 1996/04/30 : classé MH,35,Ille-et-Vilaine,,,,,,recensement immeubles MH,,"Ce château a été saccagé pendant les guerres de la Ligue, puis reconstruit en 1632 par Charles Ier du Châtellier. Il a ensuite été remanié vers 1750 (boiseries) et réaménagé au 19e siècle (décor intérieur). Seuls deux plafonds et l'escalier ont conservé leur décor peint du 17e siècle. Le château est construit sur une terrasse entourée de larges douves maçonnées. La terrasse est flanquée de quatre tours d'angle à mâchicoulis servant de chapelle, colombier, cabinet d'archives et logement de domestiques.",,I990LU,35088,,,,le Châtellier,https://archives-map.culture.gouv.fr/archive/recherche/simple/n:19?RECH_S=PA00125343&RECH_DocumentsNumerises=0&Archives.RECH_Valid=&type=simple,,,,,,,,,,,"Château, y compris les tours et communs, à l'exception des parties classées (cad. ZS 31, 33) : inscription par arrêté du 3 décembre 1993 - Façades et toitures, ainsi que les pièces décorées, du logis ; façades et toitures des quatre tours ; douves (cad. ZS 33) : classement par arrêté du 30 avril 1996",,inscrit MH partiellement;classé MH partiellement;protection totale,,,,,,Bretagne,,,,,milieu 18e siècle;19e siècle,2e quart 17e siècle,17e s.,,propriété privée,peinture;menuiserie,Château du Châtellier,,,,,,Corps-Nuds,"47.9604512940745,-1.59570647829803",
PA00135275,,,,,arrêté,,"1997 ZP 8 à 10, 13",Mordelles,"(c) Monuments historiques. Cette notice reprend intégralement les termes de l’arrêté de protection au titre des Monuments historiques. Elle répond à l’obligation réglementaire du ministère de la Culture d’établir la liste générale des immeubles protégés (art. R. 621-80 du Code du patrimoine). Elle est donc opposable et fait foi juridiquement. Aucune copie numérique ou papier ne sera fournie par courrier ni courriel. Le dossier de protection complet et l’arrêté sont consultables uniquement sur place, dans la salle de lecture de la Médiathèque du patrimoine et de la photographie (MPP), à Charenton-le-Pont (Val-de-Marne).",,1686,château,,,,,2025-11-28,1996-12-18,architecture domestique,dossier de protection,1995/03/20 : inscrit MH,35,Ille-et-Vilaine,,,,,,recensement immeubles MH,,"Le château de Beaumont est implanté sur un ancien site de motte castrale qui a conservé une bonne lisibilité de la majorité de ses structures d'origine. Il semble avoir alors été constitué par : une motte castrale dominant une grande basse-cour rectangulaire, située au sud, bordée d'un côté par un étang (ou même l'incluant) et peut-être défendue à l'angle sud-est par une petite motte de guet ; au nord, par une seconde basse-cour comportant en son centre, soit une seconde motte plus petite, soit une butte avec un moulin (cette butte, encore visible sur le cadastre napoléonien, a été arrasée dans le courant du 19e siècle ou au début du 20e siècle). La grande motte et ses fossés existent toujours, de même que les levées de terre entourant la basse-cour principale, l'étang et les anciennes douves réaménagées par la suite. A la fin du 15e siècle, l'ensemble se composait de la motte, d'un château (maison-forte, manoir ?) , d'une chapelle (qui existe toujours) édifiés dans la grande basse-cour, et de douves. Le château, en ruine dès le début du 17e siècle, fut remplacé en 1686 par un nouveau corps de logis, bâti à la moderne et complété au 18e siècle par deux pavillons, au 19e siècle par des communs et une serre. Les levées de terre ont été plantées de charmille et les anciennes douves ont servi à l'implantation d'un réseau hydraulique. Le corps de logis, constitué d'un corps central flanqué de deux pavillons demi-hors oeuvre, a conservé son élévation et ses toitures d'origine, à l'exclusion des petites lucarnes, postérieures, et de la terrasse, ajoutée entre les deux pavillons au début du 20e siècle. L'intérieur, en revanche, a été modifié au 19e siècle, mais a conservé en place le très bel escalier d'origine.",,I9DE5A,35196,,,,Beaumont,https://archives-map.culture.gouv.fr/archive/recherche/simple/n:19?RECH_S=PA00135275&RECH_DocumentsNumerises=0&Archives.RECH_Valid=&type=simple,,,,,,,,,,,"Logis, chapelle, pavillon de jardin et orangerie ; jardin correspondant à l'ancienne basse-cour avec son étang, ses levées de terre et son système hydraulique ; motte avec son fossé (cad. ZP 8 à 10, 13) : inscription par arrêté du 20 mars 1995",,inscrit MH,,,,,,Bretagne,,,IA00007851,,18e siècle;19e siècle;1er quart 20e siècle,4e quart 17e siècle,17e s.,,propriété privée,,Château de Beaumont,,,,,,Mordelles,"48.0807411833889,-1.80949753634016",
PA00090740,,Sainte-Anne (place) 17,,,arrêté,,A 791;1997 AC 239,Rennes,"© Monuments historiques, 1992. Cette notice reprend intégralement les termes de l’arrêté de protection au titre des Monuments historiques. Elle répond à l’obligation réglementaire du ministère de la Culture d’établir la liste générale des immeubles protégés (art. R. 621-80 du Code du patrimoine). Elle est donc opposable et fait foi juridiquement. Aucune copie numérique ou papier ne sera fournie par courrier ni courriel. Le dossier de protection complet et l’arrêté sont consultables uniquement sur place, dans la salle de lecture de la Médiathèque du patrimoine et de la photographie (MPP), à Charenton-le-Pont (Val-de-Marne).",,,maison,,,,,2026-03-04,1993-08-24,architecture domestique,Dossier de protection,1962/10/09 : inscrit MH,35,Ille-et-Vilaine,,,,,,Recensement immeubles MH,,"La place Sainte-Anne possède des maisons datant des 16e et 17e siècles, construites en pans de bois, élevées de deux étages sur rez-de-chaussée et surmontées d'un comble. Certains pans de bois sont ornés de sculptures.",,IJM5YU,35238,,,,,https://archives-map.culture.gouv.fr/archive/recherche/simple/n:19?RECH_S=PA00090740&RECH_DocumentsNumerises=0&Archives.RECH_Valid=&type=simple,,,,,,,,,,,"Façade sur la place et toiture correspondante, y compris les souches de cheminées (cad. A 791) : inscription par arrêté du 9 octobre 1962",,inscrit MH partiellement,,,,,,Bretagne,,,,,,16e siècle;17e siècle,16e s.;17e s.,,propriété privée,,Maison,,,,,17 place Sainte-Anne,Rennes,"48.114619226264,-1.68142339747481",
PA00090747,,Vasselot (rue) 5,,,arrêté,,1997 BS 206,Rennes,"© Monuments historiques, 1992. Cette notice reprend intégralement les termes de l’arrêté de protection au titre des Monuments historiques. Elle répond à l’obligation réglementaire du ministère de la Culture d’établir la liste générale des immeubles protégés (art. R. 621-80 du Code du patrimoine). Elle est donc opposable et fait foi juridiquement. Aucune copie numérique ou papier ne sera fournie par courrier ni courriel. Le dossier de protection complet et l’arrêté sont consultables uniquement sur place, dans la salle de lecture de la Médiathèque du patrimoine et de la photographie (MPP), à Charenton-le-Pont (Val-de-Marne).",,,maison,,,,,2026-03-04,1993-08-24,architecture domestique,Dossier de protection,1963/10/01 : inscrit MH,35,Ille-et-Vilaine,,,,,,Recensement immeubles MH,,"Maison à pans de bois sur rez-de-chaussée en granit. La façade présente un léger encorbellement soutenu par sept consoles, à chaque niveau.",,IVJZVA,35238,,,,,https://archives-map.culture.gouv.fr/archive/recherche/simple/n:19?RECH_S=PA00090747&RECH_DocumentsNumerises=0&Archives.RECH_Valid=&type=simple,,,,,,,,,,,Façade sur rue et toitures (cad. BS 206) : inscription par arrêté du 1er octobre 1963,,inscrit MH partiellement,,,,,,Bretagne,,,,,,15e siècle,15e s.,,propriété privée,,Maison,,,,,5 rue Vasselot,Rennes,"48.1087166632705,-1.6787657724631",
PA00090690,,Saint-Georges (rue) 15,,,arrêté,,B 792;1997 BE 404,Rennes,"© Monuments historiques, 1992. Cette notice reprend intégralement les termes de l’arrêté de protection au titre des Monuments historiques. Elle répond à l’obligation réglementaire du ministère de la Culture d’établir la liste générale des immeubles protégés (art. R. 621-80 du Code du patrimoine). Elle est donc opposable et fait foi juridiquement. Aucune copie numérique ou papier ne sera fournie par courrier ni courriel. Le dossier de protection complet et l’arrêté sont consultables uniquement sur place, dans la salle de lecture de la Médiathèque du patrimoine et de la photographie (MPP), à Charenton-le-Pont (Val-de-Marne).",,,hôtel;immeuble,,,,,2026-03-04,1993-08-24,architecture domestique,Dossier de protection,1967/01/18 : inscrit MH,35,Ille-et-Vilaine,,,,,,Recensement immeubles MH,,"Durant la Révolution, l'hôtel reçut Jean-Baptiste Carrier, député montagnard à la Convention, et fut appelé ""hôtel de la Montagne"". En 1831, cet édifice servit de presbytère à l'église Saint-Germain. A l'intérieur, les pièces conservent leurs menuiseries du 18e. L'édifice a été bâti sur d'anciennes vignes appartenant aux Cordeliers. Il est précédé d'une cour avec porte cochère. A l'est de la cour se trouvent les cuisines. Le côté ouest, percé de grandes arcades cintrées, renferme les remises et les écuries.",,IR2SRS,35238,,,,,https://archives-map.culture.gouv.fr/archive/recherche/simple/n:19?RECH_S=PA00090690&RECH_DocumentsNumerises=0&Archives.RECH_Valid=&type=simple,,,,,,,,Carrier Jean-Baptiste (personnage célèbre),,,Façades et toitures (cad. B 792) : inscription par arrêté du 18 janvier 1967,,inscrit MH partiellement,,,,,,Bretagne,,,,,,18e siècle,18e s.,,propriété d'une association,menuiserie,Immeuble ou hôtel de Chalain,,,,,15 rue Saint-Georges,Rennes,"48.1119872844636,-1.6764234374252003",
PA00090698,,Lices (place des) 34 ; Juillet (rue de) 6,,,arrêté,,A 882 à 890;1997 AC 263,Rennes,"© Monuments historiques, 1992. Cette notice reprend intégralement les termes de l’arrêté de protection au titre des Monuments historiques. Elle répond à l’obligation réglementaire du ministère de la Culture d’établir la liste générale des immeubles protégés (art. R. 621-80 du Code du patrimoine). Elle est donc opposable et fait foi juridiquement. Aucune copie numérique ou papier ne sera fournie par courrier ni courriel. Le dossier de protection complet et l’arrêté sont consultables uniquement sur place, dans la salle de lecture de la Médiathèque du patrimoine et de la photographie (MPP), à Charenton-le-Pont (Val-de-Marne).",,1666;1670,hôtel,,,,,2026-03-04,1993-08-24,architecture domestique,Dossier de protection,1963/03/14 : inscrit MH,35,Ille-et-Vilaine,,,,,,Recensement immeubles MH,,"L'hôtel, construit de 1666 à 1670, se compose de deux bâtiments en retour d'équerre, précédés d'une cour desservant les remises et les écuries. De nombreuses lucarnes à fronton, sur une corniche à modillons avec une toiture en ardoises à brisis très élevé, annoncent la couverture à la Mansard. Une porte est ornée d'un trumeau en bois sculpté (1689) avec le buste de Louis XIV et des médaillons à la gloire du Roi. La porte conduit à une vaste cage d'escalier à balustres avec un plafond peint en trompe l'oeil. Les boiseries et plafonds peints du rez-de-chaussée ont été envoyés aux Etats-Unis en 1924, à l'exception d'un plafond sur le thème ""Uranie et les Comètes"". La décoration sculptée et peinte est attribuée aux ateliers travaillant au Palais.",,I1Q375,35238,,,,,https://archives-map.culture.gouv.fr/archive/recherche/simple/n:19?RECH_S=PA00090698&RECH_DocumentsNumerises=0&Archives.RECH_Valid=&type=simple,,,,,,,,,,,"Façades et toitures, y compris les souches de cheminées ; mur de clôture à l'angle de la place des Lices et de la rue de Juillet ; grand escalier à balustres ; pièce ornée d'un plafond peint représentant Uranie et les Comètes et de boiseries ; toutes les pièces ayant conservé des décorations de boiseries (cad. A 882 à 890) : inscription par arrêté du 14 mars 1963",,inscrit MH partiellement,,,,,,Bretagne,,,,,,3e quart 17e siècle,17e s.,,propriété privée,menuiserie;peinture,Ancien hôtel du Molant,,,,,34 place des Lices ; 6 rue de Juillet,Rennes,"48.1128522895436,-1.68453094101091",
PA00090523,,,,,arrêté,,1989 AD 25,Chartres-de-Bretagne,"© Monuments historiques, 1992. Cette notice reprend intégralement les termes de l’arrêté de protection au titre des Monuments historiques. Elle répond à l’obligation réglementaire du ministère de la Culture d’établir la liste générale des immeubles protégés (art. R. 621-80 du Code du patrimoine). Elle est donc opposable et fait foi juridiquement. Aucune copie numérique ou papier ne sera fournie par courrier ni courriel. Le dossier de protection complet et l’arrêté sont consultables uniquement sur place, dans la salle de lecture de la Médiathèque du patrimoine et de la photographie (MPP), à Charenton-le-Pont (Val-de-Marne).",,,château,,,,,2026-03-04,1993-08-24,architecture domestique,Dossier de protection,1975/04/11 : inscrit MH,35,Ille-et-Vilaine,,,,,,Recensement immeubles MH,,"Au 12e siècle, la paroisse avait pour église l'antique chapelle du château que desservait une ancienne voie romaine. Le château, qui était l'une des plus anciennes et importantes seigneuries du pays de Rennes, était muni de deux tours et possédait un jeu de paume, un mail et une motte. Il ne reste plus aujourd'hui que la chapelle, une partie des bâtiments de servitude et une portion des douves. La chapelle se compose d'une nef à chevet droit. L'édifice dénote trois époques de construction : romane primitive, ogivale et début de l'époque moderne. La base de la face nord accuse une époque antérieure au 12e siècle et devait appartenir à l'édifice primitif. Le haut du mur est percé de quatre fenêtres cintrées de la fin du 16e ou du début du 17e siècle. Le côté sud est percé d'une porte en arc brisé et de quatre grandes fenêtres cintrées de la fin de la Renaissance. Le pignon Est conserve une grande fenêtre rayonnante du 14e siècle, avec un meneau et trois quintefeuilles au tympan. L'intérieur présente les mêmes différences d'époques.",,IZJVNY,35066,,,,Fontenay,https://archives-map.culture.gouv.fr/archive/recherche/simple/n:19?RECH_S=PA00090523&RECH_DocumentsNumerises=0&Archives.RECH_Valid=&type=simple,,,,,,,,,,,Ancienne chapelle (cad. AD 25) : inscription par arrêté du 11 avril 1975,,inscrit MH partiellement,,,,,,Bretagne,,,IA00008062,,,12e siècle;14e siècle;16e siècle;17e siècle,12e s.;14e s.;16e s.;17e s.,,propriété privée,sculpture,Château de Fontenay,,,,,,Chartres-de-Bretagne,"48.0463851252134,-1.69680922555938",
PA00090662,,,,,arrêté,,1980 AH 51;1997 AH 184,Pont-Péan,"© Monuments historiques, 1992. Cette notice reprend intégralement les termes de l’arrêté de protection au titre des Monuments historiques. Elle répond à l’obligation réglementaire du ministère de la Culture d’établir la liste générale des immeubles protégés (art. R. 621-80 du Code du patrimoine). Elle est donc opposable et fait foi juridiquement. Aucune copie numérique ou papier ne sera fournie par courrier ni courriel. Le dossier de protection complet et l’arrêté sont consultables uniquement sur place, dans la salle de lecture de la Médiathèque du patrimoine et de la photographie (MPP), à Charenton-le-Pont (Val-de-Marne).",,1890,mine,,,,,2026-03-04,1993-08-24,architecture industrielle,dossier de protection,1985/11/15 : inscrit MH,35,Ille-et-Vilaine,,,,,établissement industriel désaffecté,recensement immeubles MH,,"Partie visible et seule protégée de l'ancienne mine de plomb argentifère, les bâtiments des bureaux datent de 1890. Ils s'organisent en un corps rectangulaire à deux étages, dont la partie basse est en schiste pourpre et le reste en brique. Le bâtiment est rythmé par six travées de baies en plein-cintre. Cette mine de plomb, inaugurée en 1730, qui exploitait un ensemble de quatre veines métallifères, a gardé des traces des premiers chantiers, notamment la partie supérieure du Puits des Députés. Elle fut exploitée d'abord par une société fondée par l'armateur malouin Danycan de L'Epine et reprise en 1755 par le financier Pâris-Duverney. La mine travailla d'abord avec un chapelet à 80 seaux, puis l'ingénieur Laurent poussa l'extraction jusqu'à 120 m (1794). En 1757, 1 000 ouvriers travaillaient sur place. Après une longue interruption, principalement due aux difficultés soulevées par les infiltrations de la Seiche, la relance se fit en 1844 sous l'impulsion de l'ingénieur anglais J. Hunt. La production fut accrue, grâce à de nouveaux systèmes de pompes (puits Bicêtre et puits allemand). En 1853 fut créée la Société pour l'exploitation des mines de Pont-Péan, société en commandite à capitaux majoritairement anglais. Plusieurs modèles de machines à vapeur se succédèrent, et, en 1893, on en comptait 18 sur l'ensemble du site minier. Devenue société anonyme en 1880, sous l'impulsion d'E. Le Bastard et de l'ingénieur belge C. Hely, sa production annuelle atteignait à la fin du 19e siècle les 200 000 tonnes de minerai. La mine a finalement cessé toute activité en 1905.",la Seiche,II07TE,35363,,,,,https://archives-map.culture.gouv.fr/archive/recherche/simple/n:19?RECH_S=PA00090662&RECH_DocumentsNumerises=0&Archives.RECH_Valid=&type=simple,,,,,,,,,,,Bâtiment des bureaux (cad. 1980 AH 51) : inscription par arrêté du 15 novembre 1985,,inscrit MH partiellement,,,,,,Bretagne,,,,,,4e quart 19e siècle,19e s.,,propriété privée,,Mine de plomb,,,,,,Pont-Péan,"48.0131369327621,-1.71115860593011",
PA00090680,,Dinan (rue de),,,arrêté,,1997 AB 438,Rennes,"© Monuments historiques, 1992. Cette notice reprend intégralement les termes de l’arrêté de protection au titre des Monuments historiques. Elle répond à l’obligation réglementaire du ministère de la Culture d’établir la liste générale des immeubles protégés (art. R. 621-80 du Code du patrimoine). Elle est donc opposable et fait foi juridiquement. Aucune copie numérique ou papier ne sera fournie par courrier ni courriel. Le dossier de protection complet et l’arrêté sont consultables uniquement sur place, dans la salle de lecture de la Médiathèque du patrimoine et de la photographie (MPP), à Charenton-le-Pont (Val-de-Marne).",,1553;1743,église,,,,,2026-03-27,1993-08-24,architecture religieuse,Dossier de protection,1926/11/09 : inscrit MH,35,Ille-et-Vilaine,,,,,,Recensement immeubles MH,,,,ICL937,35238,,,,,https://archives-map.culture.gouv.fr/archive/recherche/simple/n:19?RECH_S=PA00090680&RECH_DocumentsNumerises=0&Archives.RECH_Valid=&type=simple,,,Non exploitée.,,,,,,,,Eglise Saint-Etienne (ancienne) (cad. AB 438) : inscription par arrêté du 9 novembre 1926,,inscrit MH,,,,,,Bretagne,,,IA35020055,,,16e siècle;17e siècle;18e siècle,16e s.;17e s.;18e s.,,propriété de la commune,,église Saint-Étienne (ancienne),,,,,rue de Dinan,Rennes,"48.1156797856118,-1.68387454818836",
PA00090533,,,,,arrêté,,1997 A 348,Clayes,"© Monuments historiques, 1992. Cette notice reprend intégralement les termes de l’arrêté de protection au titre des Monuments historiques. Elle répond à l’obligation réglementaire du ministère de la Culture d’établir la liste générale des immeubles protégés (art. R. 621-80 du Code du patrimoine). Elle est donc opposable et fait foi juridiquement. Aucune copie numérique ou papier ne sera fournie par courrier ni courriel. Le dossier de protection complet et l’arrêté sont consultables uniquement sur place, dans la salle de lecture de la Médiathèque du patrimoine et de la photographie (MPP), à Charenton-le-Pont (Val-de-Marne).",,1750;1765,château,,,,,2026-03-04,1993-08-24,architecture domestique,Dossier de protection,1965/02/08 : inscrit MH,35,Ille-et-Vilaine,,,,,,Recensement immeubles MH,,"La seigneurie existait déjà en 1266, appartenant pour partie aux moines de l'abbaye de Saint-Mélaine et aux héritiers de Raoul de Clays. La construction actuelle date de 1750-1765, édifiée à la place du manoir primitif dont il subsiste quelques éléments dans les bâtiments de communs. Le vestibule conserve un sculpture de Falconet, l'Amour vainqueur, commandée par Louis XV pour Mme de Pompadour. De plan rectangulaire, le château est élevé d'un rez-de-chaussée surélevé de quelques marches, d'un étage et d'un comble. Des pavillons coupent la façade, encadrant l'entrée. Un escalier orné d'une rampe en fer forgé, donne accès aux étages.",,I9FGBA,35081,,,,le Château,https://archives-map.culture.gouv.fr/archive/recherche/simple/n:19?RECH_S=PA00090533&RECH_DocumentsNumerises=0&Archives.RECH_Valid=&type=simple,,,"Château, parc, abords : site classé 25 11 1965 (arrêté).",,,,,,,,Château de Clayes-Palys (cad. A 348) : inscription par arrêté du 8 février 1965,,inscrit MH,,,,,,Bretagne,,,IA35028729,,,3e quart 18e siècle,18e s.,site classé,propriété privée,sculpture;ferronnerie,Château de Clayes-Palys,,,,,,Clayes,"48.1760030129554,-1.8510592171014297",
