REF,NUMP,PAYS,Code DPT,Ancienne Régions,INSEE,EDIF,ADRESSE,COMMUNE,OBJ,LIEUCOR,AUTP,LEG,SCLE,DATPV,SERIE,TYPDOC,VIDEO-v,AUTOEU,geoloc,LBASE,VIDEO-p,COPY,Code Officiel Région,Région,Code Officiel Courant Département,Département
APMH00014243,MH0014243,France,35,Bretagne,35238,Cathédrale Saint-Pierre,,Rennes,,,"Mieusement, Médéric (photographe)",Façade nord et tours clochers,,1885,,Négatif,http://www.culture.gouv.fr/Wave/image/memoire/0315/sap01_mh014243_v.jpg,,"48.1119791219, -1.68186449144",PA00090675 ; IA00130939,https://data.culture.gouv.fr/api/explore/v2.1/catalog/datasets/photographies-serie-monuments-historiques-de-1851-a-1914/files/e1fe6dacc72b809825cf11bcfb49efbc,Ministère de la Culture (France) - Médiathèque de l'architecture et du patrimoine - diffusion RMN,53,Bretagne,35,Ille-et-Vilaine
APMH00014244,MH0014244,France,35,Bretagne,35238,Cathédrale Saint-Pierre,,Rennes,,,"Mieusement, Médéric (photographe)","Vue intérieure de la nef, vers le choeur",,1885,,Négatif,http://www.culture.gouv.fr/Wave/image/memoire/0315/sap01_mh014244_v.jpg,,"48.1119791219, -1.68186449144",PA00090675 ; IA00130939,https://data.culture.gouv.fr/api/explore/v2.1/catalog/datasets/photographies-serie-monuments-historiques-de-1851-a-1914/files/8e479f54f6091c8e17d00473592a5e77,Ministère de la Culture (France) - Médiathèque de l'architecture et du patrimoine - diffusion RMN,53,Bretagne,35,Ille-et-Vilaine
APMH00034182,MH0034182,France,35,Bretagne,35238,Maisons,Rue d'Embas,Rennes,,,"Enlart, Camille (historien)",Vue d'ensemble,,,,Négatif,http://www.culture.gouv.fr/Wave/image/memoire/0020/sap01_mh034182_v.jpg,,"48.1119791219, -1.68186449144",,https://data.culture.gouv.fr/api/explore/v2.1/catalog/datasets/photographies-serie-monuments-historiques-de-1851-a-1914/files/41d9a10027623323e58e609768b9eeed,Ministère de la Culture (France) - Médiathèque de l'architecture et du patrimoine - diffusion RMN,53,Bretagne,35,Ille-et-Vilaine
APMH00034189,MH0034189,France,35,Bretagne,35315,Bâtiments abbatiaux,,Saint-Sulpice-la-Forêt,,,"Enlart, Camille (historien)",Porte murée,,,,Négatif,http://www.culture.gouv.fr/Wave/image/memoire/0025/sap01_mh034189_v.jpg,,"48.21225732, -1.57663512362",,https://data.culture.gouv.fr/api/explore/v2.1/catalog/datasets/photographies-serie-monuments-historiques-de-1851-a-1914/files/7ab48a60941e44a5af8e6512e1fc0c45,Ministère de la Culture (France) - Médiathèque de l'architecture et du patrimoine - diffusion RMN,53,Bretagne,35,Ille-et-Vilaine
APMH00034191,MH0034191,France,35,Bretagne,35315,Eglise abbatiale,,Saint-Sulpice-la-Forêt,,,"Enlart, Camille (historien)",Ruines,,,,Négatif,http://www.culture.gouv.fr/Wave/image/memoire/0025/sap01_mh034191_v.jpg,,"48.21225732, -1.57663512362",,https://data.culture.gouv.fr/api/explore/v2.1/catalog/datasets/photographies-serie-monuments-historiques-de-1851-a-1914/files/c408b4dc41b07e54472dcb73d1f129f3,Ministère de la Culture (France) - Médiathèque de l'architecture et du patrimoine - diffusion RMN,53,Bretagne,35,Ille-et-Vilaine
APMH00014246,MH0014246,France,35,Bretagne,35238,Cathédrale Saint-Pierre,,Rennes,,,"Mieusement, Médéric (photographe)",Vue intérieure du transept sud,,1885,,Négatif,http://www.culture.gouv.fr/Wave/image/memoire/0315/sap01_mh014246_v.jpg,,"48.1119791219, -1.68186449144",PA00090675 ; IA00130939,https://data.culture.gouv.fr/api/explore/v2.1/catalog/datasets/photographies-serie-monuments-historiques-de-1851-a-1914/files/8a3892a598b8556c970f16727153e1e6,Ministère de la Culture (France) - Médiathèque de l'architecture et du patrimoine - diffusion RMN,53,Bretagne,35,Ille-et-Vilaine
APMH00014247,MH0014247,France,35,Bretagne,35238,Cathédrale Saint-Pierre,,Rennes,,,"Mieusement, Médéric (photographe)","Vue intérieure de la nef et du bas-côté nord, vers le sud-ouest",,1885,,Négatif,http://www.culture.gouv.fr/Wave/image/memoire/0315/sap01_mh014247_v.jpg,,"48.1119791219, -1.68186449144",PA00090675 ; IA00130939,https://data.culture.gouv.fr/api/explore/v2.1/catalog/datasets/photographies-serie-monuments-historiques-de-1851-a-1914/files/068186de18cbf32d12afb80d2ff199d7,Ministère de la Culture (France) - Médiathèque de l'architecture et du patrimoine - diffusion RMN,53,Bretagne,35,Ille-et-Vilaine
APMH00014248,MH0014248,France,35,Bretagne,35238,Cathédrale Saint-Pierre,,Rennes,,,"Mieusement, Médéric (photographe)",Ensemble nord,,1885,,Négatif,http://www.culture.gouv.fr/Wave/image/memoire/0315/sap01_mh014248_v.jpg,,"48.1119791219, -1.68186449144",PA00090675 ; IA00130939,https://data.culture.gouv.fr/api/explore/v2.1/catalog/datasets/photographies-serie-monuments-historiques-de-1851-a-1914/files/6698a9f2c69833226c904a7cc9bf463e,Ministère de la Culture (France) - Médiathèque de l'architecture et du patrimoine - diffusion RMN,53,Bretagne,35,Ille-et-Vilaine
APMH00034180,MH0034180,France,35,Bretagne,35238,Eglise Sainte-Mélaine ; Eglise Notre-Dame,,Rennes,,,"Enlart, Camille (historien)",Nef,,,,Négatif,http://www.culture.gouv.fr/Wave/image/memoire/0020/sap01_mh034180_v.jpg,,"48.1119791219, -1.68186449144",,https://data.culture.gouv.fr/api/explore/v2.1/catalog/datasets/photographies-serie-monuments-historiques-de-1851-a-1914/files/4b4aeae6d62768020bae275e1e2f7187,Ministère de la Culture (France) - Médiathèque de l'architecture et du patrimoine - diffusion RMN,53,Bretagne,35,Ille-et-Vilaine
APMH00014242,MH0014242,France,35,Bretagne,35238,Cathédrale Saint-Pierre,,Rennes,,,"Mieusement, Médéric (photographe)",Ensemble ouest,,1885,,Négatif,http://www.culture.gouv.fr/Wave/image/memoire/0315/sap01_mh014242_v.jpg,,"48.1119791219, -1.68186449144",PA00090675 ; IA00130939,https://data.culture.gouv.fr/api/explore/v2.1/catalog/datasets/photographies-serie-monuments-historiques-de-1851-a-1914/files/9c127de5c4c51c25d1028e55de2d15ec,Ministère de la Culture (France) - Médiathèque de l'architecture et du patrimoine - diffusion RMN,53,Bretagne,35,Ille-et-Vilaine
