commune,reg_nom,dep_nom,code_insee_commune,code_postal,GRD_ELEC,grd_elec_eic,GRD_GAZ,code_grd_elec_1,code_grd_elec_2,grd_elec_1_eic,grd_elec_2_eic,code_grd_gaz_1,code_grd_gaz_2,code_grd_gaz_3,EPCI,code_dept,code_reg,LIBEPCI
Acigné,Bretagne,Ille-et-Vilaine,35001,35690,Enedis,17X100A100A0001A,GRDF,ENED,,17X100A100A0001A,,GRDF,,,243500139,35,53,Rennes Métropole
Bécherel,Bretagne,Ille-et-Vilaine,35022,35190,Enedis,17X100A100A0001A,,ENED,,17X100A100A0001A,,,,,243500139,35,53,Rennes Métropole
Betton,Bretagne,Ille-et-Vilaine,35024,35830,Enedis,17X100A100A0001A,GRDF,ENED,,17X100A100A0001A,,GRDF,,,243500139,35,53,Rennes Métropole
Bourgbarré,Bretagne,Ille-et-Vilaine,35032,35230,Enedis,17X100A100A0001A,GRDF,ENED,,17X100A100A0001A,,GRDF,,,243500139,35,53,Rennes Métropole
Brécé,Bretagne,Ille-et-Vilaine,35039,35530,Enedis,17X100A100A0001A,GRDF,ENED,,17X100A100A0001A,,GRDF,,,243500139,35,53,Rennes Métropole
Bruz,Bretagne,Ille-et-Vilaine,35047,35170,Enedis,17X100A100A0001A,GRDF,ENED,,17X100A100A0001A,,GRDF,,,243500139,35,53,Rennes Métropole
Cesson-Sévigné,Bretagne,Ille-et-Vilaine,35051,35510,Enedis,17X100A100A0001A,GRDF,ENED,,17X100A100A0001A,,GRDF,,,243500139,35,53,Rennes Métropole
Chantepie,Bretagne,Ille-et-Vilaine,35055,35135,Enedis,17X100A100A0001A,GRDF,ENED,,17X100A100A0001A,,GRDF,,,243500139,35,53,Rennes Métropole
La Chapelle-Chaussée,Bretagne,Ille-et-Vilaine,35058,35630,Enedis,17X100A100A0001A,,ENED,,17X100A100A0001A,,,,,243500139,35,53,Rennes Métropole
La Chapelle-des-Fougeretz,Bretagne,Ille-et-Vilaine,35059,35520,Enedis,17X100A100A0001A,GRDF,ENED,,17X100A100A0001A,,GRDF,,,243500139,35,53,Rennes Métropole
La Chapelle-Thouarault,Bretagne,Ille-et-Vilaine,35065,35590,Enedis,17X100A100A0001A,GRDF,ENED,,17X100A100A0001A,,GRDF,,,243500139,35,53,Rennes Métropole
Chartres-de-Bretagne,Bretagne,Ille-et-Vilaine,35066,35131,Enedis,17X100A100A0001A,GRDF,ENED,,17X100A100A0001A,,GRDF,,,243500139,35,53,Rennes Métropole
Chavagne,Bretagne,Ille-et-Vilaine,35076,35310,Enedis,17X100A100A0001A,GRDF,ENED,,17X100A100A0001A,,GRDF,,,243500139,35,53,Rennes Métropole
Chevaigné,Bretagne,Ille-et-Vilaine,35079,35250,Enedis,17X100A100A0001A,GRDF,ENED,,17X100A100A0001A,,GRDF,,,243500139,35,53,Rennes Métropole
Cintré,Bretagne,Ille-et-Vilaine,35080,35310,Enedis,17X100A100A0001A,GRDF,ENED,,17X100A100A0001A,,GRDF,,,243500139,35,53,Rennes Métropole
Clayes,Bretagne,Ille-et-Vilaine,35081,35590,Enedis,17X100A100A0001A,GRDF,ENED,,17X100A100A0001A,,GRDF,,,243500139,35,53,Rennes Métropole
Corps-Nuds,Bretagne,Ille-et-Vilaine,35088,35150,Enedis,17X100A100A0001A,GRDF,ENED,,17X100A100A0001A,,GRDF,,,243500139,35,53,Rennes Métropole
Gévezé,Bretagne,Ille-et-Vilaine,35120,35850,Enedis,17X100A100A0001A,GRDF,ENED,,17X100A100A0001A,,GRDF,,,243500139,35,53,Rennes Métropole
L'Hermitage,Bretagne,Ille-et-Vilaine,35131,35590,Enedis,17X100A100A0001A,GRDF,ENED,,17X100A100A0001A,,GRDF,,,243500139,35,53,Rennes Métropole
Hirel,Bretagne,Ille-et-Vilaine,35132,35120,Enedis,17X100A100A0001A,,ENED,,17X100A100A0001A,,,,,243500782,35,53,Communauté d'agglomération du Pays de Saint Malo Agglomération
Irodouër,Bretagne,Ille-et-Vilaine,35135,35850,Enedis,17X100A100A0001A,,ENED,,17X100A100A0001A,,,,,200038990,35,53,Communauté de communes de Saint-Méen Montauban
Janzé,Bretagne,Ille-et-Vilaine,35136,35150,Enedis,17X100A100A0001A,GRDF,ENED,,17X100A100A0001A,,GRDF,,,243500634,35,53,Communauté de communes Roche aux Fées Communauté
Laillé,Bretagne,Ille-et-Vilaine,35139,35890,Enedis,17X100A100A0001A,GRDF,ENED,,17X100A100A0001A,,GRDF,,,243500139,35,53,Rennes Métropole
