Nom de la manifestation,Région,Domaine,Complément domaine,Département,Périodicité,Mois habituel de début,Site web,N° Identification,Commune principale,Autres communes,N° de l'édition 2018,Date de création,Soutenu en 2017 par le ministère de la culture ,Soutenu en 2017 par le Centre national du cinéma ,Soutenu en 2017 par le Centre national du livre ,Soutenu en 2017 par le Centre national des variétés ,Soutenu en 2018 par le ministère de la culture ,Soutenu en 2018 par le Centre national du cinéma ,Soutenu en 2018 par le Centre national du livre ,Soutenu en 2018 par le Centre national des variétés ,Code postal,Code INSEE,coordonnees_insee,"Libellé commune pour calcul CP, INSEE",Dépt SK,Nom Département,Commentaires,N° de l'édition 2019,Check édition,"Mois indicatif en chiffre, y compris double mois",Mois indicatif,Date début ancien,Date de fin ancien,Soutien 2017 MCC à la structure,Part festival sur soutien à la structure,Enquête DRAC 2017
FEU AU LAC,Bretagne,Musiques actuelles,Musiques amplifiées ou électroniques,35,Annuelle,06 (juin),www.festival-lefeuaulac.fr,CD105,VERN SUR SEICHE,,12.0,2007-01-01,,,,,,,,,35770,35352,"48.0525245014, -1.60521106164",VERN SUR SEICHE,35.0,Ille-et-Vilaine,,13.0,0.0,6.0,Juin,,,,,
FIESTA LA MASS,Bretagne,Musiques actuelles,Musiques amplifiées ou électroniques,35,Annuelle,10 (octobre),www.massprod.com,CD106,RENNES,,5.0,2014-01-01,,,,,,,,,35700,35238,"48.1119791219, -1.68186449144",RENNES,35.0,Ille-et-Vilaine,Festival de punk et ska,6.0,0.0,10.0,Octobre,2018-10-06,2018-10-06,,,
URBAINES,Bretagne,Pluridisciplinaire Spectacle vivant,Cultures urbaines,35,Annuelle,02 (février),www.urbaines.fr,CB014,RENNES,,9.0,2010-01-01,,,,,,,,,35700,35238,"48.1119791219, -1.68186449144",RENNES,35.0,Ille-et-Vilaine,"Avec URBAINES, Cultures, Pratiques & Tendances nous souhaitons contribuer à ce «renforcement du lien social» en proposant des formes accessibles à tous mettant en valeur le caractère novateur de certaines pratiques émergentes. En articulant cultures, pratiques & tendances, Urbaines se décline en de nombreux rendez-vous à destination des jeunes et des moins jeunes. À travers des concerts, événements artistiques, projections et rencontres, stages, ateliers…",10.0,0.0,3.0,,2019-02-20,2019-03-10,,,
JAZZ À L'ÉTAGE,Bretagne,Musiques actuelles,"Jazz, blues et musiques improvisées",35,Annuelle,02 (février),www.jazzaletage.com,CD131,RENNES,,9.0,2010-01-01,,,,,,,,,35700,35238,"48.1119791219, -1.68186449144",RENNES,35.0,Ille-et-Vilaine,,10.0,0.0,2.0,,2019-02-09,2019-03-09,,,
SEVENADUR,Bretagne,Musiques actuelles,Musiques traditionnelles et du monde,35,Annuelle,02 (février),www.sevenadur.org,CD183,RENNES,,18.0,2001-01-01,,,,,,,,,35700,35238,"48.1119791219, -1.68186449144",RENNES,35.0,Ille-et-Vilaine,,19.0,0.0,2.0,,2019-02-20,2019-03-17,,,
Festival national du film d'animation - Bruz (Rennes Métropole),Bretagne,Cinéma et audiovisuel,Animation,35,,04 (avril),www.festival-film-animation.fr,CJ013,RENNES,,,1995-01-01,,,,,,,,,35700,35238,"48.1119791219, -1.68186449144",RENNES,35.0,Ille-et-Vilaine,,25.0,0.0,4.0,,2019-04-24,2019-04-28,,,
FESTIVAL MAINTENANT,Bretagne,Transdisciplinaire,,35,Annuelle,10 (octobre),https://www.maintenant-festival.fr/2018/,CA002,RENNES,"Pacé, Châteaugiron, Bruz, Brie.",18.0,2001-01-01,,,,,,,,,35700,35238,"48.1119791219, -1.68186449144",RENNES,35.0,Ille-et-Vilaine,,19.0,0.0,10.0,Octobre,2018-10-05,2018-10-14,,,
Festival Travelling de Rennes,Bretagne,Cinéma et audiovisuel,,35,Annuelle,02 (février),www.clairobscur.info,CJ012,RENNES,,29.0,1990-01-01,,,,,,,,,35700,35238,"48.1119791219, -1.68186449144",RENNES,35.0,Ille-et-Vilaine,,30.0,0.0,2.0,,2019-02-05,2019-02-12,,,
FESTIVAL BAZAR LE JOUR BIZ'ART LA NUIT,Bretagne,Cirque et Arts de la rue,Arts de la rue,35,Biennale années impaires,06 (juin),https://bjbn.fr/,CM005,BETTON,,,2011-01-01,,,,,,,,,35830,35024,"48.1812360423, -1.64589552684",BETTON,35.0,Ille-et-Vilaine,,25.0,-16.0,6.0,,,,,,
Festival Court Métrange - Rennes,Bretagne,Cinéma et audiovisuel,Courts-métrages,35,,10 (octobre),www.courtmetrange.eu,CJ002,RENNES,,,2005-01-01,,,,,,,,,35700,35238,"48.1119791219, -1.68186449144",RENNES,35.0,Ille-et-Vilaine,,15.0,0.0,10.0,Octobre,2018-10-16,2018-10-21,,,
