id,id_source,source_id,x,y,code_dept,code_insee,code_iris,genre_francais,genre_latin,hauteur,categorie_hauteur
367655,1,20,-1.685956227606553,48.11703676615778,35,35238,352380109,,Acer,,
367656,2,20,-1.6856164261694166,48.117576404647295,35,35238,352380109,,Aesculus,,
367657,3,20,-1.6871505202287587,48.11514010513619,35,35238,352380108,,Aesculus,,
367658,4,20,-1.6877406186326436,48.113628188810004,35,35238,352380108,Platane,Platanus,,
367659,4,20,-1.6877406186326436,48.113628188810004,35,35238,352380303,Platane,Platanus,,
367660,5,20,-1.6925930789407175,48.111093450776615,35,35238,352380303,Sorbier,Sorbus,,
367661,6,20,-1.688357448152013,48.11469243354597,35,35238,352380303,Chêne,Quercus,,
367662,7,20,-1.6877809281994014,48.11371396296595,35,35238,352380303,Platane,Platanus,,
367663,8,20,-1.6863072721904222,48.11648071360586,35,35238,352380109,,Aesculus,,
367664,9,20,-1.6866873358260541,48.115878734660136,35,35238,352380109,,Aesculus,,
367665,10,20,-1.6865491494122462,48.11609371452654,35,35238,352380109,,Aesculus,,
367666,11,20,-1.6876464471602726,48.11531468950377,35,35238,352380108,Platane,Platanus,,
367667,12,20,-1.7066069091926757,48.09939029592242,35,35238,352380904,Robinier,Robinia,,
367668,13,20,-1.6495926621693735,48.09190578624373,35,35238,352380707,Tilleul,Tilia,,
367669,14,20,-1.70686342465847,48.1002164835411,35,35238,352380904,Robinier,Robinia,,
367670,15,20,-1.6526846880242565,48.091332942674114,35,35238,352381102,Erable,Acer,,
367671,16,20,-1.6530530290388568,48.09163562855863,35,35238,352380707,Tilleul,Tilia,,
367672,17,20,-1.6487025855284922,48.09187770626202,35,35238,352380707,Tilleul,Tilia,,
367673,18,20,-1.6501489904796027,48.09180751271577,35,35238,352380707,Tilleul,Tilia,,
367674,19,20,-1.7056484903994285,48.098970263090756,35,35238,352380904,Robinier,Robinia,,
367675,20,20,-1.6493569355919766,48.091902277105945,35,35238,352380707,Tilleul,Tilia,,
367676,21,20,-1.6499979159933156,48.09112407338701,35,35238,352381102,Erable,Acer,,
367677,22,20,-1.6515931785702582,48.091673961351276,35,35238,352380707,,,,
367678,23,20,-1.7051569999726022,48.09886277278167,35,35238,352380904,Robinier,Robinia,,
367679,24,20,-1.7068817483005168,48.10027824960643,35,35238,352380904,Robinier,Robinia,,
367680,25,20,-1.6492240046699187,48.09190031412197,35,35238,352380707,Tilleul,Tilia,,
367681,26,20,-1.7069706844522154,48.101202867174464,35,35238,352380903,Frêne,Fraxinus,,
367682,27,20,-1.706588502534404,48.09933486613958,35,35238,352380904,Robinier,Robinia,,
367683,28,20,-1.6521820617877838,48.09186677314923,35,35238,352380707,,,,
367684,29,20,-1.7073127167837256,48.10149918735008,35,35238,352380904,Frêne,Fraxinus,,
367685,30,20,-1.649653791161511,48.09188065719917,35,35238,352380707,Tilleul,Tilia,,
367686,31,20,-1.707169395123046,48.101155685249665,35,35238,352380904,Frêne,Fraxinus,,
367687,32,20,-1.6576220807571531,48.09156853617461,35,35238,352380707,Platane,Platanus,,
367688,33,20,-1.7057428284586673,48.09898744997575,35,35238,352380904,Robinier,Robinia,,
367689,34,20,-1.7070154437111047,48.10127803774643,35,35238,352380903,Frêne,Fraxinus,,
367690,35,20,-1.6580239121983644,48.091734829384976,35,35238,352380707,Platane,Platanus,,
367691,36,20,-1.6530499041887996,48.09177169178317,35,35238,352380707,Tilleul,Tilia,,
367692,37,20,-1.703794838918629,48.10529626555419,35,35238,352380903,,,,
367693,38,20,-1.6529918387401379,48.09192583148771,35,35238,352380707,Tilleul,Tilia,,
367694,39,20,-1.657545622544565,48.09155808605049,35,35238,352380707,Platane,Platanus,,
367695,40,20,-1.6576964539922758,48.09158517995359,35,35238,352380707,Platane,Platanus,,
367696,41,20,-1.6496565405330554,48.09182825216006,35,35238,352380707,Tilleul,Tilia,,
367697,42,20,-1.6533854561963983,48.091686169226215,35,35238,352380707,Tilleul,Tilia,,
367698,43,20,-1.7066236283107805,48.09944869633115,35,35238,352380904,Robinier,Robinia,,
367699,44,20,-1.6569892730530376,48.09153922618323,35,35238,352380707,Platane,Platanus,,
367700,45,20,-1.6581244772619321,48.09182207038422,35,35238,352380707,Platane,Platanus,,
367701,46,20,-1.7069660227467744,48.101122982041,35,35238,352380903,Frêne,Fraxinus,,
367702,47,20,-1.6578406159892867,48.09163239979124,35,35238,352380707,Platane,Platanus,,
367703,48,20,-1.6502011920741135,48.09162353197687,35,35238,352380707,,,,
367704,49,20,-1.649410409678742,48.091877228970404,35,35238,352380707,Tilleul,Tilia,,
367705,50,20,-1.6833232226975559,48.1197538186118,35,35238,352380110,,Aesculus,,
367706,51,20,-1.685204893718722,48.11822789837477,35,35238,352380110,,Aesculus,,
