ID,ENSEIGNE,ADRESSE,COMPLEMENT,CODE POSTAL,COMMUNE,NATURE DU DEBIT,geom,area,Département
8326,,14 R DU ML JOFFRE,TABAC,35000,RENNES,Ordinaire permanent,"48.108514, -1.677884",35,['35>35000']
8480,BAR TABAC LE TRISKEL,14 AV GENERAL LECLERC,TABAC LE TRISKELL,35310,MORDELLES,Ordinaire permanent,"48.07258, -1.849089",35,['35>35310']
8328,,12 RUE D'ANTRAIN,TABAC,35000,RENNES,Ordinaire permanent,"48.106813, -1.690007",35,['35>35000']
8317,TABAC PRESSE,7 PLACE DE BRETAGNE,TABAC,35000,RENNES,Ordinaire permanent,"48.109174, -1.68374",35,['35>35000']
8599,TABAC PRESSE,2 RUE DE SUISSE,TABAC,35200,RENNES,Ordinaire permanent,"48.08653, -1.667544",35,['35>35200']
8426,,8 RUE DU GRAND FOUR,TABAC,35690,ACIGNE,Ordinaire permanent,"48.131908, -1.536261",35,['35>35690']
8587,TABAC PRESSE LE CHURCHILL,1 RUE DE BOURGOGNE - VILLEJEAN,TABAC,35000,RENNES,Ordinaire permanent,"48.12177, -1.70417",35,['35>35000']
8329,,13 RUE GAMBETTA,TABAC,35000,RENNES,Ordinaire permanent,"48.112175, -1.6752",35,['35>35000']
8202,,7 Parvis de L EGLISE,TABAC,35150,CORPS-NUDS,Ordinaire permanent,"47.978241, -1.587425",35,['35>35150']
8605,,3 R DU MORBIHAN CENTRE CL,TABAC D L BELLENGERAIS,35700,RENNES,Ordinaire permanent,"48.130045, -1.677288",35,['35>35700']
8450,,2 RUE DU CHAMP FLEURY,TABAC,35310,CHAVAGNE,Ordinaire permanent,"48.053018, -1.790787",35,['35>35310']
8581,,167 R ST MALO,TABAC,35000,RENNES,Ordinaire permanent,"48.123768, -1.6847750000000001",35,['35>35000']
8173,BAR TABAC LE LONGCHAMP,1 RUE DE RENNES,BAR  TABAC LE LONGCHAMP,35830,BETTON,Ordinaire permanent,"48.180653, -1.6360519999999998",35,['35>35830']
8443,,2 RUE DE MONTMURAN,TABAC,35630,LA-CHAPELLE-CHAUSSEE,Ordinaire permanent,"48.270964, -1.853956",35,['35>35630']
8578,TABAC PRESSE,32 RUE DE TREGAIN,TABAC,35000,RENNES,Ordinaire permanent,"48.116654, -1.68383",35,['35>35000']
8603,,35 AV DU GL DE GAULLE,TABAC,35170,BRUZ,Ordinaire permanent,"48.023247, -1.738582",35,['35>35170']
8583,TABAC PRESSE LE NEMROD,19 BD GAETAN HERVE,TABAC,35200,RENNES,Ordinaire permanent,"48.090281, -1.667643",35,['35>35200']
8539,TABAC PRESSE LE VERGER,3 PLACE DE L'EGLISE,TABAC,35160,LE-VERGER,Ordinaire permanent,"48.069983, -1.933479",35,['35>35160']
8327,TABAC PRESSE ARSENAL,10 RUE DE L'ARSENAL,TABAC,35000,RENNES,Ordinaire permanent,"48.10669, -1.685591",35,['35>35000']
8286,,17 PLACE DE L'EGLISE,TABAC,35410,NOUVOITOU,Ordinaire permanent,"48.041662, -1.546709",35,['35>35410']
8318,,7 PLACE DU COLOMBIER,TABAC,35000,RENNES,Ordinaire permanent,"48.105022, -1.677873",35,['35>35000']
8626,TABAC PRESSE DU VERT BUISSON,7  PLACE VERT BUISSON,CENTRE COMMERCIAL DU VERT BUISSON,35170,BRUZ,Ordinaire permanent,"48.029648, -1.758997",35,['35>35170']
8615,,CTRE CCIAL BEAUSOLEIL,TABAC,35510,CESSON-SEVIGNE,Ordinaire permanent,"48.120598, -1.6120329999999998",35,['35>35510']
8336,,2 RUE PAUL BERT,TABAC,35000,RENNES,Ordinaire permanent,"48.110614, -1.671106",35,['35>35000']
8441,,PL DE L EGLISE,TABAC,35510,CESSON-SEVIGNE,Ordinaire permanent,"48.116742, -1.60484",35,['35>35510']
8333,,5 R DUGUESCLIN,TABAC,35000,RENNES,Ordinaire permanent,"48.111736, -1.680955",35,['35>35000']
8341,,95 BIS RUE D ANTRAIN,TABAC,35000,RENNES,Ordinaire permanent,"48.097012, -1.661949",35,['35>35000']
8588,TABAC TY GWEN,45 COURS KENNEDY,TABAC,35000,RENNES,Ordinaire permanent,"48.121401, -1.7109109999999998",35,['35>35000']
8515,,25 RUE DE RENNES,TABAC,35590,SAINT-GILLES,Ordinaire permanent,"48.155653, -1.827798",35,['35>35590']
8624,,AEROP ST JACQUES,AVENUE AEROPORT JOSEPH LE BRIX,35136,SAINT-JACQUES-DE-LA-LANDE,Spécial,"48.075231, -1.728999",35,['35>35136']
8598,TABAC PRESSE GRAND QUARTIER,CENTRE COMMERCIAL GRAND QUARTIER,TABAC,35760,SAINT-GREGOIRE,Ordinaire permanent,"48.136157, -1.69351",35,['35>35760']
8486,TABAC PRESSE LE SAINT MELAINE,21 PLACE ST MELAINE,TABAC,35740,PACE,Ordinaire permanent,"48.147802, -1.772513",35,['35>35740']
8616,,9 PLACE DU RONCERAY,CTRE CIAL LA POTERIE -TABAC,35000,RENNES,Ordinaire permanent,"48.105012, -1.677943",35,['35>35000']
8321,,11 PLACE EUGENE AULNETTE,TABAC PRESSE BEAUREGARD,35000,RENNES,Ordinaire permanent,"48.129319, -1.6983730000000001",35,['35>35000']
8502,,1 rue de rennes,TABAC,35230,SAINT-ARMEL,Ordinaire permanent,"48.014086, -1.595155",35,['35>35230']
8338,,38 B R DE CHATEAUGIRON,TABAC,35000,RENNES,Ordinaire permanent,"48.101517, -1.654969",35,['35>35000']
8442,,66 AV ANDRE BONNIN,TABAC,35135,CHANTEPIE,Ordinaire permanent,"48.088152, -1.6178819999999998",35,['35>35135']
8594,,LE LANDREL BD LEON GRIMAU,TABAC,35200,RENNES,Ordinaire permanent,"48.091151, -1.65209",35,['35>35200']
8353,,16 PLACE DE LA MAIRIE,TABAC AU NEMROD,35650,LE-RHEU,Ordinaire permanent,"48.100717, -1.794894",35,['35>35650']
8602,,12 R DE SUEDE,C CIAL LES ALMADIES-TABAC-,35200,RENNES,Ordinaire permanent,"48.086653, -1.67575",35,['35>35200']
