STATUT,INSEE_COM,NOM_COM,INSEE_ARR,NOM_DEP,INSEE_DEP,NOM_REG,INSEE_REG,CODE_EPCI,NOM_COM_M,Prixm2
Commune simple,35150,Lécousse,1,ILLE-ET-VILAINE,35,BRETAGNE,53,200072452,LECOUSSE,1388
Commune simple,35190,Monthault,1,ILLE-ET-VILAINE,35,BRETAGNE,53,200072452,MONTHAULT,825
Commune simple,35310,Saint-Sauveur-des-Landes,1,ILLE-ET-VILAINE,35,BRETAGNE,53,200072452,SAINT-SAUVEUR-DES-LANDES,1550
Commune simple,35230,Poilley,1,ILLE-ET-VILAINE,35,BRETAGNE,53,200072452,POILLEY,1065
Commune simple,35216,Parthenay-de-Bretagne,3,ILLE-ET-VILAINE,35,BRETAGNE,53,243500139,PARTHENAY-DE-BRETAGNE,1698
Commune simple,35144,Langan,3,ILLE-ET-VILAINE,35,BRETAGNE,53,243500139,LANGAN,1554
Commune simple,35120,Gévezé,3,ILLE-ET-VILAINE,35,BRETAGNE,53,243500139,GEVEZE,2046
Commune simple,35245,Romillé,3,ILLE-ET-VILAINE,35,BRETAGNE,53,243500139,ROMILLE,1598
Commune simple,35132,Hirel,4,ILLE-ET-VILAINE,35,BRETAGNE,53,243500782,HIREL,1319
Commune simple,35180,Miniac-sous-Bécherel,3,ILLE-ET-VILAINE,35,BRETAGNE,53,243500139,MINIAC-SOUS-BECHEREL,1295
Commune simple,35058,La Chapelle-Chaussée,3,ILLE-ET-VILAINE,35,BRETAGNE,53,243500139,LA CHAPELLE-CHAUSSEE,1404
Commune simple,35135,Irodouër,3,ILLE-ET-VILAINE,35,BRETAGNE,53,200038990,IRODOUER,1405
Commune simple,35022,Bécherel,3,ILLE-ET-VILAINE,35,BRETAGNE,53,243500139,BECHEREL,1081
Commune simple,35059,La Chapelle-des-Fougeretz,3,ILLE-ET-VILAINE,35,BRETAGNE,53,243500139,LA CHAPELLE-DES-FOUGERETZ,2241
Commune simple,35131,L'Hermitage,3,ILLE-ET-VILAINE,35,BRETAGNE,53,243500139,L'HERMITAGE,1890
Commune simple,35196,Mordelles,3,ILLE-ET-VILAINE,35,BRETAGNE,53,243500139,MORDELLES,2048
Commune simple,35275,Saint-Gilles,3,ILLE-ET-VILAINE,35,BRETAGNE,53,243500139,SAINT-GILLES,2040
Commune simple,35353,Vezin-le-Coquet,3,ILLE-ET-VILAINE,35,BRETAGNE,53,243500139,VEZIN-LE-COQUET,2426
Commune simple,35080,Cintré,3,ILLE-ET-VILAINE,35,BRETAGNE,53,243500139,CINTRE,1970
Commune simple,35240,Le Rheu,3,ILLE-ET-VILAINE,35,BRETAGNE,53,243500139,LE RHEU,2139
Commune simple,35210,Pacé,3,ILLE-ET-VILAINE,35,BRETAGNE,53,243500139,PACE,2383
Commune simple,35065,La Chapelle-Thouarault,3,ILLE-ET-VILAINE,35,BRETAGNE,53,243500139,LA CHAPELLE-THOUARAULT,2027
Commune simple,35351,Le Verger,3,ILLE-ET-VILAINE,35,BRETAGNE,53,243500139,LE VERGER,1516
Commune simple,35081,Clayes,3,ILLE-ET-VILAINE,35,BRETAGNE,53,243500139,CLAYES,1533
Commune simple,35047,Bruz,3,ILLE-ET-VILAINE,35,BRETAGNE,53,243500139,BRUZ,2280
Commune simple,35076,Chavagne,3,ILLE-ET-VILAINE,35,BRETAGNE,53,243500139,CHAVAGNE,1855
Commune simple,35160,Loutehel,2,ILLE-ET-VILAINE,35,BRETAGNE,53,200043990,LOUTEHEL,855
Commune simple,35039,Brécé,3,ILLE-ET-VILAINE,35,BRETAGNE,53,243500139,BRECE,2152
Commune simple,35170,Mecé,1,ILLE-ET-VILAINE,35,BRETAGNE,53,200039022,MECE,1003
Commune simple,35363,Pont-Péan,3,ILLE-ET-VILAINE,35,BRETAGNE,53,243500139,PONT-PEAN,2082
Commune simple,35139,Laillé,3,ILLE-ET-VILAINE,35,BRETAGNE,53,243500139,LAILLE,1913
Commune simple,35250,Saint-Armel,3,ILLE-ET-VILAINE,35,BRETAGNE,53,243500139,SAINT-ARMEL,1895
