Code INSEE commune,commune,Code INSEE département,Département,Code INSEE région,Région,Type peuplement,Essence,Développement,Diamètre moyen,Surface travaux/longueur travaux,Année coupe,Hiérarchie géographique,Géo-point commune,COMMUNE_PRINCIPALE,Méthode de coupe,Nombre d'unités,Hmax CCG-LA,Courbes hauteurs (Désignation),Courbes hauteurs (Essence),Mise en oeuvre manuel (% manuel),Travaux tiers
35047,Bruz,35,,,,Futaie,"Pin,Cerisier,Bouleau",Actif,15 - 30,0,2027,,"48.0261755313, -1.74817480915",Bruz,ABATTAGE,6,14.0,B,Bouleau,100,Non
35001,Acigné,35,,,,Lisière,,Actif,> 30,0,2031,,"48.1464008617, -1.51879762112",Acigné,ELAGAGE,7,0.0,,Chêne commun,100,Non
35001,Acigné,35,,,,Arbre isolé,Pommier,Actif,15 - 30,0,2031,,"48.1464008617, -1.51879762112",Acigné,ABATTAGE,,95.5,C,Pommier,100,Non
35001,Acigné,35,,,,Haie,Thuya,Neutre,15 - 30,0,,,"48.1464008617, -1.51879762112",Acigné,AUCUNE,,11.5,C,Thuya,0,Non
35047,Bruz,35,,,,Futaie,"Prunier,Pommier",Actif,15 - 30,0,2099,,"48.0261755313, -1.74817480915",Bruz,ECIMAGE,3,5.5,C,Prunier,100,Non
35066,Chartres-de-Bretagne,35,,,,Arbre isolé,Chêne commun,Actif,15 - 30,0,2099,,"48.0451561683, -1.70650297343",Chartres-de-Bretagne,ABATTAGE,1,6.5,D,Chêne commun,100,Non
35066,Chartres-de-Bretagne,35,,,,Arbre isolé,Pommier,Actif,15 - 30,0,2099,,"48.0451561683, -1.70650297343",Chartres-de-Bretagne,ELAGAGE,1,4.5,C,Pommier,100,Non
35240,Le Rheu,35,,,,Haie,"Chêne commun,Merisier,Ajonc",Actif,< 15,0,2099,,"48.097397419, -1.78149989185",Le Rheu,TAILLE,,5.0,E,Chêne commun,0,Non
35240,Le Rheu,35,,,,Lisière,Charme commun (Charmille),Actif,15 - 30,0,2027,,"48.097397419, -1.78149989185",Le Rheu,ELAGAGE EN RIDEAU,,-3.5,B,Charme commun (Charmille),0,Non
35047,Bruz,35,,,,Haie,"Châtaignier,Merisier",Actif,< 15,0,2026,,"48.0261755313, -1.74817480915",Bruz,TAILLE,,4.5,B,Merisier,0,Non
35230,Poilley,35,,,,Taillis sous Futaie,"Ronces,Saule marsault (des chèvres)",Actif,15 - 30,0,2024,,"48.4663238804, -1.25699060086",Poilley,ABATTAGE,8,19.5,B,Saule marsault (des chèvres),60,Non
35352,Vern-sur-Seiche,35,,,,Taillis,"Peuplier,Chêne commun,Saule (blanc, argenté, vivier, Osier blanc)",Actif,< 15,0,2099,,"48.0525245014, -1.60521106164",Vern-sur-Seiche,DÉBROUSSAILLAGE,,4.5,C,Peuplier,100,Non
35352,Vern-sur-Seiche,35,,,,Taillis,Chêne commun,Actif,,0,2028,,"48.0525245014, -1.60521106164",Vern-sur-Seiche,DÉBROUSSAILLAGE,,4.5,D,Chêne commun,100,Non
35210,Pacé,35,,,,Isolé Pied de pylône,,Actif,< 15,60,2025,,"48.152548244, -1.77716643787",Pacé,DÉBROUSSAILLAGE,,0.0,,,100,Non
35238,Rennes,35,,,,Futaie,"Noisetier (Coudrier, pourpre, tortueux),Bouleau",Actif,15 - 30,0,2099,,"48.1119791219, -1.68186449144",Rennes,ABATTAGE,6,11.5,B,Bouleau,100,Non
35238,Rennes,35,,,,Arbre isolé,Cyprès,Neutre,15 - 30,0,,,"48.1119791219, -1.68186449144",Rennes,ABATTAGE,1,26.0,A,Cyprès,100,Non
35001,Acigné,35,,,,Haie,"Châtaignier,Merisier,Charme commun (Charmille)",Actif,< 15,0,2028,,"48.1464008617, -1.51879762112",Acigné,TAILLE,,7.8,B,Châtaignier,100,Non
35051,Cesson-Sévigné,35,,,,Haie,"Chêne commun,Tilleul",Neutre,15 - 30,0,,,"48.1202268032, -1.59714447272",Cesson-Sévigné,AUCUNE,10,14.1,E,Chêne commun,0,Non
35210,Pacé,35,,,,Haie,"Noisetier (Coudrier, pourpre, tortueux),Saule (blanc, argenté, vivier, Osier blanc)",Actif,< 15,0,2028,,"48.152548244, -1.77716643787",Pacé,TAILLE,,9.5,B3,"Saule (blanc, argenté, vivier, Osier blanc)",100,Non
35238,Rennes,35,,,,Isolé Pied de pylône,,Neutre,< 15,0,,,"48.1119791219, -1.68186449144",Rennes,AUCUNE,,-4.5,,,0,Non
35240,Le Rheu,35,,,,Isolé Pied de pylône,,Neutre,< 15,0,,,"48.097397419, -1.78149989185",Le Rheu,AUCUNE,,-3.5,,,,Non
35240,Le Rheu,35,,,,Arbre isolé,Chêne commun,Actif,> 30,0,2027,,"48.097397419, -1.78149989185",Le Rheu,ABATTAGE,,9.5,C,Chêne commun,100,Non
35150,Lécousse,35,,,,Lisière,,Actif,> 30,0,2027,,"48.3600018318, -1.22059471096",Lécousse,ELAGAGE,3,0.0,,Bouleau,100,Non
35150,Lécousse,35,,,,Lisière,,Actif,> 30,0,2027,,"48.3600018318, -1.22059471096",Lécousse,ELAGAGE,2,0.0,,"Hêtre commun (pourpre, pleureur)",100,Non
35353,Vezin-le-Coquet,35,,,,Haie,"Châtaignier,Saule marsault (des chèvres),Noisetier (Coudrier, pourpre, tortueux)",Actif,< 15,0,2027,,"48.1171829255, -1.74956473355",Vezin-le-Coquet,TAILLE,,7.0,B,"Noisetier (Coudrier, pourpre, tortueux)",100,Non
35210,Pacé,35,,,,Haie,"Chêne commun,Bouleau,Robinier,Frêne,Saule gris (cendré)",Actif,< 15,0,2025,,"48.152548244, -1.77716643787",Pacé,TAILLE,3,6.0,B,Robinier,100,Non
35210,Pacé,35,,,,Haie,"Noisetier (Coudrier, pourpre, tortueux),Saule (blanc, argenté, vivier, Osier blanc),Sureau",Actif,< 15,0,2025,,"48.152548244, -1.77716643787",Pacé,TAILLE,,5.5,E,"Saule (blanc, argenté, vivier, Osier blanc)",0,Non
