annee,code_postal_acheteur,achat_etranger,amm,quantite_produit,conditionnement,eaj
2014,35000,Non,2000018,4,kg,Non
2014,35000,Non,2000071,43,kg,Oui
2014,35000,Non,2000125,10,kg,Oui
2014,35000,Non,2000276,10,l,Non
2014,35000,Non,2000299,4,l,Non
2014,35000,Non,2000333,50,l,Non
2014,35000,Non,2000391,5,l,Non
2014,35000,Non,2000424,3,l,Oui
2014,35000,Non,2000510,2,kg,Oui
2014,35000,Non,2010023,5,l,Non
2014,35000,Non,2010035,281,l,Oui
2014,35000,Non,2010139,10,l,Non
2014,35000,Non,2010239,10,l,Non
2014,35000,Non,2010240,20,l,Non
2014,35000,Non,2010280,20,l,Non
2014,35000,Non,2010282,10,l,Non
2014,35000,Non,2010321,2,l,Oui
2014,35000,Non,2010410,1,kg,Oui
2014,35000,Non,2010425,0.2,kg,Non
2014,35000,Non,2010439,2,l,Oui
2014,35000,Non,2010493,5,kg,Oui
2014,35000,Non,2010612,20,l,Oui
2014,35000,Non,2020003,28,kg,Oui
2014,35000,Non,2020047,115,l,Oui
2014,35000,Non,2020048,20,l,Oui
2014,35000,Non,2020049,16,kg,Non
2014,35000,Non,2020224,5,kg,Non
2014,35000,Non,2020238,12,l,Oui
2014,35000,Non,2020448,3,l,Oui
2014,35000,Non,2030019,600,l,Non
2014,35000,Non,2030056,25,kg,Non
2014,35000,Non,2030125,10,l,Oui
2014,35000,Non,2030247,10,l,Non
2014,35000,Non,2030273,3,l,Oui
2014,35000,Non,2030321,32,l,Oui
2014,35000,Non,2030323,0.45,l,Non
2014,35000,Non,2040201,10,l,Non
2014,35000,Non,2050033,4,kg,Non
2014,35000,Non,2050075,30,kg,Non
2014,35000,Non,2050136,284,kg,Non
2014,35000,Non,2050145,3,l,Oui
2014,35000,Non,2050146,19.4,l,Oui
2014,35000,Non,2060026,2,kg,Non
2014,35000,Non,2060050,0.05,l,Non
2014,35000,Non,2060084,35,kg,Non
2014,35000,Non,2060088,300,l,Non
2014,35000,Non,2060091,10,l,Non
2014,35000,Non,2060127,6.5,l,Non
2014,35000,Non,2060131,11,l,Oui
2014,35000,Non,2060137,10,l,Non
2014,35000,Non,2060175,280,kg,Oui
2014,35000,Non,2060194,10,kg,Non
2014,35000,Non,2080018,1,l,Oui
2014,35000,Non,2080053,1,l,Oui
2014,35000,Non,2080089,2,l,Oui
2014,35000,Non,2080090,3,l,Oui
2014,35000,Non,2080101,10,kg,Non
2014,35000,Non,2080102,20,l,Non
2014,35000,Non,2080103,80,l,Non
2014,35000,Non,2080112,1.34,l,Non
2014,35000,Non,2080117,0.29,kg,Non
2014,35000,Non,2080133,1,l,Oui
2014,35000,Non,2090018,35,l,Non
