annee,code_postal_acheteur,achat_etranger,amm,substance,cas,fonction,classification,classification_mention,quantite_substance
2020,35000,Non,2000018,soufre pour pulverisation (micronise),7704-34-9,Fongicide,Autre,,4.4
2020,35000,Non,2000122,metalaxyl-m,70630-17-0,Fongicide,Autre,,0.3392
2020,35000,Non,2000202,glyphosate,1071-83-6,Herbicide,Env A,,5.4
2020,35000,Non,2000369,metsulfuron-methyl,74223-64-6,Herbicide,Env A,Substitution,0.08
2020,35000,Non,2010239,florasulame,145701-23-1,Herbicide,Env A,,0.015
2020,35000,Non,2010239,fluroxypyr,69377-81-7,Herbicide,Env B,,1.5
2020,35000,Non,2010280,metconazole,125116-23-6,Fongicide,CMR,,1.8
2020,35000,Non,2010513,bacillus thuringiensis ssp kurstaki,68038-71-1,Insecticide,Autre,,
2020,35000,Non,2020226,clethodime,99129-21-2,Herbicide,Env B,,0.72
2020,35000,Non,2030323,fludioxonil,131341-86-1,Fongicide,Env A,,0.355
2020,35000,Non,2050075,boscalid,188425-85-6,Fongicide,Env A,,1.25
2020,35000,Non,2060045,huile vegetale,,SA non phyto - Divers,Autre,,0.0175
2020,35000,Non,2060045,resines (colophane),8050-09-7,SA non phyto - Divers,Autre,,0.17
2020,35000,Non,2060050,metrafenone,220899-03-6,Fongicide,Env A,,0.025
2020,35000,Non,2060088,benoxacor,98730-04-2,Autre usage – Coformulant / Phytoprotecteur / Synergiste,Autre,,4.8
2020,35000,Non,2060088,mesotrione,104206-82-8,Herbicide,Env A,,9.6
2020,35000,Non,2060088,s-metolachlore,87392-12-9,Herbicide,Env A,,96
2020,35000,Non,2060098,spinosad,168316-95-8,Insecticide,Env A,,10.32
2020,35000,Non,2060116,prothioconazole,178928-70-6,Fongicide,CMR,,5
2020,35000,Non,2080026,nicosulfuron,111991-09-4,Herbicide,Env A,,1.8
2020,35000,Non,2080112,thirame,137-26-8,Fongicide,Env A,,1.44
2020,35000,Non,2090016,imazamox,114311-32-9,Herbicide,Env A,Substitution,0.835
2020,35000,Non,2090016,pendimethaline,40487-42-1,Herbicide,Env A,Substitution,12.5
2020,35000,Non,2090037,dicamba,1918-00-9,Herbicide,Env B,,0.5
2020,35000,Non,2090037,prosulfuron,94125-34-5,Herbicide,Env A,Substitution,0.05
2020,35000,Non,2090041,cloquintocet-mexyl,99607-70-2,Autre usage – Coformulant / Phytoprotecteur / Synergiste,Autre,,0.225
