Code INSEE de la commune,Siren,Nom de la commune
35001,213500010,Acigné
35022,213500226,Bécherel
35024,213500242,Betton
35032,213500325,Bourgbarré
35039,213500390,Brécé
35047,213500473,Bruz
35051,213500515,Cesson-Sévigné
35055,213500556,Chantepie
35058,213500580,La Chapelle-Chaussée
35059,213500598,La Chapelle-des-Fougeretz
35065,213500655,La Chapelle-Thouarault
35066,213500663,Chartres-de-Bretagne
35076,213500762,Chavagne
35079,213500796,Chevaigné
35080,213500804,Cintré
35081,213500812,Clayes
35088,213500887,Corps-Nuds
35120,213501208,Gévezé
35131,213501315,L'Hermitage
35132,213501323,Hirel
35135,213501356,Irodouër
35136,213501364,Janzé
35139,213501398,Laillé
35144,213501448,Langan
35150,213501505,Lécousse
35160,213501604,Loutehel
35170,213501703,Mecé
35180,213501802,Miniac-sous-Bécherel
35189,213501893,Montgermont
35190,213501901,Monthault
35196,213501968,Mordelles
35200,213502008,Moutiers
35204,213502040,Nouvoitou
35206,213503642,Noyal-Châtillon-sur-Seiche
35208,213502081,Orgères
35210,213502107,Pacé
35216,213502164,Parthenay-de-Bretagne
35230,213502305,Poilley
35235,213502354,Rannée
35238,213502388,Rennes
35240,213502404,Le Rheu
35245,213502453,Romillé
35250,213502503,Saint-Armel
35266,213502669,Saint-Erblon
35275,213502750,Saint-Gilles
35278,213502784,Saint-Grégoire
35281,213502818,Saint-Jacques-de-la-Lande
35310,213503105,Saint-Sauveur-des-Landes
35315,213503154,Saint-Sulpice-la-Forêt
35334,213503345,Thorigné-Fouillard
35351,213503519,Le Verger
35352,213503527,Vern-sur-Seiche
35353,213503535,Vezin-le-Coquet
35363,213503634,Pont-Péan
