journey_id,trip_id,journey_start_datetime,journey_start_date,journey_start_time,journey_start_lon,journey_start_lat,journey_start_insee,journey_start_postalcode,journey_start_department,journey_start_town,journey_start_towngroup,journey_start_country,journey_end_datetime,journey_end_date,journey_end_time,journey_end_lon,journey_end_lat,journey_end_insee,journey_end_postalcode,journey_end_department,journey_end_town,journey_end_towngroup,journey_end_country,passenger_seats,operator_class,journey_distance,journey_duration,has_incentive
3853468,837355f3-43f2-4c2a-92f4-c24d42e0c8d2,2021-01-01T11:20:00+01:00,2021-01-01,11:20:00,-1.67,48.08,35238,35000,35,Rennes (35),Rennes Metropole,France,2021-01-01T12:30:00+01:00,2021-01-01,12:30:00,-2.51,48.46,22093,22400,22,Lamballe-Armor (22),Communaute D'Agglomeration Lamballe Terre-Mer,France,1,B,82360,62,NON
3854056,5d19d99f-d1f5-4747-8897-03d6bb41526f,2021-01-02T11:20:00+01:00,2021-01-02,11:20:00,-1.67,48.08,35238,35000,35,Rennes (35),Rennes Metropole,France,2021-01-02T12:30:00+01:00,2021-01-02,12:30:00,-2.51,48.46,22093,22400,22,Lamballe-Armor (22),Communaute D'Agglomeration Lamballe Terre-Mer,France,1,B,82360,62,NON
3854714,75bcc9f9-c4af-4599-a63b-0d6cdfd4ad74,2021-01-03T15:50:00+01:00,2021-01-03,15:50:00,-1.67,48.10,35238,35000,35,Rennes (35),Rennes Metropole,France,2021-01-03T17:20:00+01:00,2021-01-03,17:20:00,-1.54,47.20,44109,44000,44,Nantes (44),Nantes Metropole,France,1,C,107154,85,NON
3855174,437fb9eb-e498-4d8d-ae97-b2503ac0a661,2021-01-04T03:10:00+01:00,2021-01-04,03:10:00,-1.67,48.08,35238,35000,35,Rennes (35),Rennes Metropole,France,2021-01-04T04:10:00+01:00,2021-01-04,04:10:00,-2.51,48.46,22093,22400,22,Lamballe-Armor (22),Communaute D'Agglomeration Lamballe Terre-Mer,France,1,C,82360,62,NON
3855189,edeccd64-5c5f-46f3-a47c-9f0140bf59c0,2021-01-04T06:10:00+01:00,2021-01-04,06:10:00,-1.67,48.08,35238,35000,35,Rennes (35),Rennes Metropole,France,2021-01-04T07:20:00+01:00,2021-01-04,07:20:00,-1.58,47.26,44114,44700,44,Orvault (44),Nantes Metropole,France,1,C,97476,68,NON
3855191,edeccd64-5c5f-46f3-a47c-9f0140bf59c0,2021-01-04T06:10:00+01:00,2021-01-04,06:10:00,-1.67,48.08,35238,35000,35,Rennes (35),Rennes Metropole,France,2021-01-04T07:20:00+01:00,2021-01-04,07:20:00,-1.58,47.26,44114,44700,44,Orvault (44),Nantes Metropole,France,1,C,97476,68,NON
3855214,edeccd64-5c5f-46f3-a47c-9f0140bf59c0,2021-01-04T06:10:00+01:00,2021-01-04,06:10:00,-1.67,48.08,35238,35000,35,Rennes (35),Rennes Metropole,France,2021-01-04T07:20:00+01:00,2021-01-04,07:20:00,-1.58,47.26,44114,44700,44,Orvault (44),Nantes Metropole,France,1,C,97476,68,NON
3855393,9b4e560f-5a7e-4203-afb8-e68154039885,2021-01-04T07:00:00+01:00,2021-01-04,07:00:00,-1.67,48.08,35238,35000,35,Rennes (35),Rennes Metropole,France,2021-01-04T08:10:00+01:00,2021-01-04,08:10:00,-1.58,47.26,44114,44700,44,Orvault (44),Nantes Metropole,France,1,C,97476,68,NON
3855441,9b4e560f-5a7e-4203-afb8-e68154039885,2021-01-04T07:00:00+01:00,2021-01-04,07:00:00,-1.67,48.08,35238,35000,35,Rennes (35),Rennes Metropole,France,2021-01-04T08:10:00+01:00,2021-01-04,08:10:00,-1.58,47.26,44114,44700,44,Orvault (44),Nantes Metropole,France,1,C,97476,68,NON
3855293,8326d075-f63f-409a-a751-7a2cf6c3e635,2021-01-04T07:10:00+01:00,2021-01-04,07:10:00,-1.71,48.11,35238,35000,35,Rennes (35),Rennes Metropole,France,2021-01-04T08:10:00+01:00,2021-01-04,08:10:00,-2.53,48.46,22093,22400,22,Lamballe-Armor (22),Communaute D'Agglomeration Lamballe Terre-Mer,France,1,B,77283,55,NON
3855472,8326d075-f63f-409a-a751-7a2cf6c3e635,2021-01-04T07:10:00+01:00,2021-01-04,07:10:00,-1.71,48.11,35238,35000,35,Rennes (35),Rennes Metropole,France,2021-01-04T08:10:00+01:00,2021-01-04,08:10:00,-2.54,48.46,22093,22400,22,Lamballe-Armor (22),Communaute D'Agglomeration Lamballe Terre-Mer,France,1,B,77479,54,NON
