journey_id,trip_id,journey_start_datetime,journey_start_date,journey_start_time,journey_start_lon,journey_start_lat,journey_start_insee,journey_start_department,journey_start_town,journey_start_towngroup,journey_start_country,journey_end_datetime,journey_end_date,journey_end_time,journey_end_lon,journey_end_lat,journey_end_insee,journey_end_department,journey_end_town,journey_end_towngroup,journey_end_country,passenger_seats,operator_class,journey_distance,journey_duration,has_incentive
12258357,be198d74-2f10-49f4-ae25-ffea47032c7e,2023-02-01T05:10:00+01:00,2023-02-01,05:10:00,-1.651,48.086,35238,35,Rennes,Rennes Métropole,France,2023-02-01T05:50:00+01:00,2023-02-01,05:50:00,-1.194,48.069,35109,35,Étrelles,CA Vitré Communauté,France,1,C,38017,39,OUI
12258376,d7ef17f9-592b-4644-b3bc-4084f3fd3bd2,2023-02-01T05:20:00+01:00,2023-02-01,05:20:00,-1.705,48.110,35238,35,Rennes,Rennes Métropole,France,2023-02-01T05:50:00+01:00,2023-02-01,05:50:00,-1.199,48.069,35109,35,Étrelles,CA Vitré Communauté,France,1,C,44644,35,OUI
12265225,be198d74-2f10-49f4-ae25-ffea47032c7e,2023-02-01T05:20:00+01:00,2023-02-01,05:20:00,-1.651,48.086,35238,35,Rennes,Rennes Métropole,France,2023-02-01T06:00:00+01:00,2023-02-01,06:00:00,-1.194,48.069,35109,35,Étrelles,CA Vitré Communauté,France,1,C,38017,39,OUI
12258405,be198d74-2f10-49f4-ae25-ffea47032c7e,2023-02-01T05:20:00+01:00,2023-02-01,05:20:00,-1.651,48.086,35238,35,Rennes,Rennes Métropole,France,2023-02-01T06:00:00+01:00,2023-02-01,06:00:00,-1.194,48.069,35109,35,Étrelles,CA Vitré Communauté,France,1,C,38017,33,OUI
12386909,730d1d95-1524-401e-875d-67d8ae14dedd,2023-02-01T06:10:00+01:00,2023-02-01,06:10:00,-1.675,48.086,35238,35,Rennes,Rennes Métropole,France,2023-02-01T07:10:00+01:00,2023-02-01,07:10:00,-1.584,47.261,44114,44,Orvault,Nantes Métropole,France,1,C,97177,59,OUI
12386944,730d1d95-1524-401e-875d-67d8ae14dedd,2023-02-01T06:20:00+01:00,2023-02-01,06:20:00,-1.675,48.086,35238,35,Rennes,Rennes Métropole,France,2023-02-01T07:20:00+01:00,2023-02-01,07:20:00,-1.584,47.261,44114,44,Orvault,Nantes Métropole,France,1,C,97208,59,OUI
12387029,83d2a370-2e6e-46ff-a22f-6402cd70f2b5,2023-02-01T06:20:00+01:00,2023-02-01,06:20:00,-1.674,48.087,35238,35,Rennes,Rennes Métropole,France,2023-02-01T07:20:00+01:00,2023-02-01,07:20:00,-1.584,47.261,44114,44,Orvault,Nantes Métropole,France,1,C,97303,60,OUI
12259264,56383ebb-1797-4c24-9282-285ffa414f6a,2023-02-01T06:40:00+01:00,2023-02-01,06:40:00,-1.700,48.132,35238,35,Rennes,Rennes Métropole,France,2023-02-01T07:20:00+01:00,2023-02-01,07:20:00,-1.218,48.126,35360,35,Vitré,CA Vitré Communauté,France,1,C,46749,37,OUI
12387644,325923fa-b163-4592-aed0-cacdd424f973,2023-02-01T06:50:00+01:00,2023-02-01,06:50:00,-1.674,48.087,35238,35,Rennes,Rennes Métropole,France,2023-02-01T07:50:00+01:00,2023-02-01,07:50:00,-1.584,47.261,44114,44,Orvault,Nantes Métropole,France,1,B,97303,60,OUI
12259387,56383ebb-1797-4c24-9282-285ffa414f6a,2023-02-01T06:50:00+01:00,2023-02-01,06:50:00,-1.700,48.132,35238,35,Rennes,Rennes Métropole,France,2023-02-01T07:20:00+01:00,2023-02-01,07:20:00,-1.218,48.126,35360,35,Vitré,CA Vitré Communauté,France,1,C,46749,38,OUI
12387697,325923fa-b163-4592-aed0-cacdd424f973,2023-02-01T07:00:00+01:00,2023-02-01,07:00:00,-1.677,48.088,35238,35,Rennes,Rennes Métropole,France,2023-02-01T08:00:00+01:00,2023-02-01,08:00:00,-1.596,47.264,44114,44,Orvault,Nantes Métropole,France,1,C,99040,62,OUI
12387886,774ceb8d-2fb0-41c0-a815-5d6cab2faa6f,2023-02-01T07:00:00+01:00,2023-02-01,07:00:00,-1.695,48.043,35066,35,Chartres-de-Bretagne,Rennes Métropole,France,2023-02-01T08:00:00+01:00,2023-02-01,08:00:00,-1.584,47.261,44114,44,Orvault,Nantes Métropole,France,1,B,92732,57,OUI
12387900,78542248-71f9-4be2-a1f8-2f45310e677b,2023-02-01T07:00:00+01:00,2023-02-01,07:00:00,-1.703,48.091,35281,35,Saint-Jacques-de-la-Lande,Rennes Métropole,France,2023-02-01T08:00:00+01:00,2023-02-01,08:00:00,-1.853,48.678,35049,35,Cancale,CA du Pays de Saint Malo Agglomération,France,1,C,75317,52,OUI
12387983,32e34159-2802-40a2-bcc4-1db262144955,2023-02-01T07:00:00+01:00,2023-02-01,07:00:00,-1.628,48.134,35051,35,Cesson-Sévigné,Rennes Métropole,France,2023-02-01T07:30:00+01:00,2023-02-01,07:30:00,-1.199,48.343,35115,35,Fougères,CA Fougères Agglomération,France,1,B,44167,29,OUI
12388307,3e9f8cc6-f66d-496b-baf7-e4286d3131d5,2023-02-01T07:10:00+01:00,2023-02-01,07:10:00,-1.674,48.087,35238,35,Rennes,Rennes Métropole,France,2023-02-01T08:20:00+01:00,2023-02-01,08:20:00,-2.750,48.477,22360,22,Trégueux,CA Saint-Brieuc Armor Agglomération,France,1,B,99792,63,OUI
12388491,5ae50216-0dc6-496f-a53f-975328f7c224,2023-02-01T07:20:00+01:00,2023-02-01,07:20:00,-1.580,48.156,35334,35,Thorigné-Fouillard,Rennes Métropole,France,2023-02-01T07:50:00+01:00,2023-02-01,07:50:00,-1.192,48.345,35115,35,Fougères,CA Fougères Agglomération,France,1,B,40795,27,OUI
12287705,55715d59-7494-4c41-a989-4914dc156dfd,2023-02-01T07:20:00+01:00,2023-02-01,07:20:00,-1.587,47.977,35088,35,Corps-Nuds,Rennes Métropole,France,2023-02-01T07:40:00+01:00,2023-02-01,07:40:00,-1.642,48.087,35238,35,Rennes,Rennes Métropole,France,1,A,13850,15,NON
12260322,0c31385b-329d-4fdc-9831-215061064f40,2023-02-01T07:20:00+01:00,2023-02-01,07:20:00,-1.546,48.042,35204,35,Nouvoitou,Rennes Métropole,France,2023-02-01T07:50:00+01:00,2023-02-01,07:50:00,-1.188,48.115,35360,35,Vitré,CA Vitré Communauté,France,1,C,34051,35,OUI
12261183,d46b282f-961a-4098-91e2-9dc6bdbb1492,2023-02-01T07:20:00+01:00,2023-02-01,07:20:00,-1.700,48.033,35066,35,Chartres-de-Bretagne,Rennes Métropole,France,2023-02-01T08:10:00+01:00,2023-02-01,08:10:00,-1.194,48.069,35109,35,Étrelles,CA Vitré Communauté,France,1,C,45124,48,OUI
12260651,c87137e7-f590-482f-bd8b-59b6ddaaa2d2,2023-02-01T07:20:00+01:00,2023-02-01,07:20:00,-1.700,48.101,35238,35,Rennes,Rennes Métropole,France,2023-02-01T08:00:00+01:00,2023-02-01,08:00:00,-1.185,48.113,35360,35,Vitré,CA Vitré Communauté,France,1,C,47284,39,OUI
12262431,25cb6ea0-2792-401a-8e75-1ef65a749737,2023-02-01T07:30:00+01:00,2023-02-01,07:30:00,-1.667,48.135,35238,35,Rennes,Rennes Métropole,France,2023-02-01T08:30:00+01:00,2023-02-01,08:30:00,-0.851,48.073,53201,53,Saint-Berthevin,CA Laval Agglomération,France,1,C,68377,61,OUI
12261142,628d029f-ef18-40b4-a0ab-18ea2595a045,2023-02-01T07:30:00+01:00,2023-02-01,07:30:00,-1.619,48.114,35051,35,Cesson-Sévigné,Rennes Métropole,France,2023-02-01T08:10:00+01:00,2023-02-01,08:10:00,-1.195,48.069,35109,35,Étrelles,CA Vitré Communauté,France,1,C,33234,35,OUI
12261246,8b6a6fa9-eb59-4dab-855f-584b5e305f6b,2023-02-01T07:30:00+01:00,2023-02-01,07:30:00,-1.706,48.093,35281,35,Saint-Jacques-de-la-Lande,Rennes Métropole,France,2023-02-01T08:10:00+01:00,2023-02-01,08:10:00,-1.194,48.069,35109,35,Étrelles,CA Vitré Communauté,France,1,C,42015,36,OUI
12267481,2bc59a4a-9566-4afd-9edb-ca079885cba2,2023-02-01T07:30:00+01:00,2023-02-01,07:30:00,-1.794,48.099,35240,35,Le Rheu,Rennes Métropole,France,2023-02-01T07:50:00+01:00,2023-02-01,07:50:00,-1.697,48.154,35278,35,Saint-Grégoire,Rennes Métropole,France,1,B,12021,18,NON
12389378,64ff1bf2-c75e-4f7d-80d8-f1baf6f8fa8c,2023-02-01T07:30:00+01:00,2023-02-01,07:30:00,-1.659,48.135,35238,35,Rennes,Rennes Métropole,France,2023-02-01T08:10:00+01:00,2023-02-01,08:10:00,-1.175,48.335,35324,35,La Selle-en-Luitré,CA Fougères Agglomération,France,1,C,49183,33,OUI
12389381,3e5babba-1204-42d7-94c0-3fae5aa281f3,2023-02-01T07:30:00+01:00,2023-02-01,07:30:00,-1.714,48.104,35238,35,Rennes,Rennes Métropole,France,2023-02-01T08:20:00+01:00,2023-02-01,08:20:00,-2.051,48.453,22050,22,Dinan,CA Dinan Agglomération,France,1,B,56075,43,OUI
12389131,8517f5bc-8559-4d99-a78c-d13cbfc68bb1,2023-02-01T07:30:00+01:00,2023-02-01,07:30:00,-1.697,48.109,35238,35,Rennes,Rennes Métropole,France,2023-02-01T08:10:00+01:00,2023-02-01,08:10:00,-2.389,47.924,56165,56,Ploërmel,CC Ploërmel Communauté,France,1,B,63559,41,OUI
12389010,983b4089-5f58-4e9a-909d-2be7668603bc,2023-02-01T07:30:00+01:00,2023-02-01,07:30:00,-1.688,48.137,35278,35,Saint-Grégoire,Rennes Métropole,France,2023-02-01T08:00:00+01:00,2023-02-01,08:00:00,-1.178,48.342,35115,35,Fougères,CA Fougères Agglomération,France,1,C,50973,34,OUI
12269639,b7bf809e-5fdc-489a-a726-79b970a54f35,2023-02-01T07:30:00+01:00,2023-02-01,07:30:00,-1.624,48.090,35055,35,Chantepie,Rennes Métropole,France,2023-02-01T08:00:00+01:00,2023-02-01,08:00:00,-1.192,48.069,35109,35,Étrelles,CA Vitré Communauté,France,1,C,34571,34,OUI
12266907,b7bf809e-5fdc-489a-a726-79b970a54f35,2023-02-01T07:30:00+01:00,2023-02-01,07:30:00,-1.624,48.090,35055,35,Chantepie,Rennes Métropole,France,2023-02-01T08:00:00+01:00,2023-02-01,08:00:00,-1.192,48.069,35109,35,Étrelles,CA Vitré Communauté,France,1,C,34571,34,OUI
12260284,b7bf809e-5fdc-489a-a726-79b970a54f35,2023-02-01T07:30:00+01:00,2023-02-01,07:30:00,-1.624,48.090,35055,35,Chantepie,Rennes Métropole,France,2023-02-01T07:50:00+01:00,2023-02-01,07:50:00,-1.192,48.069,35109,35,Étrelles,CA Vitré Communauté,France,1,C,34571,27,OUI
12261158,91f45a47-5e2d-452b-952b-18dfbf0f3d1c,2023-02-01T07:30:00+01:00,2023-02-01,07:30:00,-1.589,48.111,35051,35,Cesson-Sévigné,Rennes Métropole,France,2023-02-01T08:10:00+01:00,2023-02-01,08:10:00,-1.183,48.112,35360,35,Vitré,CA Vitré Communauté,France,1,C,33857,38,OUI
12261132,91f45a47-5e2d-452b-952b-18dfbf0f3d1c,2023-02-01T07:30:00+01:00,2023-02-01,07:30:00,-1.589,48.111,35051,35,Cesson-Sévigné,Rennes Métropole,France,2023-02-01T08:10:00+01:00,2023-02-01,08:10:00,-1.183,48.112,35360,35,Vitré,CA Vitré Communauté,France,1,C,33857,34,OUI
12261170,91f45a47-5e2d-452b-952b-18dfbf0f3d1c,2023-02-01T07:30:00+01:00,2023-02-01,07:30:00,-1.589,48.111,35051,35,Cesson-Sévigné,Rennes Métropole,France,2023-02-01T08:10:00+01:00,2023-02-01,08:10:00,-1.183,48.112,35360,35,Vitré,CA Vitré Communauté,France,1,C,33857,34,OUI
12261794,26a671c0-b089-4547-972a-dc5bfd86cf4d,2023-02-01T07:30:00+01:00,2023-02-01,07:30:00,-1.679,48.104,35238,35,Rennes,Rennes Métropole,France,2023-02-01T08:20:00+01:00,2023-02-01,08:20:00,-0.937,48.055,53137,53,Loiron-Ruillé,CA Laval Agglomération,France,1,C,61406,48,OUI
12260597,947bce7a-cd0e-4645-8bf6-ad417e7d1d07,2023-02-01T07:40:00+01:00,2023-02-01,07:40:00,-1.633,48.093,35238,35,Rennes,Rennes Métropole,France,2023-02-01T08:00:00+01:00,2023-02-01,08:00:00,-1.259,48.076,35109,35,Étrelles,CA Vitré Communauté,France,1,C,30061,22,OUI
12389655,9fbe03e5-143d-49a8-a6c8-9d8bbaba483a,2023-02-01T07:40:00+01:00,2023-02-01,07:40:00,-1.620,48.088,35055,35,Chantepie,Rennes Métropole,France,2023-02-01T07:50:00+01:00,2023-02-01,07:50:00,-1.739,48.052,35047,35,Bruz,Rennes Métropole,France,1,B,13151,11,NON
