ID,INSEE_COM,INSEE_DEP,INSEE_REG,CODE_EPCI,NOM_COM_M,POPULATION,Nb_Ventes,PrixMoyen_M2
COMMUNE_0000000009740650,35170,35,53,200039022,MECE,605,6,1500
COMMUNE_0000000009741040,35189,35,53,243500139,MONTGERMONT,3296,23,2681
COMMUNE_0000000009741038,35024,35,53,243500139,BETTON,11222,79,2834
COMMUNE_0000000009742359,35160,35,53,200043990,LOUTEHEL,265,5,1223
COMMUNE_0000000009738960,35230,35,53,200072452,POILLEY,383,1,559
COMMUNE_0000000009742037,35088,35,53,243500139,CORPS NUDS,3256,36,1829
COMMUNE_0000000009738956,35190,35,53,200072452,MONTHAULT,273,3,979
COMMUNE_0000000009741044,35275,35,53,243500139,SAINT GILLES,4716,69,2259
COMMUNE_0000000009741039,35278,35,53,243500139,SAINT GREGOIRE,9521,69,3128
COMMUNE_0000000009741407,35080,35,53,243500139,CINTRE,2276,30,1872
COMMUNE_0000000009741043,35081,35,53,243500139,CLAYES,858,5,1869
COMMUNE_0000000009742040,35032,35,53,243500139,BOURGBARRE,3986,35,2155
COMMUNE_0000000009740663,35079,35,53,243500139,CHEVAIGNE,2212,20,2281
COMMUNE_0000000009741742,35047,35,53,243500139,BRUZ,18094,133,2563
COMMUNE_0000000009741736,35204,35,53,243500139,NOUVOITOU,3016,23,2107
COMMUNE_0000000009742039,35266,35,53,243500139,SAINT ERBLON,2925,27,2326
COMMUNE_0000000009740657,35315,35,53,243500139,SAINT SULPICE LA FORET,1302,10,2009
COMMUNE_0000000009742041,35363,35,53,243500139,PONT PEAN,4225,21,2214
COMMUNE_0000000009741041,35059,35,53,243500139,CHAPELLE DES FOUGERETZ,4800,23,2911
COMMUNE_0000000009740274,35022,35,53,243500139,BECHEREL,673,3,1267
COMMUNE_0000000009740270,35058,35,53,243500139,CHAPELLE CHAUSSEE,1262,14,1655
COMMUNE_0000000009739840,35150,35,53,200072452,LECOUSSE,3207,29,1496
COMMUNE_0000000009740271,35180,35,53,243500139,MINIAC SOUS BECHEREL,765,5,1580
COMMUNE_0000000009741743,35281,35,53,243500139,SAINT JACQUES DE LA LANDE,12917,158,2501
COMMUNE_0000000009741744,35076,35,53,243500139,CHAVAGNE,3909,49,2201
COMMUNE_0000000009742348,35136,35,53,243500634,JANZE,8287,109,1841
COMMUNE_0000000009742038,35208,35,53,243500139,ORGERES,4494,38,2018
COMMUNE_0000000009741404,35196,35,53,243500139,MORDELLES,7321,117,2166
COMMUNE_0000000009740670,35135,35,53,200038990,IRODOUER,2249,20,1567
COMMUNE_0000000009739842,35310,35,53,200072452,SAINT SAUVEUR DES LANDES,1512,13,1423
COMMUNE_0000000009741745,35351,35,53,243500139,VERGER,1445,18,1567
COMMUNE_0000000009740668,35144,35,53,243500139,LANGAN,948,9,1847
COMMUNE_0000000009741741,35066,35,53,243500139,CHARTRES DE BRETAGNE,7578,67,2450
COMMUNE_0000000009741397,35039,35,53,243500139,BRECE,2112,19,1813
COMMUNE_0000000009741399,35001,35,53,243500139,ACIGNE,6645,35,2471
COMMUNE_0000000009741401,35353,35,53,243500139,VEZIN LE COQUET,5650,31,2331
COMMUNE_0000000009741402,35065,35,53,243500139,CHAPELLE THOUARAULT,2157,25,1982
COMMUNE_0000000009741405,35131,35,53,243500139,HERMITAGE,4321,47,2096
COMMUNE_0000000009742338,35200,35,53,200039022,MOUTIERS,935,5,1078
COMMUNE_0000000009741403,35240,35,53,243500139,RHEU,8571,123,2296
COMMUNE_0000000009741739,35352,35,53,243500139,VERN SUR SEICHE,7893,57,2562
COMMUNE_0000000009740669,35120,35,53,243500139,GEVEZE,5180,23,2501
COMMUNE_0000000009741398,35051,35,53,243500139,CESSON SEVIGNE,17371,115,3238
COMMUNE_0000000009742353,35139,35,53,243500139,LAILLE,5089,66,2137
COMMUNE_0000000009742036,35250,35,53,243500139,SAINT ARMEL,1869,32,2036
COMMUNE_0000000009740666,35245,35,53,243500139,ROMILLE,3891,44,1917
COMMUNE_0000000009741045,35216,35,53,243500139,PARTHENAY DE BRETAGNE,1675,16,2110
COMMUNE_0000000009741036,35334,35,53,243500139,THORIGNE FOUILLARD,8425,84,2696
COMMUNE_0000000009741042,35210,35,53,243500139,PACE,11764,65,2617
COMMUNE_0000000009738091,35132,35,53,243500782,HIREL,1380,23,1714
COMMUNE_0000000009742669,35235,35,53,200039022,RANNEE,1102,13,1116
COMMUNE_0000000009741738,35206,35,53,243500139,NOYAL CHATILLON SUR SEICHE,6915,46,2493
COMMUNE_0000000009741740,35055,35,53,243500139,CHANTEPIE,10379,78,2530
COMMUNE_0000000009741400,35238,35,53,243500139,RENNES,216268,1877,3228
