Identifiant (ID),Nom de l'organisme,Adresse de l'organisme,Code postal,Commune,Lien vers la ressource,"Description des contenus et de l'expérience proposés (min : 200, max : 500 caractères)","si ""enfants"", merci de préciser le niveau scolaire",Titre de la ressource,"Activité proposée (apprendre, se divertir, s’informer,...)",Public cible,Types de ressources proposées,Thématiques,Contenus adaptés aux types de handicap,"Temps d’activité estimé (lecture, écoute, visionnage, jeu)",Pérennité de la ressource,Organisme de rattachement,"Autre thématique, précisez","Si limité dans le temps, précisez jusqu'à quelle date","Autres, précisez",geolocalisation_ban
2711,Musée des Beaux-Arts de Rennes,20 quai Emile Zola,35000,Rennes,http://mba.rennes.fr/fr/article/sortir-du-cadre/,"<p>SORTIR DU CADRE est une création en plusieurs volets qui questionne les représentations féminines, en peinture et en sculpture. Elle propose une relecture des œuvres par le biais du corps dansant, en se jouant des codes et des représentations. Pour tenter d’en de?construire les ste?re?otypes, jouer avec les certitudes, troubler les genres, questionner les ro?les. Dix courtes vidéo de danses ont été réalisées au Musée des beaux-arts de Rennes pour et avec les artistes de la compagnie et un groupe de danseur amateurs, le Groupe En Mouvement. Ces créations se réalisent dans le cadre du festival de danse Waterproof en collaboration avec le Musée des Beaux-Arts de Rennes.</p>",,Sortir du cadre,"Films, documentaires, vidéos",Tous publics,"Vidéo, flux en direct, programmes en différé",Danse,,Le temps de manger un sandwich pendant une pause déjeuner,Accès permanent,Collectivité territoriale,,,,"48.109782, -1.674979"
2716,Les Trans musicales de Rennes,10–12 rue Jean Guy,35000,Rennes,https://www.lestrans.com/tags/what-is/,"<p>L'association des Transmusicales propose « what is… ? » une collection de podcasts de quelques minutes qui invitent à élargir ses connaissances et à découvrir une notion ou un style musical, sa genèse et ses évolutions.</p>",,what is… ?,Audios,,"Audio, radio, podcasts","Musique, concerts et opéras",,Le temps d’un vrai déjeuner,Accès permanent,Organisme privé,,,,"48.106961, -1.695234"
666,Bibliothèque des Champs Libres,46 BOULEVARD MAGENTA,35000,Rennes,http://www.tablettes-rennaises.fr,"Découvrez des milliers d'images, livres et journaux numérisés provenant des collections de livres anciens : plongez-vous dans la presse rennaise du 19e siècle, feuilletez des manuscrits médiévaux enluminés, téléchargez des incunables, et explorez des ouvrages en langue bretonne. Et réutilisez comme bon vous semble toutes ces ressources libres de droit issues du domaine public.",,Les Tablettes rennaises : patrimoine numérisé,Approfondir ses connaissances,Tous publics,"Images, collections numérisées, bases de données","Archives,Littérature, sciences humaines, langues",,Le temps d’une soirée,Accès permanent,Collectivité territoriale,,,,"48.105254, -1.674045"
1461,Archives de Rennes,18 avenue Jules Ferry,35700,Rennes,https://www.archives.rennes.fr/n/page-ressources/n:334,"<p>Cette page vous propose de découvrir un florilège des ressources numériques mises à votre disposition par les Archives de Rennes. Ces différentes entrées vous permettront d'accéder aux documents d'archives avec des approches différentes : jeux, cartographies, galeries, expositions, dossiers pédagogiques, frises chronologiques... Chacun y trouvera son compte !</p>",Primaire|Collège|Lycée,Archives en ligne,Approfondir ses connaissances,Tous publics,"72,Audio, radio, podcasts,Ressources pédagogiques,Images, collections numérisées, bases de données,Jeux,Expositions virtuelles","Archives,Histoire","Transcription textuelle,Jeu utilisant du HTML",Toute une vie ne suffit pas,Accès permanent,Collectivité territoriale,,,,"48.119676, -1.671044"
2420,Théâtre national de Bretagne,1 rue Saint-Hélier,35000,Rennes,https://www.t-n-b.fr/magazine/si-loin-si-proche-tnb,"<p>Comme nous l’avons fait, en novembre à l’occasion du Festival du TNB, nous nous emparons de la toile pour en faire une scène pliée à notre main. Le théâtre se raconte autant qu’il se regarde. Si loin de nous par temps de pandémie, l’art est en réalité au plus proche de nos attentes et de nos impatiences. Nous avons décidé d’initier une série de vidéos réalisées avec les artistes dont vous auriez dû, ce premier trimestre 2021, voir les représentations. Cette saison fantôme se déclinera sur un rythme hebdomadaire : 2 fois par semaine, elles et ils vous raconteront l’œuvre que vous n’aurez pas vue et que ne verrez pas à la date initialement indiquée dans le programme du théâtre. Les artistes vous diront le son, l’image, le geste, le cadre, la phrase, le rythme, le sens, la couleur, l’ombre, le silence, la voix, le corps qui auraient dû se déployer devant vous. Leurs mots seront les lumières qui éclairent les plateaux. Glissez-vous, avec eux, dans la nuit des théâtres.</p>",,Si proche si loin,"Actualités, débats",Tous publics,"Vidéo, flux en direct, programmes en différé","Théâtre, Spectacles",,Le temps d’un vrai déjeuner,Accès permanent,Ministère de la Culture ou opérateur national,,,,"48.107834, -1.672751"
1155,Rennes Ville et Métropole,4 avenue Henri Fréville,35200,Rennes,https://metropole.rennes.fr/le-coin-lecture,"<p>Faites le plein d'idées culture pour toute la famille ! Podcasts, énigmes, vidéos, jeux, récits longs, explorations urbaines... Dans le coin lecture, on vous donne toutes les clefs pour remplir vos journées.</p>",,Le coin lecture,Livres,Tous publics,Livres numériques,"Littérature, sciences humaines, langues",Navigation au clavier,Le temps d’un vrai déjeuner,Accès permanent,Collectivité territoriale,,,,"48.093066, -1.67494"
2709,Fonds régional d'Art contemporain Bretagne,19 avenue André Mussat,35000,Rennes,https://www.lairedu.fr/collection/tell-me-2/,"<p>TELL ME est une manifestation de performance et de radio. TELL ME cherche à rendre compte d’une scène artistique qui associe pop culture et abstraction des formes. TELL ME 2020 s’intéresse à la scène émergente en Bretagne. Au programme?: soap opera, stress&amp;objets, caricaturiste, chansons insupportables, magie, apesanteur, récits&amp;boissons, R’n’B onirique et vaporeux, langages informatisés. TELL ME est un projet du Frac Bretagne, du Musée des beaux-arts de Rennes et de La Criée centre d’art contemporain, avec *DUUU Radio et la Maison de la Poésie.?</p>",,TELL ME,Audios,Tous publics,"Audio, radio, podcasts","Arts visuels,Audiovisuel,Humour et performances",,Le temps d’un vrai déjeuner,Accès permanent,"Organisme labellisé, conventionné ou subventionné par le ministère de la culture",,,,"48.130701, -1.695711"
2710,La Criée centre d'art contemporain,Place Honoré Commeurec,35000,Rennes,https://soundcloud.com/user-891789800,<p>Découvrez les podcasts de la Criée pour tout connaître sur les actualités et les expositions du centre d'art contemporain.</p>,,Les podcasts de la Criée,"Expos, musées",Tous publics,"Audio, radio, podcasts","Arts visuels,Musées,Peinture,Photographie,Sculpture",,Le temps de manger un sandwich pendant une pause déjeuner,Accès permanent,"Organisme labellisé, conventionné ou subventionné par le ministère de la culture",,,,"48.108331, -1.679641"
2712,Musée des Beaux-Arts de Rennes,20 Quai Emile Zola,35000,Rennes,http://mba.rennes.fr/fr/actualites/contenus/,"<p>Les équipes du musée des beaux-arts ont conçu des contenus en ligne en pensant à tous les visiteurs virtuels qui ne peuvent voyager jusqu’à Rennes, aux scolaires qui ne peuvent pas se déplacer et plus largement à toutes celles et ceux qui sont empêchés de venir au musée. Ces contenus vous offrent des vidéos, des supports pédagogiques, ou encore des jeux et des activités pour les plus jeunes.</p>",,Les contenus en ligne du Musée des Beaux-Arts de Rennes,"Expos, musées",Tous publics,"Vidéo, flux en direct, programmes en différé,Ressources pédagogiques,Cours en ligne, cours en ligne ouverts et massifs, conférences, tutoriels,Images, collections numérisées, bases de données,Jeux","Arts visuels,Musées,Peinture,Sculpture",,Le temps d’un vrai déjeuner,Accès permanent,Collectivité territoriale,,,,"48.109782, -1.674979"
2287,Transmusicales,1 rue Saint-Hélier,35000,Rennes,https://explore.lestrans.com/#/,"<p>Trans Music Maps rassemble l’historique des programmations du festival en un schéma évoquant une carte des constellations musicales. Tous les artistes de chaque édition sont disposées selon trois grands regroupements de familles musicales, afin des donner des clefs de compréhensions et de lecture d’une programmation artistique basée sur la découverte, et ce depuis plus de 40 ans.</p>",,Trans Music Maps,"Concerts, spectacles",Tous publics,"Vidéo, flux en direct, programmes en différé,Audio, radio, podcasts","Musique, concerts et opéras",,Toute une vie ne suffit pas,Accès permanent,Organisme privé,,,,"48.107834, -1.672751"
