Exercice,Outre-mer,Code Insee 2024 Région,Nom 2024 Région,Code Insee 2024 Département,Nom 2024 Département,Code Siren 2024 EPCI,Nom 2024 EPCI,Strate population 2024,Commune rurale,Commune de montagne,Commune touristique,Tranche revenu par habitant,Présence QPV,Code Insee 2024 Commune,Nom 2024 Commune,Catégorie,Code Siren Collectivité,Code Insee Collectivité,Libellé Budget,Agrégat,Montant BP,Montant BA,Montant flux BP-BA,Montant,Montant en millions,Population totale,Montant en € par habitant,Compte 2024 Disponible,Population totale du dernier exercice
2016,Non,53,Bretagne,35,Ille-et-Vilaine,243500139,Rennes Métropole,6,Non,Non,Non,2,Non,35001,Acigné,Commune,213500010,35001,ACIGNE,Achats et charges externes,"967730,41","979387,35",0,"1947117,76","1,94711776",6491,"299,971924202742",1,7051
2016,Non,53,Bretagne,35,Ille-et-Vilaine,243500139,Rennes Métropole,3,Oui,Non,Non,1,Non,35022,Bécherel,Commune,213500226,35022,BECHEREL,Achats et charges externes,"100397,64",0,0,"100397,64","0,10039764",738,"136,040162601626",1,706
2016,Non,53,Bretagne,35,Ille-et-Vilaine,243500139,Rennes Métropole,7,Non,Non,Non,2,Non,35024,Betton,Commune,213500242,35024,BETTON,Achats et charges externes,"1770697,99","463970,68",0,"2234668,67","2,23466867",10984,"203,447621085215",1,12959
2016,Non,53,Bretagne,35,Ille-et-Vilaine,243500139,Rennes Métropole,5,Non,Non,Non,2,Non,35032,Bourgbarré,Commune,213500325,35032,BOURGBARRE,Achats et charges externes,"714236,1",0,0,"714236,1","0,7142361",3793,"188,303743738466",1,4646
2016,Non,53,Bretagne,35,Ille-et-Vilaine,243500139,Rennes Métropole,4,Oui,Non,Non,2,Non,35039,Brécé,Commune,213500390,35039,BRECE,Achats et charges externes,"430617,39","15041,22",0,"445658,61","0,44565861",2094,"212,826461318052",1,2191
2016,Non,53,Bretagne,35,Ille-et-Vilaine,243500139,Rennes Métropole,8,Non,Non,Non,2,Non,35047,Bruz,Commune,213500473,35047,BRUZ,Achats et charges externes,"3136902,11","632535,51",0,"3769437,62","3,76943762",17343,"217,346342616618",1,20118
2016,Non,53,Bretagne,35,Ille-et-Vilaine,243500139,Rennes Métropole,7,Non,Non,Non,3,Non,35051,Cesson-Sévigné,Commune,213500515,35051,CESSON-SEVIGNE,Achats et charges externes,"4476884,61",0,0,"4476884,61","4,47688461",17546,"255,151294312094",1,18212
2016,Non,53,Bretagne,35,Ille-et-Vilaine,243500139,Rennes Métropole,7,Non,Non,Non,2,Non,35055,Chantepie,Commune,213500556,35055,CHANTEPIE,Achats et charges externes,"2222491,53","1917003,47",0,4139495,"4,139495",10739,"385,463730328708",1,10391
2016,Non,53,Bretagne,35,Ille-et-Vilaine,243500139,Rennes Métropole,3,Oui,Non,Non,1,Non,35058,La Chapelle-Chaussée,Commune,213500580,35058,CHAPELLE-CHAUSSEE (LA ),Achats et charges externes,"236702,17",0,0,"236702,17","0,23670217",1279,"185,068154808444",1,1323
2016,Non,53,Bretagne,35,Ille-et-Vilaine,243500139,Rennes Métropole,5,Non,Non,Non,2,Non,35059,La Chapelle-des-Fougeretz,Commune,213500598,35059,CHAPELLE-DES-FOUGERETZ (LA ),Achats et charges externes,"693058,97","54003,93",0,"747062,9","0,7470629",4771,"156,584133305387",1,4696
2016,Non,53,Bretagne,35,Ille-et-Vilaine,243500139,Rennes Métropole,4,Non,Non,Non,2,Non,35065,La Chapelle-Thouarault,Commune,213500655,35065,CHAPELLE-THOUARAULT (LA ),Achats et charges externes,"290543,94","48857,94",0,"339401,88","0,33940188",1971,"172,197808219178",1,2294
2016,Non,53,Bretagne,35,Ille-et-Vilaine,243500139,Rennes Métropole,6,Non,Non,Non,2,Non,35066,Chartres-de-Bretagne,Commune,213500663,35066,CHARTRES-DE-BRETAGNE,Achats et charges externes,"1785920,75","125091,29","39863,84","1871148,2","1,8711482",7570,"247,179418758256",1,8377
2016,Non,53,Bretagne,35,Ille-et-Vilaine,243500139,Rennes Métropole,5,Non,Non,Non,2,Non,35076,Chavagne,Commune,213500762,35076,CHAVAGNE,Achats et charges externes,"575450,66","2153,84",0,"577604,5","0,5776045",3752,"153,945762260128",1,4476
2016,Non,53,Bretagne,35,Ille-et-Vilaine,243500139,Rennes Métropole,4,Non,Non,Non,2,Non,35079,Chevaigné,Commune,213500796,35079,CHEVAIGNE,Achats et charges externes,"384812,71","49758,57",0,"434571,28","0,43457128",2010,"216,204616915423",1,2414
2016,Non,53,Bretagne,35,Ille-et-Vilaine,243500139,Rennes Métropole,4,Oui,Non,Non,2,Non,35080,Cintré,Commune,213500804,35080,CINTRE,Achats et charges externes,"494568,04",0,0,"494568,04","0,49456804",2228,"221,978473967684",1,2600
2016,Non,53,Bretagne,35,Ille-et-Vilaine,243500139,Rennes Métropole,3,Oui,Non,Non,2,Non,35081,Clayes,Commune,213500812,35081,CLAYES,Achats et charges externes,"138083,67",0,0,"138083,67","0,13808367",728,"189,675370879121",1,969
2016,Non,53,Bretagne,35,Ille-et-Vilaine,243500139,Rennes Métropole,5,Non,Non,Non,2,Non,35088,Corps-Nuds,Commune,213500887,35088,CORPS-NUDS,Achats et charges externes,"515206,73",0,0,"515206,73","0,51520673",3247,"158,671613797351",1,3621
