iris2019,semaine_glissante,clage_65,ti_classe,td_classe,tp_classe
350010101,2020-12-05-2020-12-11,0,[0;10[,[1000;1500[,[0;1[
350010102,2020-12-05-2020-12-11,0,[50;150[,[1000;1500[,[10;15[
350010101,2020-12-05-2020-12-11,65,[0;10[,[800;1000[,[0;1[
350010102,2020-12-05-2020-12-11,65,[500;1000[,[1000;1500[,[30;Max]
350010101,2020-12-06-2020-12-12,0,[0;10[,[1000;1500[,[0;1[
350010102,2020-12-06-2020-12-12,0,[50;150[,[1000;1500[,[5;10[
350010101,2020-12-06-2020-12-12,65,[0;10[,[1000;1500[,[0;1[
350010102,2020-12-06-2020-12-12,65,[500;1000[,[1500;2000[,[30;Max]
350010101,2020-12-07-2020-12-13,0,[0;10[,[1000;1500[,[0;1[
350010102,2020-12-07-2020-12-13,0,[50;150[,[1000;1500[,[5;10[
350010101,2020-12-07-2020-12-13,65,[0;10[,[1500;2000[,[0;1[
350010102,2020-12-07-2020-12-13,65,[500;1000[,[1500;2000[,[30;Max]
350010101,2020-12-08-2020-12-14,0,[20;50[,[1500;2000[,[1;5[
350010102,2020-12-08-2020-12-14,0,[50;150[,[1500;2000[,[5;10[
350010101,2020-12-08-2020-12-14,65,[0;10[,[1500;2000[,[0;1[
350010102,2020-12-08-2020-12-14,65,[500;1000[,[1500;2000[,[30;Max]
350010101,2020-12-09-2020-12-15,0,[20;50[,[1500;2000[,[1;5[
350010102,2020-12-09-2020-12-15,0,[50;150[,[1500;2000[,[1;5[
350010101,2020-12-09-2020-12-15,65,[0;10[,[2000;2500[,[0;1[
350010102,2020-12-09-2020-12-15,65,[150;250[,[1500;2000[,[10;15[
350010101,2020-12-10-2020-12-16,0,[50;150[,[1500;2000[,[1;5[
350010102,2020-12-10-2020-12-16,0,[50;150[,[1500;2000[,[1;5[
350010101,2020-12-10-2020-12-16,65,[10;20[,[2000;2500[,[0;1[
350010102,2020-12-10-2020-12-16,65,[10;20[,[1000;1500[,[1;5[
350010101,2020-12-11-2020-12-17,0,[50;150[,[2000;2500[,[1;5[
350010102,2020-12-11-2020-12-17,0,[20;50[,[1500;2000[,[1;5[
350010101,2020-12-11-2020-12-17,65,[10;20[,[1500;2000[,[0;1[
350010102,2020-12-11-2020-12-17,65,[10;20[,[1000;1500[,[0;1[
350010101,2020-12-12-2020-12-18,0,[50;150[,[2000;2500[,[1;5[
350010102,2020-12-12-2020-12-18,0,[20;50[,[2000;2500[,[1;5[
350010101,2020-12-12-2020-12-18,65,[10;20[,[2000;2500[,[0;1[
350010102,2020-12-12-2020-12-18,65,[10;20[,[1500;2000[,[0;1[
350010101,2020-12-13-2020-12-19,0,[50;150[,[2000;2500[,[1;5[
350010102,2020-12-13-2020-12-19,0,[50;150[,[2500;Max],[1;5[
350010101,2020-12-13-2020-12-19,65,[10;20[,[1500;2000[,[0;1[
350010102,2020-12-13-2020-12-19,65,[10;20[,[1500;2000[,[0;1[
