code UAI,n° SIRET,type d'établissement,nom,sigle,statut,tutelle,université de rattachement libellé et UAI,université de rattachement ID et URL Onisep,établissements liés libellés,établissements liés URL et ID Onisep,boîte postale,adresse,CP,commune,commune (COG),cedex,téléphone,arrondissement,département,académie,région,région (COG),longitude (X),latitude (Y),journées portes ouvertes,URL et ID Onisep,date création,date de modification
0352977W,84069177800020,centre de formation d'apprentis,École digitale 301,,privé,,,,,,,801 avenue des champs blancs,35510,Cesson-Sévigné,35051,,02 44 10 13 50,,35 - Ille-et-Vilaine,Rennes,Bretagne,53,-1.6038829,48.1197799,,https://www.onisep.fr/http/redirection/etablissement/slug/ENS.24322,18/03/2024,24/02/2025
0352955X,44432511200035,autre établissement d'enseignement,Biopraxia école d'ostéopathie animale,,privé,,,,,,,18 rue de la Frébardière,35000,Rennes,35238,,02 23 40 45 64,,35 - Ille-et-Vilaine,Rennes,Bretagne,53,-1.6267465,48.0992707,,https://www.onisep.fr/http/redirection/etablissement/slug/ENS.13658,06/06/2020,05/11/2025
0352952U,42968925000067,centre de formation d'apprentis,Lodima Ouest,,privé,,,,Lodima Ouest à Quimper (29) | Lodima Ouest à Lanester (56),https://www.onisep.fr/http/redirection/etablissement/slug/ENS.23063 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.23062,,45 rue Louis Blériot,35170,Bruz,35047,,02 99 35 59 93,,35 - Ille-et-Vilaine,Rennes,Bretagne,53,-1.7512514,48.0445189,,https://www.onisep.fr/http/redirection/etablissement/slug/ENS.23083,02/12/2022,14/10/2025
0351976H,77769814300024,maison familiale rurale,Maison familiale rurale horticole,MFR,privé sous contrat,"Ministère de l'agriculture, de l'agro-alimentaire et de la souveraineté alimentaire",,,CFTA de l'Abbaye de Montfort-sur-Meu à Montfort-sur-Meu (35) | Maison familiale rurale à Questembert (56) | Maison familiale rurale à Guilliers (56) | Maison familiale rurale à Landivisiau (29) | Maison familiale rurale à Saint-Méen-le-Grand (35) | Maison familiale rurale à Plérin (22) | Maison familiale rurale à Elliant (29) | Maison familiale rurale à Pleyben (29) | Maison familiale rurale à Plounévez-Lochrist (29) | Maison familiale rurale à Saint-Renan (29) | Maison familiale rurale à Baulon (35) | Maison familiale rurale à Fougères (35) | Maison familiale rurale à Goven (35) | Maison familiale rurale à Guipry-Messac (35) | Maison familiale rurale à Janzé (35) | Maison familiale rurale à Saint-Symphorien (35) | Maison familiale rurale - CFA à Saint-Aubin-d'Aubigné (35) | Maison familiale rurale - CFA à Loudéac (22) | Maison familiale rurale - CFA à Montauban-de-Bretagne (35) | Maison familiale rurale Formations Compétences Bretagne Centre à Lamballe-Armor (22) | Maison familiale rurale - IREO à Lesneven (29) | Maison familiale rurale Plabennec - Ploudaniel à Plabennec (29) | Maison familiale rurale Plabennec - Ploudaniel à Ploudaniel (29) | Maison familiale rurale - Rumengol à Le Faou (29) | Maison familiale urbaine à Saint-Grégoire (35),https://www.onisep.fr/http/redirection/etablissement/slug/ENS.3187 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.11818 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.13926 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.2228 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.8073 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.5991 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.11814 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.16129 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.6560 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.9848 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.14399 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.11812 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.5392 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.6314 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.18296 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.9432 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.11319 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.2350 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.11817 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.24680 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.16467 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.2699 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.16043 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.6004 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.16978,BP 46325,Les Rabinardières,35760,Saint-Grégoire,35278,Cedex,02 99 68 81 11,,35 - Ille-et-Vilaine,Rennes,Bretagne,53,-1.6888,48.1782,,https://www.onisep.fr/http/redirection/etablissement/slug/ENS.15532,06/06/2020,27/02/2026
0353080H,81436722300066,autre établissement d'enseignement,École supérieure de commerce des affaires et du management,ESCAM,privé,,,,École supérieure de commerce des affaires et du management à Brest (29) | École supérieure de commerce des affaires et du management à Lorient (56),https://www.onisep.fr/http/redirection/etablissement/slug/ENS.13188 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.19401,,167 route de Lorient,35000,Rennes,35238,,02 99 59 70 13,,35 - Ille-et-Vilaine,Rennes,Bretagne,53,-1.7487438,48.1048139,,https://www.onisep.fr/http/redirection/etablissement/slug/ENS.24653,26/08/2024,19/05/2026
0353159U,,école d'ingénieurs,École centrale d'électronique - Groupe ECE - campus de Rennes,,privé,,,,École centrale d'électronique - Groupe ECE - campus de Bordeaux à Bordeaux (33) | École centrale d'électronique - Groupe ECE - campus de Lyon à Lyon (69) | École centrale d'électronique - Groupe ECE - campus de Marseille à Marseille (13) | École centrale d'électronique - Groupe ECE - campus de Paris à Paris (75),https://www.onisep.fr/http/redirection/etablissement/slug/ENS.23132 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.19049 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.25589 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.16003,,31 rue Monseigneur Duchesne,35000,Rennes,35238,,02 30 79 05 70,,35 - Ille-et-Vilaine,Rennes,Bretagne,53,-1.664772,48.1057625,le 08/06/2026,https://www.onisep.fr/http/redirection/etablissement/slug/ENS.25588,19/01/2026,03/03/2026
0352999V,,autre établissement d'enseignement,École privée des sciences informatiques - campus Rennes,EPSI,privé,,,,,,CS 84233,Rue Fernand Robert,35000,Rennes,35238,,02 85 52 33 10,,35 - Ille-et-Vilaine,Rennes,Bretagne,53,-1.7086434,48.1323861,,https://www.onisep.fr/http/redirection/etablissement/slug/ENS.22563,24/02/2022,06/05/2026
0353106L,41273026900229,centre de formation professionnelle,Arinfo I-Maginer,,privé,,,,,,,4 allée de la Bourgonnette,35000,Rennes,35238,,02 99 26 95 26,,35 - Ille-et-Vilaine,Rennes,Bretagne,53,-1.6354885,48.0952706,,https://www.onisep.fr/http/redirection/etablissement/slug/ENS.24431,29/04/2024,23/12/2025
0352354U,35119111900160,autre établissement d'enseignement,Institut des hautes études comptables et financières,IHECF,privé,,,,AFTEC à Rennes (35) | CFA du Groupe AFTEC à Rennes (35) | CFA IHECF - AFTEC à Rennes (35) | IPAC Bachelor Factory à Rennes (35) | MBway Rennes à Rennes (35) | My Digital School Rennes à Rennes (35) | Studio M - AFTEC à Rennes (35) | WIN Sport School Rennes à Rennes (35),https://www.onisep.fr/http/redirection/etablissement/slug/ENS.15921 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.23526 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.25220 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.23346 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.23352 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.23525 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.25214 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.23511,,"1 rue Pierre de Maupertuis, Campus de Ker Lann",35170,Bruz,35047,,02 99 57 11 26,,35 - Ille-et-Vilaine,Rennes,Bretagne,53,-1.7423651,48.0489158,"le 03/06/2026 de 18h00 à 18h40, en virtuel | le 20/06/2026 de 09h00 à 13h00",https://www.onisep.fr/http/redirection/etablissement/slug/ENS.2784,06/06/2020,02/06/2025
0352494W,19350700100033,centre de formation d'apprentis,Centre de formation et de promotion professionnelle agricole,CFPPA,public,"Ministère de l'agriculture, de l'agro-alimentaire et de la souveraineté alimentaire",,,Centre de promotion sociale agricole à Combourg (35) | Lycée agricole Théodore Monod à Le Rheu (35),https://www.onisep.fr/http/redirection/etablissement/slug/ENS.22411 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.12525,,Rue des Chardonnerets,35650,Le Rheu,35240,,02 99 60 87 77,,35 - Ille-et-Vilaine,Rennes,Bretagne,53,-1.8043956,48.094699,,https://www.onisep.fr/http/redirection/etablissement/slug/ENS.22472,27/01/2022,07/01/2025
