code UAI,n° SIRET,type d'établissement,nom,sigle,statut,tutelle,université de rattachement libellé et UAI,université de rattachement ID et URL Onisep,établissements liés libellés,établissements liés URL et ID Onisep,boîte postale,adresse,CP,commune,commune (COG),cedex,telephone,arrondissement,département,académie,région,région (COG),longitude (X),latitude (Y),journées portes ouvertes,langues enseignées,URL et ID Onisep,date création,date de modification
0352691K,19352477400018,collège,Collège Andrée Récipon,,public,Ministère chargé de l'Éducation nationale,,,,,,6 rue de Pont Péan,35230,Orgères,35208,,02 23 50 00 30,,Ille-et-Vilaine,Rennes,Bretagne,53,-1.6687,48.0028,,"Allemand, Anglais, Espagnol, Italien, Langues et cultures de l'Antiquité : grec, Langues et cultures de l'Antiquité : latin, Langues et cultures européennes : anglais",https://www.onisep.fr/http/redirection/etablissement/slug/ENS.15694,06/06/2020,31/03/2021
0352849G,51424830100020,école de formation sportive,École nationale de culture physique,ENCP,privé,Ministère chargé des sports,,,,,,4 rue Nikola Tesla,35000,Rennes,35238,,02 99 30 06 81,,Ille-et-Vilaine,Rennes,Bretagne,53,-1.73342,48.107,,,https://www.onisep.fr/http/redirection/etablissement/slug/ENS.18355,06/06/2020,28/11/2025
0351884H,13002280900029,centre de formation d'apprentis,Faculté des métiers de la CCI d'Ille-et-Vilaine - Campus de Rennes,,privé,Chambre de commerce et d'industrie,,,CFA de l'industrie de Bretagne de la CCI - antenne de Fougères à Fougères (35) | École d'audioprothèse de la Faculté des métiers de la CCI d'Ille et Vilaine à Fougères (35) | Faculté des métiers de la CCI d'Ille-et-Vilaine - Campus de Fougères à Fougères (35) | Faculté des métiers de la CCI d'Ille-et-Vilaine - Campus de Lorient à Lorient (56) | Faculté des métiers de la CCI d'Ille-et-Vilaine - Campus de Saint-Malo à Saint-Malo (35) | Faculté des métiers de la CCI d'Ille-et-Vilaine - Campus de Vannes à Vannes (56),https://www.onisep.fr/http/redirection/etablissement/slug/ENS.8267 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.9351 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.15594 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.15534 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.2384 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.7125,BP 17201,"Rue des Frères Montgolfier, Campus de Ker Lann",35170,Bruz,35047,Cedex,02 99 05 45 45,,Ille-et-Vilaine,Rennes,Bretagne,53,-1.7448295,48.0434449,,"Anglais, Espagnol",https://www.onisep.fr/http/redirection/etablissement/slug/ENS.8801,06/06/2020,07/05/2026
0352842Z,34025814400286,autre établissement d'enseignement,Institut breton d'éducation permanente,IBEP,privé,Ministère chargé des sports,,,École Pigier Lorient à Lorient (56) | Institut breton d'éducation permanente à Vannes (56) | Institut breton d'éducation permanente à Morlaix (29) | Institut breton d'éducation permanente à Quimper (29) | Institut breton d'éducation permanente à Lorient (56) | Institut breton d'éducation permanente à Brest (29),https://www.onisep.fr/http/redirection/etablissement/slug/ENS.22678 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.24582 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.24579 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.24581 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.24578 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.25097,,41 rue Charles Géniaux,35000,Rennes,35238,,02 99 86 11 86,,Ille-et-Vilaine,Rennes,Bretagne,53,-1.7136755,48.1117364,,,https://www.onisep.fr/http/redirection/etablissement/slug/ENS.15729,06/06/2020,29/10/2025
0352715L,48538820100041,centre de formation d'apprentis,CFA de l'enseignement catholique de Bretagne,CFA ECB,privé,"Ministère de l'agriculture, de l'agro-alimentaire et de la souveraineté alimentaire",,,,,,9 rue Franz Heller,35700,Rennes,35238,Cedex 07,02 22 06 06 13,,Ille-et-Vilaine,Rennes,Bretagne,53,-1.6649,48.1252,,,https://www.onisep.fr/http/redirection/etablissement/slug/ENS.15918,06/06/2020,16/01/2025
0352997T,80863414100325,centre de formation d'apprentis,CFA Promotrans Rennes,,privé,,,,,,,"3 rue Claude Chappe, ZAC le Vallon",35230,Noyal-Châtillon-sur-Seiche,35206,,02 99 52 55 34,,Ille-et-Vilaine,Rennes,Bretagne,53,-1.6953727,48.0674592,,,https://www.onisep.fr/http/redirection/etablissement/slug/ENS.22981,24/10/2022,26/02/2025
0352009U,19352009500012,micro-lycée,Micro-lycée Victor et Hélène Basch,,public,Ministère chargé de l'Éducation nationale,,,Lycée Victor et Hélène Basch à Rennes (35),https://www.onisep.fr/http/redirection/etablissement/slug/ENS.5629,BP 18316,15 avenue Charles Tillon,35000,Rennes,35238,Cedex,02 99 54 44 43,,Ille-et-Vilaine,Rennes,Bretagne,53,-1.6893356,48.1265835,,,https://www.onisep.fr/http/redirection/etablissement/slug/ENS.16862,06/06/2020,17/02/2026
0351002Z,77750927400067,centre de formation d'apprentis,Bâtiment CFA Ille-et-Vilaine,,privé,Ministère chargé des Entreprises et du commerce,,,Bâtiment CFA Côtes d'Armor à Plérin (22) | Bâtiment CFA Finistère à Quimper (29) | Bâtiment CFA Morbihan à Vannes (56),https://www.onisep.fr/http/redirection/etablissement/slug/ENS.4105 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.8043 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.16426,,15 rue de la Marebaudière,35760,Montgermont,35189,,02 99 23 61 00,,Ille-et-Vilaine,Rennes,Bretagne,53,-1.7164631,48.1505426,,,https://www.onisep.fr/http/redirection/etablissement/slug/ENS.3551,06/06/2020,12/02/2025
0352494W,19350700100033,centre de formation d'apprentis,Centre de formation et de promotion professionnelle agricole,CFPPA,public,"Ministère de l'agriculture, de l'agro-alimentaire et de la souveraineté alimentaire",,,Centre de promotion sociale agricole à Combourg (35) | Lycée agricole Théodore Monod à Le Rheu (35),https://www.onisep.fr/http/redirection/etablissement/slug/ENS.22411 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.12525,,Rue des Chardonnerets,35650,Le Rheu,35240,,02 99 60 87 77,,Ille-et-Vilaine,Rennes,Bretagne,53,-1.8043956,48.094699,,Anglais,https://www.onisep.fr/http/redirection/etablissement/slug/ENS.22472,27/01/2022,07/01/2025
0352529J,30071741000272,école de santé,Institut de formation d'aides-soignants - Institut de formation santé de l'Ouest,IFAS - IFSO,privé,Ministère des Solidarités et de la Santé,,,Institut de formation d'aides-soignants - Institut de formation santé de l'Ouest à Bain-de-Bretagne (35) | Institut de formation d'aides-soignants - Institut formation santé de l'Ouest à Laval (53) | Institut de formation d'aides-soignants - Institut formation santé de l'Ouest à Le Mans (72) | Institut de Formation d'Aides-Soignants - Institut Formation Santé de l'Ouest à Angers (49) | Institut formation santé de l'Ouest à Nantes (44) | Institut formation santé de l'Ouest à La Roche-sur-Yon (85) | Institut formation santé de l'Ouest à Landerneau (29) | Institut formation santé de l'Ouest à Pleyben (29),https://www.onisep.fr/http/redirection/etablissement/slug/ENS.23166 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.10972 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.2377 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.4882 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.9701 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.12756 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.4521 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.23302,,"12 ter avenue de Pologne, Immeuble Le Samara",35200,Rennes,35238,,02 99 62 83 56,,Ille-et-Vilaine,Rennes,Bretagne,53,-1.6516848,48.0873781,,,https://www.onisep.fr/http/redirection/etablissement/slug/ENS.11061,06/06/2020,23/02/2026
