codgeo,id_col,bord,troue,enclave,isole,multi_poly,voisins_codgeo,voisins_id,dep,reg,libgeo,xct3857,xcl3857,yct3857,ycl3857
35001,c1,Z,Z,Z,Z,Z,35031|35327|35039|35207|35051|35334|35152,13216|13488|13223|13379|13233|13495|13326,35,53,Acigné,-168981,-170785,6131830,6129113
35022,c0,Z,Z,Z,Z,Z,35156|35180,13330|13353,35,53,Bécherel,-216319,-216588,6156293,6156347
35024,c1,Z,Z,Z,Z,Z,35079|35197|35315|35152|35334|35051|35238|35278|35173,13258|13369|13477|13326|13495|13233|13408|13445|13346,35,53,Betton,-183374,-182591,6136931,6137247
35032,c2,Z,Z,Z,Z,Z,35352|35250|35088|35054|35208|35266,13509|13420|13266|13235|13380|13435,35,53,Bourgbarré,-180256,-179681,6105787,6106025
35039,c0,Z,Z,Z,Z,Z,35327|35207|35001,13488|13379|13188,35,53,Brécé,-165787,-165062,6125485,6125281
35047,c0,Z,Z,Z,Z,Z,35281|35066|35363|35139|35126|35123|35076,13448|13247|13520|13314|13302|13299|13255,35,53,Bruz,-194293,-194373,6111091,6110925
35051,c2,Z,Z,Z,Z,Z,35334|35001|35207|35099|35055|35238|35024,13495|13188|13379|13277|13236|13408|13209,35,53,Cesson-Sévigné,-176751,-178465,6125072,6126749
35055,c3,Z,Z,Z,Z,Z,35099|35352|35206|35238|35051,13277|13509|13378|13408|13233,35,53,Chantepie,-176453,-180382,6120257,6121574
35058,c0,Z,Z,Z,Z,Z,35258|35317|35276|35146|35144|35245|35180|35050|35134,13427|13479|13443|13321|13319|13415|13353|13232|13309,35,53,La Chapelle-Chaussée,-207456,-206312,6151455,6152053
35059,c0,Z,Z,Z,Z,Z,35173|35278|35189|35210|35177,13346|13445|13361|13381|13350,35,53,La Chapelle-des-Fougeretz,-193859,-192872,6136608,6136375
35065,c1,Z,Z,Z,Z,Z,35275|35131|35196|35080|35040,13442|13306|13368|13259|13224,35,53,La Chapelle-Thouarault,-206774,-207761,6127801,6127470
35066,c4,Z,Z,Z,Z,Z,35206|35363|35047|35281,13378|13520|13230|13448,35,53,Chartres-de-Bretagne,-189263,-190072,6113575,6113655
35076,c4,Z,Z,Z,Z,Z,35240|35281|35047|35123|35196,13410|13448|13230|13299|13368,35,53,Chavagne,-199195,-199153,6116002,6115567
35079,c0,Z,Z,Z,Z,Z,35251|35197|35024|35173|35274,13421|13369|13209|13346|13441,35,53,Chevaigné,-182185,-181504,6143817,6142213
35080,c2,Z,Z,Z,Z,Z,35065|35196|35331|35040,13246|13368|13492|13224,35,53,Cintré,-211266,-208467,6125154,6124510
35081,c0,Z,Z,Z,Z,Z,35216|35275|35227,13386|13442|13397,35,53,Clayes,-206167,-206328,6136910,6136260
35088,c1,Z,Z,Z,Z,Z,35204|35002|35136|35041|35054|35032|35250,13376|13189|13311|13225|13235|13217|13420,35,53,Corps-Nuds,-175316,-176785,6104384,6103368
35120,c0,Z,Z,Z,Z,Z,35356|35177|35210|35275|35216|35245|35144|35146,13513|13350|13381|13442|13386|13415|13319|13321,35,53,Gévezé,-200216,-199120,6142287,6143669
35131,c3,Z,Z,Z,Z,Z,35210|35240|35196|35065|35275,13381|13410|13368|13246|13442,35,53,L'Hermitage,-201986,-202361,6127063,6128101
35132,c2,A,Z,Z,Z,Z,35361|35186|35116|35255,13518|13358|13292|13424,35,53,Hirel,-200728,-200446,6207008,6208274
35135,c0,Z,Z,Z,Z,Z,35180|35245|35023|35060|35143|35307,13353|13415|13208|13241|13318|13470,35,53,Irodouër,-217039,-216931,6148036,6148373
35136,c0,Z,Z,Z,Z,Z,35002|35220|35108|35333|35262|35089|35343|35321|35041|35088,13189|13390|13285|13494|13431|13267|13503|13483|13225|13266,35,53,Janzé,-167519,-166780,6096438,6100095
35139,c1,Z,Z,Z,Z,Z,35363|35208|35054|35090|35033|35126|35047,13520|13380|13235|13268|13218|13302|13230,35,53,Laillé,-191280,-191624,6101540,6103323
35144,c1,Z,Z,Z,Z,Z,35146|35120|35245|35058,13321|13296|13415|13239,35,53,Langan,-204661,-206420,6144628,6147619
35150,c0,Z,Z,Z,Z,Z,35215|35142|35138|35115|35137|35243|35273,13385|13317|13313|13291|13312|13413|13440,35,53,Lécousse,-136398,-135545,6167370,6168301
