CODGEO,LIBGEO,DEP,REG,EPCI,NATURE_EPCI,ARR,CV,ZE2020,UU2020,TUU2017,TDUU2017,AAV2020,TAAV2017,TDAAV2017,CATEAAV2020,BV2012
35001,Acigné,35,53,243500139,ME,353,3513,5315,35213,2,21,013,4,41,20,35001
35022,Bécherel,35,53,243500139,ME,353,3515,5315,35000,0,00,013,4,41,20,35184
35024,Betton,35,53,243500139,ME,353,3503,5315,35701,7,72,013,4,41,20,35024
35032,Bourgbarré,35,53,243500139,ME,353,3512,5315,35124,1,14,013,4,41,20,35352
35039,Brécé,35,53,243500139,ME,353,3513,5315,35000,0,00,013,4,41,20,35068
35047,Bruz,35,53,243500139,ME,353,3504,5315,35701,7,72,013,4,41,20,35238
35051,Cesson-Sévigné,35,53,243500139,ME,353,3503,5315,35701,7,72,013,4,41,12,35238
35055,Chantepie,35,53,243500139,ME,353,3520,5315,35701,7,72,013,4,41,12,35238
35058,La Chapelle-Chaussée,35,53,243500139,ME,353,3515,5315,35000,0,00,013,4,41,20,35337
35059,La Chapelle-des-Fougeretz,35,53,243500139,ME,353,3503,5315,35701,7,72,013,4,41,20,35238
35065,La Chapelle-Thouarault,35,53,243500139,ME,353,3524,5315,35302,3,32,013,4,41,20,35240
35066,Chartres-de-Bretagne,35,53,243500139,ME,353,3504,5315,35701,7,72,013,4,41,20,35238
35076,Chavagne,35,53,243500139,ME,353,3524,5315,35122,1,14,013,4,41,20,35238
35079,Chevaigné,35,53,243500139,ME,353,3503,5315,35101,1,11,013,4,41,20,35024
35080,Cintré,35,53,243500139,ME,353,3524,5315,35000,0,00,013,4,41,20,35196
35081,Clayes,35,53,243500139,ME,353,3514,5315,35000,0,00,013,4,41,20,35238
35088,Corps-Nuds,35,53,243500139,ME,353,3512,5315,35110,1,13,013,4,41,20,35136
35120,Gévezé,35,53,243500139,ME,353,3514,5315,35203,2,21,013,4,41,20,35238
35131,L'Hermitage,35,53,243500139,ME,353,3524,5315,35302,3,32,013,4,41,20,35240
35132,Hirel,35,53,243500782,CA,354,3507,5317,35000,0,00,088,2,24,20,35095
35135,Irodouër,35,53,200038990,CC,353,3515,5315,35000,0,00,013,4,41,20,35184
35136,Janzé,35,53,243500634,CC,351,3512,5315,35220,2,22,013,4,41,20,35136
35139,Laillé,35,53,243500139,ME,353,3504,5315,35201,2,21,013,4,41,20,35126
35144,Langan,35,53,243500139,ME,353,3515,5315,35000,0,00,013,4,41,20,35023
35150,Lécousse,35,53,200072452,CA,351,3508,5305,35401,4,42,172,2,21,20,35115
35160,Loutehel,35,53,200043990,CC,352,3511,5311,35000,0,00,431,1,12,20,56075
35170,Mecé,35,53,200039022,CA,351,3527,5319,35000,0,00,013,4,41,20,35253
35180,Miniac-sous-Bécherel,35,53,243500139,ME,353,3515,5315,35000,0,00,013,4,41,20,35184
35189,Montgermont,35,53,243500139,ME,353,3503,5315,35701,7,72,013,4,41,20,35238
35190,Monthault,35,53,200072452,CA,351,3509,5305,35000,0,00,172,2,21,20,35162
35196,Mordelles,35,53,243500139,ME,353,3524,5315,35216,2,22,013,4,41,20,35196
35200,Moutiers,35,53,200039022,CA,351,3510,5319,35000,0,00,474,1,11,20,35125
35204,Nouvoitou,35,53,243500139,ME,353,3512,5315,35108,1,13,013,4,41,20,35069
35206,Noyal-Châtillon-sur-Seiche,35,53,243500139,ME,353,3504,5315,35701,7,72,013,4,41,20,35238
35208,Orgères,35,53,243500139,ME,353,3512,5315,35129,1,14,013,4,41,20,35238
35210,Pacé,35,53,243500139,ME,353,3523,5315,35701,7,72,013,4,41,20,35238
35216,Parthenay-de-Bretagne,35,53,243500139,ME,353,3514,5315,35000,0,00,013,4,41,20,35238
35230,Poilley,35,53,200072452,CA,351,3509,5305,35000,0,00,172,2,21,20,50487
35235,Rannée,35,53,200039022,CA,351,3510,5319,35204,2,21,474,1,11,20,35125
35238,Rennes,35,53,243500139,ME,353,3598,5315,35701,7,72,013,4,41,11,35238
35240,Le Rheu,35,53,243500139,ME,353,3524,5315,35302,3,32,013,4,41,20,35240
35245,Romillé,35,53,243500139,ME,353,3515,5315,35118,1,13,013,4,41,20,35023
35250,Saint-Armel,35,53,243500139,ME,353,3512,5315,35000,0,00,013,4,41,20,35352
35266,Saint-Erblon,35,53,243500139,ME,353,3512,5315,35107,1,13,013,4,41,20,35238
35275,Saint-Gilles,35,53,243500139,ME,353,3514,5315,35132,1,14,013,4,41,20,35238
35278,Saint-Grégoire,35,53,243500139,ME,353,3503,5315,35701,7,72,013,4,41,12,35238
35281,Saint-Jacques-de-la-Lande,35,53,243500139,ME,353,3522,5315,35701,7,72,013,4,41,12,35238
35310,Saint-Sauveur-des-Landes,35,53,200072452,CA,351,3508,5305,35119,1,13,172,2,21,20,35115
35315,Saint-Sulpice-la-Forêt,35,53,243500139,ME,353,3513,5315,35000,0,00,013,4,41,20,35152
35334,Thorigné-Fouillard,35,53,243500139,ME,353,3513,5315,35701,7,72,013,4,41,20,35238
35351,Le Verger,35,53,243500139,ME,353,3524,5315,35000,0,00,013,4,41,20,35196
35352,Vern-sur-Seiche,35,53,243500139,ME,353,3512,5315,35219,2,22,013,4,41,20,35352
35353,Vezin-le-Coquet,35,53,243500139,ME,353,3524,5315,35701,7,72,013,4,41,20,35240
35363,Pont-Péan,35,53,243500139,ME,353,3504,5315,35701,7,72,013,4,41,20,35238
