id_zone,INSEE,LIBGEO,DEP,REG,EPCI,TYPPRED,loypredm2,lwr.IPm2,upr.IPm2,R2adj,NBobs_maille,NBobs_commune
2129,35001,Acigné,35,53,243500139,commune,"10,54158832","8,97663436","12,37937068","0,884214475",729,356
1737,35022,Bécherel,35,53,243500139,maille,"8,344447085","6,985863793","9,967242307","0,844262601",840,67
88,35024,Betton,35,53,243500139,commune,"10,58580563","9,125397554","12,27993412","0,910607683",1439,1085
2621,35032,Bourgbarré,35,53,243500139,commune,"9,514016035","7,92064734","11,42791709","0,851574597",867,235
2129,35039,Brécé,35,53,243500139,maille,"9,29624415","7,911472997","10,92339636","0,884214475",729,21
999,35047,Bruz,35,53,243500139,commune,"10,51463401","8,961345433","12,33715732","0,895188903",3033,3033
481,35051,Cesson-Sévigné,35,53,243500139,commune,"11,45600658","9,919255528","13,2308404","0,920959767",3089,3089
514,35055,Chantepie,35,53,243500139,commune,"10,96370742","9,449666968","12,7203298","0,875338224",1180,1180
1737,35058,La Chapelle-Chaussée,35,53,243500139,maille,"8,344447085","6,985863793","9,967242307","0,844262601",840,15
2690,35059,La Chapelle-des-Fougeretz,35,53,243500139,commune,"10,75216229","9,143837211","12,6433784","0,88599223",725,325
1762,35065,La Chapelle-Thouarault,35,53,243500139,maille,"7,651786079","6,277078175","9,327561098","0,783014698",906,39
241,35066,Chartres-de-Bretagne,35,53,243500139,commune,"10,6354578","9,204367231","12,28905363","0,875541902",1421,1421
579,35076,Chavagne,35,53,243500139,commune,"10,06866175","8,519763118","11,89915118","0,84099327",1150,222
2723,35079,Chevaigné,35,53,243500139,maille,"9,474216981","8,022800839","11,18821085","0,85973653",582,61
1762,35080,Cintré,35,53,243500139,maille,"7,651786079","6,277078175","9,327561098","0,783014698",906,35
2429,35081,Clayes,35,53,243500139,maille,"9,496132719","7,880904598","11,44240937","0,832581329",993,4
2058,35088,Corps-Nuds,35,53,243500139,maille,"7,615060845","6,453982103","8,985018976","0,87609409",514,92
2361,35120,Gévezé,35,53,243500139,commune,"9,944372248","8,528494169","11,59531067","0,81652141",748,445
579,35131,L'Hermitage,35,53,243500139,commune,"10,10111313","8,533641988","11,95649955","0,84099327",1150,254
1719,35132,Hirel,35,53,243500782,maille,"7,522100931","5,975803715","9,46851756","0,735197265",761,11
2429,35135,Irodouër,35,53,200038990,commune,"8,762824448","7,282093902","10,54464462","0,832581329",993,100
493,35136,Janzé,35,53,243500634,commune,"8,835532137","7,256513283","10,75814583","0,788377081",687,687
2621,35139,Laillé,35,53,243500139,maille,"10,14178187","8,439648364","12,18720675","0,851574597",867,91
2429,35144,Langan,35,53,243500139,maille,"9,496132719","7,880904598","11,44240937","0,832581329",993,24
1758,35150,Lécousse,35,53,200072452,maille,"6,815471874","5,372749638","8,645602344","0,743390181",930,59
2253,35160,Loutehel,35,53,200043990,maille,"7,328328087","5,793730931","9,269397078","0,736169297",909,13
1758,35170,Mecé,35,53,200039022,maille,"6,815471874","5,372749638","8,645602344","0,743390181",930,0
1737,35180,Miniac-sous-Bécherel,35,53,243500139,maille,"8,344447085","6,985863793","9,967242307","0,844262601",840,5
2690,35189,Montgermont,35,53,243500139,commune,"10,9210584","9,291090467","12,83697721","0,88599223",725,400
1841,35190,Monthault,35,53,200072452,maille,"6,239151766","4,886068721","7,966939676","0,729789882",978,2
579,35196,Mordelles,35,53,243500139,commune,"10,25107002","8,665350807","12,12696853","0,84099327",1150,674
2072,35200,Moutiers,35,53,200039022,maille,"7,221380269","5,626438902","9,268443843","0,798322401",1124,14
2058,35204,Nouvoitou,35,53,243500139,maille,"7,615060845","6,453982103","8,985018976","0,87609409",514,44
226,35206,Noyal-Châtillon-sur-Seiche,35,53,243500139,commune,"10,19987757","8,657543673","12,01697691","0,834448092",507,507
2621,35208,Orgères,35,53,243500139,commune,"9,836585392","8,185753488","11,82034278","0,851574597",867,213
382,35210,Pacé,35,53,243500139,commune,"10,5931047","9,090748326","12,34374367","0,922281909",1262,1262
2361,35216,Parthenay-de-Bretagne,35,53,243500139,maille,"9,817670749","8,417447448","11,45081802","0,81652141",748,54
2105,35230,Poilley,35,53,200072452,maille,"7,205875161","5,646154747","9,196460097","0,64315681",867,0
2072,35235,Rannée,35,53,200039022,maille,"7,221380269","5,626438902","9,268443843","0,798322401",1124,14
577,35238,Rennes,35,53,243500139,commune,"11,7983316","9,47058625","14,6982061","0,832337547",67169,67169
985,35240,Le Rheu,35,53,243500139,commune,"10,37253277","8,888760124","12,10398689","0,88833824",828,828
2429,35245,Romillé,35,53,243500139,commune,"9,138649545","7,5883625","11,00565708","0,832581329",993,178
2719,35250,Saint-Armel,35,53,243500139,commune,"9,899596213","8,650376185","11,32921888","0,867204716",643,202
2553,35266,Saint-Erblon,35,53,243500139,commune,"10,09865565","8,366133734","12,18996124","0,884178878",546,201
2361,35275,Saint-Gilles,35,53,243500139,commune,"9,941979582","8,523966414","11,59588778","0,81652141",748,249
27,35278,Saint-Grégoire,35,53,243500139,commune,"11,33767722","9,691461216","13,26352362","0,87543889",1036,1036
776,35281,Saint-Jacques-de-la-Lande,35,53,243500139,commune,"11,05594586","9,32205338","13,11234058","0,821519765",1906,1906
1758,35310,Saint-Sauveur-des-Landes,35,53,200072452,maille,"6,815471874","5,372749638","8,645602344","0,743390181",930,8
2129,35315,Saint-Sulpice-la-Forêt,35,53,243500139,maille,"9,29624415","7,911472997","10,92339636","0,884214475",729,22
88,35334,Thorigné-Fouillard,35,53,243500139,commune,"10,46986866","9,024606832","12,14658453","0,910607683",1439,354
1762,35351,Le Verger,35,53,243500139,maille,"7,651786079","6,277078175","9,327561098","0,783014698",906,6
2719,35352,Vern-sur-Seiche,35,53,243500139,commune,"10,62993885","9,288268305","12,16541085","0,867204716",643,441
1083,35353,Vezin-le-Coquet,35,53,243500139,commune,"11,2085661","10,15138981","12,37583782","0,920821771",1346,1346
2553,35363,Pont-Péan,35,53,243500139,commune,"9,713531935","8,046968336","11,72524841","0,884178878",546,345
