id_zone,INSEE,LIBGEO,DEP,REG,EPCI,TYPPRED,loypredm2,lwr.IPm2,upr.IPm2,R2adj,Nbobs_maille,NBobs_commune
1389,35001,Acigné,35,53,243500139,commune,"8,303029514","6,588332349","10,46399839","0,81988544",624,160
342,35022,Bécherel,35,53,243500139,maille,"7,024231005","5,694766506","8,664063955","0,676840861",958,47
1389,35024,Betton,35,53,243500139,commune,"8,458736363","6,744428832","10,60878877","0,81988544",624,256
1042,35032,Bourgbarré,35,53,243500139,commune,"8,095032278","6,855276182","9,558994539","0,859833391",523,129
1389,35039,Brécé,35,53,243500139,maille,"8,190852455","6,51524316","10,29739985","0,81988544",624,35
1663,35047,Bruz,35,53,243500139,commune,"9,584781454","7,535370428","12,19157524","0,898646456",507,413
1797,35051,Cesson-Sévigné,35,53,243500139,commune,"10,11210559","7,927323403","12,89901701","0,874815225",653,198
1797,35055,Chantepie,35,53,243500139,commune,"9,807161548","7,685364347","12,51475054","0,874815225",653,114
1409,35058,La Chapelle-Chaussée,35,53,243500139,maille,"6,964663339","5,716170689","8,485844468","0,814689884",866,29
1420,35059,La Chapelle-des-Fougeretz,35,53,243500139,commune,"8,420223123","6,846283457","10,35600671","0,820613626",999,125
1269,35065,La Chapelle-Thouarault,35,53,243500139,maille,"6,814027573","5,495970822","8,448183818","0,833838548",638,44
1663,35066,Chartres-de-Bretagne,35,53,243500139,maille,"9,481772145","7,449183713","12,06897379","0,898646456",507,94
1275,35076,Chavagne,35,53,243500139,commune,"8,160450089","6,686301535","9,959608507","0,81351838",499,111
1420,35079,Chevaigné,35,53,243500139,commune,"8,049993568","6,542087126","9,905462155","0,820613626",999,117
1269,35080,Cintré,35,53,243500139,maille,"6,814027573","5,495970822","8,448183818","0,833838548",638,42
1543,35081,Clayes,35,53,243500139,maille,"8,138868254","6,905156305","9,593001741","0,843981042",661,26
1042,35088,Corps-Nuds,35,53,243500139,commune,"7,555491919","6,393580701","8,928558316","0,859833391",523,107
1543,35120,Gévezé,35,53,243500139,commune,"8,563801718","7,273315051","10,08325631","0,843981042",661,422
1803,35131,L'Hermitage,35,53,243500139,commune,"9,075322222","7,449395662","11,0561282","0,888083006",553,120
1173,35132,Hirel,35,53,243500782,maille,"7,304364461","5,62925174","9,47794532","0,778818885",996,28
1409,35135,Irodouër,35,53,200038990,maille,"6,964663339","5,716170689","8,485844468","0,814689884",866,71
1453,35136,Janzé,35,53,243500634,commune,"7,461779435","6,158899307","9,040276446","0,808311671",603,330
1431,35139,Laillé,35,53,243500139,commune,"7,463236592","6,194331911","8,992075533","0,892186938",654,164
1409,35144,Langan,35,53,243500139,maille,"6,964663339","5,716170689","8,485844468","0,814689884",866,34
1805,35150,Lécousse,35,53,200072452,maille,"7,264630749","5,832290529","9,048736453","0,799418781",548,80
1591,35160,Loutehel,35,53,200043990,maille,"6,606590334","5,401099503","8,081139001","0,801414961",733,10
1430,35170,Mecé,35,53,200039022,maille,"6,470933409","5,146613174","8,136026116","0,754860818",912,19
1409,35180,Miniac-sous-Bécherel,35,53,243500139,maille,"6,964663339","5,716170689","8,485844468","0,814689884",866,34
1486,35189,Montgermont,35,53,243500139,maille,"8,790609558","6,882522823","11,22768763","0,85435909",564,55
1397,35190,Monthault,35,53,200072452,maille,"4,925651411","3,919854184","6,18952662","0,667720433",726,3
1803,35196,Mordelles,35,53,243500139,commune,"8,757073821","7,180990367","10,679076","0,888083006",553,147
1495,35200,Moutiers,35,53,200039022,maille,"5,184473978","4,193359421","6,409841783","0,782418012",889,26
1042,35204,Nouvoitou,35,53,243500139,commune,"8,068811407","6,831025179","9,530885309","0,859833391",523,102
1797,35206,Noyal-Châtillon-sur-Seiche,35,53,243500139,commune,"9,040828552","7,089409056","11,52939268","0,874815225",653,146
1431,35208,Orgères,35,53,243500139,commune,"7,99491086","6,635863597","9,632295589","0,892186938",654,149
1486,35210,Pacé,35,53,243500139,commune,"8,760900335","6,859669426","11,18907777","0,85435909",564,175
1543,35216,Parthenay-de-Bretagne,35,53,243500139,maille,"8,138868254","6,905156305","9,593001741","0,843981042",661,79
1397,35230,Poilley,35,53,200072452,maille,"4,925651411","3,919854184","6,18952662","0,667720433",726,9
1495,35235,Rannée,35,53,200039022,maille,"5,184473978","4,193359421","6,409841783","0,782418012",889,30
109,35238,Rennes,35,53,243500139,commune,"10,80689029","6,940175094","16,82794398","0,793247478",1487,1487
1803,35240,Le Rheu,35,53,243500139,commune,"9,295040835","7,630395794","11,32284438","0,888083006",553,185
415,35245,Romillé,35,53,243500139,commune,"7,051842415","5,689566279","8,740293901","0,725073441",737,131
1797,35250,Saint-Armel,35,53,243500139,maille,"9,159767552","7,174584626","11,69424377","0,874815225",653,48
1431,35266,Saint-Erblon,35,53,243500139,maille,"7,737486915","6,423215241","9,320675317","0,892186938",654,81
1486,35275,Saint-Gilles,35,53,243500139,commune,"7,870636896","6,163857745","10,05002512","0,85435909",564,139
1486,35278,Saint-Grégoire,35,53,243500139,commune,"9,90635082","7,754941676","12,65461311","0,85435909",564,195
151,35281,Saint-Jacques-de-la-Lande,35,53,243500139,commune,"8,028947705","7,024855494","9,176559049","0,867429889",585,585
813,35310,Saint-Sauveur-des-Landes,35,53,200072452,maille,"6,606299302","5,415294285","8,059246306","0,78005527",488,57
1351,35315,Saint-Sulpice-la-Forêt,35,53,243500139,maille,"7,036379883","5,602992517","8,836464035","0,783993876",824,49
1389,35334,Thorigné-Fouillard,35,53,243500139,commune,"8,545904786","6,770071586","10,78755042","0,81988544",624,173
1269,35351,Le Verger,35,53,243500139,maille,"6,814027573","5,495970822","8,448183818","0,833838548",638,55
1797,35352,Vern-sur-Seiche,35,53,243500139,commune,"8,882227987","6,959511186","11,33613725","0,874815225",653,147
1803,35353,Vezin-le-Coquet,35,53,243500139,commune,"9,529468727","7,81302364","11,62300006","0,888083006",553,101
1431,35363,Pont-Péan,35,53,243500139,maille,"7,737486915","6,423215241","9,320675317","0,892186938",654,87
