code_commune,nom_commune,population,nb_locaux,nb_adresses_locaux
35001,Acigné,6834,3298,2234
35022,Bécherel,688,456,305
35024,Betton,12265,6076,3656
35032,Bourgbarré,4515,1968,1482
35039,Brécé,2059,940,750
35047,Bruz,18905,10908,4975
35051,Cesson-Sévigné,17082,10966,4986
35055,Chantepie,10278,5916,2393
35058,La Chapelle-Chaussée,1295,554,514
35059,La Chapelle-des-Fougeretz,4682,2174,1515
35065,La Chapelle-Thouarault,2219,1016,809
35066,Chartres-de-Bretagne,8157,4600,2323
35076,Chavagne,4268,2120,1439
35079,Chevaigné,2325,1028,809
35080,Cintré,2410,1023,887
35081,Clayes,908,380,339
35088,Corps-Nuds,3434,1608,1243
35120,Gévezé,5521,2638,1911
35131,L'Hermitage,4629,2369,1468
35132,Hirel,1389,865,715
35135,Irodouër,2263,1034,907
35136,Janzé,8470,4347,3041
35139,Laillé,5116,2385,1891
35144,Langan,1031,470,435
35150,Lécousse,3260,1727,1583
35160,Loutehel,247,184,170
35170,Mecé,607,299,291
35180,Miniac-sous-Bécherel,792,352,328
35189,Montgermont,3515,1952,1114
35190,Monthault,250,179,171
35196,Mordelles,7338,4158,2358
35200,Moutiers,919,394,373
35204,Nouvoitou,3281,1577,1314
35206,Noyal-Châtillon-sur-Seiche,7003,3989,2296
35208,Orgères,5152,2446,1813
35210,Pacé,11860,5797,3471
35216,Parthenay-de-Bretagne,1780,722,579
35230,Poilley,374,258,239
35235,Rannée,1076,576,540
35238,Rennes,220488,145317,25617
35240,Le Rheu,8932,4803,2546
35245,Romillé,4032,1883,1459
35250,Saint-Armel,2206,1105,747
35266,Saint-Erblon,3311,1645,1084
35275,Saint-Gilles,5178,2525,1674
35278,Saint-Grégoire,9890,5619,3132
35281,Saint-Jacques-de-la-Lande,13948,7495,2439
35310,Saint-Sauveur-des-Landes,1531,664,635
35315,Saint-Sulpice-la-Forêt,1382,639,574
35334,Thorigné-Fouillard,8575,3941,2559
35351,Le Verger,1436,602,545
35352,Vern-sur-Seiche,8169,4267,2815
35353,Vezin-le-Coquet,6114,2757,1634
35363,Pont-Péan,4413,2055,1309
