gid,nom,arrete_pref_numero,xy_precis,id_adr,adr_num,adr_voie,com_cp,com_insee,com_nom,lat_coor1,long_coor1,structure_siren,structure_type,structure_rais,structure_num,structure_voie,structure_cp,structure_insee,structure_com,_userid_creation,_userid_modification,_edit_datemaj,lieu_accessibilite,rdv_lundi,rdv_mardi,rdv_mercredi,rdv_jeudi,rdv_vendredi,rdv_samedi,rdv_dimanche,rdv,date_fermeture,date_ouverture,rdv_site_web,rdv_tel,rdv_tel2,rdv_modalites,rdv_consultation_prevaccination,centre_svi_repondeur,centre_fermeture,reserve_professionels_sante,centre_type
2534,UHSA RENNES,,0.99999999274542,35238_3660_00126,108,Avenue Général Leclerc,35700,35238,Rennes,48.1139,-1.63823,130007966,8412Z,AGENCE REGIONALE DE SANTE DE BRETAGNE,6,PL DES COLOMBES,35000,35238,RENNES,21506,18,2021-08-02 17:19:50.856756,,fermé,fermé,fermé,fermé,fermé,fermé,fermé,t,,,,,,,,,t,f,{UHSA}
1968,BRUZ - Parc Expo Rennes Aéroport,,0.9999963875626,35047_b232_00002,,La Haie Gautrais - Accès porte B,35170,35047,Bruz,48.0571,-1.73247,130007966,8412Z,AGENCE REGIONALE DE SANTE DE BRETAGNE,6,PL DES COLOMBES,35000,35238,RENNES,18078,18,2021-09-02 17:18:52.01388,,10h-19h,8h-19h,8h-19h,8h-19h,8h-19h,fermé,fermé,t,2021-08-28,2021-03-16,https://partners.doctolib.fr/centre-de-sante/bruz/centre-de-vaccination-parc-expo-bruz?pid=practice-174988&enable_cookies_consent=1,+33805690821,,,,,t,f,
2535,UHSI RENNES ,,0.99999764023558,35238_6076_00016,16,2 Rue Henri le Guilloux,35000,35238,Rennes,48.1193,-1.69203,130007966,8412Z,AGENCE REGIONALE DE SANTE DE BRETAGNE,6,PL DES COLOMBES,35000,35238,RENNES,21506,15,2022-03-17 11:32:19.920277,350005179,fermé,fermé,fermé,fermé,fermé,fermé,fermé,t,,,,,,,,,t,f,{UHSI}
3172,RENNES -  Centre Villejean Malifeu (enfants),,0.99999923714814,35238_1105_00002,11,Rue du Bourbonnais,35000,35238,Rennes,48.1205,-1.70923,130007966,8412Z,AGENCE REGIONALE DE SANTE DE BRETAGNE,6,PL DES COLOMBES,35000,35238,RENNES,18,18078,2022-03-28 16:12:15.66129,,fermé,fermé,fermé,fermé,fermé,fermé,fermé,,2022-03-25,2021-12-29,https://partners.doctolib.fr/vaccination-covid-19/rennes/centre-de-vaccination-covid-19-rennes-maurepas?pid=practice-206569&enable_cookies_consent=1,,,,,,t,,"{""Vaccination 5-11 ans""}"
3173,RENNES - CHU Pontchaillou (enfants),,0.99999643728927,35238_4340_00002,2,Rue Henri le Guilloux,35000,35238,Rennes,48.1193,-1.69234,130007966,8412Z,AGENCE REGIONALE DE SANTE DE BRETAGNE,6,PL DES COLOMBES,35000,35238,RENNES,18,18,2021-12-28 18:25:47.267252,,fermé,fermé,fermé,fermé,fermé,fermé,fermé,,,2021-12-20,,,,,,,t,f,"{""Vaccination 5-11 ans""}"
2217,RENNES - Grand centre stade Robert Poirier,,0.99999980871957,35238_8008_00006,,Avenue du Professeur Léon Bernard,35000,35238,Rennes,48.1181,-1.70075,130007966,8412Z,AGENCE REGIONALE DE SANTE DE BRETAGNE,6,PL DES COLOMBES,35000,35238,RENNES,18,18078,2021-10-27 12:37:48.023941,,8h00-18h00,fermé,8h00-18h00,fermé,8h00-18h00,8h00-18h00,fermé,t,2021-10-23,2021-04-07,https://partners.doctolib.fr/centre-de-sante/ile-et-vilaine/centre-de-vaccination-covid-19-vaccimobile-35-ars-communes-ile-et-vilaine?pid=practice-178662&enable_cookies_consent=1,+33805690821,,Grand centre de vaccination,,,t,f,"{""Grand centre"",""Sécurité Civile""}"
896,ST-GREGOIRE - Brocéliande,,0.99999999354622,35278_0060_00003,3,Rue de Brocéliande,35760,35278,Saint-Grégoire,48.1531,-1.68513,130007966,8412Z,AGENCE REGIONALE DE SANTE DE BRETAGNE,6,PL DES COLOMBES,35000,35238,RENNES,18,18078,2022-03-02 09:54:54.548476,,fermé,9h00-17h00,9h00-17h00,9h00-17h00,9h00-17h00,9h00-17h00,fermé,t,2022-02-26,2021-01-19,https://partners.doctolib.fr/centre-de-sante/saint-gregoire/centre-de-vaccination-de-saint-gregoire?pid=practice-164480&enable_cookies_consent=1,+33805690821,,,,,t,f,
2397,CHANTEPIE - EDEFS,,0.99999940748889,35055_0184_00015,13,Rue d’Hallouvry,35135,35055,Chantepie,48.093,-1.61215,130007966,8412Z,AGENCE REGIONALE DE SANTE DE BRETAGNE,6,PL DES COLOMBES,35000,35238,RENNES,18485,18078,2022-01-12 11:32:58.984945,,9h00-13h00 / 13h30-18h30,9h00-13h00 / 13h30-18h30,9h00-13h00 / 13h30-18h30,9h00-13h00 / 13h30-18h30,9h00-13h00 / 13h30-18h30,fermé,fermé,t,2021-12-17,2021-04-12,https://partners.doctolib.fr/centre-de-sante/chantepie/centre-de-vaccination-covid-19-chantepie?pid=practice-181675&enable_cookies_consent=1,+33805690821,,,,,t,f,
888,RENNES SOS Médecin,,0.99999999251787,35238_3027_00105_bis,106,Rue Eugène Pottier,35000,35238,Rennes,48.1045,-1.70508,130007966,8412Z,AGENCE REGIONALE DE SANTE DE BRETAGNE,6,PL DES COLOMBES,35000,35238,RENNES,18,18,2021-12-30 16:30:05.383192,,fermé,fermé,fermé,fermé,fermé,fermé,fermé,t,2021-07-07,2021-01-19,https://partners.doctolib.fr/cabinet-medical/rennes/centre-de-vaccination-covid-19-sos-medecins-rennes?pid=practice-165130?speciality_id=5494&enable_cookies_consent=1,+33805690821,,,,,t,f,
1796,CP - UCSA  Centre Pénitentiaire des Femmes - Rennes / Centre pénitentiaire de Rennes-Vézin le Coquet,639589,0.95,35353_0183,,Rue du Petit Pré,35132,35353,Vezin-le-Coquet,48.1074,-1.73923,130007966,8412Z,AGENCE REGIONALE DE SANTE DE BRETAGNE,6,PL DES COLOMBES,35000,35238,RENNES,,,,,Fermé au public,Fermé au public,Fermé au public,Fermé au public,Fermé au public,Fermé au public,Fermé au public,,,,,,,USMP,f,,t,f,{USMP}
2428,Dpt 35 - Opérations éphémères non rattachées à un CDV,,0.99999984658156,35238_4510_00005,5,Rue de l’Horloge,35000,35238,Rennes,48.1113,-1.68008,130007966,8412Z,AGENCE REGIONALE DE SANTE DE BRETAGNE,6,PL DES COLOMBES,35000,35238,RENNES,18,18,2022-01-04 15:03:18.116182,,fermé,fermé,fermé,fermé,fermé,fermé,fermé,t,,2021-04-12,,,,"Opérations éphémères ""Aller-vers""",,,t,f,"{""Equipe mobile"",""Dispositif aller vers ...""}"
