annee,code_insee,commune,penalite
2019,35032,Bourgbarré,32572.32
2019,35076,Chavagne,16955.69
2019,35139,Laillé,59657.4
2019,35196,Mordelles,23140.55
2019,35245,Romillé,24554.17
2019,35352,Vern-sur-Seiche,37551.88
2019,35363,Pont-Péan,14618.02
2018,35032,Bourgbarré,34815.7
2018,35076,Chavagne,26532.9
2018,35139,Laillé,59012.69
2018,35245,Romillé,42790.27
2018,35352,Vern-sur-Seiche,37482.48
2017,35032,Bourgbarré,37402.36
2017,35076,Chavagne,26438.9
2017,35139,Laillé,53666.88
2017,35245,Romillé,39188.46
2017,35278,Saint-Grégoire,117361.99
2017,35334,Thorigné-Fouillard,22968.03
2017,35352,Vern-sur-Seiche,40761.04
2016,35032,Bourgbarré,26793.83
2016,35076,Chavagne,18813.99
2016,35139,Laillé,40782.11
2016,35245,Romillé,28257.18
2016,35352,Vern-sur-Seiche,23782.38
2015,35032,Bourgbarré,26267.82
2015,35076,Chavagne,21377.31
2015,35139,Laillé,42185.85
2015,35245,Romillé,15620.95
2015,35352,Vern-sur-Seiche,23136.75
2014,35076,Chavagne,21240.98
2014,35139,Laillé,28494.2
2014,35278,Saint-Grégoire,86688.27
2014,35352,Vern-sur-Seiche,21882.43
2013,35051,Cesson-Sévigné,61740.51
2013,35066,Chartres-de-Bretagne,41601.76
2013,35210,Pacé,46890.74
2013,35278,Saint-Grégoire,82867.98
2013,35334,Thorigné-Fouillard,24918.6
2013,35363,Pont-Péan,17804.3
2012,35066,Chartres-de-Bretagne,53327.08
2012,35278,Saint-Grégoire,97399.3
2012,35353,Vezin-le-Coquet,6282.78
2012,35363,Pont-Péan,14250.8
2011,35051,Cesson-Sévigné,214809.66
2011,35066,Chartres-de-Bretagne,60403.24
2011,35278,Saint-Grégoire,86665.22
2011,35281,Saint-Jacques-de-la-Lande,6953.92
2011,35353,Vezin-le-Coquet,24429.16
2011,35363,Pont-Péan,13357.47
2010,35047,Bruz,36580.81
2010,35051,Cesson-Sévigné,194996.5
2010,35055,Chantepie,13133.52
2010,35066,Chartres-de-Bretagne,74410.74
2010,35278,Saint-Grégoire,77044.47
2010,35281,Saint-Jacques-de-la-Lande,4433.72
2010,35353,Vezin-le-Coquet,22895.33
2010,35363,Pont-Péan,12044.05
