tx_2002,tx_2008,tx_2014,tx_2019,tx_legal,logements_2019,carence,taux_majoration,prel_brut,prel_net,habitants,info,ville,code
NA,NA,NA,NA,20,NA,NA,NA,NA,NA,216268,Ma commune remplit en 2020 ses obligations en matière de logements sociaux.,Rennes,35238
7.3,8.15,16.97,19.94,20,1636,FALSE,NA,1220.51,0,17371,Ma commune ne remplit pas en 2020 ses obligations en matière de logements sociaux.,Cesson-Sévigné,35051
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13615,Ma commune est exemptée de l’application des obligations de production de logements sociaux au titre de la loi SRU.,Saint-Gilles,30258
NA,NA,NA,NA,20,NA,NA,NA,NA,NA,12917,Ma commune remplit en 2020 ses obligations en matière de logements sociaux.,Saint-Jacques-de-la-Lande,35281
NA,8.98,14.03,15.47,20,755,FALSE,NA,49874.82,0,11764,Ma commune ne remplit pas en 2020 ses obligations en matière de logements sociaux.,Pacé,35210
NA,9.97,14.06,16.56,20,851,FALSE,NA,37988.28,37988.28,11222,Ma commune ne remplit pas en 2020 ses obligations en matière de logements sociaux.,Betton,35024
NA,NA,NA,NA,20,NA,NA,NA,NA,NA,10379,Ma commune remplit en 2020 ses obligations en matière de logements sociaux.,Chantepie,35055
9.08,8.77,9.93,11.9,20,514,FALSE,NA,106276.26,0,9521,Ma commune ne remplit pas en 2020 ses obligations en matière de logements sociaux.,Saint-Grégoire,35278
NA,NA,NA,NA,20,NA,NA,NA,NA,NA,8571,Ma commune remplit en 2020 ses obligations en matière de logements sociaux.,Le Rheu,35240
NA,10.53,14.43,17.6,20,621,FALSE,NA,16483,0,8425,Ma commune ne remplit pas en 2020 ses obligations en matière de logements sociaux.,Thorigné-Fouillard,35334
NA,14.64,16.25,15.59,20,525,FALSE,NA,38429.94,38429.94,7893,Ma commune ne remplit pas en 2020 ses obligations en matière de logements sociaux.,Vern-sur-Seiche,35352
NA,NA,NA,NA,20,NA,NA,NA,NA,NA,7578,Ma commune remplit en 2020 ses obligations en matière de logements sociaux.,Chartres-de-Bretagne,35066
NA,14.51,16.35,17.13,20,588,FALSE,NA,23339.26,0,7321,Ma commune ne remplit pas en 2020 ses obligations en matière de logements sociaux.,Mordelles,35196
NA,NA,NA,NA,20,NA,NA,NA,NA,NA,6915,Ma commune remplit en 2020 ses obligations en matière de logements sociaux.,Noyal-Châtillon-sur-Seiche,35206
NA,12.4,16.27,16.67,20,475,FALSE,NA,19833.71,0,6645,Ma commune ne remplit pas en 2020 ses obligations en matière de logements sociaux.,Acigné,35001
NA,NA,NA,NA,20,NA,NA,NA,NA,NA,5650,Ma commune remplit en 2020 ses obligations en matière de logements sociaux.,Vezin-le-Coquet,35353
NA,NA,13.53,13.42,20,292,FALSE,NA,26627.69,0,5180,Ma commune ne remplit pas en 2020 ses obligations en matière de logements sociaux.,Gévezé,35120
NA,NA,6.95,6.58,20,135,FALSE,NA,59514.48,59514.48,5089,Ma commune ne remplit pas en 2020 ses obligations en matière de logements sociaux.,Laillé,35139
NA,NA,NA,NA,20,NA,NA,NA,NA,NA,4716,Ma commune remplit en 2020 ses obligations en matière de logements sociaux.,Saint-Gilles,35275
NA,NA,18.07,19.53,20,375,FALSE,NA,1991.86,0,4800,Ma commune ne remplit pas en 2020 ses obligations en matière de logements sociaux.,La Chapelle-des-Fougeretz,35059
NA,NA,11.66,18.47,20,381,FALSE,NA,6168.54,0,4494,Ma commune ne remplit pas en 2020 ses obligations en matière de logements sociaux.,Orgères,35208
NA,NA,13.75,15.34,20,277,FALSE,NA,15962.52,15962.52,4225,Ma commune ne remplit pas en 2020 ses obligations en matière de logements sociaux.,Pont-Péan,35363
NA,NA,7.91,14.65,20,253,FALSE,NA,20354.39,20354.39,3986,Ma commune ne remplit pas en 2020 ses obligations en matière de logements sociaux.,Bourgbarré,35032
NA,NA,10.64,15.83,20,283,FALSE,NA,15797.64,15797.64,3909,Ma commune ne remplit pas en 2020 ses obligations en matière de logements sociaux.,Chavagne,35076
NA,NA,7.07,8.37,20,133,FALSE,NA,39273.7,0,3891,Ma commune ne remplit pas en 2020 ses obligations en matière de logements sociaux.,Romillé,35245
