region,departement,code_commune,nom_commune,population,id_revision,date_revision,type_composition,nb_lieux_dits,nb_voies,nb_numeros,nb_numeros_certifies,analyse_adressage_nb_adresses_attendues,analyse_adressage_ratio,analyse_adressage_deficit_adresses,composed_at
53,35,35001,Acigné,6874,6a27a8ff3cda42da60f9d64d,2026-06-09T05:47:54.369Z,bal,46,225,2646,2646,2234,118,0,2026-06-09T05:48:55.784Z
53,35,35022,Bécherel,677,6a0449c2b33e95bd539a1215,2026-05-13T09:52:29.855Z,bal,21,38,357,357,305,117,0,2026-05-13T13:38:34.791Z
53,35,35024,Betton,12964,6a30e37b3cda42da60fa1fc0,2026-06-16T05:47:42.677Z,bal,40,413,4258,4258,3656,116,0,2026-06-16T05:48:35.647Z
53,35,35032,Bourgbarré,4804,6a0449bfb33e95bd539a11d8,2026-05-13T09:52:13.973Z,bal,16,156,1838,1838,1482,124,0,2026-05-13T13:29:33.945Z
53,35,35039,Brécé,2232,6a0449c2b33e95bd539a1210,2026-05-13T09:52:23.647Z,bal,10,115,974,974,750,130,0,2026-05-13T13:38:27.718Z
53,35,35047,Bruz,19683,6a2b9d743cda42da60f9fa75,2026-06-12T05:47:36.210Z,bal,82,379,5805,5805,4975,117,0,2026-06-12T05:48:12.714Z
53,35,35051,Cesson-Sévigné,18761,6a2b9d743cda42da60f9fa76,2026-06-12T05:47:36.890Z,bal,101,328,5865,5865,4986,118,0,2026-06-12T05:48:17.174Z
53,35,35055,Chantepie,10670,6a19287bdbac214f461112be,2026-05-29T05:47:44.285Z,bal,53,241,2683,2683,2393,112,0,2026-05-29T05:48:33.236Z
53,35,35058,La Chapelle-Chaussée,1298,6a27a8ff3cda42da60f9d64e,2026-06-09T05:47:53.708Z,bal,10,123,619,619,514,120,0,2026-06-09T05:48:47.735Z
53,35,35059,La Chapelle-des-Fougeretz,4738,6a0561f97ee7f588caa27975,2026-05-14T05:47:40.895Z,bal,26,160,1894,1894,1515,125,0,2026-05-14T05:48:18.439Z
53,35,35065,La Chapelle-Thouarault,2304,6a36296d8649964669c36d49,2026-06-20T05:47:30.576Z,bal,15,113,951,951,809,118,0,2026-06-20T05:48:04.359Z
53,35,35066,Chartres-de-Bretagne,8880,6a19287bdbac214f461112bf,2026-05-29T05:47:44.319Z,bal,102,226,2595,2595,2323,112,0,2026-05-29T05:48:24.482Z
53,35,35076,Chavagne,4709,6a30e37b3cda42da60fa1fc2,2026-06-16T05:47:42.538Z,bal,46,193,1679,1679,1439,117,0,2026-06-16T05:48:31.399Z
53,35,35079,Chevaigné,2397,6a0bf9710f62b177d2a09b22,2026-05-19T05:47:31.468Z,bal,47,76,871,871,809,108,0,2026-05-19T05:48:04.191Z
53,35,35080,Cintré,2645,6a27a8ff3cda42da60f9d64c,2026-06-09T05:47:53.710Z,bal,20,113,1085,1085,887,122,0,2026-06-09T05:48:59.106Z
53,35,35081,Clayes,947,6a0fedf2a6ebc9bdbea1aff0,2026-05-22T05:47:33.110Z,bal,12,54,393,393,339,116,0,2026-05-22T05:48:05.577Z
53,35,35088,Corps-Nuds,3567,6a0bf9710f62b177d2a09b24,2026-05-19T05:47:31.897Z,bal,11,179,1454,1454,1243,117,0,2026-05-19T05:48:07.347Z
53,35,35120,Gévezé,6061,6a36296d8649964669c36d48,2026-06-20T05:47:30.618Z,bal,32,271,2110,2110,1911,110,0,2026-06-20T05:48:05.990Z
53,35,35131,L'Hermitage,4730,6a33866f9cab71c77cd668ab,2026-06-18T05:47:32.414Z,bal,29,134,1685,1685,1468,115,0,2026-06-18T05:48:07.360Z
53,35,35132,Hirel,1384,69b16353062c6a822e3dbf4f,2026-03-11T12:43:00.254Z,bal,0,57,993,902,715,139,0,2026-03-11T12:43:32.941Z
53,35,35135,Irodouër,2300,6a04577db33e95bd539a1280,2026-05-13T10:50:38.146Z,bal,20,208,1053,1050,907,116,0,2026-05-13T13:33:06.715Z
53,35,35136,Janzé,8649,6a3d018e8649964669c39ed3,2026-06-25T10:23:12.010Z,bal,7,368,3702,3696,3041,122,0,2026-06-26T09:34:31.219Z
53,35,35139,Laillé,5225,6a17d6f5dbac214f46110757,2026-05-28T05:47:38.488Z,bal,30,255,2182,2182,1891,115,0,2026-05-28T05:48:13.763Z
53,35,35144,Langan,1106,6a0449bfb33e95bd539a11ec,2026-05-13T09:52:19.138Z,bal,16,75,576,576,435,132,0,2026-05-13T13:38:11.295Z
53,35,35150,Lécousse,3530,6a1f0f08dbac214f46113b0e,2026-06-02T17:12:41.650Z,bal,1,199,1826,85,1583,115,0,2026-06-02T17:13:14.575Z
53,35,35160,Loutehel,240,,,assemblage,0,33,190,0,170,112,0,2024-08-06T08:21:37.902Z
53,35,35170,Mecé,613,68e788628fe5ea2f12dba3dd,2025-10-09T10:03:15.297Z,bal,0,90,327,327,291,112,0,2026-01-14T08:48:52.320Z
53,35,35180,Miniac-sous-Bécherel,776,6a27a8ff3cda42da60f9d651,2026-06-09T05:47:53.709Z,bal,7,104,378,378,328,115,0,2026-06-09T05:48:46.006Z
53,35,35189,Montgermont,3827,6a30e37b3cda42da60fa1fc3,2026-06-16T05:47:42.521Z,bal,17,104,1291,1291,1114,116,0,2026-06-16T05:48:32.492Z
53,35,35190,Monthault,246,6565ff0b13fbcbf158f9f992,2023-11-28T14:54:03.904Z,bal,2,54,250,250,171,146,0,2026-01-14T08:47:19.130Z
53,35,35196,Mordelles,7911,6a3b6f6d8649964669c39306,2026-06-24T05:47:28.233Z,bal,38,325,2737,2737,2358,116,0,2026-06-27T00:01:59.943Z
53,35,35200,Moutiers,896,69eb6011bfbeaf75a507f226,2026-04-24T12:20:33.849Z,bal,3,107,404,404,373,108,0,2026-04-24T12:21:06.406Z
53,35,35204,Nouvoitou,3911,6a19287bdbac214f461112c1,2026-05-29T05:47:44.260Z,bal,27,217,1676,1676,1314,128,0,2026-05-29T05:48:26.403Z
53,35,35206,Noyal-Châtillon-sur-Seiche,8359,6a19287adbac214f461112bc,2026-05-29T05:47:42.629Z,bal,55,327,2799,2799,2296,122,0,2026-05-29T05:48:17.492Z
53,35,35208,Orgères,5732,6a27a8fe3cda42da60f9d644,2026-06-09T05:47:53.919Z,bal,42,178,2129,2129,1813,117,0,2026-06-09T05:48:57.668Z
53,35,35210,Pacé,11703,6a2a4bef3cda42da60f9ede3,2026-06-11T05:47:30.204Z,bal,55,397,3965,3965,3471,114,0,2026-06-11T05:48:48.216Z
53,35,35216,Parthenay-de-Bretagne,1793,6a30e37b3cda42da60fa1fc1,2026-06-16T05:47:42.347Z,bal,4,81,632,632,579,109,0,2026-06-16T05:48:33.305Z
53,35,35230,Poilley,367,653907f0e3febfd7ff82c458,2023-10-25T12:20:00.706Z,bal,0,66,299,299,239,125,0,2026-01-14T08:47:09.232Z
53,35,35235,Rannée,1081,69400468ad3d50cf7d213494,2025-12-15T12:51:53.004Z,bal,5,151,606,545,540,112,0,2026-01-14T08:51:13.475Z
53,35,35238,Rennes,230890,6a1ff560dbac214f4611433d,2026-06-03T09:35:38.407Z,bal,518,1549,31063,31063,25617,121,0,2026-06-03T09:36:44.196Z
53,35,35240,Le Rheu,9839,6a28fa723cda42da60f9e2b2,2026-06-10T05:47:33.572Z,bal,149,200,2944,2944,2546,116,0,2026-06-10T05:48:40.963Z
53,35,35245,Romillé,4189,6a28fa723cda42da60f9e2b1,2026-06-10T05:47:33.408Z,bal,13,266,1922,1922,1459,132,0,2026-06-10T05:48:38.532Z
53,35,35250,Saint-Armel,2433,6a0449c2b33e95bd539a1211,2026-05-13T09:52:23.660Z,bal,5,122,994,994,747,133,0,2026-05-13T13:38:29.032Z
53,35,35266,Saint-Erblon,3651,6a2262f5dbac214f461159c1,2026-06-05T05:47:35.980Z,bal,28,123,1339,1339,1084,124,0,2026-06-05T05:48:10.216Z
53,35,35275,Saint-Gilles,5576,6a27a8ff3cda42da60f9d64b,2026-06-09T05:47:54.367Z,bal,32,251,1885,1885,1674,113,0,2026-06-09T05:49:02.042Z
53,35,35278,Saint-Grégoire,9957,6a27a8fe3cda42da60f9d645,2026-06-09T05:47:54.370Z,bal,79,311,3227,3227,3132,103,0,2026-06-09T05:48:52.613Z
53,35,35281,Saint-Jacques-de-la-Lande,13800,6a2a4bef3cda42da60f9ede4,2026-06-11T05:47:30.173Z,bal,43,198,2762,2762,2439,113,0,2026-06-11T05:48:51.109Z
53,35,35310,Saint-Sauveur-des-Landes,1565,683f17ea5e8aa8a4e6a3fb57,2025-06-03T15:42:35.128Z,bal,4,91,701,701,635,110,0,2026-01-14T08:47:24.004Z
53,35,35315,Saint-Sulpice-la-Forêt,1580,6a23b495dbac214f4611648c,2026-06-06T05:48:08.030Z,bal,11,74,647,647,574,113,0,2026-06-06T05:49:31.760Z
53,35,35334,Thorigné-Fouillard,8667,6a168575a6ebc9bdbea1da51,2026-05-27T05:47:36.836Z,bal,46,213,2902,2902,2559,113,0,2026-05-27T05:48:11.676Z
53,35,35351,Le Verger,1389,6a1e6e74dbac214f46113638,2026-06-02T05:47:35.071Z,bal,19,77,620,620,545,114,0,2026-06-02T05:48:07.818Z
53,35,35352,Vern-sur-Seiche,8207,6a19287bdbac214f461112c0,2026-05-29T05:47:44.356Z,bal,51,281,3303,3303,2815,117,0,2026-05-29T05:48:28.577Z
53,35,35353,Vezin-le-Coquet,6471,6a30e37b3cda42da60fa1fbf,2026-06-16T05:47:42.510Z,bal,52,169,1809,1809,1634,111,0,2026-06-16T05:48:29.940Z
53,35,35363,Pont-Péan,4245,6a0449bfb33e95bd539a11ee,2026-05-13T09:52:19.140Z,bal,15,123,1459,1459,1309,111,0,2026-05-13T13:38:15.996Z
