codecommune,Nb_mutations,PrixMoyen_m2
35051,198,3605
35238,3486,3561
35278,125,3397
35024,125,2924
35210,163,2858
35055,167,2810
35334,86,2764
35281,205,2751
35047,248,2743
35189,34,2697
35240,153,2670
35353,72,2657
35001,76,2594
35059,52,2581
35079,21,2579
35206,98,2548
35065,23,2515
35275,59,2471
35352,77,2464
35066,144,2460
35196,127,2450
35139,62,2378
35120,85,2332
35076,64,2320
35131,52,2312
35266,59,2290
35208,73,2276
35032,79,2257
35363,64,2252
35204,35,2211
35039,24,2205
35250,35,2177
35081,14,2168
35144,12,2151
35216,28,2145
35136,131,2137
35315,18,2107
35088,52,2086
35245,36,2068
35058,19,1984
35080,34,1911
35351,21,1905
35132,15,1821
35022,17,1659
35150,31,1652
35135,22,1594
35180,9,1547
35310,10,1527
35160,3,1513
35230,9,1325
35235,19,1324
35200,9,1312
35170,13,1171
35190,4,798
