Action de Formation (AF) identifiant Onisep,Formation (FOR) libellé,FOR URL et ID Onisep,FOR indexation domaine web Onisep,FOR type,FOR nature du certificat,FOR URL référentiel,FOR niveau de sortie,Lieu d'enseignement (ENS) libellé,ENS URL et ID Onisep,ENS code UAI,ENS statut,ENS adresse,ENS code postal,ENS commune,ENS département,ENS académie,ENS région,ENS latitude,ENS longitude,ENS n° téléphone,ENS site web,ENS hébergement,ENS accessibilité,AF durée cycle standard,AF modalités scolarité,AF coût scolarité,AF modalités accueil,AF page web,AF date de création,AF date de modification
AF.3272,classes de collège,https://www.onisep.fr/http/redirection/formation/slug/FOR.1998,"lettres, langues, enseignement/formations généralistes",classe de 3e,Diplôme national ou diplôme d'État,https://cache.media.eduscol.education.fr/file/A-Scolarite_obligatoire/37/7/Programme2020_cycle_4_comparatif_1313377.pdf,3E,Collège Notre-Dame du Vieux cours,https://www.onisep.fr/http/redirection/etablissement/slug/ENS.17499,0350781J,privé sous contrat,11 rue de Plélo,35000,Rennes,Ille-et-Vilaine,Rennes,Bretagne,48.1063623,-1.6790662,02 99 79 62 84,https://www.notredameduvieuxcours.org/college/,sans hébergement,,4 ans,"temps plein, cours en présentiel",,,,06/06/2020,06/06/2020
AF.37629,classes de collège,https://www.onisep.fr/http/redirection/formation/slug/FOR.1998,"lettres, langues, enseignement/formations généralistes",classe de 3e,Diplôme national ou diplôme d'État,https://cache.media.eduscol.education.fr/file/A-Scolarite_obligatoire/37/7/Programme2020_cycle_4_comparatif_1313377.pdf,3E,Collège Joséphine Bakhita,https://www.onisep.fr/http/redirection/etablissement/slug/ENS.4101,0352071L,privé sous contrat,"29 boulevard Émile Combes, CS 96702",35000,Rennes,Ille-et-Vilaine,Rennes,Bretagne,48.093545,-1.670519,02 99 22 20 60,https://www.ozanam.bzh/college-sainte-josephine-bakhita,sans hébergement,,4 ans,"temps plein, cours en présentiel",,,,06/06/2020,06/06/2020
AF.8863,classes de collège,https://www.onisep.fr/http/redirection/formation/slug/FOR.1998,"lettres, langues, enseignement/formations généralistes",classe de 3e,Diplôme national ou diplôme d'État,https://cache.media.eduscol.education.fr/file/A-Scolarite_obligatoire/37/7/Programme2020_cycle_4_comparatif_1313377.pdf,3E,Collège Jean Moulin,https://www.onisep.fr/http/redirection/etablissement/slug/ENS.9376,0352589Z,public,"Place Léopold Sédar Senghor, Saint Jacques de la Lande, BP 49219",35136,Saint-Jacques-de-la-Lande,Ille-et-Vilaine,Rennes,Bretagne,48.0767,-1.71441,02 99 30 03 13,http://www.collegejeanmoulin-stjacques.ac-rennes.fr,sans hébergement,Locaux accessibles,4 ans,"temps plein, cours en présentiel",,,,06/06/2020,12/04/2024
AF.37769,classes de collège,https://www.onisep.fr/http/redirection/formation/slug/FOR.1998,"lettres, langues, enseignement/formations généralistes",classe de 3e,Diplôme national ou diplôme d'État,https://cache.media.eduscol.education.fr/file/A-Scolarite_obligatoire/37/7/Programme2020_cycle_4_comparatif_1313377.pdf,3E,Collège Jacques Prévert,https://www.onisep.fr/http/redirection/etablissement/slug/ENS.2934,0350057X,public,"Rue René Cutte, BP 3",35850,Romillé,Ille-et-Vilaine,Rennes,Bretagne,48.2191,-1.8947,02 99 23 24 94,http://www.collegejacquesprevertromille.fr,sans hébergement,,4 ans,"temps plein, cours en présentiel",,,,06/06/2020,12/04/2024
AF.93441,classes de collège,https://www.onisep.fr/http/redirection/formation/slug/FOR.1998,"lettres, langues, enseignement/formations généralistes",classe de 3e,Diplôme national ou diplôme d'État,https://cache.media.eduscol.education.fr/file/A-Scolarite_obligatoire/37/7/Programme2020_cycle_4_comparatif_1313377.pdf,3E,Collège Saint-Louis - La Hublais,https://www.onisep.fr/http/redirection/etablissement/slug/ENS.21623,0352972R,privé sous contrat,Avenue de la Hublais,35510,Cesson-Sévigné,Ille-et-Vilaine,Rennes,Bretagne,48.1162616,-1.6159892,02 21 00 01 50,https://college-lahublais.apprentis-auteuil.org/,internat (homme/femme - éducatif et scolaire : Apprentis d’Auteuil),,4 ans,"temps plein, cours en présentiel",,,,05/10/2020,28/10/2020
AF.54869,classes de collège,https://www.onisep.fr/http/redirection/formation/slug/FOR.1998,"lettres, langues, enseignement/formations généralistes",classe de 3e,Diplôme national ou diplôme d'État,https://cache.media.eduscol.education.fr/file/A-Scolarite_obligatoire/37/7/Programme2020_cycle_4_comparatif_1313377.pdf,3E,Collège La Tour d'Auvergne La Salle,https://www.onisep.fr/http/redirection/etablissement/slug/ENS.13742,0350835T,privé sous contrat,6 rue de la Santé,35000,Rennes,Ille-et-Vilaine,Rennes,Bretagne,48.1087,-1.68578,02 99 30 79 89,http://www.collegeta.fr,sans hébergement,Locaux accessibles,4 ans,"temps plein, cours en présentiel",,,,06/06/2020,06/06/2020
AF.105312,classe de 4e de l'enseignement agricole,https://www.onisep.fr/http/redirection/formation/slug/FOR.7627,"agriculture, animaux/agriculture (généralités)| lettres, langues, enseignement/formations généralistes",classe de 4e,Diplôme national ou diplôme d'État,https://chlorofil.fr/diplomes/secondaire/4e-3e,4E,Maison familiale rurale horticole,https://www.onisep.fr/http/redirection/etablissement/slug/ENS.15532,0351976H,privé sous contrat,"Les Rabinardières, BP 46325",35760,Saint-Grégoire,Ille-et-Vilaine,Rennes,Bretagne,48.1782,-1.6888,02 99 68 81 11,http://www.mfr-rennes-stgregoire.fr/page-143-locations.html,internat (homme/femme - à partir de 14 ans),,1 an,"alternance sous statut scolaire, cours en présentiel",,,,20/04/2022,20/04/2022
AF.49006,classes de collège,https://www.onisep.fr/http/redirection/formation/slug/FOR.1998,"lettres, langues, enseignement/formations généralistes",classe de 3e,Diplôme national ou diplôme d'État,https://cache.media.eduscol.education.fr/file/A-Scolarite_obligatoire/37/7/Programme2020_cycle_4_comparatif_1313377.pdf,3E,Collège François Truffaut,https://www.onisep.fr/http/redirection/etablissement/slug/ENS.4104,0352260S,public,"Rue de la Rabine, CS 893138",35830,Betton,Ille-et-Vilaine,Rennes,Bretagne,48.1763,-1.65088,02 99 55 06 06,https://www.college-francoistruffaut-betton.ac-rennes.fr/,sans hébergement,,4 ans,"temps plein, cours en présentiel",,,,06/06/2020,06/06/2020
AF.34673,classes de collège,https://www.onisep.fr/http/redirection/formation/slug/FOR.1998,"lettres, langues, enseignement/formations généralistes",classe de 3e,Diplôme national ou diplôme d'État,https://cache.media.eduscol.education.fr/file/A-Scolarite_obligatoire/37/7/Programme2020_cycle_4_comparatif_1313377.pdf,3E,Centre médical et pédagogique,https://www.onisep.fr/http/redirection/etablissement/slug/ENS.19075,0351926D,public,41 avenue des Buttes de Coësmes,35700,Rennes,Ille-et-Vilaine,Rennes,Bretagne,48.122592,-1.6377738,02 99 25 19 11,http://www.lycee-chateaubriand.fr/wp-content/uploads/2016/05/Plaquette-CMP-Rentr%C3%A9e-2016.pdf,sans hébergement (ne sont hébergés que les élèves handicapés moteurs hospitalisés et quelques lycéens et étudiants hospitalisés à l'USEP : Unité Soins Études en Psychiatrie. HTC et HDJ),Locaux accessibles,4 ans,"temps plein, cours en présentiel",,,,06/06/2020,06/06/2020
AF.75595,classes de collège,https://www.onisep.fr/http/redirection/formation/slug/FOR.1998,"lettres, langues, enseignement/formations généralistes",classe de 3e,Diplôme national ou diplôme d'État,https://cache.media.eduscol.education.fr/file/A-Scolarite_obligatoire/37/7/Programme2020_cycle_4_comparatif_1313377.pdf,3E,"Collège Saint-Paul (annexe du collège Saint-Joseph, Bruz)",https://www.onisep.fr/http/redirection/etablissement/slug/ENS.17551,0353083L,privé sous contrat,22 avenue de la Mare Guesclin,35230,Saint-Erblon,Ille-et-Vilaine,Rennes,Bretagne,48.021465,-1.658355,02 30 95 10 10,http://www.ecbruz-sterblon.org,sans hébergement,Locaux accessibles,4 ans,"temps plein, cours en présentiel",,,,06/06/2020,06/06/2020
