Action de dispositif (AD) identifiant Onisep,Type de dispositif (TYPDISP) libellé,TYPDISP ID et URL Onisep,TYPDISP indexation Onisep,Structure d'enseignement (ENS) libellé,ENS URL et ID Onisep,ENS type,ENS code UAI,ENS statut,ENS adresse,ENS code postal,ENS commune,ENS département,ENS académie,ENS région,ENS latitude,ENS longitude,ENS téléphone,ENS site web,ENS hébergement,ENS accessibilité,AD durée,AD éléments d'enseignement,AD modalités accueil,AD date de création,AD date de modification
AD.14424,section bilingue de langue régionale de collège,https://www.onisep.fr/http/redirection/formation/slug/TYPDISP.14,"lettres, langues, enseignement/formations généralistes| lettres, langues, enseignement/langues",Collège Saint-Hélier,https://www.onisep.fr/http/redirection/etablissement/slug/ENS.12070,collège,0350839X,privé sous contrat,7 rue Frère Salomon,35000,Rennes,Ille-et-Vilaine,Rennes,Bretagne,48.1032,-1.66044,02 99 50 52 72,https://www.college-sainthelier.fr/,sans hébergement,Locaux accessibles,4 ans,breton,,06/06/2020,06/06/2020
AD.15942,unité localisée pour l'inclusion scolaire en collège,https://www.onisep.fr/http/redirection/formation/slug/TYPDISP.13,"lettres, langues, enseignement/formations généralistes",Collège Saint-Yves,https://www.onisep.fr/http/redirection/etablissement/slug/ENS.15110,collège,0350874K,privé sous contrat,"3 rue Jeanne d'Arc, BP 22",35310,Mordelles,Ille-et-Vilaine,Rennes,Bretagne,48.0738,-1.85194,02 99 85 13 00,http://www.college-st-yves.org,sans hébergement,Locaux accessibles,4 ans,,,06/06/2020,30/04/2026
AD.30776,unité localisée pour l'inclusion scolaire en collège,https://www.onisep.fr/http/redirection/formation/slug/TYPDISP.13,"lettres, langues, enseignement/formations généralistes",Collège Notre-Dame du Vieux cours,https://www.onisep.fr/http/redirection/etablissement/slug/ENS.17499,collège,0350781J,privé sous contrat,11 rue de Plélo,35000,Rennes,Ille-et-Vilaine,Rennes,Bretagne,48.1063623,-1.6790662,02 99 79 62 84,https://www.notredameduvieuxcours.org/college/,sans hébergement,,4 ans,,,21/04/2026,21/04/2026
AD.8445,section sportive de collège,https://www.onisep.fr/http/redirection/formation/slug/TYPDISP.2,"santé, social, sport/sport",Collège Rosa Parks,https://www.onisep.fr/http/redirection/etablissement/slug/ENS.5628,collège,0350895H,public,10 rue de Gascogne,35000,Rennes,Ille-et-Vilaine,Rennes,Bretagne,48.1226274,-1.716636,02 99 59 21 33,http://www.college-rosa-parks-rennes.ac-rennes.fr,sans hébergement,Locaux accessibles,4 ans,"athlétisme, rugby (sans précision)",,06/06/2020,25/09/2024
AD.15941,section bilangue de collège,https://www.onisep.fr/http/redirection/formation/slug/TYPDISP.21,"lettres, langues, enseignement/formations généralistes| lettres, langues, enseignement/langues",Collège Saint-Yves,https://www.onisep.fr/http/redirection/etablissement/slug/ENS.15110,collège,0350874K,privé sous contrat,"3 rue Jeanne d'Arc, BP 22",35310,Mordelles,Ille-et-Vilaine,Rennes,Bretagne,48.0738,-1.85194,02 99 85 13 00,http://www.college-st-yves.org,sans hébergement,Locaux accessibles,1 an,"allemand, anglais, espagnol",,06/06/2020,09/04/2024
AD.8441,unité localisée pour l'inclusion scolaire en collège,https://www.onisep.fr/http/redirection/formation/slug/TYPDISP.13,"lettres, langues, enseignement/formations généralistes",Collège Rosa Parks,https://www.onisep.fr/http/redirection/etablissement/slug/ENS.5628,collège,0350895H,public,10 rue de Gascogne,35000,Rennes,Ille-et-Vilaine,Rennes,Bretagne,48.1226274,-1.716636,02 99 59 21 33,http://www.college-rosa-parks-rennes.ac-rennes.fr,sans hébergement,Locaux accessibles,4 ans,,,06/06/2020,30/04/2026
AD.12884,unité pédagogique pour élèves allophones arrivants en collège (Classe pour non francophones),https://www.onisep.fr/http/redirection/formation/slug/TYPDISP.6,"lettres, langues, enseignement/formations généralistes",Collège Jean Moulin,https://www.onisep.fr/http/redirection/etablissement/slug/ENS.9376,collège,0352589Z,public,"Place Léopold Sédar Senghor, Saint Jacques de la Lande, BP 49219",35136,Saint-Jacques-de-la-Lande,Ille-et-Vilaine,Rennes,Bretagne,48.0767,-1.71441,02 99 30 03 13,http://www.collegejeanmoulin-stjacques.ac-rennes.fr,sans hébergement,Locaux accessibles,1 an,,,06/06/2020,02/09/2020
AD.19451,unité localisée pour l'inclusion scolaire en collège,https://www.onisep.fr/http/redirection/formation/slug/TYPDISP.13,"lettres, langues, enseignement/formations généralistes",Collège La Tour d'Auvergne La Salle,https://www.onisep.fr/http/redirection/etablissement/slug/ENS.13742,collège,0350835T,privé sous contrat,6 rue de la Santé,35000,Rennes,Ille-et-Vilaine,Rennes,Bretagne,48.1087,-1.68578,02 99 30 79 89,http://www.collegeta.fr,sans hébergement,Locaux accessibles,4 ans,,,06/06/2020,30/04/2026
AD.30770,unité localisée pour l'inclusion scolaire en collège,https://www.onisep.fr/http/redirection/formation/slug/TYPDISP.13,"lettres, langues, enseignement/formations généralistes",Collège Jean Moulin,https://www.onisep.fr/http/redirection/etablissement/slug/ENS.9376,collège,0352589Z,public,"Place Léopold Sédar Senghor, Saint Jacques de la Lande, BP 49219",35136,Saint-Jacques-de-la-Lande,Ille-et-Vilaine,Rennes,Bretagne,48.0767,-1.71441,02 99 30 03 13,http://www.collegejeanmoulin-stjacques.ac-rennes.fr,sans hébergement,Locaux accessibles,4 ans,,,21/04/2026,21/04/2026
AD.14426,section sportive de collège,https://www.onisep.fr/http/redirection/formation/slug/TYPDISP.2,"santé, social, sport/sport",Collège Saint-Hélier,https://www.onisep.fr/http/redirection/etablissement/slug/ENS.12070,collège,0350839X,privé sous contrat,7 rue Frère Salomon,35000,Rennes,Ille-et-Vilaine,Rennes,Bretagne,48.1032,-1.66044,02 99 50 52 72,https://www.college-sainthelier.fr/,sans hébergement,Locaux accessibles,3 ans,athlétisme,à partir de la 5e,06/06/2020,26/02/2025
