CODGEO_26,LIBGEO_26,pp_vacant_26,pp_vacant_plus_2ans_26,ff_pp_total_25,pp_vacant_25,pp_vacant_plus_2ans_25,ff_pp_total_24,pp_vacant_24,pp_vacant_plus_2ans_24,ff_pp_total_23,pp_vacant_23,pp_vacant_plus_2ans_23,ff_pp_total_22,pp_vacant_22,pp_vacant_plus_2ans_22,ff_pp_total_21,pp_vacant_21,pp_vacant_plus_2ans_21,ff_pp_total_20,pp_vacant_20,pp_vacant_plus_2ans_20,EPCI_26,LIB_EPCI_26,DEP,LIB_DEP,REG,LIB_REG
30258,Saint-Gilles,571,235,6363,441,270,6335,696,218,6306,608,209,6228,739,236,6183,635,209,6155,719,252,243000643,Communauté d'agglomération de Nîmes Métropole,30,Gard,76,Occitanie
35001,Acigné,121,25,2810,77,28,2815,198,28,2749,120,27,2718,148,27,2652,120,23,2627,114,18,243500139,Rennes Métropole,35,Ille-et-Vilaine,53,Bretagne
35022,Bécherel,29,15,323,24,s,322,39,s,323,28,s,323,30,s,321,33,15,311,31,s,243500139,Rennes Métropole,35,Ille-et-Vilaine,53,Bretagne
35024,Betton,253,43,5376,148,50,5355,375,26,5269,233,27,5126,263,39,5042,318,41,5008,445,44,243500139,Rennes Métropole,35,Ille-et-Vilaine,53,Bretagne
35032,Bourgbarré,74,18,1778,42,18,1750,83,s,1720,88,15,1680,79,12,1657,78,13,1620,93,15,243500139,Rennes Métropole,35,Ille-et-Vilaine,53,Bretagne
35039,Brécé,21,s,782,13,s,775,41,s,760,35,s,726,46,s,685,37,s,670,34,13,243500139,Rennes Métropole,35,Ille-et-Vilaine,53,Bretagne
35047,Bruz,521,78,8610,309,117,8791,672,103,8690,644,113,8585,1128,148,8396,741,133,8211,714,89,243500139,Rennes Métropole,35,Ille-et-Vilaine,53,Bretagne
35051,Cesson-Sévigné,463,71,8634,371,164,8593,682,83,8328,901,93,8038,599,70,7897,444,78,7753,551,58,243500139,Rennes Métropole,35,Ille-et-Vilaine,53,Bretagne
35055,Chantepie,242,21,4689,126,49,4510,291,29,4477,281,16,4421,250,18,4427,235,31,4230,196,27,243500139,Rennes Métropole,35,Ille-et-Vilaine,53,Bretagne
35058,La Chapelle-Chaussée,36,17,517,25,s,518,36,s,518,39,23,514,39,21,512,45,19,511,49,22,243500139,Rennes Métropole,35,Ille-et-Vilaine,53,Bretagne
