site_id,site_nom,site_type,site_adresse,site_identif_date,site_actu_date,site_url,site_ademe_url,site_securite,site_occupation,site_statut,site_projet_url,site_reconv_annee,site_reconv_type,activite_libelle,activite_code,activite_fin_annee,comm_nom,comm_insee,bati_type,bati_nombre,bati_surface,bati_pollution,bati_vacance,bati_patrimoine,bati_etat,local_ancien_annee,local_recent_annee,proprio_type,proprio_personne,proprio_nom,sol_pollution_annee,sol_pollution_existe,sol_pollution_origine,sol_pollution_commentaire,sol_depollution_fiche,unite_fonciere_surface,unite_fonciere_refcad,urba_zone_type,urba_zone_lib,urba_zone_formdomi,urba_doc_type,desserte_distance,desserte_commentaire,source_nom,source_url,source_producteur,source_contact,geompoint,geomsurf
35238_19491,"GARDAN Arsène, garage",inconnu,NA,2022-10-10,2022-10-10,http://fiches-risques.brgm.fr/georisques/basias-detaillee/BRE3501233,NA,inconnu,inconnu,friche potentielle,NA,NA,NA,"Garages, ateliers, mécanique et soudure",NA,NA,RENNES,35238,inconnu,1,NA,inconnu,inconnu,inconnu,inconnu,1954,1954,NA,personne physique,Nom anonymisé,NA,inconnu,inconnu,NA,NA,304,{35238000CS0291},U,UE2c - ,NA,PLUI,NA,NA,Site Basias ou Basol non vérifié par le Cerema,https://www.data.gouv.fr/fr/datasets/inventaire-des-sites-pollues/,lou dupont,NA,POINT (-1.656624 48.0938),NA
35245_19476,"TENOT SARL,  dépôt de fuel",inconnu,NA,2022-10-10,2022-10-10,http://fiches-risques.brgm.fr/georisques/basias-detaillee/BRE3503680,NA,inconnu,inconnu,friche potentielle,NA,NA,NA,Dépôt de liquides inflammables (D.L.I.),NA,NA,ROMILLE,35245,inconnu,1,NA,inconnu,inconnu,inconnu,inconnu,1992,1992,NA,personne physique,Nom anonymisé,NA,inconnu,inconnu,NA,NA,913,{35245000AD0862},U,UC1 - ,NA,PLUI,NA,NA,Site Basias ou Basol non vérifié par le Cerema,https://www.data.gouv.fr/fr/datasets/inventaire-des-sites-pollues/,lou dupont,NA,POINT (-1.89189 48.21235),NA
35047_9072,"DARVES/ VASSAL/ PIGNON Daniel, garage et carrosserie",inconnu,NA,2022-10-10,2022-10-10,http://fiches-risques.brgm.fr/georisques/basias-detaillee/BRE3501867,NA,inconnu,inconnu,friche potentielle,NA,NA,NA,"Carrosserie, atelier d'application de peinture sur métaux, PVC, résines, platiques (toutes pièces de carénage, internes ou externes, pour véhicules...)",NA,NA,BRUZ,35047,inconnu,2,NA,inconnu,inconnu,inconnu,inconnu,1800,1880,NA,personne physique,Nom anonymisé,NA,inconnu,inconnu,NA,NA,4293,"{35047000BW0026,35047000BW0027}",U,UE2b - ,NA,PLUI,NA,NA,Site Basias ou Basol non vérifié par le Cerema,https://www.data.gouv.fr/fr/datasets/inventaire-des-sites-pollues/,lou dupont,NA,POINT (-1.727439 48.02916),NA
35132_1566,"HARDY Bernard, garage et DLI",inconnu,NA,2022-10-10,2022-10-10,http://fiches-risques.brgm.fr/georisques/basias-detaillee/BRE3501575,NA,inconnu,inconnu,friche potentielle,NA,NA,NA,"Commerce de gros, de détail, de désserte de carburants en magasin spécialisé (station service  de toute capacité de stockage)",NA,NA,HIREL,35132,inconnu,1,NA,inconnu,inconnu,inconnu,inconnu,1850,1850,NA,personne physique,Nom anonymisé,NA,inconnu,inconnu,NA,NA,439,{35132000ZK0011},N,N - N : zone naturelle,NA,PLU,NA,NA,Site Basias ou Basol non vérifié par le Cerema,https://www.data.gouv.fr/fr/datasets/inventaire-des-sites-pollues/,lou dupont,NA,POINT (-1.795201 48.60617),NA
35136_19276,"RUAUD Armand, garage",inconnu,NA,2022-10-10,2022-10-10,http://fiches-risques.brgm.fr/georisques/basias-detaillee/BRE3501024,NA,inconnu,inconnu,friche potentielle,NA,NA,NA,"Garages, ateliers, mécanique et soudure",NA,NA,JANZE,35136,inconnu,1,NA,inconnu,inconnu,inconnu,inconnu,1950,1950,NA,personne physique,Nom anonymisé,NA,inconnu,inconnu,NA,NA,155,"{35136000AH0530,35136000AH0531}",U,"UD - UD : Zone mixte de développement périphérique (type collectif), avec commerces et bureaux le cas échéant",NA,PLU,NA,NA,Site Basias ou Basol non vérifié par le Cerema,https://www.data.gouv.fr/fr/datasets/inventaire-des-sites-pollues/,lou dupont,NA,POINT (-1.506035 47.96211),NA
35136_5884,"POMMIER Christian / VIGNIER / RIDARD, garage et station service",inconnu,NA,2022-10-10,2022-10-10,http://fiches-risques.brgm.fr/georisques/basias-detaillee/BRE3506008,NA,inconnu,inconnu,friche potentielle,NA,NA,NA,"Commerce de gros, de détail, de désserte de carburants en magasin spécialisé (station service  de toute capacité de stockage)",NA,NA,JANZE,35136,inconnu,1,NA,inconnu,inconnu,inconnu,inconnu,1830,1830,NA,personne physique,Nom anonymisé,NA,inconnu,inconnu,NA,NA,345,{35136000AC0144},U,UC - UC : Zone centrale urbaine d'habitat traditionnel,NA,PLU,NA,NA,Site Basias ou Basol non vérifié par le Cerema,https://www.data.gouv.fr/fr/datasets/inventaire-des-sites-pollues/,lou dupont,NA,POINT (-1.500972 47.96103),NA
35196_37371,Ferme Piolain,inconnu,NA,2025-11-14,NA,NA,NA,NA,NA,friche avec projet,NA,NA,NA,NA,NA,NA,Mordelles,35196,NA,5,NA,NA,NA,NA,NA,1870,2016,NA,autre,NA,NA,inconnu,NA,NA,NA,22171,"{35196000AI0316,35196000AR0001,35196000AR0002,35196000AR0004,35196000AR0005,35196000AR0006,35196000AR0007,35196000AR0009,35196000AR0012,35196000AR0222,35196000AR0230,35196000AR0233}",U,UO1 - ,NA,PLUI,NA,NA,NA,https://www.economie.gouv.fr/plan-de-relance/profils/collectivites/fonds-pour-le-recyclage-des-friches,Appel à projet Fonds Friches,NA,POINT (-1.83929 48.07619),NA
35310_8550,"BINOIS MENUISERIE SARL, traitement du bois",inconnu,NA,2022-10-10,2022-10-10,http://fiches-risques.brgm.fr/georisques/basias-detaillee/BRE3503817,NA,inconnu,inconnu,friche potentielle,NA,NA,NA,Imprégnation du bois ou application de peintures et vernis...,NA,NA,SAINT-SAUVEUR-DES-LANDES,35310,inconnu,1,NA,inconnu,inconnu,inconnu,inconnu,1991,1991,NA,personne physique,Nom anonymisé,NA,inconnu,inconnu,NA,NA,1339,"{35310000AB0191,35310000AB0192,35310000AB0297}",U,UEa - Zone urbaine équipée ou en voie d'équipement constituant l'extension du centre ancien (Avec règles spécifiques),NA,PLU,NA,NA,Site Basias ou Basol non vérifié par le Cerema,https://www.data.gouv.fr/fr/datasets/inventaire-des-sites-pollues/,lou dupont,NA,POINT (-1.315583 48.34223),NA
35363_1201,"FEUVREL Jean, dépôt de liquides inflammables et livraison de fuel et charbon",inconnu,NA,2022-10-10,2022-10-10,http://fiches-risques.brgm.fr/georisques/basias-detaillee/BRE3500997,NA,inconnu,inconnu,friche potentielle,NA,NA,NA,Dépôt de liquides inflammables (D.L.I.),NA,NA,PONT-PEAN,35363,inconnu,1,NA,inconnu,inconnu,inconnu,inconnu,1850,1850,NA,personne physique,Nom anonymisé,NA,inconnu,inconnu,NA,NA,812,"{35363000AJ0370,35363000AJ0371}",U,UA1b - ,NA,PLUI,NA,NA,Site Basias ou Basol non vérifié par le Cerema,https://www.data.gouv.fr/fr/datasets/inventaire-des-sites-pollues/,lou dupont,NA,POINT (-1.703901 48.0148),NA
35278_19570,"BOIRON LABORATOIRES, fabrique de médicaments",inconnu,NA,2022-10-10,2022-10-10,http://fiches-risques.brgm.fr/georisques/basias-detaillee/BRE3503818,NA,inconnu,inconnu,friche potentielle,NA,NA,NA,Fabrication de produits pharmaceutiques de base et laboratoire de recherche,NA,NA,SAINT-GREGOIRE,35278,inconnu,1,NA,inconnu,inconnu,inconnu,inconnu,1980,1980,NA,personne physique,Nom anonymisé,NA,inconnu,inconnu,NA,NA,10182,"{35278000AW0022,35278000AW0037,35278000AW0039,35278000AW0041}",N,Ne - ,NA,PLUI,NA,NA,Site Basias ou Basol non vérifié par le Cerema,https://www.data.gouv.fr/fr/datasets/inventaire-des-sites-pollues/,lou dupont,NA,POINT (-1.68205 48.14271),NA
