annee,coderegion,region,codedepartement,departement,codeepci,epci,codeinseecommune,codepostalcommune,commune,code_groupe,groupe_production,sous_groupe_production,production,nb_exp,surfab,surfc1,surfc2,surfc3,surfc123,surfbio
2008,53,Bretagne,35,Ille-et-Vilaine,200039022,Communauté d'agglomération Vitré Communauté,35170,35450,MECÉ,AU,Autres surfaces,Hors liste,"Jachère, gel entrant en rotation (yc bandes tampon et surfaces non exploitées temporairement)",1,0.88,0,0,0,0,0.88
2008,53,Bretagne,35,Ille-et-Vilaine,200039022,Communauté d'agglomération Vitré Communauté,35170,35450,MECÉ,SF,Surfaces et cultures fourragères,Cultures fourragères,Maïs fourrager,1,3.58,0,0,0,0,3.58
2008,53,Bretagne,35,Ille-et-Vilaine,200039022,Communauté d'agglomération Vitré Communauté,35170,35450,MECÉ,SF,Surfaces et cultures fourragères,Cultures fourragères,Prairie temporaire,1,30.73,0,0,0,0,30.73
2008,53,Bretagne,35,Ille-et-Vilaine,200039022,Communauté d'agglomération Vitré Communauté,35170,35450,MECÉ,SF,Surfaces et cultures fourragères,Cultures fourragères,Trèfle,1,3.4,0,0,0,0,3.4
2008,53,Bretagne,35,Ille-et-Vilaine,200039022,Communauté d'agglomération Vitré Communauté,35170,35450,MECÉ,SF,Surfaces et cultures fourragères,Surfaces toujours en herbe,Prairie permanente,1,16.85,0,0,0,0,16.85
2008,53,Bretagne,35,Ille-et-Vilaine,200039022,Communauté d'agglomération Vitré Communauté,35235,35130,RANNÉE,AU,Autres surfaces,Hors liste,"Autres surfaces, parcours collectifs et zones de cueillette",1,0,2.81,0,0,2.81,2.81
2008,53,Bretagne,35,Ille-et-Vilaine,200039022,Communauté d'agglomération Vitré Communauté,35235,35130,RANNÉE,AU,Autres surfaces,Hors liste,"Jachère, gel entrant en rotation (yc bandes tampon et surfaces non exploitées temporairement)",1,0,0.38,0,0,0.38,0.38
2008,53,Bretagne,35,Ille-et-Vilaine,200039022,Communauté d'agglomération Vitré Communauté,35235,35130,RANNÉE,FR,Fruits (yc à coque),Fruits à noyau et à pépins,Pommes,1,0,2.33,0,0,2.33,2.33
2008,53,Bretagne,35,Ille-et-Vilaine,200039022,Communauté d'agglomération Vitré Communauté,35235,35130,RANNÉE,GCU,Céréales et oléoprotéagineux (yc légumes secs),Céréales,Blé tendre,1,0,3.59,0,0,3.59,3.59
2008,53,Bretagne,35,Ille-et-Vilaine,200039022,Communauté d'agglomération Vitré Communauté,35235,35130,RANNÉE,GCU,Céréales et oléoprotéagineux (yc légumes secs),Céréales,Mélanges Céréales-légumineuses,1,0,0,5.7,0,5.7,5.7
2008,53,Bretagne,35,Ille-et-Vilaine,200039022,Communauté d'agglomération Vitré Communauté,35235,35130,RANNÉE,GCU,Céréales et oléoprotéagineux (yc légumes secs),Céréales,Triticale,1,0,6.22,0,0,6.22,6.22
2008,53,Bretagne,35,Ille-et-Vilaine,200039022,Communauté d'agglomération Vitré Communauté,35235,35130,RANNÉE,GCU,Céréales et oléoprotéagineux (yc légumes secs),Protéagineux,"Fèves, sèches (yc féveroles)",1,0,5.3,0,0,5.3,5.3
2008,53,Bretagne,35,Ille-et-Vilaine,200039022,Communauté d'agglomération Vitré Communauté,35235,35130,RANNÉE,GCU,Céréales et oléoprotéagineux (yc légumes secs),Protéagineux,Lupin,1,0,2.8,0,0,2.8,2.8
2008,53,Bretagne,35,Ille-et-Vilaine,200039022,Communauté d'agglomération Vitré Communauté,35235,35130,RANNÉE,SF,Surfaces et cultures fourragères,Cultures fourragères,Betterave fourragère,1,0,0,1.7,0,1.7,1.7
2008,53,Bretagne,35,Ille-et-Vilaine,200039022,Communauté d'agglomération Vitré Communauté,35235,35130,RANNÉE,SF,Surfaces et cultures fourragères,Cultures fourragères,Luzerne,1,0,2.56,0,0,2.56,2.56
2008,53,Bretagne,35,Ille-et-Vilaine,200039022,Communauté d'agglomération Vitré Communauté,35235,35130,RANNÉE,SF,Surfaces et cultures fourragères,Cultures fourragères,Maïs fourrager,2,0,13.3,3.8,0,17.1,17.1
