,Code métier,Autre identifiant,Nom établissement,Nom instruction,Statut instruction,Date début,Date fin,Description,Code INSEE,Nom commune,Nom département,Nom région,Géolocalisation,Coordonnée X,Coordonnée y,Code ICPE,NAF,NAF Rev1,NAF Rev2,idbasol,geom_source,geom_source_wfs,geom_source_scrap,geom_source_basold,type_geom_source,surface,geometry
291,SSP000038301,35.0025,ST Microelectronics,,En cours,,,En cours,35238,RENNES,ILLE-ET-VILAINE,BRETAGNE,Polygone,-1.6654434,48.0876,H18 - Composants électroniques (fabrication de),,,,SSP000038301,scrap,1,1,,wfs,43524.11436754069,"POLYGON ((-1.66426 48.08818, -1.66398 48.08818, -1.66398 48.08815, -1.66398 48.08814, -1.664 48.08766, -1.66403 48.08678, -1.66403 48.08667, -1.66431 48.08668, -1.66433 48.08668, -1.66515 48.08669, -1.66616 48.08671, -1.66616 48.08671, -1.66754 48.08673, -1.66753 48.08698, -1.6675 48.08766, -1.66748 48.08821, -1.66745 48.08823, -1.66611 48.08821, -1.66611 48.08821, -1.6656 48.0882, -1.66553 48.0882, -1.66528 48.0882, -1.66516 48.0882, -1.66496 48.08819, -1.66426 48.08818))"
296,SSP000038801,35.0001,Ancienne mine de Pont-Péan,,En cours,,,En cours,35363,PONT PEAN,ILLE-ET-VILAINE,BRETAGNE,Polygone,-1.7158256,48.01587,F2 - Minerais métalliques (extraction de),,,,SSP000038801,scrap,1,1,1,wfs,345675.7384437461,"POLYGON ((-1.71617 48.01142, -1.71618 48.01142, -1.71625 48.01134, -1.71631 48.01127, -1.71641 48.01123, -1.71643 48.01123, -1.71657 48.01121, -1.71667 48.01124, -1.71679 48.01127, -1.71694 48.01132, -1.71704 48.01135, -1.71708 48.01137, -1.71711 48.01138, -1.71713 48.01142, -1.71717 48.01148, -1.71726 48.0116, -1.71729 48.01166, -1.71737 48.01179, -1.71746 48.01192, -1.71754 48.01205, -1.71755 48.01206, -1.7175 48.0121, -1.71745 48.01216, -1.71742 48.0122, -1.7174 48.01225, -1.71739 48.01228, -1.7174 48.01244, -1.71739 48.01248, -1.71735 48.01253, -1.71727 48.01267, -1.71722 48.01276, -1.71718 48.0128, -1.71716 48.01283, -1.71717 48.01299, -1.71717 48.01299, -1.7172 48.01313, -1.71721 48.01325, -1.71723 48.01335, -1.71726 48.01344, -1.71733 48.01356, -1.71738 48.01362, -1.71743 48.01366, -1.71743 48.01366, -1.71769 48.01381, -1.71799 48.0139, -1.71802 48.01393, -1.71804 48.01399, -1.71805 48.01405, -1.71806 48.01419, -1.71806 48.01428, -1.71804 48.01439, -1.71801 48.01454, -1.71797 48.01466, -1.71793 48.01478, -1.71787 48.01491, -1.71786 48.01496, -1.71787 48.015, -1.71791 48.01507, -1.71793 48.0151, -1.71798 48.01513, -1.71815 48.01523, -1.71833 48.01535, -1.71849 48.01548, -1.71859 48.01556, -1.71861 48.0156, -1.71861 48.01564, -1.71857 48.01569, -1.71857 48.01572, -1.71857 48.01574, -1.71852 48.01583, -1.71843 48.01599, -1.71834 48.01616, -1.71824 48.01641, -1.71824 48.01642, -1.71821 48.01649, -1.71823 48.0165, -1.71849 48.01657, -1.71856 48.0166, -1.71866 48.01668, -1.7188 48.01676, -1.71892 48.01683, -1.71897 48.01686, -1.71903 48.0169, -1.71913 48.01698, -1.71926 48.01712, -1.71938 48.0172, -1.71956 48.01738, -1.71966 48.01747, -1.71974 48.01752, -1.7198 48.01755, -1.71986 48.01758, -1.72 48.0176, -1.72015 48.01761, -1.72026 48.01759, -1.72055 48.01753, -1.72078 48.01748, -1.72088 48.01748, -1.72098 48.01748, -1.72136 48.01746, -1.72171 48.01744, -1.7218 48.01744, -1.72191 48.01747, -1.72209 48.01752, -1.72229 48.01758, -1.7224 48.01762, -1.72247 48.01765, -1.72253 48.01769, -1.72263 48.01777, -1.72267 48.01779, -1.723 48.01796, -1.72308 48.01802, -1.72338 48.01828, -1.72345 48.01834, -1.72367 48.01821, -1.72399 48.01801, -1.7245 48.01769, -1.72456 48.01773, -1.72432 48.01786, -1.72388 48.01815, -1.7238 48.01821, -1.72327 48.01851, -1.72308 48.01832, -1.72293 48.01819, -1.72287 48.01813, -1.7228 48.01804, -1.72273 48.01798, -1.72263 48.01793, -1.72246 48.01786, -1.72225 48.01776, -1.72207 48.0177, -1.72194 48.01767, -1.72168 48.01763, -1.72148 48.01765, -1.72096 48.01768, -1.72072 48.01768, -1.72063 48.01768, -1.72046 48.01774, -1.72032 48.01776, -1.72022 48.01777, -1.72 48.01778, -1.71994 48.01778, -1.71967 48.01771, -1.71948 48.01763, -1.71928 48.01746, -1.71915 48.01734, -1.71903 48.0172, -1.71892 48.01708, -1.71877 48.01696, -1.71864 48.01688, -1.71848 48.01678, -1.71836 48.01672, -1.71823 48.01668, -1.71814 48.01666, -1.71817 48.01658, -1.71767 48.01655, -1.71762 48.01654, -1.71748 48.01652, -1.71741 48.01651, -1.71731 48.01651, -1.71726 48.01652, -1.71722 48.01655, -1.71682 48.01707, -1.71655 48.01742, -1.7165 48.01748, -1.71636 48.01764, -1.71633 48.01768, -1.71626 48.01773, -1.71619 48.01777, -1.71612 48.01781, -1.71604 48.01784, -1.71586 48.01789, -1.71575 48.01789, -1.71572 48.01787, -1.71557 48.01789, -1.71546 48.01791, -1.71536 48.01793, -1.71526 48.01797, -1.71522 48.01799, -1.71514 48.01804, -1.71508 48.0181, -1.71503 48.01816, -1.71497 48.01825, -1.71493 48.01833, -1.71491 48.01843, -1.71491 48.01853, -1.71493 48.01861, -1.71498 48.0187, -1.71503 48.01874, -1.71522 48.01884, -1.71535 48.01891, -1.71551 48.01899, -1.71594 48.01919, -1.71636 48.01939, -1.71658 48.01949, -1.7168 48.0196, -1.717 48.01969, -1.71722 48.01979, -1.7174 48.01988, -1.7174 48.01988, -1.71773 48.01986, -1.71795 48.01984, -1.71828 48.01981, -1.71868 48.01978, -1.71921 48.01973, -1.71952 48.0197, -1.71971 48.01969, -1.71982 48.01968, -1.72009 48.01965, -1.72025 48.01964, -1.72064 48.0196, -1.72117 48.01957, -1.72138 48.01955, -1.72156 48.01952, -1.72158 48.01959, -1.7216 48.01959, -1.72164 48.01958, -1.72169 48.01955, -1.72193 48.01938, -1.72199 48.01934, -1.72206 48.0193, -1.72213 48.01926, -1.72225 48.01919, -1.72231 48.01915, -1.72234 48.01915, -1.72236 48.01915, -1.7224 48.01914, -1.7224 48.01911, -1.72247 48.01905, -1.72257 48.01897, -1.72261 48.01894, -1.72268 48.01892, -1.72274 48.01889, -1.72294 48.01878, -1.72318 48.01864, -1.72337 48.01851, -1.72349 48.01844, -1.72372 48.01832, -1.72379 48.01828, -1.72387 48.01822, -1.7241 48.01806, -1.72429 48.01793, -1.72448 48.01784, -1.72454 48.01781, -1.72462 48.01777, -1.72464 48.01776, -1.72466 48.01775, -1.72467 48.01774, -1.72482 48.01767, -1.72493 48.01761, -1.72524 48.01741, -1.72542 48.01729, -1.72566 48.01716, -1.72581 48.01707, -1.72597 48.01699, -1.72619 48.01688, -1.72638 48.01678, -1.72664 48.01663, -1.72667 48.01664, -1.72667 48.01666, -1.72629 48.0172, -1.72625 48.01725, -1.72607 48.01747, -1.72604 48.01756, -1.72599 48.01767, -1.72595 48.01771, -1.72591 48.01775, -1.72587 48.0178, -1.72579 48.0179, -1.72573 48.01796, -1.72563 48.01803, -1.72557 48.01808, -1.72535 48.01819, -1.72529 48.01824, -1.72524 48.01828, -1.72514 48.01835, -1.72506 48.01843, -1.72499 48.01849, -1.72485 48.01858, -1.72472 48.01868, -1.72462 48.01875, -1.72451 48.01883, -1.7244 48.01889, -1.7243 48.01894, -1.72427 48.01895, -1.724 48.01899, -1.72366 48.01904, -1.72353 48.01906, -1.72328 48.0191, -1.72308 48.01916, -1.72284 48.01923, -1.72274 48.01927, -1.72272 48.01926, -1.7227 48.01924, -1.72268 48.01924, -1.72267 48.01925, -1.72266 48.01924, -1.72259 48.01926, -1.72255 48.01927, -1.72253 48.01928, -1.72247 48.01932, -1.72241 48.01936, -1.72218 48.01958, -1.72212 48.01965, -1.72212 48.01965, -1.72183 48.02, -1.7218 48.02003, -1.72177 48.02009, -1.72173 48.02022, -1.7217 48.02031, -1.72169 48.02052, -1.72168 48.02068, -1.72147 48.02068, -1.72146 48.02063, -1.72146 48.02056, -1.72148 48.02043, -1.72151 48.02026, -1.72155 48.02011, -1.72156 48.02005, -1.72147 48.02005, -1.71993 48.02018, -1.71966 48.02025, -1.71931 48.02039, -1.71895 48.02056, -1.7187 48.02065, -1.71828 48.02075, -1.71783 48.02083, -1.71738 48.02089, -1.71721 48.02098, -1.71698 48.02109, -1.71664 48.02123, -1.71664 48.02123, -1.71664 48.02123, -1.71664 48.02124, -1.71663 48.02124, -1.71663 48.02123, -1.71642 48.02126, -1.71614 48.02129, -1.71593 48.02132, -1.71588 48.02115, -1.71582 48.02093, -1.71579 48.02085, -1.71574 48.02075, -1.71566 48.02063, -1.71554 48.02047, -1.71549 48.02041, -1.71514 48.01997, -1.71486 48.01961, -1.71469 48.01937, -1.71452 48.01909, -1.71439 48.01887, -1.71436 48.01887, -1.71415 48.01852, -1.71372 48.01785, -1.71381 48.01783, -1.71401 48.01781, -1.71393 48.01754, -1.71388 48.01741, -1.71382 48.01723, -1.71378 48.01712, -1.71366 48.01676, -1.7136 48.01649, -1.71354 48.0163, -1.71321 48.01635, -1.71301 48.01638, -1.7127 48.01643, -1.71263 48.01631, -1.71261 48.01626, -1.71255 48.01616, -1.71248 48.01605, -1.71238 48.01584, -1.71232 48.01569, -1.71221 48.01553, -1.71159 48.0148, -1.71146 48.01463, -1.71138 48.01453, -1.71167 48.01445, -1.71166 48.01444, -1.71167 48.01444, -1.7117 48.01443, -1.71176 48.01442, -1.71184 48.01441, -1.71214 48.01436, -1.71213 48.01428, -1.71204 48.01405, -1.71203 48.01401, -1.71148 48.01406, -1.71148 48.01405, -1.71148 48.01403, -1.71148 48.01402, -1.71175 48.01397, -1.71164 48.01374, -1.71157 48.01357, -1.71157 48.01357, -1.71183 48.0135, -1.71191 48.01367, -1.71265 48.01358, -1.71288 48.01355, -1.7126 48.01281, -1.71257 48.01272, -1.71203 48.01282, -1.71203 48.01282, -1.71191 48.01284, -1.71067 48.01306, -1.7107 48.01313, -1.71134 48.013, -1.71135 48.01303, -1.71136 48.01305, -1.71146 48.01329, -1.71139 48.0133, -1.71151 48.01359, -1.71101 48.01368, -1.71092 48.0137, -1.71092 48.0137, -1.71086 48.01371, -1.71086 48.01371, -1.71071 48.01374, -1.71066 48.01374, -1.71064 48.01372, -1.71061 48.01371, -1.71054 48.01368, -1.71041 48.01362, -1.71024 48.01355, -1.71018 48.01353, -1.71007 48.0135, -1.70995 48.01346, -1.70978 48.01309, -1.70959 48.01267, -1.70967 48.01264, -1.70969 48.01269, -1.70971 48.01269, -1.70973 48.01269, -1.70975 48.0127, -1.70978 48.0127, -1.70981 48.0127, -1.70987 48.0127, -1.70992 48.0127, -1.70996 48.01269, -1.71018 48.01265, -1.71049 48.01258, -1.71052 48.01266, -1.71055 48.01273, -1.71063 48.01294, -1.71064 48.01294, -1.71058 48.0128, -1.7106 48.0128, -1.71057 48.01273, -1.71054 48.01266, -1.7105 48.01257, -1.71061 48.01255, -1.71073 48.01252, -1.71088 48.01248, -1.71098 48.01245, -1.71112 48.01243, -1.71121 48.01241, -1.71128 48.01239, -1.71153 48.01235, -1.71169 48.01232, -1.71171 48.01235, -1.71201 48.0123, -1.712 48.01227, -1.71204 48.01226, -1.71211 48.01224, -1.71211 48.01226, -1.7122 48.01226, -1.71237 48.01223, -1.71264 48.01218, -1.71278 48.01216, -1.71282 48.01215, -1.71316 48.01211, -1.71345 48.01206, -1.71349 48.01204, -1.71352 48.01201, -1.71349 48.01195, -1.71358 48.01184, -1.71371 48.01166, -1.71373 48.01165, -1.7138 48.01158, -1.71401 48.01144, -1.71417 48.01135, -1.71424 48.01131, -1.71426 48.0113, -1.71428 48.0113, -1.71429 48.01129, -1.71433 48.01129, -1.71438 48.01129, -1.71445 48.0113, -1.71452 48.01131, -1.7146 48.01133, -1.71474 48.01139, -1.71482 48.01142, -1.71484 48.01143, -1.71486 48.01144, -1.71496 48.01151, -1.7151 48.01159, -1.7152 48.01164, -1.71528 48.01167, -1.71531 48.01167, -1.71533 48.01168, -1.71538 48.01168, -1.71549 48.01168, -1.7157 48.01162, -1.71588 48.01157, -1.71591 48.01156, -1.71593 48.01155, -1.71601 48.01151, -1.7161 48.01147, -1.71617 48.01142), (-1.71642 48.02126, -1.71575 48.02033, -1.71574 48.02033, -1.71607 48.02078, -1.71642 48.02126), (-1.71597 48.01469, -1.71572 48.01469, -1.71553 48.0147, -1.71572 48.01469, -1.71597 48.01469), (-1.71553 48.0147, -1.71512 48.01471, -1.71479 48.01472, -1.71512 48.01471, -1.71553 48.0147), (-1.71736 48.0138, -1.71735 48.01378, -1.71735 48.01377, -1.71735 48.01378, -1.71736 48.0138, -1.71736 48.0138), (-1.71711 48.01297, -1.71708 48.01296, -1.71708 48.01296, -1.71711 48.01297), (-1.7171 48.01314, -1.71712 48.01332, -1.71717 48.01366, -1.71717 48.01367, -1.71717 48.01366, -1.71712 48.01332, -1.7171 48.01314), (-1.71718 48.01367, -1.71718 48.01367, -1.71731 48.01375, -1.71718 48.01367), (-1.71715 48.01996, -1.71704 48.01999, -1.71713 48.01997, -1.71715 48.01996), (-1.7169 48.02003, -1.71674 48.02007, -1.71656 48.02012, -1.71634 48.02017, -1.71597 48.02027, -1.71597 48.02027, -1.71602 48.02026, -1.71629 48.02019, -1.71639 48.02016, -1.71676 48.02006, -1.7169 48.02003), (-1.71516 48.01721, -1.71514 48.0172, -1.71512 48.01722, -1.71513 48.01723, -1.71516 48.01721), (-1.715 48.01736, -1.71508 48.01728, -1.71507 48.01728, -1.71499 48.01736, -1.715 48.01736), (-1.7167 48.02099, -1.7167 48.02098, -1.71666 48.02094, -1.71654 48.0209, -1.7164 48.02092, -1.71603 48.02044, -1.71603 48.02044, -1.71615 48.0206, -1.71631 48.02081, -1.7164 48.02092, -1.71655 48.0209, -1.71662 48.02093, -1.71666 48.02095, -1.71668 48.02097, -1.7167 48.02098, -1.7167 48.02099), (-1.71602 48.0204, -1.71598 48.02029, -1.716 48.02035, -1.71602 48.0204), (-1.70926 48.00899, -1.70936 48.00897, -1.70943 48.00895, -1.70968 48.00887, -1.70985 48.00882, -1.70998 48.00877, -1.71008 48.00875, -1.7102 48.00872, -1.71033 48.00895, -1.71047 48.00921, -1.71069 48.00962, -1.71086 48.00995, -1.71087 48.00999, -1.71088 48.01002, -1.71073 48.01004, -1.7106 48.01005, -1.71047 48.01006, -1.71022 48.01007, -1.7101 48.01007, -1.71009 48.01002, -1.70973 48.00957, -1.70926 48.00899), (-1.7134 48.02031, -1.71343 48.02033, -1.71352 48.02027, -1.71353 48.02026, -1.71355 48.02025, -1.71356 48.02024, -1.71362 48.0202, -1.71374 48.02011, -1.71369 48.02009, -1.71363 48.02006, -1.71358 48.02003, -1.71354 48.02001, -1.7135 48.01999, -1.71339 48.01994, -1.71327 48.01988, -1.71318 48.01984, -1.71315 48.01982, -1.71311 48.0198, -1.71308 48.01979, -1.71305 48.01977, -1.71312 48.01972, -1.71317 48.01967, -1.71325 48.01958, -1.71336 48.01947, -1.71344 48.01939, -1.71346 48.01938, -1.71347 48.01937, -1.71349 48.01935, -1.71351 48.01934, -1.71357 48.01931, -1.7136 48.0193, -1.71363 48.01929, -1.71371 48.01926, -1.71376 48.01925, -1.71386 48.01922, -1.71413 48.01915, -1.71429 48.0191, -1.71436 48.01912, -1.71442 48.01914, -1.71459 48.01941, -1.71475 48.01964, -1.71488 48.0198, -1.71508 48.02005, -1.71526 48.02028, -1.71532 48.02035, -1.71547 48.02053, -1.71554 48.02063, -1.71559 48.02071, -1.71566 48.02083, -1.71569 48.0209, -1.71572 48.02098, -1.71575 48.02109, -1.71577 48.02119, -1.71569 48.0212, -1.71563 48.02116, -1.71544 48.02102, -1.71532 48.02093, -1.71512 48.02082, -1.71488 48.021, -1.71463 48.02118, -1.71448 48.02119, -1.71447 48.02115, -1.71446 48.02115, -1.71429 48.02113, -1.71431 48.02108, -1.71433 48.02104, -1.71434 48.021, -1.71413 48.02091, -1.71393 48.02082, -1.71376 48.02075, -1.71362 48.02069, -1.71344 48.0206, -1.7133 48.02054, -1.71325 48.02052, -1.71318 48.02048, -1.71326 48.02044, -1.71332 48.0204, -1.71335 48.02039, -1.71336 48.02037, -1.71338 48.02036, -1.7134 48.02034, -1.7134 48.02031))"
297,SSP000038901,35.0012,Ancienne usine à gaz,,En cours,,,En cours,35238,RENNES,ILLE-ET-VILAINE,BRETAGNE,Polygone,-1.7021092,48.105946,"J1 - Cokéfaction, usines à gaz",,,,SSP000038901,scrap,1,1,1,wfs,36550.67904548247,"POLYGON ((-1.70087 48.10527, -1.70104 48.10527, -1.70138 48.10528, -1.70178 48.10529, -1.70216 48.10529, -1.70267 48.1053, -1.70267 48.1053, -1.70267 48.1053, -1.70267 48.1053, -1.70277 48.1053, -1.70277 48.1053, -1.70277 48.1053, -1.70276 48.10539, -1.70292 48.10541, -1.70303 48.10542, -1.70334 48.10546, -1.70332 48.10541, -1.70332 48.10541, -1.70332 48.10541, -1.70333 48.10541, -1.70377 48.10548, -1.7038 48.10549, -1.70382 48.10551, -1.70387 48.1056, -1.70388 48.10563, -1.70392 48.10581, -1.70396 48.1058, -1.70406 48.10621, -1.70406 48.10621, -1.70406 48.10621, -1.70402 48.10621, -1.70402 48.10622, -1.70407 48.10646, -1.70407 48.10646, -1.70407 48.10646, -1.70346 48.10651, -1.70267 48.10657, -1.70205 48.10663, -1.70161 48.10667, -1.70113 48.10671, -1.70091 48.10673, -1.70089 48.1067, -1.70087 48.10667, -1.70082 48.10656, -1.70078 48.1065, -1.70074 48.10642, -1.70071 48.10636, -1.70067 48.1063, -1.70064 48.10623, -1.7006 48.10616, -1.70057 48.10611, -1.70054 48.10606, -1.70051 48.10601, -1.70049 48.10596, -1.70046 48.10591, -1.70039 48.10579, -1.70036 48.10574, -1.70022 48.1055, -1.70019 48.10545, -1.70015 48.10539, -1.70011 48.10531, -1.7001 48.10529, -1.70005 48.10526, -1.70005 48.10526, -1.70005 48.10526, -1.70029 48.10527, -1.70052 48.10527, -1.70087 48.10527))"
615,SSP000070701,35.0022,SNC LES BAUDIERES - MONIER,,En cours,,,En cours,35238,RENNES,ILLE-ET-VILAINE,BRETAGNE,Polygone,-1.7322503,48.104744,M1 - Industries diverses,,,,SSP000070701,scrap,1,1,1,wfs,31617.02897667012,"POLYGON ((-1.73099 48.10378, -1.73222 48.10354, -1.73233 48.10352, -1.73258 48.10347, -1.73262 48.10358, -1.73272 48.10382, -1.73285 48.10413, -1.73247 48.1042, -1.73175 48.10434, -1.73175 48.10434, -1.73172 48.10428, -1.73171 48.10428, -1.73174 48.10435, -1.73285 48.10413, -1.73295 48.10437, -1.73298 48.10444, -1.73307 48.10464, -1.73309 48.10464, -1.7335 48.10559, -1.73249 48.10593, -1.73204 48.10607, -1.73203 48.10605, -1.73196 48.10607, -1.73165 48.10534, -1.73138 48.10469, -1.73137 48.10467, -1.73124 48.10437, -1.73117 48.10419, -1.73099 48.10378))"
639,SSP000075801,,Ancienne décharge de Celar,,Clôturée,,,Clôturée,35047,BRUZ,ILLE-ET-VILAINE,BRETAGNE,Polygone,-1.747018,47.991306,,,,,SSP000075801,scrap,1,1,1,wfs,48488.39862286107,"POLYGON ((-1.74603 47.9925, -1.74596 47.99234, -1.74595 47.99227, -1.74594 47.99221, -1.74591 47.99212, -1.74586 47.992, -1.74585 47.99197, -1.74583 47.99193, -1.74579 47.99181, -1.74578 47.99178, -1.74578 47.99175, -1.74572 47.99158, -1.74569 47.99147, -1.74567 47.9914, -1.74565 47.99134, -1.74563 47.99124, -1.74558 47.99098, -1.74554 47.99098, -1.74556 47.99069, -1.74557 47.99029, -1.74557 47.99022, -1.74575 47.99021, -1.746 47.99021, -1.74626 47.9902, -1.74655 47.99019, -1.74702 47.99023, -1.74749 47.99027, -1.74784 47.9903, -1.74828 47.9903, -1.74828 47.99038, -1.74829 47.99044, -1.74829 47.9905, -1.7483 47.99053, -1.74831 47.99056, -1.74831 47.99057, -1.74832 47.99058, -1.74834 47.9906, -1.74836 47.99063, -1.74836 47.99065, -1.74837 47.9907, -1.74837 47.99082, -1.74837 47.99091, -1.74834 47.99107, -1.74834 47.99112, -1.74834 47.99117, -1.74835 47.99131, -1.74838 47.99164, -1.74838 47.99166, -1.74839 47.9917, -1.74842 47.99176, -1.74845 47.99182, -1.74847 47.99186, -1.74849 47.9919, -1.74852 47.99195, -1.74857 47.99204, -1.74862 47.9921, -1.74865 47.99216, -1.74868 47.99221, -1.74869 47.99224, -1.74851 47.99228, -1.74837 47.9923, -1.74814 47.99233, -1.74783 47.99236, -1.74726 47.9924, -1.74696 47.99242, -1.74679 47.99243, -1.74656 47.99245, -1.74603 47.9925))"
640,SSP000075901,,Ancienne décharge des Garennes,,Clôturée,,,Clôturée,35047,BRUZ,ILLE-ET-VILAINE,BRETAGNE,Polygone,-1.751062,48.003235,,,,,SSP000075901,scrap,1,1,1,wfs,35616.91186302368,"POLYGON ((-1.74985 48.00289, -1.74983 48.00282, -1.74977 48.00256, -1.74974 48.00243, -1.74973 48.00241, -1.7505 48.00231, -1.75107 48.00225, -1.75174 48.00216, -1.7519 48.00214, -1.75198 48.00243, -1.75207 48.00282, -1.75216 48.00318, -1.75225 48.00358, -1.75238 48.0041, -1.75238 48.00412, -1.75178 48.00416, -1.7517 48.00417, -1.75116 48.0042, -1.75069 48.00423, -1.75018 48.00427, -1.75018 48.00426, -1.75018 48.00425, -1.7501 48.00396, -1.75004 48.0037, -1.74999 48.00348, -1.7499 48.00313, -1.74989 48.00307, -1.74985 48.00289))"
641,SSP000076001,,Ancienne décharge de Pince-Poche,,Clôturée,,,Clôturée,35051,CESSON SEVIGNE,ILLE-ET-VILAINE,BRETAGNE,Polygone,-1.6060385,48.111256,,,,,SSP000076001,scrap,1,1,1,wfs,60773.49239705168,"POLYGON ((-1.60836 48.11093, -1.60843 48.11071, -1.60722 48.11076, -1.60711 48.11082, -1.60695 48.11064, -1.60717 48.11047, -1.60731 48.11034, -1.60737 48.11028, -1.60759 48.1101, -1.60771 48.11002, -1.60783 48.10994, -1.60792 48.10986, -1.60813 48.10969, -1.60832 48.10948, -1.60862 48.10916, -1.60877 48.10932, -1.60878 48.10976, -1.60878 48.10996, -1.60861 48.11055, -1.60848 48.11112, -1.60847 48.11121, -1.60845 48.11127, -1.60843 48.11139, -1.60834 48.11163, -1.60785 48.11167, -1.60744 48.11175, -1.60685 48.11185, -1.60661 48.1119, -1.60618 48.11195, -1.60564 48.11203, -1.60528 48.1121, -1.60461 48.11218, -1.60397 48.11226, -1.6035 48.11225, -1.60331 48.11232, -1.6032 48.11234, -1.60294 48.1124, -1.60275 48.11244, -1.60274 48.11239, -1.60273 48.1122, -1.60256 48.11205, -1.60253 48.11204, -1.60213 48.11196, -1.60214 48.11192, -1.60258 48.11178, -1.60267 48.11171, -1.60278 48.11168, -1.60282 48.11167, -1.60298 48.11162, -1.60302 48.11161, -1.60301 48.11161, -1.60286 48.11156, -1.60289 48.11154, -1.60301 48.11143, -1.60307 48.11139, -1.60317 48.11132, -1.60326 48.11126, -1.60331 48.11124, -1.60336 48.11122, -1.60345 48.1112, -1.60362 48.1112, -1.60377 48.11119, -1.604 48.11118, -1.60513 48.11112, -1.60601 48.11107, -1.60608 48.11103, -1.60619 48.11101, -1.60616 48.111, -1.60627 48.11096, -1.60636 48.11093, -1.60647 48.11087, -1.60667 48.11075, -1.60678 48.11068, -1.60689 48.11059, -1.60695 48.11065, -1.60711 48.11083, -1.60722 48.11077, -1.60843 48.11071, -1.60836 48.11093), (-1.60841 48.11112, -1.6083 48.11112, -1.6083 48.11112, -1.60841 48.11112))"
642,SSP000076201,35.0017,ZAC des Trois Marches,,Clôturée,,,Clôturée,35353,VEZIN LE COQUET,ILLE-ET-VILAINE,BRETAGNE,Polygone,-1.7383287,48.102287,L13 - Entrepôts de produits dangereux,,,,SSP000076201,scrap,1,1,1,wfs,17612.74697742039,"POLYGON ((-1.73879 48.10186, -1.73949 48.10184, -1.73957 48.10264, -1.73957 48.10267, -1.73947 48.10267, -1.73947 48.10268, -1.73947 48.10268, -1.7383 48.10273, -1.73814 48.10285, -1.73798 48.10286, -1.73693 48.10244, -1.73683 48.10223, -1.73683 48.10223, -1.73683 48.10223, -1.73686 48.10219, -1.73697 48.10214, -1.73714 48.1021, -1.73727 48.10206, -1.7374 48.10202, -1.7376 48.10195, -1.73767 48.10193, -1.73781 48.10188, -1.73787 48.10186, -1.73796 48.10183, -1.73805 48.1018, -1.73811 48.10178, -1.73826 48.10175, -1.73836 48.10172, -1.73846 48.10169, -1.73876 48.10187, -1.73879 48.10186))"
643,SSP000076301,,Ancienne décharge des Rochers,,Clôturée,,,Clôturée,35055,CHANTEPIE,ILLE-ET-VILAINE,BRETAGNE,Polygone,-1.5798645,48.08673,,,,,SSP000076301,scrap,1,1,1,wfs,17188.29278201841,"POLYGON ((-1.5807 48.08626, -1.58067 48.08626, -1.58066 48.0863, -1.58066 48.08634, -1.58068 48.08641, -1.58071 48.08642, -1.58074 48.08642, -1.58075 48.08652, -1.58073 48.08652, -1.58075 48.08658, -1.58079 48.08673, -1.58082 48.08684, -1.58082 48.08692, -1.58081 48.08706, -1.58082 48.08726, -1.58065 48.08725, -1.58035 48.08727, -1.58016 48.08729, -1.58003 48.0873, -1.57994 48.08731, -1.57994 48.08733, -1.57979 48.08737, -1.5793 48.08747, -1.57921 48.08729, -1.57915 48.08715, -1.57904 48.0869, -1.57899 48.08674, -1.57892 48.0864, -1.57888 48.08616, -1.57897 48.08615, -1.57906 48.08614, -1.57913 48.08614, -1.57921 48.08613, -1.57928 48.08613, -1.57937 48.08613, -1.57947 48.08613, -1.57967 48.08614, -1.57993 48.08615, -1.58001 48.08616, -1.5801 48.08616, -1.58024 48.08616, -1.58041 48.08615, -1.58057 48.08615, -1.58066 48.08614, -1.58069 48.08614, -1.5807 48.08626))"
644,SSP000076501,,Ancienne décharge de la Sillandais,,Clôturée,,,Clôturée,35076,CHAVAGNE,ILLE-ET-VILAINE,BRETAGNE,Polygone,-1.7906607,48.047592,,,,,SSP000076501,scrap,1,1,1,wfs,40545.52645042408,"POLYGON ((-1.79173 48.04866, -1.78953 48.04869, -1.78953 48.04869, -1.78951 48.04869, -1.78948 48.04772, -1.78945 48.04675, -1.78949 48.04674, -1.78959 48.04671, -1.78966 48.04669, -1.78973 48.04668, -1.78981 48.04667, -1.78988 48.04666, -1.79 48.04665, -1.79 48.04665, -1.79175 48.04635, -1.79177 48.04634, -1.79177 48.04634, -1.7918 48.04634, -1.79179 48.04729, -1.79173 48.04861, -1.79173 48.04866, -1.79173 48.04866, -1.79173 48.04866))"
