id,structure_id,source,nom,conditions_acces,description,type,thematiques,frais,frais_precisions,publics,publics_precisions,commune,code_postal,code_insee,adresse,complement_adresse,longitude,latitude,horaires_accueil,lien_source,telephone,courriel,contact_nom_prenom,date_maj,lien_mobilisation,mobilisable_par,mobilisation_precisions,modes_accueil,modes_mobilisation,zone_eligibilite,volume_horaire_hebdomadaire,nombre_semaines,score_qualite
monenfant--1d09d573-2d20-43b2-b5c5-b7079f4737ea,monenfant--1d09d573-2d20-43b2-b5c5-b7079f4737ea,monenfant,Garde et accueil des enfants,Cet établissement admet les enfants bénéficiant d'une réservation de berceau par les employeurs de leurs parents.,"## Accueil des enfants en situation d’handicap

Tous les enfants sont acceptés dans la crèche quelques soient leurs particularités.

## Le projet pédagogique :

La crèche est un multiaccueil de 18 places ouvert de 7h30 à 19h. Son fonctionnement est basé sur la pédagogie Itinérance Ludique qui prévoit l'organisation d' univers ludiques ouverts à tous les enfants et accompagnés par des professionnels qui assurent la sécurité des enfants et les soutiennent dans leurs découvertes, expériences et donc apprentissages.Les enfants inventent leurs jeux à partir d'objets ludiques interessants car permettant de nombreuses possibilités. Les parents sont invités à entrer dans la crèche et à accompagner leurs enfants dans les univers ludiques. Ils peuvent s'installer et participer autant qu'ils le peuvent et le souhaitent. L'équipe communique chaque semaine sur les univers ludiques proposés aux enfants.",accompagnement,['famille--garde-denfants'],payant,La tarification est calculée en fonction de vos ressources et du nombre d'enfants à charge (barème national fixé par les Allocations familiales).,['familles'],,Rennes,35200,35238,12 Avenue Henri Fréville,,-1.675119,48.090697,Mo-Fr 07:30-19:00 open; Aug closed; Dec 25-Jan 1 closed,https://monenfant.fr/que-recherchez-vous/MULTI-ACCUEIL KOALAKIDS FRÉVILLE - SARL MA CABANE EN BOIS - RENNES/EAJE/1d09d573-2d20-43b2-b5c5-b7079f4737ea,+33805690425,accueil@koalakids.fr,,2022-11-04,,"['usagers', 'professionnels']",Auprès du service d'accueil (accueil@koalakids.fr).,['en-presentiel'],"['telephoner', 'envoyer-un-courriel']",['35238'],,,0.9000000000000001
dora--3b70317f-d355-4650-8fb5-d43bebb3a997,dora--c09225fd-8827-4e75-9ebc-dfe46ff36af0,dora,BOUTIQUE SOLIDAIRE,,"Une boutique solidaire gérée par le Centre social et une équipe de bénévoles est un espace chaleureux où se mêlent entraide et convivialité. Un de ses objectifs est de proposer des vêtements, des bijoux crées main par les habitants créateurs, à petits prix...

La boutique fonctionne grâce aux dons, neufs et d'occasions, et est ouverte à tous.",aide-materielle,['equipement-et-alimentation--habillement'],payant,"les vêtements et accessoires sont en vente. 
tarifs : 0.5€ à 5€ maximum",['tous-publics'],,Saint-Jacques-de-la-Lande,35136,35281,10 Rue François Mitterrand,Epi Condorcet - centre de la Lande,-1.714032,48.080278,,https://dora.inclusion.gouv.fr/services/le-centre-de-la-land-boutique-solidaire,+33299356216,contact.cdl@centredelalande.fr,Le Bras Estelle,2025-10-08,,"['usagers', 'professionnels']",,['en-presentiel'],"['se-presenter', 'telephoner']",['35'],8.0,46.0,0.9800000000000002
cd35--1126--accueil-collectif-ponctuel,cd35--1126,cd35,Accueil collectif ponctuel : halte garderie - multi accueil,,"L’accueil collectif occasionnel (ou halte-garderie) s’adresse à des enfants de moins de six ans.
Il est généralement de courte durée.
Il est souple et permet de répondre à des besoins ponctuels d’accueil.
 
La halte-garderie permet aux parents de se libérer ponctuellement, et aux enfants de faire en douceur l'expérience de la séparation et de la vie en collectivité.
Sont accueillis en priorité les enfants de 3 mois à 3 ans pour un effectif de 18 places.  
 
Halte-garderie gérée par l'association rennaise des centres sociaux (ARCS).",aide-materielle,['famille--garde-denfants'],,,"['beneficiaires-des-minimas-sociaux', 'demandeurs-emploi', 'familles']",,Rennes,35200,35238,7 Rue d'Espagne,,-1.672378,48.086862,"  lundi ,mercredi, jeudi et vendredi de 9h à 12 et de 13h45 à 17h15, mardi de 13h45 à 17h15,   ",https://annuaire.ille-et-vilaine.fr/organisme/1126-halte-garderie-associative-carrefour-18-rennes,+33299513225,c18@assoarcs.com,,2020-06-22,,"['usagers', 'professionnels']",,,"['telephoner', 'envoyer-un-courriel']",['35'],,,0.7800000000000001
monenfant--47cd34ad-3405-4d05-b69b-efbcd164512b,monenfant--47cd34ad-3405-4d05-b69b-efbcd164512b,monenfant,Garde et accueil des enfants,"Cet établissement admet les enfants sans conditions de ressources ou de lieux d'habitations. Chaque enfant doit être à jour de son calendrier vaccinal.
3 formules d’accueil sont proposées aux parents :","## Accueil des enfants en situation d’handicap

Nous accueillons tous les enfants qui souffrent de handicaps divers : anomalies chromosomiques, problèmes neurologiques, maladies génétiques ou orphelines, TED, TSA...

Les enfants sont admis dans les mêmes conditions que les autres enfants, dès lors que leur présence puisse être encadrée de manière adaptée par l’équipe, et qu’ils soient aptes à la vie en collectivité. Chaque enfant en situation de handicap est accompagné d'un adulte tout au long de l'après-midi.

## Le projet pédagogique :

A Rennes, la halte-garderie Primevères accueille tous les enfants de 2,5 mois à 5 ans révolu dont les parents ont besoin de répit et notamment, les enfants en situation de handicap et/ou de vulnérabilité sociale. Dans notre structure, chaque enfant a un projet personnalisé pour un meilleur accompagnement. Primevères :
- s’adapte aux différentes situations, différents handicaps, différentes demandes, en proposant des modes et temps d’accueil personnalisés
- crée du lien au sein même de l'association entre les familles et aussi avec les acteurs éducatifs, sociaux et médico-sociaux.
- propose un premier lieu de socialisation afin de donner du répit : aider les parents à quitter leur enfant avec le sourire et à revenir avec le sourire.
- propose des temps de parentalité dans des lieux ordinaires, salles de concert, musées, piscine, etc… avec l’accompagnement des équipes professionnelles
Après un temps d’observation de l’enfant, un projet personnel est mis en place en fonction des possibilités et des besoins de chacun.
Il y a un adulte pour chaque enfant en situation de handicap avec un maximum de 8 adultes pour 10 enfants.
Nos objectifs principaux sont : l'Acquisition de l’autonomie, la Socialisation, la Multiplication des expériences sensorielles et motrices et l'Acquisition de repères sécurisant les enfants dans toutes les situations nouvelles. Nous souhaitons éveiller l’enfant en fonction de ses possibilités en respectant son rythme, ses difficultés, son handicap ; aider l’enfant à s’adapter à divers lieux en oubliant son angoisse ; favoriser l’ouverture vers l’extérieur. Les familles sont invitées à participer à la vie de l'association. Chaque année, les professionnels choisissent une thématique et les activitées proposées sont en lien avec celle-ci.",accompagnement,['famille--garde-denfants'],payant,La tarification est calculée en fonction de vos ressources et du nombre d'enfants à charge (barème national fixé par les Allocations familiales).,['familles'],,Rennes,35700,35238,31 Square Louis Boulanger,,-1.637191,48.126736,Mo-Fr 13:30-17:00 open; Jul closed; Aug closed; Dec 25-Jan 1 closed,https://monenfant.fr/que-recherchez-vous/HALTE-GARDERIE PRIMEVÈRES - RENNES/EAJE/47cd34ad-3405-4d05-b69b-efbcd164512b,+33299507264,haltegarderie.primeveres@yahoo.fr,,2024-09-16,,"['usagers', 'professionnels']","La famille prend contact avec la directrice. La première rencontre se fait en présence de l’enfant à la halte-garderie. Les familles peuvent être accompagnées par des professionnels (CAMPS, PMI, ou autre…).",['en-presentiel'],"['telephoner', 'envoyer-un-courriel']",['35238'],,,0.8600000000000001
cd35--3149--accueil-de-nuit-des-sans-abris,cd35--3149,cd35,Accueil de nuit des sans abris,,"Cet accueil géré par l'association Sauvegarde de l'enfant à l'adulte (SEA 35) en partenariat avec l'Asfad et l'association Saint-Benoît-Labre, propose quarante places prioritairement destinées à l'accueil des femmes seules, femmes enceintes et familles monoparentales avec des enfants en bas âge.
Ce centre d'hébergement d'urgence a aussi vocation à accompagner les femmes en situation de vulnérabilité vers l'insertion sociale.
Présence de plusieurs professionnels : une maîtresse de maison pour aider à la logistique quotidienne et un travailleur social qui pourra réaliser les entretiens et animer le temps du soir et un surveillant de nuit.",aide-materielle,['logement-hebergement--rechercher-une-solution-dhebergement-temporaire'],,,,,Rennes,35000,35238,3 Avenue Monseigneur Mouézy,,-1.655044,48.102524,Ouverture de 18h30 à 8h,https://annuaire.ille-et-vilaine.fr/organisme/3149-accueil-de-nuit-pour-les-familles-mono-parentales-et-femmes-rennes,,sea-siege@sea35.org,,2020-11-16,,"['usagers', 'professionnels']",,,['envoyer-un-courriel'],['35'],,,0.62
france-travail--BRE0070-4,france-travail--BRE0070,france-travail,M'imaginer créateur d'entreprise,Être inscrit à France Travail.,"Créer mon entreprise, pourquoi pas ?
La création ou la reprise d'entreprise : une réelle opportunité de reprise d'activité ! Est-ce une piste faite pour vous ?

Cet atelier-conseil vous permet de :

- Explorer la création ou reprise d'entreprise comme piste d'emploi Identifier vos motivations et vos capacités à créer ou reprendre une entreprise

- Recenser les organismes et interlocuteurs susceptibles de vous accompagner dans votre démarche

- Identifier les aides dont vous pouvez bénéficier

<!-- -->

Durée : Une demi-journée

Inscription :

- depuis l'espace personnel France Travail 
- ou en contactant un conseiller France Travail

<!-- -->
",atelier,"['creer-une-entreprise--definir-son-projet-de-creation-dentreprise', 'difficultes-administratives-ou-juridiques--accompagnement-pour-lacces-aux-droits', 'creer-une-entreprise--structurer-son-projet-de-creation-dentreprise']",gratuit,,['demandeurs-emploi'],,Rennes,35700,35238,4 Rue René Dumont,,-1.677853,48.129702,"Mo-Fr 08:30-12:30 open ""Sans rendez-vous""; PH off",,3949,,,2026-03-31,https://candidat.francetravail.fr/prestations/servicescarte?codeTypePrestation=ATR&codeThemeAtelier=R06,"['professionnels', 'usagers']","Pour les usagers, la demande est à faire depuis l’espace personnel du demandeur d’emploi via le lien fourni.","['en-presentiel', 'a-distance']","['utiliser-lien-mobilisation', 'telephoner']",['35'],,,1.0
cd35--140--bien-etre-mental,cd35--140,cd35,Bien-être mental,,"Association adhérente à la Maison Associative de la Santé
Club accessible aux personnes ayant un suivi dans les services des secteurs de psychiatrie G03 et G12, résidant dans les quartiers Nord-Ouest et Nord-Est (Maurepas-Patton et Villejean).
Objectifs :

 Club thérapeutique d'entraide pour soutenir les personnes dans la reconstruction de leurs liens sociaux.
 Lieu de convivialité pour rompre l'isolement qui propose une vie associative sollicitant la participation de chacun.
Activités : Cuisine, travaux manuels, sorties, jeux de société...
",accompagnement,['sante--sante-mentale'],,,"['familles', 'personnes-en-situation-de-handicap']",,Rennes,35700,35238,3 Square de Saint-Exupéry,,-1.661973,48.123851,"Lundi, jeudi : 14h-18h Mardi : 10h-12h Mercredi : 10h-12h ; 14h-16h Vendredi : 10h-12h ; 14h-17h  Dimanche : 14h30-18h",https://annuaire.ille-et-vilaine.fr/organisme/140-la-rive-association-daide-a-la-sante-mentale-croix-marine-rennes,+33299635455,clubmaide@yahoo.fr,,2024-10-02,,"['usagers', 'professionnels']",,,"['telephoner', 'envoyer-un-courriel']",['35'],,,0.7999999999999999
monenfant--0e55c844-bb11-40c4-8c90-8be5e1979936,monenfant--0e55c844-bb11-40c4-8c90-8be5e1979936,monenfant,Garde et accueil des enfants,Le multi-accueil Babilou Rennes Blanqui est ouvert aux familles de la ville et aux réservataires entreprises. Cet établissement admet les enfants sous conditions du respect des vaccinations obligatoires.,"## Accueil des enfants en situation d’handicap

L’accueil des enfants en situation de handicap fait l’objet d’un projet spécifique adapté aux besoins particuliers. Ce projet, mis en place par le médecin de l'établissement en relation avec la famille, le directeur et le médecin traitant, définit les moyens mis en oeuvre pour adapter les modalités, le matériel, le rythme d’accueil pour garantir les meilleures conditions de confort, de sécurité et de soins.

## Le projet pédagogique :

A Babilou Rennes Blanqui, comme dans chacun de nos établissements, nous avons à coeur de proposer un accueil attentionné et chaleureux. Grâce aux talents de nos professionnels, nous créons un environnement ludique apprenant où chaque enfant peut exprimer librement sa personnalité, sa créativité et sa curiosité. Nous encourageons le plaisir d’apprendre et de grandir de chaque enfant en l’accompagnant sur 4 piliers :
- J'ai confiance en moi : Favoriser le bien être, l'estime de soi, l'autonomie et la confiance en soi.
- J'apprends à chaque instant : Contribuer à l'acquisition du langage et des premières connaissances
- Je crée des liens : Accompagner la découverte des relations et encourager la coopération
- Je vis en harmonie avec le monde : S'ouvrir au monde d'ici et d'ailleurs, à l'art, la culture et la nature.
Les deux espaces de vie et le jardin sont aménagés pour proposer des offres ludiques variées afin que chaque enfant puisse librement aller vers le pôle et les personnes correspondant à ses envies et besoins, et développer ses potentialités.
Le multi-accueil est également un lieu d’écoute et de ressources pour les parents, en vue d'établir, en toute confiance, une relation de co-éducation : les professionnels sont à l’écoute des préoccupations des familles et leur proposent des temps d'échanges.",accompagnement,['famille--garde-denfants'],payant,La tarification est calculée en fonction de vos ressources et du nombre d'enfants à charge (barème national fixé par les Allocations familiales).,['familles'],,Rennes,35000,35238,53ter Rue Auguste Blanqui,,-1.686864,48.117877,Mo-Fr 08:00-19:00 open; Aug closed; Dec 25-Jan 1 closed,https://monenfant.fr/que-recherchez-vous/MULTI-ACCUEIL BABILOU RENNES BLANQUI/EAJE/0e55c844-bb11-40c4-8c90-8be5e1979936,+33634697693,cre-713@babilou.com,,2024-09-24,,"['usagers', 'professionnels']",Les demandes d'inscription se font auprès de l'établissement.,['en-presentiel'],"['telephoner', 'envoyer-un-courriel']",['35238'],,,0.9200000000000002
cd35--3404--services-administratifs-de-proximite,cd35--3404,cd35,Services administratifs de proximité - France services,,"Vous rencontrez des difficultés avec internet ?
L’espace France services est là pour vous accompagner.
RSA, prime d’activité, allocation logement ou familiale, permis de conduire, carte grise…
France services, c’est en un seul et même endroit la CAF, l'Assurance maladie, l'Assurance retraite, la MSA, France Travail, les Impôts, la Poste, France Titres (ex ANTS), les services du Ministère de la Justice et de la Direction Générale des Finances Publiques, France Rénov', le chèque énergie, l'URSSAF, pour vous donner un premier niveau d’information et vous accompagner dans les démarches en ligne.
Rôle des agents France services :

 donner une information de premier niveau (accompagnement dans les démarches quotidiennes, réponses aux questions) ;
mettre à disposition et accompagner l’utilisation d’outils informatiques (création d’une adresse e-mail, impression ou scan de pièces nécessaires à la constitution de dossiers administratifs).
aider aux démarches en ligne (navigation sur les sites des opérateurs, simulation d'allocations, demande de documents en ligne)  ;
résoudre les cas les plus complexes en s'appuyant sur un correspondant au sein des réseaux partenaires, le cas échéant par un appel vidéo avec l'usager.

France services n'intervient pas pour les demandes et les renouvellements de titres de séjours pour les étrangers.
Ces démarches sont de la compétence du bureau des Étrangers à la Préfecture d'Ille-et-VilainePermanence conseiller CPAM : mardi de 9h à 12h30 et de 14h à 16h.",accompagnement,['difficultes-administratives-ou-juridiques--accompagnement-aux-demarches-administratives'],,,['actifs'],,Janzé,35150,35136,Place des Halles,,-1.49784,47.960332, Lundi et mardi : 9h-12h et 14h-16h Mercredi : 9h-12h et 14h-17h Jeudi : 9h-12h Vendredi : 9h-14h ,https://annuaire.ille-et-vilaine.fr/organisme/3404-maison-france-services-janze,+33299470054,maison.franceservices@janze.fr,,2025-03-11,,"['usagers', 'professionnels']",,,"['telephoner', 'envoyer-un-courriel']",['35'],,,0.8299999999999998
cd35--1871--maison-d-assistants-maternels,cd35--1871,cd35,Maison d'assistants maternels,,"Des assistantes maternelles peuvent décider de se regrouper afin d'exercer leur profession ensemble au sein de maisons d'assistantes maternelles.
L'accueil des enfants s'effectue alors au sein d'une maison commune, et non plus à leurs domiciles respectifs.
Les assistantes maternelles exerçant en maison d'assistantes maternelles doivent avoir chacune un agrément les autorisant à accueillir un certain nombre d'enfants. 
Les parents des enfants confiés sont les employeurs de chacune de ces assistantes maternelles.Capacité d'accueil : 12 places pour enfants à partir de 3 mois et enfants porteurs de handicap.
Accueil à temps plein uniquement. ",accompagnement,['famille--garde-denfants'],,,,,Saint-Gilles,35590,35275,6 Rue de la Croix d'Alliance,,-1.838967,48.148048,Lundi au vendredi 7h45- 18h30,https://annuaire.ille-et-vilaine.fr/organisme/1871-maison-dassistants-maternels-lile-o-apprentis-sages-saint-gilles,+33299791817,mamsaintgilles35@yahoo.fr,,2024-08-29,,"['usagers', 'professionnels']",,,"['telephoner', 'envoyer-un-courriel']",['35'],,,0.6799999999999999
