id,siret,nom,commune,code_postal,code_insee,adresse,complement_adresse,longitude,latitude,telephone,courriel,site_web,description,source,date_maj,lien_source,horaires_accueil,accessibilite_lieu,reseaux_porteurs
emplois-de-linclusion--aa3d1666-8719-4d62-bf6f-0d5d722390ba,79296161700018,ASKORIA,Rennes,35000,35238,2 Avenue du Bois Labbé,,-1.70096,48.125536,,,,,emplois-de-linclusion,2022-02-20,,,,
dora--4c5b8767-b157-468f-8e3e-5a8b71096a83,13000586100039,ACCUEIL DES GENS DU VOYAGE EN ILLE ET VILAINE,Rennes,35000,35238,9 Rue François Tanguy-Prigent,,-1.698127,48.129524,+33223270435,contact@agv35.fr,https://agv35.fr/,"AGV 35 est un service qui répond a des besoins de personnes ayant un mode de vie et/ou des particularités cumulées qui rendent ≪ nécessaire ≫ un accompagnement spécifique :

- La caravane en mode d'habitat

- Une élection de domicile


<!-- -->

En s'appuyant sur des valeurs d'éthique, de rigueur, de solidarité et de prise en compte de la parole des gens du voyage, AGV 35 exerce **les missions suivantes** :

- L’accompagnement social des familles des gens du voyage (celles qui ont une élection de domicile sur Rennes), l'appui technique des professionnels de droit commun de l'insertion sur le département,

- L’accès aux services sociaux, socio-culturels et socio-éducatifs des enfants, jeunes et familles des gens du voyage,

- La médiation entre les collectivités locales, leurs représentants et les gens du voyage en matière de Grands Passages estivaux et de stationnements diffus,

- L’accompagnement des collectivités locales et leurs représentants dans la création et le fonctionnement des équipements d'accueil dédiés.

- Le suivi de la mise en œuvre du schéma départemental et l'animation des instances


<!-- -->",dora,2024-07-03,https://dora.inclusion.gouv.fr/structures/accueil-des-gens-du-,"Mo 09:00-12:00,14:00-17:00;Tu 09:00-12:00,14:00-17:00;We 09:00-12:00,14:00-17:00;Th 14:00-17:00;Fr 09:00-12:00,14:00-17:00",https://acceslibre.beta.gouv.fr/recherche/?where=9+Rue+Fran%C3%A7ois+Tanguy-Prigent+35000+Rennes&lat=48.129524&lon=-1.698127&code=35238&postcode=35000&search_type=housenumber,"['aidants-connect', 'banques-alimentaires', 'conseillers-numeriques', 'fcsf']"
emplois-de-linclusion--0276ca2d-e1b5-46f1-88f8-8465a4fbdfd2,13000743800018,DIRECTION INTERREGIONALE DE LA PROTECTION JUDICIAIRE DE LA JEUNESSE GRAND OUEST,Rennes,35000,35238,6 Place des Colombes,,-1.682103,48.104748,,,,,emplois-de-linclusion,2021-08-18,https://emplois.inclusion.beta.gouv.fr/prescribers/4337/card,,,['pjj']
ma-boussole-aidants--27785,21350216400014,Centre communal d'action sociale (CCAS) - Parthenay-de-Bretagne,Parthenay-de-Bretagne,35850,35216,2 Rue Principale,,-1.83159,48.191818,+33299699153,mairie.parthenaybretagne@wanadoo.fr,https://annuaire.ille-et-vilaine.fr/organisme/2918-centre-communal-daction-sociale-de-parthenay-de-bretagne-ccas,"Le Centre Communal d’Action Sociale (CCAS) est le service de proximité de la mairie chargé de mettre en œuvre la politique sociale de la commune. Il constitue souvent un point d’entrée pour les aidants en recherche de solutions locales. Le CCAS peut proposer des aides financières pour les familles en difficulté, orienter vers des services de portage de repas, d’aide à domicile, ou encore vers des dispositifs d’isolement thermique pour le logement. Il organise également des actions de prévention et de lien social à destination des seniors et des personnes fragiles. Les agents du CCAS peuvent vous aider à constituer des dossiers d’aide (APA, aide sociale, etc.) et à identifier les ressources disponibles dans votre ville.",ma-boussole-aidants,2025-09-15,https://maboussoleaidants.fr/mes-solutions/centre-communal-action-sociale-ccas/35/27785,,,['ccas-cias']
emplois-de-linclusion--8937b635-c628-4702-9f2f-7d408531966c,22350001800724,DEPARTEMENT D ILLE ET VILAINE,Pacé,35740,35210,4 Boulevard Patrice Dumaine de la Josserie,,-1.769976,48.143739,,,,,emplois-de-linclusion,2026-04-26,https://emplois.inclusion.beta.gouv.fr/prescribers/2458/card,,,['departements']
dora--12963818-c8be-4ddd-9763-79be5f750ae7,22350001800815,CDAS COURONNE RENNAISE EST (DEPARTEMENT D ILLE ET VILAINE),Thorigné-Fouillard,35235,35334,2 Avenue de Tizé,,-1.596473,48.131233,,,,,dora,2024-11-27,https://dora.inclusion.gouv.fr/structures/cdas-couronne-rennai-yqvb,,,
dora--3d6e9018-7ddb-43e1-867d-a380f365afe2,26350098500068,CCAS de Chartres de Bretagne,Rennes,35131,35238,1 RUE SAINT-ANTHEME,,-1.707255,48.040766,,direction@ccaschartres35.fr,,,dora,2024-08-27,https://dora.inclusion.gouv.fr/structures/centre-communal-dact-aedr,,,['ccas-cias']
carif-oref--06_2478,44282658200037,PRISME,Rennes,35200,35238,23 Rue d'Aiguillon,,-1.683822,48.092631,+33647796047,,,,carif-oref,2026-05-20,https://www.intercariforef.org/formations/prisme/organisme-06_2478.html,,,
dora--11bcc188-d3a0-4c29-b798-e208e287d1da,33333790500249,ARASS AEREA (REALISATION D'ACTIONS SOCIALES SPECIALISEES — ARASS),Rennes,35000,35238,14 Rue Hersart de la Villemarqué,ARASS AEREA,-1.677984,48.100734,,,,,dora,2025-09-02,https://dora.inclusion.gouv.fr/structures/arass-aerea-realisat,,,
dora--49131b3c-cba4-4aef-9ccf-9d8f0cc3eacc,33491247400171,Etudes et Chantiers Rennes Entretien et aménagement des espaces naturels - Maçonnerie paysagère Rennes,Vezin-le-Coquet,35132,35353,1 Allée de l'Enclos,,-1.739427,48.103661,+33299546000,c.couasnon@ec-ouest.org,https://www.ec-ouest.org/,"Chantier d'insertion :
Développement des compétences dans les métiers de l'environnement.
Accompagnement social et professionnel.
Parcours de formation dans le cadre du CQP Salarié Polyvalent.
Mise en place de PMSMP.",dora,2022-11-09,https://dora.inclusion.gouv.fr/structures/etudes-et-chantiers--upwa,,,"['aci', 'aidants-connect']"
