Description (fr),Description (en),Description (es),Région,Tags,label_multivalued,Identifiant,Lien URL,Titre (fr),Titre (en),Titre (es),Description longue (fr),Description longue (en),Description longue (es),Détail des conditions (fr),Détail des conditions (en),Détail des conditions (es),Dernière mise à jour,Résumé horaires (fr),Accessibilité (fr),Identifiant du lieu,Coordonnées géographiques,Nom du lieu,Adresse,Code postal,Ville,Département,Pays,Site web du lieu,Liens du lieu,Tags du lieu,Description du lieu (fr),Description du lieu (en),Description du lieu (es),Accès / Itinéraire (fr),Accès / Itinéraire (en),Accès / Itinéraire (es),Age minimum,Age maximum,Agenda d'origine (uid),Catégorie,Arrondissement,Code INSEE,Nom du pays (fr)
Visite flash de 30 mn des collections égyptiennes,30 min flash tour of Egyptian collections,Visita flash de 30 minutos de las colecciones egipcias,Bretagne,"Visite commentée / conférence / lecture,Gratuit",Visite commentée / conférence / lecture;Gratuit,14466644,https://openagenda.com/ndm-2022/events/les-collections-egyptiennes,Les collections égyptiennes,The Egyptian collections,Las colecciones egipcias,,,,Sans réservation dans la limite des places disponibles,Without reservation within the limit of available places,Sin reserva dentro del límite de plazas disponibles,2022-04-30T11:42:27+00:00,"Samedi 14 mai, 20h30, 21h30, 22h30",handicap auditif,92374440,"48.109598, -1.6748029999999998",Musée des Beaux-Arts,"20 quai Emile Zola, 35000 Rennes",35000,Rennes,Ille-et-Vilaine,fr,http://www.mbar.org,,Museum of Arts;Musée de France,"Situé en centre ville, le musée des Beaux-Arts de Rennes présente des collections riches et variées : objets antiques et extra-européens, tableaux du XVIème au XXème siècle (Véronèse, Rubens, La Tour, Sérusier, Picasso, etc) et des sculptures.","Located in city centre, the museum of the Fine Arts of Rennes presents rich and varied collections: ancient and extra-European objects, paintings(boards) the from XVIth century till XXth century (Véronèse, Rubens, The Tower, Sérusier, Picasso, etc) and sculptures.","Situado a centro de la ciudad, el museo de las Bellas artes de Rennes presenta colecciones ricas y variadas: objetos antiguos y extraeuropeos, cuadros del siglo XVI al siglo XX (Véronèse, Rubens, La Torre, Sérusier, Picasso, etc) y esculturas.","Parking : Kléber Métro : République Bus arrêt ""Musée beaux-arts : 4, 6, 40, 64, 67 Bus arrêt ""Lycée Zola"" : 54, 55, 56 Vélo STAR : station avenue Janvier","Parking lot: Kléber Métro: Republic Bus stop(ruling) ""Museum Fine Arts: 4, 6, 40, 64, 67 Buses stop(ruling) "" Lycée Zola "": 54, 55, 56 Bike STAR: actual station(resort) in January","Aparcamiento de coches: Kléber Métro: La República Autobús detención ""Museo bellas artes: 4, 6, 40, 64, 67 Autobuses detención "" Lycée Zola "": 54, 55, 56 Bicicleta ESTRELLA: estación(parada) avenida el enero",,,6408504,,,35238,France (Métropole)
"À l'occasion de cette nuit, toute la lumière sera faite sur la mise en valeur des êtres et des objets !","On the occasion of this night, all the light will be shed on the enhancement of beings and objects!","¡Con motivo de esta noche, toda la luz se hará sobre la valorización de los seres y de los objetos!",Bretagne,"Visite commentée / conférence / lecture,Gratuit",Visite commentée / conférence / lecture;Gratuit,96365372,https://openagenda.com/ndm-2022/events/lumieres-dans-la-nuit-5215406,Lumières dans la nuit,Lights in the night,Luces en la noche,,,,"Sans réservation, dans la limite des places disponibles","Without reservation, subject to availability","Sin reserva, dentro del límite de plazas disponibles",2022-04-30T11:40:00+00:00,"Samedi 14 mai, 20h30, 21h30, 22h30, 23h30",handicap auditif,92374440,"48.109598, -1.6748029999999998",Musée des Beaux-Arts,"20 quai Emile Zola, 35000 Rennes",35000,Rennes,Ille-et-Vilaine,fr,http://www.mbar.org,,Museum of Arts;Musée de France,"Situé en centre ville, le musée des Beaux-Arts de Rennes présente des collections riches et variées : objets antiques et extra-européens, tableaux du XVIème au XXème siècle (Véronèse, Rubens, La Tour, Sérusier, Picasso, etc) et des sculptures.","Located in city centre, the museum of the Fine Arts of Rennes presents rich and varied collections: ancient and extra-European objects, paintings(boards) the from XVIth century till XXth century (Véronèse, Rubens, The Tower, Sérusier, Picasso, etc) and sculptures.","Situado a centro de la ciudad, el museo de las Bellas artes de Rennes presenta colecciones ricas y variadas: objetos antiguos y extraeuropeos, cuadros del siglo XVI al siglo XX (Véronèse, Rubens, La Torre, Sérusier, Picasso, etc) y esculturas.","Parking : Kléber Métro : République Bus arrêt ""Musée beaux-arts : 4, 6, 40, 64, 67 Bus arrêt ""Lycée Zola"" : 54, 55, 56 Vélo STAR : station avenue Janvier","Parking lot: Kléber Métro: Republic Bus stop(ruling) ""Museum Fine Arts: 4, 6, 40, 64, 67 Buses stop(ruling) "" Lycée Zola "": 54, 55, 56 Bike STAR: actual station(resort) in January","Aparcamiento de coches: Kléber Métro: La República Autobús detención ""Museo bellas artes: 4, 6, 40, 64, 67 Autobuses detención "" Lycée Zola "": 54, 55, 56 Bicicleta ESTRELLA: estación(parada) avenida el enero",,,6408504,,,35238,France (Métropole)
Ciné de plein air Moi agricultrice de Delphine Prunault durée 52 minutes,Outdoor Movie Me farmer of Delphine Prunault duration 52 minutes,Cine al aire libre Moi agricultora de Delphine Prunault duración 52 minutos,Bretagne,"Projection / mise en lumière,Gratuit",Projection / mise en lumière;Gratuit,35580339,https://openagenda.com/ndm-2022/events/cine-de-plein-air-moi-agricultrice-de-delphine-prunault,"Ciné de plein air ""Moi agricultrice"" de Delphine Prunault","Outdoor movie ""Moi agricultrice"" by Delphine Prunault","Cine al aire libre ""Moi agricultrice"" de Delphine Prunault",,,,entrée libre,free entrance,entrada libre,2022-04-30T11:41:12+00:00,"Samedi 14 mai, 20h00",handicap auditif,39621871,"48.077113, -1.666598",Écomusée de la bintinais,route de chatillon sur-Seiche,35230,Noyal-Châtillon-sur-Seiche,Ille-et-Vilaine,fr,http://ecomusee-rennes-rennesmetropole.fr,,Musée de France;Société et civilisation,"Ancienne ferme-manoir, l'écomusée incarne aujourd'hui la mémoire vivante du pays de Rennes. Situé dans un environnement privilégié, clame et verdoyant. De nombreux événements ponctuent le calendrier au gré des saisons et de l'actualité. Au programme : journées thématiques, démonstrations, conférences et visites guidés","A former farm-manor, the ecomuseum now embodies the living memory of the country of Rennes. Located in a privileged environment, clamor and green. Many events punctuate the calendar according to the seasons and the news. On the programme: thematic days, demonstrations, conferences and guided tours","Antiguo caserío-mansión, el ecomuseo encarna hoy la memoria viva del país de Rennes. Situado en un entorno privilegiado, clama y verde. Numerosos eventos marcan el calendario según las estaciones y la actualidad. Programa: jornadas temáticas, demostraciones, conferencias y visitas guiadas","parking, métro ligne 1 direction poetrie station triangle ; en bus : ligne 61 direction saint-Erblon, arrêt Le Hil Bintinais","parking, metro line 1 direction poetrie station triangle; by bus: line 61 direction saint-Erblon, stop Le Hil Bintinais","aparcamiento, metro línea 1 dirección poetrie estación triángulo; en autobús: línea 61 dirección Saint-Erblon, parada Le Hil Bintinais",,99,6408504,,Noyal-sur-Seiche,35206,France (Métropole)
"Vous pensez tout savoir sur les Celtes ? Vous maîtrisez le gaulois ? Vous aimez les défis ? Alors ce jeu est fait pour vous ! Au menu : triskèles, musique, légendes, relevez le défi en équipe !","You think you know everything about the Celts? You master Gallic? You like challenges? Then this game is for you! On the menu: triskeles, music, legends, take up the challenge as a team!","¿Crees que sabes todo sobre los celtas? ¿Dominas el galo? ¿Te gustan los desafíos? ¡Así que este juego es para ti! En el menú: trisqueles, música, leyendas, ¡acepta el desafío en equipo!",Bretagne,"Atelier,Gratuit",Atelier;Gratuit,69796058,https://openagenda.com/ndm-2022/events/animation-celtic-quizz,Animation : Celtic' Quizz,Animation: Celtic' Quizz,Animación: Celtic' Quizz,,,,,,,2022-04-24T09:02:58+00:00,"Samedi 14 mai, 20h30, 21h30",handicap auditif,6491821,"48.105118, -1.674703",Musée de Bretagne - Les Champs Libres,10 cours des alliés 35000 Rennes,35000,Rennes,Ille-et-Vilaine,fr,http://www.leschampslibres.fr,,Musée de France;Tourisme et handicap;Society and civilisation;Sciences and technical,"Les Champs Libres regroupent le musée de Bretagne, la bibliothèque de Rennes métropole et l'Espace des sciences.","The Free Fields group(include) the museum of Brittany, the library(bookcase) of Rennes metropolis and the Space of sciences.","Los Campos Libres reagrupan el museo de Bretaña, la biblioteca de Rennes metrópoli y el Espacio de las ciencias.",,,,,,6408504,,,35238,France (Métropole)
Les Celtes nous ont laissé en héritage de nombreux motifs qui nous entourent encore aujourd'hui. Alors venez créer votre badge à la mode celte et arborez fièrement votre celtitude !,The Celts have left us a legacy of many motives that still surround us today. Then come create your Celtic style badge and proudly wear your Celtic!,Los celtas nos han dejado en herencia muchos motivos que aún hoy nos rodean. ¡Así que ven a crear tu insignia de moda celta y enaltece tu celtitud!,Bretagne,"Atelier,Gratuit",Atelier;Gratuit,68413328,https://openagenda.com/ndm-2022/events/atelier-fabrique-ton-badge-7365078,Atelier : Fabrique ton badge,Workshop: Make your badge,Taller: Fabrica tu placa,,,,En continu,Continuously,Continuamente,2022-04-24T09:03:03+00:00,"Samedi 14 mai, 20h00","handicap moteur,handicap auditif",6491821,"48.105118, -1.674703",Musée de Bretagne - Les Champs Libres,10 cours des alliés 35000 Rennes,35000,Rennes,Ille-et-Vilaine,fr,http://www.leschampslibres.fr,,Musée de France;Tourisme et handicap;Society and civilisation;Sciences and technical,"Les Champs Libres regroupent le musée de Bretagne, la bibliothèque de Rennes métropole et l'Espace des sciences.","The Free Fields group(include) the museum of Brittany, the library(bookcase) of Rennes metropolis and the Space of sciences.","Los Campos Libres reagrupan el museo de Bretaña, la biblioteca de Rennes metrópoli y el Espacio de las ciencias.",,,,,,6408504,,,35238,France (Métropole)
"Breizh, Morbihan, fest-noz, baragouiner, menhir et autre dolmen, qui ne connaît pas une bonne vingtaine de mots bretons? Cette initiation à la langue bretonne vous invite à en apprendre davantage.","Breizh, Morbihan, fest-noz, gibberish, menhir and other dolmen, who doesn’t know a good twenty Breton words? This introduction to the Breton language invites you to learn more.","Breizh, Morbihan, fest-noz, baragouiner, menhir y otro dolmen, ¿quién no conoce una veintena de palabras bretonas? Esta iniciación a la lengua bretona le invita a aprender más.",Bretagne,"Visite commentée / conférence / lecture,Gratuit",Visite commentée / conférence / lecture;Gratuit,43036,https://openagenda.com/ndm-2022/events/visite-le-breton-pour-les-nuls,Visite : le Breton pour les nuls,Visit: Breton for Dummies,Visita: el bretón para los perdedores,"Breizh, Morbihan, fest-noz, baragouiner, menhir et autre dolmen, qui ne connaît pas une bonne vingtaine de mots bretons ? Cette petite initiation à la langue bretonne vous invite à en apprendre davantage et bien sûr à vous démontrer que le brezhoneg ne manque pas de celte.","Breizh, Morbihan, fest-noz, gibberish, menhir and other dolmen, who doesn’t know a good twenty Breton words? This little introduction to the Breton language invites you to learn more and of course to show you that the brezhoneg does not lack Celtic.","Breizh, Morbihan, fest-noz, baragouiner, menhir y otro dolmen, ¿quién no conoce una veintena de palabras bretonas? Esta pequeña iniciación a la lengua bretona le invita a aprender más y por supuesto a demostrar que el brezhoneg no carece de celta.",,,,2022-04-24T09:03:22+00:00,"Samedi 14 mai, 20h15",handicap auditif,6491821,"48.105118, -1.674703",Musée de Bretagne - Les Champs Libres,10 cours des alliés 35000 Rennes,35000,Rennes,Ille-et-Vilaine,fr,http://www.leschampslibres.fr,,Musée de France;Tourisme et handicap;Society and civilisation;Sciences and technical,"Les Champs Libres regroupent le musée de Bretagne, la bibliothèque de Rennes métropole et l'Espace des sciences.","The Free Fields group(include) the museum of Brittany, the library(bookcase) of Rennes metropolis and the Space of sciences.","Los Campos Libres reagrupan el museo de Bretaña, la biblioteca de Rennes metrópoli y el Espacio de las ciencias.",,,,,,6408504,,,35238,France (Métropole)
"Tout au long de la soirée, un atelier pour découvrir la linogravure","Throughout the evening, a workshop to discover the linocut","A lo largo de la noche, un taller para descubrir el linograbado",Bretagne,"Atelier,Gratuit",Atelier;Gratuit,66314274,https://openagenda.com/ndm-2022/events/atelier-de-linogravure-1893834,Atelier de linogravure,Linocut workshop,Taller de linograbado,,,,"Sans réservation, dans la limite des places disponibles","Without reservation, subject to availability","Sin reserva, dentro del límite de plazas disponibles",2022-04-30T11:39:49+00:00,"Samedi 14 mai, 20h00",,92374440,"48.109598, -1.6748029999999998",Musée des Beaux-Arts,"20 quai Emile Zola, 35000 Rennes",35000,Rennes,Ille-et-Vilaine,fr,http://www.mbar.org,,Museum of Arts;Musée de France,"Situé en centre ville, le musée des Beaux-Arts de Rennes présente des collections riches et variées : objets antiques et extra-européens, tableaux du XVIème au XXème siècle (Véronèse, Rubens, La Tour, Sérusier, Picasso, etc) et des sculptures.","Located in city centre, the museum of the Fine Arts of Rennes presents rich and varied collections: ancient and extra-European objects, paintings(boards) the from XVIth century till XXth century (Véronèse, Rubens, The Tower, Sérusier, Picasso, etc) and sculptures.","Situado a centro de la ciudad, el museo de las Bellas artes de Rennes presenta colecciones ricas y variadas: objetos antiguos y extraeuropeos, cuadros del siglo XVI al siglo XX (Véronèse, Rubens, La Torre, Sérusier, Picasso, etc) y esculturas.","Parking : Kléber Métro : République Bus arrêt ""Musée beaux-arts : 4, 6, 40, 64, 67 Bus arrêt ""Lycée Zola"" : 54, 55, 56 Vélo STAR : station avenue Janvier","Parking lot: Kléber Métro: Republic Bus stop(ruling) ""Museum Fine Arts: 4, 6, 40, 64, 67 Buses stop(ruling) "" Lycée Zola "": 54, 55, 56 Bike STAR: actual station(resort) in January","Aparcamiento de coches: Kléber Métro: La República Autobús detención ""Museo bellas artes: 4, 6, 40, 64, 67 Autobuses detención "" Lycée Zola "": 54, 55, 56 Bicicleta ESTRELLA: estación(parada) avenida el enero",,,6408504,,,35238,France (Métropole)
Visites découvertes à la lampe torche,Discovery tours with flashlight,Visitas de descubrimiento con linterna,Bretagne,"Visite commentée / conférence / lecture,Gratuit",Visite commentée / conférence / lecture;Gratuit,84943812,https://openagenda.com/ndm-2022/events/visites-frissons,Visites frissons,Chilly visits,Visitas escalofriantes,,,,entrée libre,free entrance,entrada libre,2022-04-30T11:40:05+00:00,"Samedi 14 mai, 20h30",,39621871,"48.077113, -1.666598",Écomusée de la bintinais,route de chatillon sur-Seiche,35230,Noyal-Châtillon-sur-Seiche,Ille-et-Vilaine,fr,http://ecomusee-rennes-rennesmetropole.fr,,Musée de France;Société et civilisation,"Ancienne ferme-manoir, l'écomusée incarne aujourd'hui la mémoire vivante du pays de Rennes. Situé dans un environnement privilégié, clame et verdoyant. De nombreux événements ponctuent le calendrier au gré des saisons et de l'actualité. Au programme : journées thématiques, démonstrations, conférences et visites guidés","A former farm-manor, the ecomuseum now embodies the living memory of the country of Rennes. Located in a privileged environment, clamor and green. Many events punctuate the calendar according to the seasons and the news. On the programme: thematic days, demonstrations, conferences and guided tours","Antiguo caserío-mansión, el ecomuseo encarna hoy la memoria viva del país de Rennes. Situado en un entorno privilegiado, clama y verde. Numerosos eventos marcan el calendario según las estaciones y la actualidad. Programa: jornadas temáticas, demostraciones, conferencias y visitas guiadas","parking, métro ligne 1 direction poetrie station triangle ; en bus : ligne 61 direction saint-Erblon, arrêt Le Hil Bintinais","parking, metro line 1 direction poetrie station triangle; by bus: line 61 direction saint-Erblon, stop Le Hil Bintinais","aparcamiento, metro línea 1 dirección poetrie estación triángulo; en autobús: línea 61 dirección Saint-Erblon, parada Le Hil Bintinais",,99,6408504,,Noyal-sur-Seiche,35206,France (Métropole)
Les équipes du musée vous proposent de découvrir dans le parcours permanent du musée et dans les expositions Celtique ? et Madeleine de Sinéty leurs objets favoris. Suivez les cœurs !,The teams of the museum propose you to discover in the permanent route of the museum and in the Celtic exhibitions? and Madeleine de Sinéty their favorite items. Follow the hearts!,¿Los equipos del museo le proponen descubrir en el recorrido permanente del museo y en las exposiciones celtas? y Magdalena de Sinéty sus objetos favoritos. ¡Sigan los corazones!,Bretagne,"Visite commentée / conférence / lecture,Gratuit",Visite commentée / conférence / lecture;Gratuit,7233953,https://openagenda.com/ndm-2022/events/visite-flash-coups-de-coeurs,Visite flash : Coups de coeurs,Flash tour: Heartbeats,Visita flash: Golpes de corazón,,,,,,,2022-04-24T09:02:32+00:00,"Samedi 14 mai, 20h00",handicap auditif,6491821,"48.105118, -1.674703",Musée de Bretagne - Les Champs Libres,10 cours des alliés 35000 Rennes,35000,Rennes,Ille-et-Vilaine,fr,http://www.leschampslibres.fr,,Musée de France;Tourisme et handicap;Society and civilisation;Sciences and technical,"Les Champs Libres regroupent le musée de Bretagne, la bibliothèque de Rennes métropole et l'Espace des sciences.","The Free Fields group(include) the museum of Brittany, the library(bookcase) of Rennes metropolis and the Space of sciences.","Los Campos Libres reagrupan el museo de Bretaña, la biblioteca de Rennes metrópoli y el Espacio de las ciencias.",,,,,,6408504,,,35238,France (Métropole)
Film de 2022 d'une durée de 52 minutes en présence de la réalisatrice Delphine Prunault,2022 52-minute film in the presence of director Delphine Prunault,Película de 2022 con una duración de 52 minutos en presencia de la directora Delphine Prunault,Bretagne,"Projection / mise en lumière,Gratuit",Projection / mise en lumière;Gratuit,13424291,https://openagenda.com/ndm-2022/events/cine-de-plein-air-moi-agricultrice-de-delphine-prunault-9399758,"Ciné de plein-air ""moi, agricultrice"" de Delphine Prunault","Outdoor movie ""me, farmer"" by Delphine Prunault","Cine al aire libre ""yo, agricultora"" de Delphine Prunault","Des années d'après-guerre à nos jours, des pionnières paysannes et agricultrices vont mener un long combat de l'ombre pour passer de l'invisibilité sociale à la reocnnaissance pleine et entière de leur statut.

en partenariat avec la Cinémathèque de Bretagne et Clair-Obscur","From the post-war years to the present day, peasant and agricultural pioneers will fight a long battle from the shadows to move from the social invisibility to the full rebirth of their status.
in partnership with the Cinémathèque de Bretagne and Clair-Obscur","Desde los años de la posguerra hasta nuestros días, las campesinas y las campesinas pioneras van a librar una larga lucha desde la sombra para pasar de la invisibilidad social a la plena renovación de su estatus.
en colaboración con la Filmoteca de Bretaña y Clair-Obscur",,,,2022-04-30T11:38:01+00:00,"Samedi 14 mai, 22h00",,39621871,"48.077113, -1.666598",Écomusée de la bintinais,route de chatillon sur-Seiche,35230,Noyal-Châtillon-sur-Seiche,Ille-et-Vilaine,fr,http://ecomusee-rennes-rennesmetropole.fr,,Musée de France;Société et civilisation,"Ancienne ferme-manoir, l'écomusée incarne aujourd'hui la mémoire vivante du pays de Rennes. Situé dans un environnement privilégié, clame et verdoyant. De nombreux événements ponctuent le calendrier au gré des saisons et de l'actualité. Au programme : journées thématiques, démonstrations, conférences et visites guidés","A former farm-manor, the ecomuseum now embodies the living memory of the country of Rennes. Located in a privileged environment, clamor and green. Many events punctuate the calendar according to the seasons and the news. On the programme: thematic days, demonstrations, conferences and guided tours","Antiguo caserío-mansión, el ecomuseo encarna hoy la memoria viva del país de Rennes. Situado en un entorno privilegiado, clama y verde. Numerosos eventos marcan el calendario según las estaciones y la actualidad. Programa: jornadas temáticas, demostraciones, conferencias y visitas guiadas","parking, métro ligne 1 direction poetrie station triangle ; en bus : ligne 61 direction saint-Erblon, arrêt Le Hil Bintinais","parking, metro line 1 direction poetrie station triangle; by bus: line 61 direction saint-Erblon, stop Le Hil Bintinais","aparcamiento, metro línea 1 dirección poetrie estación triángulo; en autobús: línea 61 dirección Saint-Erblon, parada Le Hil Bintinais",,99,6408504,,Noyal-sur-Seiche,35206,France (Métropole)
