Identifiant,Link,Mise à jour,Période couverte,Site web,Langue,Titre,Description,Description longue,Mots-clés,Coordonnées géo,Nom lieu,Adresse,Région,Département,Ville,Première Date,Dernière Date,Timetable,Conditions tarifaires,Program UID,City District
97654432,http://openagenda.com/event/siestes-musicales_374,2017-07-18T23:41:25+02:00,"Frac Bretagne, le samedi 20 mai à 20:30",,fr,Siestes musicales,Deux concerts inédits au casque sont proposés en partenariat avec Electroni[k].,"Tout public, à partir de 3 ans. Galerie Sud 20h30 et 22h15. Durée : 1h",,"48.131388, -1.695128",Frac Bretagne,"Frac Bretagne 19 avenue André Mussat, 35000 Rennes, Ille et Vilaine, Bretagne, France",Bretagne,Ille-et-Vilaine,Rennes,2017-05-20,2017-05-20,2017-05-20T20:30:00 2017-05-20T22:15:00,,,Quartiers Nord-Ouest
66663920,http://openagenda.com/event/le-drape,2017-07-18T23:41:37+02:00,"Musée des Beaux-Arts de Rennes, le samedi 20 mai à 20:00",,fr,Le drapé,Œuvres réalisées par les étudiants de 3ème année de l’EESAB,Présentation dans le parcours des collections d’art ancien des œuvres réalisées par les étudiants de 3ème année de l’EESAB (Ecole Européenne Supérieur d'Art de Bretagne).,,"48.109628, -1.674963",Musée des Beaux-Arts de Rennes,"20 quai Emile Zola, 35000 Rennes, Ille et Vilaine, Bretagne, France",Bretagne,Ille-et-Vilaine,Rennes,2017-05-20,2017-05-20,2017-05-20T20:00:00 2017-05-20T00:00:00,,,Quartiers Centre
7792637,http://openagenda.com/event/all-trains-are-clocks,2017-07-18T23:45:13+02:00,"Les Champs Libres, le samedi 20 mai à 20:00",,fr,Tous les trains sont des horloges,"Une exposition collective d’oeuvres inédites, entre contemplation et vitesse, technologie et poésie.","Une exposition collective d’oeuvres inédites, entre contemplation et vitesse, technologie et poésie. Une source d’inspiration pour les artistes aux univers différents : Cécile Léna, Pierrick Sorin, Flop, Jean-Michel Caillebotte et Joanie Lemercier.",,"48.105118, -1.674703",Les Champs Libres,10 cours des alliés 35000 Rennes,Bretagne,Ille-et-Vilaine,Rennes,2017-05-20,2017-05-20,2017-05-20T20:00:00 2017-05-20T00:00:00,gratuit,,Quartiers Centre
53521590,http://openagenda.com/event/pico-projection-ferroviaire-deambulation-nocturne,2017-07-18T23:45:15+02:00,"Les Champs Libres, le samedi 20 mai à 20:00",,fr,Pico-projection ferroviaire - Déambulation nocturne,Composez votre programme à partir d’œuvres rares issues des fonds de la Cinémathèque de Bretagne.,"Composez votre programme à partir d’œuvres rares issues des fonds de la Cinémathèque de Bretagne. Ces extraits sont projetés à la tombée de la nuit, le temps d’un parcours ludique et poétique sur les murs du quartier de la gare.

Atelier suivi d’une projection itinérante sur l’espace public à partir de 22h",,"48.105118, -1.674703",Les Champs Libres,10 cours des alliés 35000 Rennes,Bretagne,Ille-et-Vilaine,Rennes,2017-05-20,2017-05-20,2017-05-20T20:00:00 2017-05-20T00:00:00,,,Quartiers Centre
80228507,http://openagenda.com/event/bretagne-express,2017-07-18T23:45:16+02:00,"Les Champs Libres, le samedi 20 mai à 20:00",,fr,Bretagne express,Il était une fois une histoire d'hommes et de machines.... Bretagne express revient sur 160 ans d'histoire ferroviaire.,Il était une fois une histoire d'hommes et de machines.... Bretagne express revient sur 160 ans d'histoire ferroviaire depuis l'arrivée du train à Nantes en 1851 jusqu'à la mise en service du TGV fin des années 1980.,,"48.105118, -1.674703",Les Champs Libres,10 cours des alliés 35000 Rennes,Bretagne,Ille-et-Vilaine,Rennes,2017-05-20,2017-05-20,2017-05-20T20:00:00 2017-05-20T00:00:00,Gratuit,,Quartiers Centre
92315237,http://openagenda.com/event/decrochez-la-nuit_954,2017-07-18T23:48:19+02:00,"Les Champs Libres, le samedi 20 mai à 20:00",,fr,Décrochez la nuit,Décrochez la nuit en répondant à l'énigme du musée,"Dans le cadre du grand jeu ""décrochez la nuit"" de la nuit des musées, le musée de Bretagne vous invite à répondre à une  énigme pour petits et grands ! Laissez vous embarquer dans notre aventure !",,"48.105118, -1.674703",Les Champs Libres,10 cours des alliés 35000 Rennes,Bretagne,Ille-et-Vilaine,Rennes,2017-05-20,2017-05-20,2017-05-20T20:00:00 2017-05-20T23:30:00,,,Quartiers Centre
74169867,http://openagenda.com/event/et-si-on-sortait,2017-07-18T23:41:21+02:00,"Écomusée du pays de rennes, le samedi 20 mai à 20:30",,fr,Et si on sortait ?,Conférences décalées par la compagnie Quidam Théâtre,"Micheline et Mélodie de la compagnie Quidam Théâtre sont deux conférencières atypiques qui ajoutent de la valeur au thème ""si on sortait"" grâce à leurs commentaires intelligents et drôles. Une manière originale d'interpréter avec humour l'exposition temporaire _Tous de sortie(s) ! Rennes 1900-1970._

&gt; 20h30 - 21h - 21h30 - 22h

&gt; Durée : 15 min

&gt; Jauge limitée ; tout public",,"48.07768, -1.664944",Écomusée du pays de rennes,"La Bintinais Route de Châtillon-sur-Seiche, Rennes, Ille et Vilaine, Bretagne",Bretagne,Ille-et-Vilaine,Rennes,2017-05-20,2017-05-20,2017-05-20T20:30:00 2017-05-20T00:00:00,,,
27395479,http://openagenda.com/event/histoires-improbables,2017-07-18T23:41:58+02:00,"Musée des Beaux-Arts de Rennes, le samedi 20 mai à 20:00",,fr,Histoires improbables,"Les élèves de l’école Jules Ferry et Andy Guérif, plasticien (sous réserve) vous présentent leur projet de création (puis d’édition) de livre.","La collection de peintures du musée a servi de vivier dans lequel les élèves de 3 classes de l’école (CE1, CE2 et CM1) ont pioché à leur guise pour créer des histoires improbables, toutes plus drôles les unes que les autres.

Certaines œuvres racontent une nouvelle histoire ; d'autres sont présentées en vis-à-vis et dialoguent ensemble, s’interpellent et créent un nouveau contexte qui se répercute sur une troisième œuvre, point d’orgue, touche finale du récit.

Retrouvez les œuvres exposées dans les salles : les élèves vous raconteront l’histoire qu’ils ont inventée !",,"48.109628, -1.674963",Musée des Beaux-Arts de Rennes,"20 quai Emile Zola, 35000 Rennes, Ille et Vilaine, Bretagne, France",Bretagne,Ille-et-Vilaine,Rennes,2017-05-20,2017-05-20,2017-05-20T20:00:00 2017-05-20T00:00:00,,,Quartiers Centre
8106698,http://openagenda.com/event/train-trains,2017-07-18T23:45:14+02:00,"Les Champs Libres, le samedi 20 mai à 20:00",,fr,Train-trains,"Une expérience à travers laquelle on ne prend pas le train pour se déplacer d'un point à l'autre, mais juste pour prendre le train.","Une expérience à travers laquelle on ne prend pas le train pour se déplacer d'un point à l'autre, mais juste pour prendre le train.",,"48.105118, -1.674703",Les Champs Libres,10 cours des alliés 35000 Rennes,Bretagne,Ille-et-Vilaine,Rennes,2017-05-20,2017-05-20,2017-05-20T20:00:00 2017-05-20T00:00:00,gratuit,,Quartiers Centre
99003226,http://openagenda.com/event/ma-grand-mere-etait-garde-barriere,2017-07-18T23:45:15+02:00,"Les Champs Libres, le samedi 20 mai à 20:00",,fr,Ma grand-mère était garde-barrière,"À travers ses souvenirs et ses gestes quotidiens, Annie Hamelin donne à entendre le récit brut de la vie de son aïeule dévouée à un métier aujourd'hui disparu.","À travers ses souvenirs et ses gestes quotidiens, Annie Hamelin donne à entendre le récit brut de la vie de son aïeule dévouée à un métier aujourd'hui disparu.",,"48.105118, -1.674703",Les Champs Libres,10 cours des alliés 35000 Rennes,Bretagne,Ille-et-Vilaine,Rennes,2017-05-20,2017-05-20,2017-05-20T20:00:00 2017-05-20T00:00:00,Gratuit,,Quartiers Centre
