CODGEO,LIBGEO,EPCI,LIBEPCI,DATE_ARRETE,NB_VP_RECHARGEABLES_EL,NB_VP_RECHARGEABLES_GAZ,NB_VP
35032,BOURGBARRÉ,243500139,Rennes Métropole,2025-09-30,238,0,4787
35032,BOURGBARRÉ,243500139,Rennes Métropole,2025-06-30,223,0,4764
35032,BOURGBARRÉ,243500139,Rennes Métropole,2025-03-31,214,0,4765
35032,BOURGBARRÉ,243500139,Rennes Métropole,2024-12-31,198,0,4707
35032,BOURGBARRÉ,243500139,Rennes Métropole,2024-09-30,181,0,4702
35032,BOURGBARRÉ,243500139,Rennes Métropole,2024-06-30,149,0,4634
35032,BOURGBARRÉ,243500139,Rennes Métropole,2024-03-31,131,0,4607
35032,BOURGBARRÉ,243500139,Rennes Métropole,2023-12-31,121,0,4605
35032,BOURGBARRÉ,243500139,Rennes Métropole,2023-09-30,103,0,4542
35032,BOURGBARRÉ,243500139,Rennes Métropole,2023-06-30,97,0,4482
35032,BOURGBARRÉ,243500139,Rennes Métropole,2023-03-31,91,0,4483
35032,BOURGBARRÉ,243500139,Rennes Métropole,2022-12-31,81,0,4428
35032,BOURGBARRÉ,243500139,Rennes Métropole,2022-09-30,75,0,4407
35032,BOURGBARRÉ,243500139,Rennes Métropole,2022-06-30,68,0,4383
35032,BOURGBARRÉ,243500139,Rennes Métropole,2022-03-31,60,0,4386
35032,BOURGBARRÉ,243500139,Rennes Métropole,2021-12-31,53,0,4365
35032,BOURGBARRÉ,243500139,Rennes Métropole,2021-09-30,43,0,4342
35032,BOURGBARRÉ,243500139,Rennes Métropole,2021-06-30,36,0,4316
35032,BOURGBARRÉ,243500139,Rennes Métropole,2021-03-31,32,0,4289
35032,BOURGBARRÉ,243500139,Rennes Métropole,2020-12-31,29,0,4258
35051,CESSON-SÉVIGNÉ,243500139,Rennes Métropole,2025-09-30,1362,0,21801
35051,CESSON-SÉVIGNÉ,243500139,Rennes Métropole,2025-06-30,1359,0,21829
35051,CESSON-SÉVIGNÉ,243500139,Rennes Métropole,2025-03-31,1345,0,21764
35051,CESSON-SÉVIGNÉ,243500139,Rennes Métropole,2024-12-31,1322,0,21713
35051,CESSON-SÉVIGNÉ,243500139,Rennes Métropole,2024-09-30,1232,0,21776
35051,CESSON-SÉVIGNÉ,243500139,Rennes Métropole,2024-06-30,1159,0,21668
35051,CESSON-SÉVIGNÉ,243500139,Rennes Métropole,2024-03-31,1128,0,21614
35051,CESSON-SÉVIGNÉ,243500139,Rennes Métropole,2023-12-31,1146,0,21622
35051,CESSON-SÉVIGNÉ,243500139,Rennes Métropole,2023-09-30,1096,0,21564
35051,CESSON-SÉVIGNÉ,243500139,Rennes Métropole,2023-06-30,861,0,21156
35051,CESSON-SÉVIGNÉ,243500139,Rennes Métropole,2023-03-31,785,0,21007
