Année,Etablissement,Multi-occupation,Code Site,Code bât/ter,Libellé bât/ter,GA,Paysage_id,Id interne,Ref. parcelle,Etat santé,SUB,SDP,Type bât.,Domaine bat.,Propriétaire bat.,Réglementation générale,Catégorie ERP,Type ERP,Class. Monument histo.,Etat access.,Access. AdAP,Access. date,Access. dérog.,Energie class.,Energie valeur,GES,GES valeur,Audit energie,Audit energie date,Audit energie prog.,Audit energie prog. date,Bilan carbone,Bilan carbone date,Bilan carbone prog.,Bilan carbone prog. date,Site géo.,latlong,Adresse,CP,Ville,Pays,COM_CODE,COM_NOM,UUCR_ID,UUCR_NOM,DEP_ID,DEP_NOM,ACA_ID,ACA_NOM,REG_ID,REG_NOM,date_extract,rnb_shape,UAI,rnb_ids
2020,Centrale-Supélec,Non,180242,a68Dfc,BÂT 12 - BATIMENT D'ENSEIGNEMENT SUPERIEUR ET DE RECHERCHE,38-OP-50662,m84Aa,IB00100198990,180242,Satisfaisant,9769,10482,Bât. enseignement ou sport,Public,Etat,ERP,3e : de 301 à 700 personnes,GHR : Enseignement,Sans objet,Non réglementaire et fonctionnel,Oui,2019-01-01 00:00:00,Non,E,63.7631282628723,B,11,Non,,Non,,Non,,Non,,Campus de Rennes,"48.125386, -1.623462",AV DE LA BOULAIE,35510,Cesson-Sévigné,France,35051,Cesson-Sévigné,UU35701,Rennes,D035,Ille-et-Vilaine,A14,Rennes,R53,Bretagne,2026-04-02,"{""coordinates"": [[[[-1.623711379605611, 48.125544833333684], [-1.623635391319383, 48.125491930030414], [-1.623506113434391, 48.12549159552329], [-1.623355497100852, 48.12558584202428], [-1.623286689655044, 48.12553806498625], [-1.623290826392978, 48.12543153958217], [-1.623433757357171, 48.12543404263742], [-1.623567559920622, 48.12534766695627], [-1.623573440301831, 48.125214932988804], [-1.623655835906232, 48.125218008825804], [-1.623662937788472, 48.125222237001836], [-1.623721881167506, 48.125264992685054], [-1.623654387963791, 48.12530910526031], [-1.623651126361362, 48.12539486457844], [-1.623793160135476, 48.125494751687114], [-1.623711379605611, 48.125544833333684]]]], ""type"": ""MultiPolygon""}",0921225G,ABMFXDWY6XEK
2022,Centrale-Supélec,Non,180242,a68Dfc,BÂT 12 - BATIMENT D'ENSEIGNEMENT SUPERIEUR ET DE RECHERCHE,38-OP-50662,m84Aa,IB00100198990,180242,Peu satisfaisant,9769,10482,Bât. enseignement ou sport,Public,Etat,ERP,3e : de 301 à 700 personnes,GHR : Enseignement,Sans objet,Non réglementaire et fonctionnel,Oui,2019-01-01 00:00:00,Non,B,83.3783396458184,B,1,Non,,Non,,Non,,Non,,Campus de Rennes,"48.125386, -1.623462",AV DE LA BOULAIE,35510,Cesson-Sévigné,France,35051,Cesson-Sévigné,UU35701,Rennes,D035,Ille-et-Vilaine,A14,Rennes,R53,Bretagne,2026-04-02,"{""coordinates"": [[[[-1.623711379605611, 48.125544833333684], [-1.623635391319383, 48.125491930030414], [-1.623506113434391, 48.12549159552329], [-1.623355497100852, 48.12558584202428], [-1.623286689655044, 48.12553806498625], [-1.623290826392978, 48.12543153958217], [-1.623433757357171, 48.12543404263742], [-1.623567559920622, 48.12534766695627], [-1.623573440301831, 48.125214932988804], [-1.623655835906232, 48.125218008825804], [-1.623662937788472, 48.125222237001836], [-1.623721881167506, 48.125264992685054], [-1.623654387963791, 48.12530910526031], [-1.623651126361362, 48.12539486457844], [-1.623793160135476, 48.125494751687114], [-1.623711379605611, 48.125544833333684]]]], ""type"": ""MultiPolygon""}",0921225G,ABMFXDWY6XEK
2018,Centrale-Supélec,Non,180242,78f309,BÂT 3 - LOGE DU GARDIEN,38-OP-50662,m84Aa,IB00100198981,BA0018,Satisfaisant,174,215,Logement,Public,Etat,Bâtiment d'habitation,,,,,Non,,Non,E,5235.55862068966,,,,,,,,,,,Rennes,"48.12363, -1.623272",9  AV DE LA BOULAIE,35510,Cesson-Sévigné,France,35051,Cesson-Sévigné,UU35701,Rennes,D035,Ille-et-Vilaine,A14,Rennes,R53,Bretagne,2026-04-02,"{""coordinates"": [[[[-1.6233752496535, 48.12370478310072], [-1.623247243890888, 48.1236881736619], [-1.623272051587026, 48.12360247006469], [-1.623398558172833, 48.12361733554192], [-1.6233752496535, 48.12370478310072]]]], ""type"": ""MultiPolygon""}",0921225G,2E97RJMTZ7WZ
2019,Centrale-Supélec,Non,180242,78f309,BÂT 3 - LOGE DU GARDIEN,38-OP-50662,m84Aa,IB00100198981,BA0018,Satisfaisant,174,215,Logement,Public,Etat,Bâtiment d'habitation,,,,,Non,,Non,E,,,,,,,,,,,,Rennes,"48.12363, -1.623272",9  AV DE LA BOULAIE,35510,Cesson-Sévigné,France,35051,Cesson-Sévigné,UU35701,Rennes,D035,Ille-et-Vilaine,A14,Rennes,R53,Bretagne,2026-04-02,"{""coordinates"": [[[[-1.6233752496535, 48.12370478310072], [-1.623247243890888, 48.1236881736619], [-1.623272051587026, 48.12360247006469], [-1.623398558172833, 48.12361733554192], [-1.6233752496535, 48.12370478310072]]]], ""type"": ""MultiPolygon""}",0921225G,2E97RJMTZ7WZ
2024,Centrale-Supélec,Non,180242,78f309,BÂT 3 - LOGE DU GARDIEN,38-OP-50662,m84Aa,IB00100198981,180242,Satisfaisant,174,90,Logement,Public,Etat,Bâtiment d'habitation,5e : établissements accueillant un nombre de personnes inférieur au seuil dépendant du type d'établissement,GHA : Habitation,Sans objet,Réglementaire et fonctionnel,Non,,Non,E,,,,Non,,Non,,Non,,Non,,Campus de Rennes,"48.12363, -1.623272",9  AV DE LA BOULAIE,35510,Cesson-Sévigné,France,35051,Cesson-Sévigné,UU35701,Rennes,D035,Ille-et-Vilaine,A14,Rennes,R53,Bretagne,2026-04-02,"{""coordinates"": [[[[-1.6233752496535, 48.12370478310072], [-1.623247243890888, 48.1236881736619], [-1.623272051587026, 48.12360247006469], [-1.623398558172833, 48.12361733554192], [-1.6233752496535, 48.12370478310072]]]], ""type"": ""MultiPolygon""}",0921225G,2E97RJMTZ7WZ
2025,Centrale-Supélec,Non,180242,78f309,BÂT 3 - LOGE DU GARDIEN,38-OP-50662,m84Aa,IB00100198981,180242,Satisfaisant,174,215,Logement,Public,Etat,Bâtiment d'habitation,5e : établissements accueillant un nombre de personnes inférieur au seuil dépendant du type d'établissement,GHA : Habitation,Sans objet,Réglementaire et fonctionnel,Non,,Non,E,,,,Non,,Non,,Non,,Non,,Campus de Rennes,"48.12363, -1.623272",9  AV DE LA BOULAIE,35510,Cesson-Sévigné,France,35051,Cesson-Sévigné,UU35701,Rennes,D035,Ille-et-Vilaine,A14,Rennes,R53,Bretagne,2026-04-02,"{""coordinates"": [[[[-1.6233752496535, 48.12370478310072], [-1.623247243890888, 48.1236881736619], [-1.623272051587026, 48.12360247006469], [-1.623398558172833, 48.12361733554192], [-1.6233752496535, 48.12370478310072]]]], ""type"": ""MultiPolygon""}",0921225G,2E97RJMTZ7WZ
2017,Centrale-Supélec,Non,180242,Afa1BF,BÂT 8 - LOGEMENT CHEF SERVICES TECHNIQUES,38-OP-50662,m84Aa,IB00100198982,BA0018,Satisfaisant,157,169,Logement,Public,Etat,Bâtiment d'habitation,,,,,Non,,Non,E,,,,,,,,,,,,Rennes,"48.124359, -1.621999",7  AV DE LA BOULAIE,35510,Cesson-Sévigné,France,35051,Cesson-Sévigné,UU35701,Rennes,D035,Ille-et-Vilaine,A14,Rennes,R53,Bretagne,2026-04-02,"{""coordinates"": [[[[-1.621918274954738, 48.12442447128911], [-1.62203673796838, 48.12442433037332], [-1.622025352442401, 48.12424810626877], [-1.621905783994915, 48.12425099470416], [-1.621918274954738, 48.12442447128911]]]], ""type"": ""MultiPolygon""}",0921225G,V7RS582P5YA3
2018,Centrale-Supélec,Non,180242,749F9A,BÂT 1 - LOGEMENT DE DIRECTION,38-OP-50662,m84Aa,IB00100198983,BA0018,Satisfaisant,265,284,Logement,Public,Etat,Bâtiment d'habitation,,,,,Non,,Non,E,,,,,,,,,,,,,"48.123353, -1.626505",1  AV DE LA BOULAIE,35510,Cesson-Sévigné,France,35051,Cesson-Sévigné,UU35701,Rennes,D035,Ille-et-Vilaine,A14,Rennes,R53,Bretagne,2026-04-02,"{""coordinates"": [[[[-1.626354002924766, 48.123329141053645], [-1.626329298144735, 48.12333912512059], [-1.626303420556378, 48.12330498736683], [-1.626049825271747, 48.12339156402433], [-1.626100159870936, 48.12345899402589], [-1.626295032773795, 48.12339365251735], [-1.626325328907487, 48.12343212367236], [-1.62630180835418, 48.1234402584534], [-1.626346147036479, 48.123500712752254], [-1.626454672908602, 48.12346400077822], [-1.626354002924766, 48.123329141053645]]]], ""type"": ""MultiPolygon""}",0921225G,F5NFKTM8HCMF
2023,Centrale-Supélec,Non,180242,33D703,BÂT 2 - LOGEMENT DE DIRECTION,38-OP-50662,m84Aa,IB00100198984,180242,Peu satisfaisant,205,220,Logement,Public,Etat,Bâtiment d'habitation,5e : établissements accueillant un nombre de personnes inférieur au seuil dépendant du type d'établissement,GHA : Habitation,Sans objet,,Non,,Non,E,,,,Non,,Non,,Non,,Non,,Campus de Rennes,"48.123501, -1.625709",3  AV DE LA BOULAIE,35510,Cesson-Sévigné,France,35051,Cesson-Sévigné,UU35701,Rennes,D035,Ille-et-Vilaine,A14,Rennes,R53,Bretagne,2026-04-02,"{""coordinates"": [[[[-1.625694021750323, 48.123494772912494], [-1.625801206388138, 48.123458114222856], [-1.625743534305921, 48.123383761153384], [-1.625719934997677, 48.12339099752371], [-1.62569413646385, 48.123357757932446], [-1.625509602928468, 48.12341818552577], [-1.625563013637789, 48.12349000186823], [-1.625662463051127, 48.12345725257474], [-1.625694021750323, 48.123494772912494]]]], ""type"": ""MultiPolygon""}",0921225G,WRGCKNSNY51G
2024,Centrale-Supélec,Non,180242,33D703,BÂT 2 - LOGEMENT DE DIRECTION,38-OP-50662,m84Aa,IB00100198984,180242,Peu satisfaisant,205,220,Logement,Public,Etat,Bâtiment d'habitation,5e : établissements accueillant un nombre de personnes inférieur au seuil dépendant du type d'établissement,GHA : Habitation,Sans objet,,Non,,Non,E,,,,Non,,Non,,Non,,Non,,Campus de Rennes,"48.123501, -1.625709",3  AV DE LA BOULAIE,35510,Cesson-Sévigné,France,35051,Cesson-Sévigné,UU35701,Rennes,D035,Ille-et-Vilaine,A14,Rennes,R53,Bretagne,2026-04-02,"{""coordinates"": [[[[-1.625694021750323, 48.123494772912494], [-1.625801206388138, 48.123458114222856], [-1.625743534305921, 48.123383761153384], [-1.625719934997677, 48.12339099752371], [-1.62569413646385, 48.123357757932446], [-1.625509602928468, 48.12341818552577], [-1.625563013637789, 48.12349000186823], [-1.625662463051127, 48.12345725257474], [-1.625694021750323, 48.123494772912494]]]], ""type"": ""MultiPolygon""}",0921225G,WRGCKNSNY51G
