Nom du festival,Envergure territoriale,Région principale de déroulement,Département principal de déroulement,Commune principale de déroulement,Code postal (de la commune principale de déroulement),Code Insee commune,Code Insee EPCI,Libellé EPCI,Numéro de voie,"Type de voie (rue, Avenue, boulevard, etc.)",Nom de la voie,Adresse postale,Complément d'adresse (facultatif),Site internet du festival,Adresse e-mail,Décennie de création du festival,Année de création du festival,Discipline dominante,Sous-catégorie spectacle vivant,Sous-catégorie musique,Sous-catégorie Musique CNM,Sous-catégorie cinéma et audiovisuel,Sous-catégorie arts visuels et arts numériques,Sous-catégorie livre et littérature,Période principale de déroulement du festival,Identifiant Agence A,Identifiant,Géocodage xy,identifiant CNM
Rentrée des Arts Visuels,,Bretagne,Ille-et-Vilaine,Rennes,35000,35238,243500139,Rennes Métropole,,,Jardin Saint-Georges,Jardin Saint-Georges,,,dirculture@rennesmetropole.fr,2010 et après,,"Arts visuels, arts numériques",,,,,,,Saison (21 juin - 5 septembre),,FEST_35238_5397,"48.1119791219, -1.68186449144",
Fête du livre - Bécherel,,Bretagne,Ille-et-Vilaine,Bécherel,35190,35022,243500139,Rennes Métropole,,,Rue de la Berrerie,Rue de la Berrerie,,www.maisondulivredebecherel.fr,n.lefeuvre@rennesmetropole.fr,De 1980 à 1989,1989,"Livre, littérature",,,,,,,Avant-saison (1er janvier - 20 juin),,FEST_35022_710,"48.2965087434, -1.9428236566",
Urbaines,,Bretagne,Ille-et-Vilaine,Rennes,35000,35238,243500139,Rennes Métropole,,,"Dans les lieux de Culture, ancrés dans les quartiers et les communes de Rennes métropole","Dans les lieux de Culture, ancrés dans les quartiers et les communes de Rennes métropole",,https://www.le4bis-ij.com/,accueil@antipode-mjc.com,2010 et après,,Pluridisciplinaire,Danse,Musique,,Cinéma,Arts visuels,,Avant-saison (1er janvier - 20 juin),,FEST_35238_5414,"48.1119791219, -1.68186449144",
Jardins d'Hiver,,Bretagne,Ille-et-Vilaine,Rennes,35000,35238,243500139,Rennes Métropole,,,"Les Champs libres, 10 Cours des Alliées","Les Champs libres, 10 Cours des Alliées",,www.leschampslibres.fr,contact@leschampslibres.fr,2010 et après,2018,"Livre, littérature",,,,,,,Avant-saison (1er janvier - 20 juin),,FEST_35238_5364,"48.1119791219, -1.68186449144",
Le Grand Soufflet,,Bretagne,Ille-et-Vilaine,Rennes,35000,35238,243500139,Rennes Métropole,,,Parc du Thabor,Parc du Thabor,,https://www.legrandsoufflet.fr,info@legrandsoufflet.fr,De 1990 à 1999,1996,Musique,,"Musiques du monde, Musiques traditionnelles",08- Musiques (sans distinction esthétique),,,,Après-saison (6 septembre - 31 décembre),,FEST_35238_5373,"48.1119791219, -1.68186449144",215
Stunfest,,Bretagne,Ille-et-Vilaine,Rennes,35000,35238,243500139,Rennes Métropole,,,Sur la plateformeTwitch,Sur la plateformeTwitch,,www.stunfest.com,contact@stunfest.com,De 2000 à 2009,2005,"Arts visuels, arts numériques",,,,,Jeu vidéo,,Avant-saison (1er janvier - 20 juin),,FEST_35238_5405,"48.1119791219, -1.68186449144",
Maintenant,,Bretagne,Ille-et-Vilaine,Rennes,35000,35238,243500139,Rennes Métropole,,,"Salle de la Cité, Le Théâtre du Vieux-Saint-Etienne etc …","Salle de la Cité, Le Théâtre du Vieux-Saint-Etienne etc …",,https://www.maintenant-festival.fr/,contact@electroni-k.org,De 2000 à 2009,2001,"Arts visuels, arts numériques",,,,,"Arts numériques, Installation, Performance",,Après-saison (6 septembre - 31 décembre),,FEST_35238_5387,"48.1119791219, -1.68186449144",
Marmaille,,Bretagne,Ille-et-Vilaine,Rennes,35000,35238,243500139,Rennes Métropole,,,A Rennes et ses alentours - 20 LIEUX #,A Rennes et ses alentours - 20 LIEUX #,,https://www.lillicojeunepublic.fr/,administration@lillicojeunepublic.fr,De 1990 à 1999,1993,"Arts visuels, arts numériques",Marionnettes et théâtre d'objet,,,,,,Après-saison (6 septembre - 31 décembre),,FEST_35238_5388,"48.1119791219, -1.68186449144",
Yaouank,,Bretagne,Ille-et-Vilaine,Rennes,35000,35238,243500139,Rennes Métropole,,,Roazhon,Roazhon,,https://skeudenn.bzh/,contact@skeudenn.bzh,De 1990 à 1999,,Musique,,,07- Musiques actuelles sans distinction,,,,Après-saison (6 septembre - 31 décembre),,FEST_35238_5417,"48.1119791219, -1.68186449144",858
Jazz à l'Ouest,,Bretagne,Ille-et-Vilaine,Rennes,35200,35238,243500139,Rennes Métropole,,,15 Rue Georges Graff,15 Rue Georges Graff,,www.jazzalouest.com,direction@mjcbrequigny.co,De 1990 à 1999,1990,Musique,,"Musiques du monde, Musiques traditionnelles","03- Jazz, blues et musiques improvisées",,,,Après-saison (6 septembre - 31 décembre),,FEST_35238_5367,"48.1119791219, -1.68186449144",151
Scènes d'hiver,,Bretagne,Ille-et-Vilaine,Rennes,35000,35238,243500139,Rennes Métropole,,,30 Quai Saint-Cyr,30 Quai Saint-Cyr,,,lecraberouge@neuf.fr,2010 et après,,"Cinéma, audiovisuel","Théâtre, arts du conte, danse",Musique,,,,,Avant-saison (1er janvier - 20 juin),,FEST_35238_5402,"48.1119791219, -1.68186449144",
Oodaaq,,Bretagne,Ille-et-Vilaine,Rennes,35000,35238,243500139,Rennes Métropole,,,2 Rue du Docteur Roux,2 Rue du Docteur Roux,,https://www.loeildoodaaq.fr,contact@loeildoodaaq.fr,2010 et après,2010,"Arts visuels, arts numériques",,,,,"Installation, Performance, art vidéo",,Avant-saison (1er janvier - 20 juin),,FEST_35238_5391,"48.1119791219, -1.68186449144",
Spéléographies - Biennale des écritures,,Bretagne,Ille-et-Vilaine,Rennes,35000,35238,243500139,Rennes Métropole,,,Rennes et ses alentours,Rennes et ses alentours,,www.speleogrpahies.com,speleographies@gmail.com,2010 et après,2016,"Livre, littérature",,,,,,"Fiction (roman, théâtre, etc.), Non-fiction (documentaire, autobiographie, essai, récit, etc.), Bande dessinée, comics, manga, Poésie",Avant-saison (1er janvier - 20 juin),,FEST_35238_5404,"48.1119791219, -1.68186449144",
La Vilaine était en NOIR,,Bretagne,Ille-et-Vilaine,Rennes,35000,35238,243500139,Rennes Métropole,,,31  Rue Anatole Le Braz,31  Rue Anatole Le Braz,,,vilaineetaitennoir@gmail.com,2010 et après,,"Livre, littérature",,,,,,,Après-saison (6 septembre - 31 décembre),,FEST_35238_5370,"48.1119791219, -1.68186449144",
Jazz à la Harpe,,Bretagne,Ille-et-Vilaine,Rennes,35000,35238,243500139,Rennes Métropole,,,Lieu-dit la Ferme de la Harpe,Lieu-dit la Ferme de la Harpe,,http://www.jazzalaharpe.com/,coordination@3regards.com,De 2000 à 2009,,Musique,,,,,,,Avant-saison (1er janvier - 20 juin),,FEST_35238_5365,"48.1119791219, -1.68186449144",
Rock'n Solex,,Bretagne,Ille-et-Vilaine,Rennes,35000,35238,243500139,Rennes Métropole,,,Campus Beaulieu,Campus Beaulieu,,,marie.meilhat@insa-rennes.fr,Avant 1980,,Musique,,,07- Musiques actuelles sans distinction,,,,Avant-saison (1er janvier - 20 juin),,FEST_35238_5399,"48.1119791219, -1.68186449144",118
Festival national du film d'Animation - AFCA,,Bretagne,Ille-et-Vilaine,Rennes,35000,35238,243500139,Rennes Métropole,,,Ciné -TNB,Ciné -TNB,1 Rue Saint-hélier,www.festival-film-animation.fr,festival@afca.asso.fr,De 1980 à 1989,1983,"Cinéma, audiovisuel",,,,"Court métrage, Film d'animation",,,Avant-saison (1er janvier - 20 juin),,FEST_35238_5358,"48.1119791219, -1.68186449144",
Texture Festival,,Bretagne,Ille-et-Vilaine,Rennes,35000,35238,243500139,Rennes Métropole,,,Café des Champs Libres,Café des Champs Libres,"Barexpo, Hôtel Dieu The Roof, Parc du Thabor",https://www.organisme-texture.fr/,infos.texture@gmail.com,2010 et après,,Musique,,,,,,,Saison (21 juin - 5 septembre),,FEST_35238_5407,"48.1119791219, -1.68186449144",
