annee,siret,siren,nom_commune,code_insee,depenses_culturelles_totales_k_eur,depenses_culturelles_fonctionnement_k_eur,depenses_culturelles_investissement_k_eur,depenses_culturelles_totales_eur_par_habitant,depenses_culturelles_fonctionnement_eur_par_habitant,depenses_culturelles_investissement_eur_par_habitant,part_depenses_culturelles_totales_pct,part_depenses_culturelles_fonctionnement_pct,part_depenses_culturelles_investissement_pct,population_annee
2023,21350001000011,213500010,ACIGNE,35001,1305,502,802,186,72,114,"12,4%","9,4%","15,5%",7029
2023,21350024200259,213500242,BETTON,35024,1737,873,864,134,68,67,"11,8%","7,6%","26,4%",12935
2023,21350032500062,213500325,BOURGBARRE,35032,147,138,10,32,30,2,"2,8%","3,5%","0,7%",4644
2023,21350047300011,213500473,BRUZ,35047,2535,2103,432,130,108,22,"12,2%","12,2%","12,5%",19561
2023,21350051500019,213500515,CESSON SEVIGNE,35051,4787,3663,1124,269,206,63,20%,"18,8%","25,1%",17799
2023,21350055600013,213500556,CHANTEPIE,35055,742,733,9,71,70,1,"6,2%","7,3%","0,4%",10411
2023,21350066300017,213500663,CHARTRES DE BRETAGNE,35066,915,809,106,110,97,13,"6,8%","8,3%",3%,8327
2023,21350076200017,213500762,CHAVAGNE,35076,195,182,12,45,42,3,"4,2%","5,2%","1,1%",4350
2023,21350088700103,213500887,CORPS NUDS,35088,165,164,0,46,46,0,"3,8%","5,9%",0%,3581
2023,21350120800010,213501208,GEVEZE,35120,268,268,0,46,46,0,"4,6%","6,1%",0%,5796
2023,21350136400011,213501364,JANZE,35136,693,684,9,80,79,1,"7,5%","9,9%","0,4%",8687
2023,21350059800015,213500598,LA CHAPELLE DES FOUGERETZ,35059,537,42,495,114,9,105,8%,1%,"18,9%",4722
2023,21350139800019,213501398,LAILLE,35139,506,498,7,95,94,1,"7,2%","10,9%","0,3%",5311
2023,21350240400014,213502404,LE RHEU,35240,1267,1203,64,134,127,7,"11,2%","12,5%","3,7%",9482
2023,21350131500013,213501315,L HERMITAGE,35131,354,261,93,75,55,20,"8,4%","7,5%",13%,4726
2023,21350189300019,213501893,MONTGERMONT,35189,368,332,36,102,92,10,"10,8%","10,9%","10,3%",3630
2023,21350196800019,213501968,MORDELLES,35196,315,308,7,41,41,1,"4,2%","5,1%","0,4%",7612
2023,21350364200018,213503642,NOYAL CHATILLON SUR SEICHE,35206,603,545,58,81,73,8,"7,3%",8%,"4,1%",7453
2023,21350208100010,213502081,ORGERES,35208,239,227,12,44,42,2,"5,5%","6,2%","1,7%",5471
2023,21350210700013,213502107,PACE,35210,1912,1596,316,155,129,26,"16,7%","16,1%","20,6%",12358
2023,21350363400015,213503634,PONT PEAN,35363,489,302,187,109,67,42,"11,9%","9,5%","19,8%",4495
2023,21350238800019,213502388,RENNES,35238,45966,43709,2257,203,193,10,12%,"14,3%","2,9%",226654
2023,21350245300011,213502453,ROMILLE,35245,101,96,5,24,23,1,"2,3%",3%,"0,5%",4157
2023,21350266900012,213502669,ST ERBLON,35266,0,0,0,0,0,0,0%,0%,0%,3504
2023,21350275000085,213502750,ST GILLES,35275,362,250,112,67,46,21,"5,5%","6,1%","4,5%",5400
2023,21350278400019,213502784,ST GREGOIRE,35278,1491,1426,66,146,139,6,"9,8%","12,1%","1,9%",10252
2023,21350281800247,213502818,ST JACQUES DE LA LANDE,35281,1660,1364,296,118,97,21,"8,2%","10,1%","4,4%",14104
2023,21350334500182,213503345,THORIGNE FOUILLARD,35334,2554,321,2232,290,37,254,"23,4%","4,4%","61,7%",8796
2023,21350352700011,213503527,VERN SUR SEICHE,35352,802,686,116,95,81,14,"8,7%",9%,"7,2%",8442
2023,21350353500014,213503535,VEZIN LE COQUET,35353,64,62,2,10,10,0,"1,1%","1,3%","0,2%",6307
