EPCI,Commune,Numéro d'immatriculation,Type de syndic : bénévole / professionnel / non connu,Identification du représentant légal  (raison sociale et le numéro SIRET du syndic professionnel ou Civilité/prénom/ nom du syndic bénévole ou coopératif),Siret représentant légal (si existe),Code APE,Commune du représentant légal,Mandat en cours dans la copropriété,Nom d’usage de la copropriété,Adresse de référence,Numéro et Voie (adresse de référence),Code postal (adresse de référence),Commune (adresse de référence),Adresse complémentaire 1,Adresse complémentaire 2,Adresse complémentaire 3,Nombre d'adresses complémentaires,long,lat,Date du règlement de copropriété,Résidence service,Syndicat coopératif,Syndicat principal ou syndicat secondaire,"Si secondaire, n° d’immatriculation du principal",Nombre d’ASL auxquelles est rattaché le syndicat de copropriétaires,Nombre d’AFUL auxquelles est rattaché le syndicat de copropriétaires,Nombre d’Unions de syndicats auxquelles est rattaché le syndicat de copropriétaires,Nombre total de lots,"Nombre total de lots à usage d’habitation, de bureaux ou de commerces",Nombre de lots à usage d’habitation,Nombre de lots de stationnement,Nombre d'arrêtés relevant du code de la santé publique en cours,Nombre d'arrêtés de péril sur les parties communes en cours,Nombre d'arrêtés sur les équipements communs en cours,Période de construction,Référence Cadastrale 1,Code INSEE commune 1,Préfixe 1,Section 1,Numéro parcelle 1,Référence Cadastrale 2,Code INSEE commune 2,Préfixe 2,Section 2,Numéro parcelle 2,Référence Cadastrale 3,Code INSEE commune 3,Préfixe 3,Section 3,Numéro parcelle 3,Nombre de parcelles cadastrales,nom_qp,code_qp,Copro dans ACV,Copro dans PVD,Copro aidée,Code Officiel Commune,Nom Officiel Commune,Code Officiel Arrondissement Commune,Nom Officiel Arrondissement Commune,Code Officiel EPCI,Nom Officiel EPCI,Code Officiel Département,Nom Officiel Département,Code Officiel Région,Nom Officiel Région
243500139,35238,AA0045641,professionnel,INOVA 83973400100028,83973400100028,6832A,RENNES,Mandat en cours,LA COMMANDERIE,1-3-5-7-9-11-13-8-10-12-14-16-18-20 Rue Cardinal Paul Gouyon 35000 RENNES,1-3-5-7-9-11-13-8-10-12-14-16-18-20 Rue Cardinal Paul Gouyon,35000,RENNES,,,,0,-1.688185,48.117791,2007-12-26,non,non,oui,,1,0,0,481,134,133,310,0,0,0,DE_2001_A_2010,35238000AO0957,35238,000,AO,0957,,,,,,,,,,,1,,,Non,Non,Non,35238,Rennes,35238,Rennes,243500139,Rennes Métropole,35,Ille-et-Vilaine,53,Bretagne
243500139,35238,AA0088625,professionnel,CABINET LECOMTE SYNDIC 39404141200039,39404141200039,6832A,RENNES,Mandat en cours,L'EPERON - MS110596,17 pl du marechal juin 35000 RENNES,17 pl du marechal juin,35000,RENNES,17 pl du marechal juin 35000 RENNES,18 pl du marechal juin 35000 RENNES,,2,-1.678863,48.105542,1975-10-06,non,non,oui,,0,0,0,703,264,264,236,0,0,0,DE_1975_A_1993,,,,,,,,,,,,,,,,0,,,Non,Non,Non,35238,Rennes,35238,Rennes,243500139,Rennes Métropole,35,Ille-et-Vilaine,53,Bretagne
243500139,35238,AA0088708,professionnel,DLJ GESTION 39342930300034,39342930300034,6832A,CESSON SEVIGNE,Mandat en cours,LES RIVES DE L ILLE - MS7954,3 bd marechal de lattre de tassigny 35000 RENNES,3 bd marechal de lattre de tassigny,35000,RENNES,31 bd marechal de lattre de tassigny 35000 RENNES,VILLA DU BOURG L EVESQUE 35000 RENNES,19 bd marechal de lattre de tassigny 35000 RENNES,9,-1.687741,48.113106,1968-02-12,non,non,oui,,0,0,0,1286,431,405,510,0,0,0,DE_1961_A_1974,,,,,,,,,,,,,,,,0,,,Non,Non,Non,35238,Rennes,35238,Rennes,243500139,Rennes Métropole,35,Ille-et-Vilaine,53,Bretagne
243500139,35238,AA0128314,non connu,non connu,,non connu,non connu,Pas de mandat en cours,SYNDIC PERCEROU,1 r andre percerou 35000 Rennes,1 r andre percerou,35000,Rennes,,,,0,-1.700689,48.103675,2016-11-06,non,oui,oui,,1,0,0,8,3,3,2,0,0,0,DE_1961_A_1974,35238000DM0492,35238,000,DM,0492,,,,,,,,,,,1,,,Non,Non,Non,35238,Rennes,35238,Rennes,243500139,Rennes Métropole,35,Ille-et-Vilaine,53,Bretagne
243500139,35238,AA0160556,non connu,non connu,,non connu,non connu,Pas de mandat en cours,WAGRAM KLEBER MARCEAU,2A pl general koenig 35000 Rennes,2A pl general koenig,35000,Rennes,2 à 15 Square du Gl Koënig 35000 RENNES,,,1,-1.682371,48.105714,1974-05-23,non,non,oui,,0,0,0,283,238,204,0,0,0,0,DE_1961_A_1974,,,,,,,,,,,,,,,,0,,,Non,Non,Non,35238,Rennes,35238,Rennes,243500139,Rennes Métropole,35,Ille-et-Vilaine,53,Bretagne
243500139,35238,AA0224675,professionnel,CABINET HARDY 40380764700017,40380764700017,6832A,RENNES,Mandat en cours,CLOSERIE,50A r papu 35000 Rennes,50A r papu,35000,Rennes,,,,0,-1.697834,48.111349,1974-04-12,non,non,oui,,0,0,0,192,64,64,64,0,0,0,DE_1961_A_1974,35238000AM0302,35238,000,AM,0302,,,,,,,,,,,1,,,Non,Non,Non,35238,Rennes,35238,Rennes,243500139,Rennes Métropole,35,Ille-et-Vilaine,53,Bretagne
243500139,35210,AA0226241,professionnel,CABINET HARDY 40380764700017,40380764700017,6832A,RENNES,Mandat en cours,PATRICIALES,2 bd nominoe 35740 Pacé,2 bd nominoe,35740,Pacé,,,,0,-1.777362,48.144953,1994-05-09,non,non,oui,,0,0,0,181,68,67,79,0,0,0,DE_1994_A_2000,35210000BH0122,35210,000,BH,0122,35210000BH0123,35210,000,BH,0123,35210000BH0120,35210,000,BH,0120,4,,,Non,Non,Non,35210,Pacé,35210,Pacé,243500139,Rennes Métropole,35,Ille-et-Vilaine,53,Bretagne
243500139,35024,AA0227231,professionnel,CABINET HARDY 40380764700017,40380764700017,6832A,RENNES,Mandat en cours,HAMEAU DU CANAL,2 all du pigeon blanc 35830 Betton,2 all du pigeon blanc,35830,Betton,,,,0,-1.640132,48.177288,1991-01-16,non,non,oui,,0,0,0,174,57,57,67,0,0,0,DE_1975_A_1993,35024000AS0433,35024,000,AS,0433,,,,,,,,,,,1,,,Non,Non,Non,35024,Betton,35024,Betton,243500139,Rennes Métropole,35,Ille-et-Vilaine,53,Bretagne
243500139,35238,AA0227728,professionnel,CABINET HARDY 40380764700017,40380764700017,6832A,RENNES,Mandat en cours,VILLA PLAISANCE,11 all georges palante 35000 Rennes,11 all georges palante,35000,Rennes,13 all georges palante 35000 Rennes,,,1,-1.661023,48.107265,2006-01-10,non,non,oui,,0,0,0,111,45,45,66,0,0,0,DE_2001_A_2010,35238000BO0902,35238,000,BO,0902,35238000BO0900,35238,000,BO,0900,35238000BO0898,35238,000,BO,0898,3,,,Non,Non,Non,35238,Rennes,35238,Rennes,243500139,Rennes Métropole,35,Ille-et-Vilaine,53,Bretagne
243500139,35238,AA0228221,professionnel,CABINET HARDY 40380764700017,40380764700017,6832A,RENNES,Mandat en cours,REGNAULT,11 r de lorgeril 35000 Rennes,11 r de lorgeril,35000,Rennes,13 r de lorgeril 35000 Rennes,15 r de lorgeril 35000 Rennes,17 r de lorgeril 35000 Rennes,3,-1.694426,48.109582,1968-06-18,non,non,oui,,0,0,0,126,42,42,42,0,0,0,DE_1961_A_1974,35238000AE0458,35238,000,AE,0458,,,,,,,,,,,1,,,Non,Non,Non,35238,Rennes,35238,Rennes,243500139,Rennes Métropole,35,Ille-et-Vilaine,53,Bretagne
