Rentrée scolaire,Académie,Code du département,Département,UAI,Nom de l'établissment,Code INSEE de la commune,Nom de la commune,Secteur,IPS,Ecart-type de l'IPS
2018-2019,RENNES,035,ILLE-ET-VILAINE,0350027P,COLLEGE LES GAYEULLES,35238,RENNES,public,109.1,
2018-2019,RENNES,035,ILLE-ET-VILAINE,0350781J,COLLEGE PRIVE NOTRE DAME DU VIEUX COURS,35238,RENNES,privé sous contrat,133.8,
2018-2019,RENNES,035,ILLE-ET-VILAINE,0350836U,COLLEGE PRIVE SAINT MARTIN QUARTIER SAINTE GENEVIEVE,35238,RENNES,privé sous contrat,110.5,
2018-2019,RENNES,035,ILLE-ET-VILAINE,0350839X,COLLEGE PRIVE SAINT HELIER,35238,RENNES,privé sous contrat,128.1,
2018-2019,RENNES,035,ILLE-ET-VILAINE,0350852L,COLLEGE PRIVE SAINT JOSEPH,35047,BRUZ,privé sous contrat,129.4,
2018-2019,RENNES,035,ILLE-ET-VILAINE,0351796M,COLLEGE EMILE ZOLA,35238,RENNES,public,117.1,
2018-2019,RENNES,035,ILLE-ET-VILAINE,0352069J,COLLEGE PRIVE SAINT VINCENT PROVIDENCE,35238,RENNES,privé sous contrat,133.0,
2018-2019,RENNES,035,ILLE-ET-VILAINE,0352319F,COLLEGE PRIVE SAINT GABRIEL,35210,PACE,privé sous contrat,131.3,
2018-2019,RENNES,035,ILLE-ET-VILAINE,0352274G,COLLEGE FRANCOISE DOLTO,35210,PACE,public,119.9,
2017-2018,RENNES,035,ILLE-ET-VILAINE,0350781J,COLLEGE PRIVE NOTRE DAME DU VIEUX COURS,35238,RENNES,privé sous contrat,130.9,
2017-2018,RENNES,035,ILLE-ET-VILAINE,0350866B,COLLEGE PRIVE SAINT JOSEPH,35136,JANZE,privé sous contrat,115.9,
2017-2018,RENNES,035,ILLE-ET-VILAINE,0350874K,COLLEGE PRIVE SAINT YVES,35196,MORDELLES,privé sous contrat,115.1,
2017-2018,RENNES,035,ILLE-ET-VILAINE,0350963G,COLLEGE DES HAUTES OURMES,35238,RENNES,public,82.7,
2017-2018,RENNES,035,ILLE-ET-VILAINE,0351847T,COLLEGE GEORGES BRASSENS,35240,LE RHEU,public,121.6,
2017-2018,RENNES,035,ILLE-ET-VILAINE,0351852Y,COLLEGE DE FONTENAY,35066,CHARTRES DE BRETAGNE,public,112.1,
2017-2018,RENNES,035,ILLE-ET-VILAINE,0352070K,COLLEGE PRIVE ASSOMPTION,35238,RENNES,privé sous contrat,140.5,
2017-2018,RENNES,035,ILLE-ET-VILAINE,0352274G,COLLEGE FRANCOISE DOLTO,35210,PACE,public,120.3,
2017-2018,RENNES,035,ILLE-ET-VILAINE,0352541X,COLLEGE THEODORE MONOD,35352,VERN SUR SEICHE,public,121.3,
2021-2022,RENNES,035,ILLE-ET-VILAINE,0350057X,COLLEGE JACQUES PREVERT,35245,ROMILLE,public,112.7,34.5
