Rentrée scolaire,Académie,Code du département,Département,UAI,Nom de l'établissment,Code INSEE de la commune,Nom de la commune,Secteur,IPS
2018-2019,RENNES,035,ILLE-ET-VILAINE,0350103X,ECOLE ELEMENTAIRE PUBLIQUE LE CHEVRE,35001,ACIGNE,public,128.5
2018-2019,RENNES,035,ILLE-ET-VILAINE,0350174Z,ECOLE ELEMENTAIRE PUBLIQUE GEORGES MARTINAIS,35059,LA CHAPELLE DES FOUGERETZ,public,119.8
2018-2019,RENNES,035,ILLE-ET-VILAINE,0350195X,ECOLE PRIMAIRE PUBLIQUE JULES VERNE,35079,CHEVAIGNE,public,131.2
2018-2019,RENNES,035,ILLE-ET-VILAINE,0350197Z,ECOLE PRIMAIRE PUBLIQUE DE CLAYES,35081,CLAYES,public,112.4
2018-2019,RENNES,035,ILLE-ET-VILAINE,0350266Z,ECOLE ELEMENTAIRE PUBLIQUE LEONARD DE VINCI,35120,GEVEZE,public,126.9
2018-2019,RENNES,035,ILLE-ET-VILAINE,0350395P,ECOLE PRIMAIRE PUBLIQUE LA FONTAINE,35216,PARTHENAY DE BRETAGNE,public,114.4
2018-2019,RENNES,035,ILLE-ET-VILAINE,0350596H,ECOLE ELEMENTAIRE PUBLIQUE OSCAR LEROUX,35238,RENNES,public,109.3
2018-2019,RENNES,035,ILLE-ET-VILAINE,0350602P,ECOLE ELEMENTAIRE PUBLIQUE MARCEL PAGNOL,35238,RENNES,public,120.1
2018-2019,RENNES,035,ILLE-ET-VILAINE,0350607V,ECOLE PRIMAIRE PUBLIQUE MAUCONSEIL,35238,RENNES,public,123.8
2018-2019,RENNES,035,ILLE-ET-VILAINE,0351072A,ECOLE PRIMAIRE PRIVEE NOTRE DAME,35150,LECOUSSE,privé sous contrat,106.1
2018-2019,RENNES,035,ILLE-ET-VILAINE,0351126J,ECOLE PRIMAIRE PRIVEE NOTRE DAME,35189,MONTGERMONT,privé sous contrat,124.2
2018-2019,RENNES,035,ILLE-ET-VILAINE,0351151L,ECOLE PRIMAIRE PRIVEE LE SACRE COEUR,35208,ORGERES,privé sous contrat,125.0
2018-2019,RENNES,035,ILLE-ET-VILAINE,0351182V,ECOLE ELEMENTAIRE PRIVEE NOTRE DAME,35022,BECHEREL,privé sous contrat,104.3
2018-2019,RENNES,035,ILLE-ET-VILAINE,0351360N,ECOLE PRIMAIRE PRIVEE ST JEAN,35266,SAINT ERBLON,privé sous contrat,125.3
2018-2019,RENNES,035,ILLE-ET-VILAINE,0351372B,ECOLE PRIMAIRE PRIVEE NOTRE DAME,35278,SAINT GREGOIRE,privé sous contrat,139.5
2018-2019,RENNES,035,ILLE-ET-VILAINE,0351421E,ECOLE PRIMAIRE PRIVEE FREDERIC OZANAM,35310,SAINT SAUVEUR DES LANDES,privé sous contrat,107.2
2018-2019,RENNES,035,ILLE-ET-VILAINE,0351515G,ECOLE PRIMAIRE PRIVEE ST LAURENT,35238,RENNES,privé sous contrat,88.9
2018-2019,RENNES,035,ILLE-ET-VILAINE,0351536E,ECOLE PRIMAIRE PRIVEE ST MARTIN,35245,ROMILLE,privé sous contrat,118.3
2018-2019,RENNES,035,ILLE-ET-VILAINE,0351561G,ECOLE PRIMAIRE PRIVEE NOTRE DAME,35353,VEZIN LE COQUET,privé sous contrat,121.3
2018-2019,RENNES,035,ILLE-ET-VILAINE,0351659N,ECOLE PRIMAIRE PUBLIQUE LE VIEUX MUR,35144,LANGAN,public,111.6
2018-2019,RENNES,035,ILLE-ET-VILAINE,0351686T,ECOLE PRIMAIRE PUBLIQUE FRANCOISE DOLTO,35032,BOURGBARRE,public,122.0
2018-2019,RENNES,035,ILLE-ET-VILAINE,0351765D,ECOLE ELEMENTAIRE PUBLIQUE LES GRANDS PRES VERTS,35334,THORIGNE FOUILLARD,public,126.9
2018-2019,RENNES,035,ILLE-ET-VILAINE,0351809B,ECOLE ELEMENTAIRE PUBLIQUE LA HAYE RENAUD,35024,BETTON,public,134.0
2018-2019,RENNES,035,ILLE-ET-VILAINE,0351813F,ECOLE ELEMENTAIRE PUBLIQUE CHAMP L EVEQUE,35047,BRUZ,public,122.7
2018-2019,RENNES,035,ILLE-ET-VILAINE,0351894U,ECOLE ELEMENTAIRE PUBLIQUE BOURGCHEVREUIL,35051,CESSON SEVIGNE,public,135.3
2018-2019,RENNES,035,ILLE-ET-VILAINE,0352137H,ECOLE ELEMENTAIRE PUBLIQUE OLYMPE DE GOUGES,35281,SAINT JACQUES DE LA LANDE,public,110.6
2018-2019,RENNES,035,ILLE-ET-VILAINE,0352140L,ECOLE ELEMENTAIRE PUBLIQUE JULES FERRY,35238,RENNES,public,102.1
2018-2019,RENNES,035,ILLE-ET-VILAINE,0352158F,ECOLE ELEMENTAIRE PUBLIQUE JEAN ROSTAND,35238,RENNES,public,107.9
2018-2019,RENNES,035,ILLE-ET-VILAINE,0352358Y,ECOLE PRIMAIRE PRIVEE STE JEANNE D ARC,35001,ACIGNE,privé sous contrat,126.6
2018-2019,RENNES,035,ILLE-ET-VILAINE,0352362C,ECOLE PRIMAIRE PRIVEE NOTRE DAME,35051,CESSON SEVIGNE,privé sous contrat,138.0
2018-2019,RENNES,035,ILLE-ET-VILAINE,0352386D,ECOLE ELEMENTAIRE PUBLIQUE NOEL DU FAIL,35352,VERN SUR SEICHE,public,125.3
2018-2019,RENNES,035,ILLE-ET-VILAINE,0352387E,ECOLE ELEMENTAIRE PUBLIQUE LA CHALOTAIS,35352,VERN SUR SEICHE,public,122.3
2018-2019,RENNES,035,ILLE-ET-VILAINE,0352669L,ECOLE ELEMENTAIRE PUBLIQUE PASCAL LAFAYE,35238,RENNES,public,84.5
2018-2019,RENNES,035,ILLE-ET-VILAINE,0352877M,ECOLE PRIMAIRE PUBLIQUE NELSON MANDELA,35238,RENNES,public,90.4
2021-2022,RENNES,035,ILLE-ET-VILAINE,0350188P,ECOLE PRIMAIRE PUBLIQUE LE CHAT PERCHE,35206,NOYAL CHATILLON SUR SEICHE,public,112.4
2021-2022,RENNES,035,ILLE-ET-VILAINE,0350195X,ECOLE PRIMAIRE PUBLIQUE JULES VERNE,35079,CHEVAIGNE,public,127.2
2021-2022,RENNES,035,ILLE-ET-VILAINE,0350288Y,ECOLE PRIMAIRE PUBLIQUE LE LONG SILLON,35132,HIREL,public,84.5
2021-2022,RENNES,035,ILLE-ET-VILAINE,0350294E,ECOLE PRIMAIRE PUBLIQUE HENRI DES,35135,IRODOUËR,public,105.0
2021-2022,RENNES,035,ILLE-ET-VILAINE,0350594F,ECOLE ELEMENTAIRE PUBLIQUE CHAMPION DE CICE,35238,RENNES,public,97.7
2021-2022,RENNES,035,ILLE-ET-VILAINE,0350612A,ECOLE ELEMENTAIRE PUBLIQUE JEAN ZAY,35238,RENNES,public,135.4
2021-2022,RENNES,035,ILLE-ET-VILAINE,0350615D,ECOLE ELEMENTAIRE PUBLIQUE PAUL LANGEVIN,35238,RENNES,public,96.1
2021-2022,RENNES,035,ILLE-ET-VILAINE,0350619H,ECOLE ELEMENTAIRE PUBLIQUE CHATEAUGIRON LANDRY,35238,RENNES,public,119.8
2021-2022,RENNES,035,ILLE-ET-VILAINE,0350635A,ECOLE ELEMENTAIRE PUBLIQUE POTERIE,35238,RENNES,public,115.9
2021-2022,RENNES,035,ILLE-ET-VILAINE,0350638D,ECOLE ELEMENTAIRE PUBLIQUE CARLE BAHON,35238,RENNES,public,128.9
2021-2022,RENNES,035,ILLE-ET-VILAINE,0351025Z,ECOLE ELEMENTAIRE PUBLIQUE JEAN DE LA FONTAINE,35245,ROMILLE,public,120.4
2021-2022,RENNES,035,ILLE-ET-VILAINE,0351064S,ECOLE PRIMAIRE PRIVEE NOTRE DAME,35139,LAILLE,privé sous contrat,130.6
2021-2022,RENNES,035,ILLE-ET-VILAINE,0351072A,ECOLE PRIMAIRE PRIVEE NOTRE DAME,35150,LECOUSSE,privé sous contrat,107.7
2021-2022,RENNES,035,ILLE-ET-VILAINE,0351253X,ECOLE PRIMAIRE PRIVEE STE THERESE,35079,CHEVAIGNE,privé sous contrat,136.7
2021-2022,RENNES,035,ILLE-ET-VILAINE,0351267M,ECOLE PRIMAIRE PRIVEE ST JOSEPH,35088,CORPS NUDS,privé sous contrat,119.5
2021-2022,RENNES,035,ILLE-ET-VILAINE,0351492G,ECOLE PRIMAIRE PRIVEE ST CLEMENT,35238,RENNES,privé sous contrat,111.7
2021-2022,RENNES,035,ILLE-ET-VILAINE,0351515G,ECOLE PRIMAIRE PRIVEE ST LAURENT,35238,RENNES,privé sous contrat,98.3
2021-2022,RENNES,035,ILLE-ET-VILAINE,0351561G,ECOLE PRIMAIRE PRIVEE NOTRE DAME,35353,VEZIN LE COQUET,privé sous contrat,125.3
2021-2022,RENNES,035,ILLE-ET-VILAINE,0351572U,ECOLE PRIMAIRE PRIVEE MONTESSORI,35238,RENNES,privé sous contrat,142.3
2021-2022,RENNES,035,ILLE-ET-VILAINE,0351699G,ECOLE PRIMAIRE PRIVEE ST JOSEPH,35055,CHANTEPIE,privé sous contrat,127.0
2021-2022,RENNES,035,ILLE-ET-VILAINE,0351749L,ECOLE PRIMAIRE PRIVEE NOTRE DAME,35352,VERN SUR SEICHE,privé sous contrat,128.1
2021-2022,RENNES,035,ILLE-ET-VILAINE,0352096N,ECOLE PRIMAIRE PUBLIQUE MONTAUBERT,35150,LECOUSSE,public,106.7
2021-2022,RENNES,035,ILLE-ET-VILAINE,0352134E,ECOLE ELEMENTAIRE PUBLIQUE GUY GERARD,35210,PACE,public,124.6
2021-2022,RENNES,035,ILLE-ET-VILAINE,0352241W,ECOLE PRIMAIRE PUBLIQUE JACQUES PREVERT,35047,BRUZ,public,111.9
2021-2022,RENNES,035,ILLE-ET-VILAINE,0352271D,ECOLE ELEMENTAIRE PUBLIQUE GUYENNE,35238,RENNES,public,67.8
2016-2017,RENNES,035,ILLE-ET-VILAINE,0350103X,ECOLE ELEMENTAIRE PUBLIQUE LE CHEVRE,35001,ACIGNE,public,130.7
2016-2017,RENNES,035,ILLE-ET-VILAINE,0350173Y,ECOLE PRIMAIRE PUBLIQUE LE CHEMIN NEUF,35058,LA CHAPELLE CHAUSSEE,public,111.5
2016-2017,RENNES,035,ILLE-ET-VILAINE,0350196Y,ECOLE PRIMAIRE PUBLIQUE ARC EN CIEL,35080,CINTRE,public,125.1
2016-2017,RENNES,035,ILLE-ET-VILAINE,0350467T,ECOLE ELEMENTAIRE PUBLIQUE LUCIE AUBRAC,35363,PONT PEAN,public,116.4
2016-2017,RENNES,035,ILLE-ET-VILAINE,0350607V,ECOLE PRIMAIRE PUBLIQUE MAUCONSEIL,35238,RENNES,public,111.2
2016-2017,RENNES,035,ILLE-ET-VILAINE,0350615D,ECOLE ELEMENTAIRE PUBLIQUE PAUL LANGEVIN,35238,RENNES,public,109.3
2016-2017,RENNES,035,ILLE-ET-VILAINE,0350635A,ECOLE ELEMENTAIRE PUBLIQUE POTERIE,35238,RENNES,public,127.7
2016-2017,RENNES,035,ILLE-ET-VILAINE,0350671P,ECOLE PRIMAIRE PUBLIQUE DU VERGER,35351,LE VERGER,public,117.2
2016-2017,RENNES,035,ILLE-ET-VILAINE,0351059L,ECOLE PRIMAIRE PRIVEE ST JOSEPH,35135,IRODOUER,privé sous contrat,107.5
2016-2017,RENNES,035,ILLE-ET-VILAINE,0351126J,ECOLE PRIMAIRE PRIVEE NOTRE DAME,35189,MONTGERMONT,privé sous contrat,125.6
2016-2017,RENNES,035,ILLE-ET-VILAINE,0351572U,ECOLE PRIMAIRE PRIVEE MONTESSORI,35238,RENNES,privé sous contrat,135.9
2016-2017,RENNES,035,ILLE-ET-VILAINE,0351619V,ECOLE ELEMENTAIRE PUBLIQUE ERIC TABARLY,35353,VEZIN LE COQUET,public,112.7
2016-2017,RENNES,035,ILLE-ET-VILAINE,0351786B,ECOLE ELEMENTAIRE PUBLIQUE LES COLOMBES,35266,SAINT ERBLON,public,112.7
2016-2017,RENNES,035,ILLE-ET-VILAINE,0351826V,ECOLE PRIMAIRE PRIVEE STE THERESE,35200,MOUTIERS,privé sous contrat,94.0
2016-2017,RENNES,035,ILLE-ET-VILAINE,0352137H,ECOLE ELEMENTAIRE PUBLIQUE OLYMPE DE GOUGES,35281,SAINT JACQUES DE LA LANDE,public,105.0
2016-2017,RENNES,035,ILLE-ET-VILAINE,0352487N,ECOLE PRIMAIRE PRIVEE STE MARIE,35240,LE RHEU,privé sous contrat,129.1
2016-2017,RENNES,035,ILLE-ET-VILAINE,0352517W,ECOLE PRIMAIRE PRIVEE NOTRE DAME DES MIRACLES,35238,RENNES,privé sous contrat,123.3
2016-2017,RENNES,035,ILLE-ET-VILAINE,0352668K,ECOLE ELEMENTAIRE PUBLIQUE GANTELLES,35238,RENNES,public,98.8
2016-2017,RENNES,035,ILLE-ET-VILAINE,0352674S,ECOLE ELEMENTAIRE PUBLIQUE LE VERT BUISSON,35047,BRUZ,public,121.0
2016-2017,RENNES,035,ILLE-ET-VILAINE,0351254Y,ECOLE PRIMAIRE PRIVEE ST JOSEPH,35080,CINTRE,privé sous contrat,113.3
2016-2017,RENNES,035,ILLE-ET-VILAINE,0351498N,ECOLE PRIMAIRE PRIVEE ST MICHEL,35238,RENNES,privé sous contrat,126.9
2016-2017,RENNES,035,ILLE-ET-VILAINE,0351516H,ECOLE PRIMAIRE PRIVEE ST JOSEPH,35238,RENNES,privé sous contrat,122.8
2016-2017,RENNES,035,ILLE-ET-VILAINE,0352199A,ECOLE ELEMENTAIRE PUBLIQUE GUILLEVIC,35238,RENNES,public,70.7
2016-2017,RENNES,035,ILLE-ET-VILAINE,0352245A,ECOLE PRIMAIRE PRIVEE STE ANNE,35235,RANNEE,privé sous contrat,97.2
2016-2017,RENNES,035,ILLE-ET-VILAINE,0352271D,ECOLE ELEMENTAIRE PUBLIQUE GUYENNE,35238,RENNES,public,71.9
2016-2017,RENNES,035,ILLE-ET-VILAINE,0352324L,ECOLE ELEMENTAIRE PUBLIQUE LE CLOS JOURY,35240,LE RHEU,public,124.6
2016-2017,RENNES,035,ILLE-ET-VILAINE,0352353T,ECOLE PRIMAIRE PUBLIQUE LE HAUT CHEMIN,35210,PACE,public,130.9
