id,pivot,nom,commune,code_postal,code_insee,adresse,complement_adresse,latitude,longitude,typologie,telephone,courriels,site_web,horaires,presentation_resume,presentation_detail,source,itinerance,structure_parente,date_maj,services,publics_specifiquement_adresses,prise_en_charge_specifique,frais_a_charge,dispositif_programmes_nationaux,formations_labels,autres_formations_labels,modalites_acces,modalites_accompagnement,fiche_acces_libre,prise_rdv,structure_coop_id
france-travail_france-travail-france-travail--BRE0067-27,13000548126155,Mes démarches en ligne avec France Travail,Rennes,35000,35238,167 ROUTE DE LORIENT,,48.105248,-1.731874,FT,,,,,,,france-travail,,,2026-03-31,Maîtrise des outils numériques du quotidien,,,,,,,,,,,
france-travail_france-travail-france-travail--BRE0070-27,13000548122402,Mes démarches en ligne avec France Travail,Rennes,35700,35238,4 Rue René Dumont,,48.129702,-1.677853,FT,,,,,,,france-travail,,,2026-03-31,Maîtrise des outils numériques du quotidien,,,,,,,,,,,
france-travail_france-travail-france-travail--BRE0076-27,13000548121156,Mes démarches en ligne avec France Travail,Rennes,35000,35238,22 Rue de Redon,,48.105727,-1.689235,FT,,,,,,,france-travail,,,2026-03-31,Maîtrise des outils numériques du quotidien,,,,,,,,,,,
france-travail_france-travail-france-travail--BRE0079-27,13000548125173,Mes démarches en ligne avec France Travail,Rennes,35200,35238,40 Avenue Andrée Viollis,,48.088446,-1.661201,FT,,,,,,,france-travail,,,2026-03-31,Maîtrise des outils numériques du quotidien,,,,,,QPV,,,,,
france-travail_france-travail-france-travail--BRE0081-27,13000548119812,Mes démarches en ligne avec France Travail,Rennes,35000,35238,22 Rue du Bignon,,48.096927,-1.629354,FT,,,,,,,france-travail,,,2026-03-31,Maîtrise des outils numériques du quotidien,,,,,,,,,,,
France-Services_212,00000000000000,France services Pimms Médiation Rennes,Rennes,35200,35238,47 Avenue des Pays-Bas,Le Quadri,48.087386,-1.660718,RFS|PIMMS,+33299320258,rennes@pimmsmediation.fr,,"Mo-Fr 09:30-12:30,14:00-17:00; Tu,Th 14:00-17:00",,,France Services,Fixe,,2020-01-01,Aide aux démarches administratives|Insertion professionnelle via le numérique|Maîtrise des outils numériques du quotidien|Compréhension du monde numérique,,,Gratuit,France Services,,QPV,Téléphoner|Contacter par mail,,,,
France-Services_669,00000000000000,France services Janzé,Janzé,35150,35136,Place de l'Hôtel de Ville,,47.95944,-1.498542,RFS,+33299470959,maison.franceservices@janze.fr,,"Mo-We 09:00-12:00,14:00-17:00; Th,Fr 09:00-12:00",,,France Services,Fixe,,2020-02-01,Aide aux démarches administratives|Insertion professionnelle via le numérique|Maîtrise des outils numériques du quotidien|Compréhension du monde numérique,,,Gratuit,France Services,,,Téléphoner|Contacter par mail,,,,
France-Services_849,00000000000000,France services de Saint-Grégoire,Saint-Grégoire,35760,35278,Rue Chateaubriand,,48.153738,-1.68354,RFS,+33299231923,franceservices@saint-gregoire.fr,,"Mo-Fr 09:00-12:30,13:30-17:30",,,France Services,Fixe,,2020-09-01,Aide aux démarches administratives|Insertion professionnelle via le numérique|Maîtrise des outils numériques du quotidien|Compréhension du monde numérique,,,Gratuit,France Services,,,Téléphoner|Contacter par mail,,,,
France-Services_2193,00000000000000,France services de Romillé,Romillé,35850,35245,1 Place des Frères Aubert,,48.216752,-1.890312,RFS,+33230034266,france.services@romille.fr,,"Tu,Th 08:45-12:15; Mo 14:00-17:30; We 08:45-12:15,14:00-18:30; Fr 08:45-12:15,14:00-17:30",,Principalement sur RDV le mercredi et le vendredi.,France Services,Fixe,,2021-10-01,Aide aux démarches administratives|Insertion professionnelle via le numérique|Maîtrise des outils numériques du quotidien|Compréhension du monde numérique,,,Gratuit,France Services,,,Se présenter,,,,
dora_dora--1690ac7f-3fc0-40c3-b110-45815feef8f6,26350224700012,CCAS DE RENNES,Rennes,35000,35238,5 Rue du Griffon,,48.111074,-1.683712,CCAS,+33223622020,accueil.ccas@ccasrennes.fr,https://metropole.rennes.fr/organisme/centre-communal-daction-sociale-siege-4851,,,,dora,,,2026-02-27,Maîtrise des outils numériques du quotidien,,,Gratuit,,,,,,,,
