Rentrée scolaire,Académie,Code du département,Département,UAI,Nom de l'établissment,Code INSEE de la commune,Nom de la commune,Secteur,Type de lycée,IPS voie GT,IPS voie PRO,IPS Ensemble GT-PRO,Ecart-type de l'IPS voie GT,Ecart-type de l'IPS voie PRO
2016-2017,RENNES,35,ILLE-ET-VILAINE,0350031U,LYCEE PROFESSIONNEL JEAN JAURES,35238,RENNES,public,LP,,91.9,91.9,,
2016-2017,RENNES,35,ILLE-ET-VILAINE,0350032V,LYCEE PROFESSIONNEL LOUIS GUILLOUX LYCEE DES METIERS DE L HOTELLERIE RESTAURATION LYCEE DES METIERS DE LA MODE,35238,RENNES,public,LP,,86.8,86.8,,
2016-2017,RENNES,35,ILLE-ET-VILAINE,0350710G,LYCEE GENERAL FRANCOIS RENE DE CHATEAUBRIAND,35238,RENNES,public,LPO,135.9,98.3,135.5,,
2016-2017,RENNES,35,ILLE-ET-VILAINE,0350776D,LYCEE POLYVALENT PRIVE SAINT VINCENT PROVIDENCE,35238,RENNES,privé sous contrat,LPO,139.8,81.8,135.1,,
2016-2017,RENNES,35,ILLE-ET-VILAINE,0352304P,LYCEE GENERAL ET TECHNOLOGIQUE SEVIGNE,35051,CESSON SEVIGNE,public,LEGT,133.4,,133.4,,
2018-2019,RENNES,35,ILLE-ET-VILAINE,0350024L,LYCEE GENERAL EMILE ZOLA,35238,RENNES,public,LEGT,133.6,,133.6,,
2018-2019,RENNES,35,ILLE-ET-VILAINE,0350028R,LYCEE GENERAL ET TECHNOLOGIQUE BREQUIGNY,35238,RENNES,public,LEGT,113.3,,113.3,,
2018-2019,RENNES,35,ILLE-ET-VILAINE,0350778F,LYCEE GENERAL PRIVE ASSOMPTION,35238,RENNES,privé sous contrat,LEGT,133.5,,133.5,,
2018-2019,RENNES,35,ILLE-ET-VILAINE,0350797B,LYCEE POLYVALENT PRIVE JEANNE D ARC LYCEE DES METIERS DU TOURISME LYCEE DES METIERS DU SECTEUR SANITAIRE ET DE L INTERVENTION SOCIALE,35238,RENNES,privé sous contrat,LPO,116.5,91.2,104.6,,
2018-2019,RENNES,35,ILLE-ET-VILAINE,0351054F,LYCEE PROFESSIONNEL CHARLES TILLON,35238,RENNES,public,LP,,88.7,88.7,,
2018-2019,RENNES,35,ILLE-ET-VILAINE,0352341E,LYCEE GENERAL PRIVE SAINT JOSEPH,35047,BRUZ,privé sous contrat,LEGT,135.2,,135.2,,
2017-2018,RENNES,35,ILLE-ET-VILAINE,0350024L,LYCEE GENERAL EMILE ZOLA,35238,RENNES,public,LEGT,133.8,,133.8,,
2017-2018,RENNES,35,ILLE-ET-VILAINE,0350710G,LYCEE GENERAL FRANCOIS RENE DE CHATEAUBRIAND,35238,RENNES,public,LPO,135.8,119.5,135.6,,
2017-2018,RENNES,35,ILLE-ET-VILAINE,0350783L,COLLEGE ET LYCEE GENERAL ET TECHNOLOGIQUE PRIVES SAINT MARTIN / SAINTE GENEVIEVE,35238,RENNES,privé sous contrat,LEGT,117.6,,117.6,,
2017-2018,RENNES,35,ILLE-ET-VILAINE,0350793X,LYCEE POLYVALENT PRIVE FREDERIC OZANAM (A ABSORBE L'UAI 0350840Y EN 2017),35051,CESSON SEVIGNE,privé sous contrat,LPO,126.3,104.8,116.1,,
2017-2018,RENNES,35,ILLE-ET-VILAINE,0350797B,LYCEE POLYVALENT PRIVE JEANNE D ARC LYCEE DES METIERS DU TOURISME LYCEE DES METIERS DU SECTEUR SANITAIRE ET DE L INTERVENTION SOCIALE,35238,RENNES,privé sous contrat,LPO,118.9,89.8,105.2,,
2017-2018,RENNES,35,ILLE-ET-VILAINE,0352686E,LYCEE GENERAL ET TECHNOLOGIQUE ANITA CONTI,35047,BRUZ,public,LEGT,125.3,,125.3,,
2019-2020,RENNES,35,ILLE-ET-VILAINE,0350032V,LYCEE PROFESSIONNEL LOUIS GUILLOUX LYCEE DES METIERS DE L HOTELLERIE RESTAURATION LYCEE DES METIERS DE LA MODE,35238,RENNES,public,LP,,89.5,89.5,,32.4
2019-2020,RENNES,35,ILLE-ET-VILAINE,0350795Z,LYCEE POLYVALENT PRIVE DE LA SALLE LYCEE DES METIERS DE LA GESTION ET DU COMMERCE,35238,RENNES,privé sous contrat,LPO,118.1,105.9,110.2,35.1,33.9
2019-2020,RENNES,35,ILLE-ET-VILAINE,0351907H,LYCEE GENERAL ET TECHNOLOGIQUE RENE DESCARTES,35238,RENNES,public,LEGT,115.4,,115.4,38.7,
2019-2020,RENNES,35,ILLE-ET-VILAINE,0352009U,LYCEE GENERAL ET TECHNOLOGIQUE VICTOR ET HELENE BASCH,35238,RENNES,public,LEGT,122.4,,122.4,38.3,
2019-2020,RENNES,35,ILLE-ET-VILAINE,0352867B,SGT EDUCATION NATIONALE DU LYCEE AGRICOLE THEODORE MONOD,35240,LE RHEU,public,LEGT,126.6,,126.6,33.1,
2020-2021,RENNES,35,ILLE-ET-VILAINE,0350026N,LYCEE GENERAL ET TECHNOLOGIQUE JEAN MACE,35238,RENNES,public,LEGT,126.1,,126.1,39.1,
2020-2021,RENNES,35,ILLE-ET-VILAINE,0350028R,LYCEE GENERAL ET TECHNOLOGIQUE BREQUIGNY,35238,RENNES,public,LEGT,114.7,,114.7,38.6,
2020-2021,RENNES,35,ILLE-ET-VILAINE,0350031U,LYCEE PROFESSIONNEL JEAN JAURES LYCEE DES METIERS,35238,RENNES,public,LP,,90.8,90.8,,32.8
2020-2021,RENNES,35,ILLE-ET-VILAINE,0350776D,LYCEE POLYVALENT PRIVE SAINT VINCENT PROVIDENCE,35238,RENNES,privé sous contrat,LPO,139.4,90.0,136.0,30.4,33.8
2020-2021,RENNES,35,ILLE-ET-VILAINE,0350777E,LYCEE GENERAL ET TECHNOLOGIQUE PRIVE SAINT MARTIN,35238,RENNES,privé sous contrat,LEGT,130.1,,130.1,33.6,
2020-2021,RENNES,35,ILLE-ET-VILAINE,0352009U,LYCEE GENERAL ET TECHNOLOGIQUE VICTOR ET HELENE BASCH,35238,RENNES,public,LEGT,123.5,,123.5,38.1,
2020-2021,RENNES,35,ILLE-ET-VILAINE,0352304P,LYCEE GENERAL ET TECHNOLOGIQUE SEVIGNE,35051,CESSON SEVIGNE,public,LEGT,135.7,,135.7,30.9,
2020-2021,RENNES,35,ILLE-ET-VILAINE,0352867B,SGT EDUCATION NATIONALE DU LYCEE AGRICOLE THEODORE MONOD,35240,LE RHEU,public,LEGT,125.7,,125.7,32.8,
2021-2022,RENNES,35,ILLE-ET-VILAINE,0350026N,LYCEE GENERAL ET TECHNOLOGIQUE JEAN MACE,35238,RENNES,public,LEGT,127.5,,127.5,39.0,
2021-2022,RENNES,35,ILLE-ET-VILAINE,0350030T,LYCEE POLYVALENT PIERRE MENDES FRANCE LYCEE DES METIERS DU BATIMENT ET DE L ENERGETIQUE,35238,RENNES,public,LPO,125.2,88.9,106.4,36.7,33.0
2021-2022,RENNES,35,ILLE-ET-VILAINE,0350793X,LYCEE POLYVALENT PRIVE FREDERIC OZANAM,35051,CESSON SEVIGNE,privé sous contrat,LPO,124.3,109.6,117.4,34.7,33.4
2021-2022,RENNES,35,ILLE-ET-VILAINE,0350797B,LYCEE POLYVALENT PRIVE JEANNE D ARC LYCEE DES METIERS DU TOURISME LYCEE DES METIERS DU SECTEUR SANITAIRE ET DE L INTERVENTION SOCIALE,35238,RENNES,privé sous contrat,LPO,121.2,89.8,108.2,33.9,36.0
2019-2020,RENNES,35,ILLE-ET-VILAINE,0350783L,COLLEGE ET LYCEE GENERAL ET TECHNOLOGIQUE PRIVES SAINT MARTIN / SAINTE GENEVIEVE,35238,RENNES,privé sous contrat,LEGT,122.1,,122.1,33.1,
2019-2020,RENNES,35,ILLE-ET-VILAINE,0350801F,LYCEE GENERAL PRIVE JEAN PAUL II,35278,SAINT GREGOIRE,privé sous contrat,LEGT,135.9,,135.9,31.6,
2019-2020,RENNES,35,ILLE-ET-VILAINE,0352686E,LYCEE GENERAL ET TECHNOLOGIQUE ANITA CONTI,35047,BRUZ,public,LEGT,121.7,,121.7,32.9,
2020-2021,RENNES,35,ILLE-ET-VILAINE,0350030T,LYCEE POLYVALENT PIERRE MENDES FRANCE LYCEE DES METIERS DU BATIMENT ET DE L ENERGETIQUE,35238,RENNES,public,LPO,121.2,87.1,103.8,37.0,32.1
2020-2021,RENNES,35,ILLE-ET-VILAINE,0350059Z,LYCEE PROFESSIONNEL BREQUIGNY,35238,RENNES,public,LP,,86.6,86.6,,30.4
2020-2021,RENNES,35,ILLE-ET-VILAINE,0350797B,LYCEE POLYVALENT PRIVE JEANNE D ARC LYCEE DES METIERS DU TOURISME LYCEE DES METIERS DU SECTEUR SANITAIRE ET DE L INTERVENTION SOCIALE,35238,RENNES,privé sous contrat,LPO,118.3,91.7,107.0,35.4,35.6
2020-2021,RENNES,35,ILLE-ET-VILAINE,0351878B,LYCEE PROFESSIONNEL COETLOGON,35238,RENNES,public,LP,,83.3,83.3,,30.7
2016-2017,RENNES,35,ILLE-ET-VILAINE,0350059Z,LYCEE PROFESSIONNEL BREQUIGNY,35238,RENNES,public,LP,,89.0,89.0,,
2016-2017,RENNES,35,ILLE-ET-VILAINE,0350778F,LYCEE GENERAL PRIVE ASSOMPTION,35238,RENNES,privé sous contrat,LEGT,133.3,,133.3,,
2016-2017,RENNES,35,ILLE-ET-VILAINE,0351878B,LYCEE PROFESSIONNEL COETLOGON,35238,RENNES,public,LP,,85.3,85.3,,
2016-2017,RENNES,35,ILLE-ET-VILAINE,0351907H,LYCEE GENERAL ET TECHNOLOGIQUE RENE DESCARTES,35238,RENNES,public,LEGT,115.1,,115.1,,
2016-2017,RENNES,35,ILLE-ET-VILAINE,0352686E,LYCEE GENERAL ET TECHNOLOGIQUE ANITA CONTI,35047,BRUZ,public,LEGT,126.4,,126.4,,
2017-2018,RENNES,35,ILLE-ET-VILAINE,0350028R,LYCEE GENERAL ET TECHNOLOGIQUE BREQUIGNY,35238,RENNES,public,LEGT,114.0,,114.0,,
2017-2018,RENNES,35,ILLE-ET-VILAINE,0350029S,LYCEE GENERAL ET TECHNOLOGIQUE JOLIOT CURIE,35238,RENNES,public,LEGT,122.7,,122.7,,
2017-2018,RENNES,35,ILLE-ET-VILAINE,0350032V,LYCEE PROFESSIONNEL LOUIS GUILLOUX LYCEE DES METIERS DE L HOTELLERIE RESTAURATION LYCEE DES METIERS DE LA MODE,35238,RENNES,public,LP,,86.5,86.5,,
2017-2018,RENNES,35,ILLE-ET-VILAINE,0350776D,LYCEE POLYVALENT PRIVE SAINT VINCENT PROVIDENCE,35238,RENNES,privé sous contrat,LPO,140.3,89.2,136.4,,
2017-2018,RENNES,35,ILLE-ET-VILAINE,0352341E,LYCEE GENERAL PRIVE SAINT JOSEPH,35047,BRUZ,privé sous contrat,LEGT,133.6,,133.6,,
2021-2022,RENNES,35,ILLE-ET-VILAINE,0350776D,LYCEE POLYVALENT PRIVE SAINT VINCENT PROVIDENCE,35238,RENNES,privé sous contrat,LPO,140.2,86.3,136.6,29.6,32.9
