UAI,EP 2022-2023,Nom,Type,Statut,Académie,Département,Commune,Région,UAI tête de réseau,QP à proximité O N,QP à proximité,Nom du QP,Nombre d'élèves,Code_postal,Code commune,Code département,Code académie,Code région,Nature de l'établissement,Code nature,position,latitude,longitude
0350760L,HORS EP,Collège Cleunay,Collège,Public,Rennes,Ille-et-Vilaine,Rennes,Bretagne,,Dans QP+200m,QP035006,Rennes,,35000,35238,035,14,53,COLLEGE,340,"48.098814254968495, -1.709250420726049",48.098814254968495,-1.709250420726049
0352199A,REP+,Ecole élémentaire publique Guillevic,Ecole,Public,Rennes,Ille-et-Vilaine,Rennes,Bretagne,0350963G,,QP035005,Le Blosne,,35200,35238,035,14,53,ECOLE DE NIVEAU ELEMENTAIRE,151,"48.09025416179163, -1.6543028461626368",48.09025416179163,-1.6543028461626368
0352435G,REP+,Ecole maternelle publique Volga,Ecole,Public,Rennes,Ille-et-Vilaine,Rennes,Bretagne,0350963G,,QP035005,Le Blosne,,35200,35238,035,14,53,ECOLE MATERNELLE,101,"48.08516006148444, -1.6521402289102038",48.08516006148444,-1.6521402289102038
0352209L,REP,Ecole primaire publique Trégain,Ecole,Public,Rennes,Ille-et-Vilaine,Rennes,Bretagne,0350913C,,QP035004,Maurepas,,35700,35238,035,14,53,ECOLE DE NIVEAU ELEMENTAIRE,151,"48.12601114161598, -1.6612405816934113",48.12601114161598,-1.6612405816934113
0352271D,REP,Ecole élémentaire publique Guyenne,Ecole,Public,Rennes,Ille-et-Vilaine,Rennes,Bretagne,0350895H,,QP035002,Villejean,,35000,35238,035,14,53,ECOLE DE NIVEAU ELEMENTAIRE,151,"48.12073722849306, -1.717840044527648",48.12073722849306,-1.717840044527648
0350941H,REP,Ecole maternelle publique Guyenne,Ecole,Public,Rennes,Ille-et-Vilaine,Rennes,Bretagne,0350895H,,QP035002,Villejean,,35000,35238,035,14,53,ECOLE MATERNELLE,101,"48.120347996865036, -1.711641906950873",48.120347996865036,-1.711641906950873
0352018D,REP+,Ecole maternelle publique Henri Wallon,Ecole,Public,Rennes,Ille-et-Vilaine,Rennes,Bretagne,0350963G,,QP035005,Le Blosne,,35200,35238,035,14,53,ECOLE MATERNELLE,101,"48.09016568915146, -1.6571097822960603",48.09016568915146,-1.6571097822960603
0352687F,REP,Ecole maternelle publique Pascal Lafaye,Ecole,Public,Rennes,Ille-et-Vilaine,Rennes,Bretagne,0351851X,,QP035005,Le Blosne,,35200,35238,035,14,53,ECOLE MATERNELLE,101,"48.08434433709102, -1.6694406637448072",48.08434433709102,-1.6694406637448072
0352220Y,REP,Ecole maternelle publique Torigné,Ecole,Public,Rennes,Ille-et-Vilaine,Rennes,Bretagne,0351851X,,QP035005,Le Blosne,,35200,35238,035,14,53,ECOLE MATERNELLE,101,"48.086289753756596, -1.6571502914231349",48.086289753756596,-1.6571502914231349
0352136G,REP,Ecole élémentaire publique Clôteaux,Ecole,Public,Rennes,Ille-et-Vilaine,Rennes,Bretagne,0350734H,,QP035003,Les Clôteaux - Champs Manceaux,,35200,35238,035,14,53,ECOLE DE NIVEAU ELEMENTAIRE,151,"48.08454529558919, -1.6923146592713059",48.08454529558919,-1.6923146592713059
