COM,NOM_COM,GENTILE
35001,Acigné,Acignolais
35022,Bécherel,Bécherellais
35024,Betton,Bettonnais
35032,Bourgbarré,Bourgbarréens
35039,Brécé,Brécéens
35047,Bruz,Bruzois
35055,Chantepie,Cantepiens
35058,La Chapelle-Chaussée,Chapellois
35059,La Chapelle-des-Fougeretz,Chapellois
35066,Chartres-de-Bretagne,Chartrains
35076,Chavagne,Chavagnais
35079,Chevaigné,Chevaignéens
35080,Cintré,Cintréens
35081,Clayes,Clayens
35088,Corps-Nuds,Cornusiens
35139,Laillé,Lailléens
35210,Pacé,Pacéens
35238,Rennes,Rennais
35266,Saint-Erblon,Saint-Erblonnais
35278,Saint-Grégoire,Grégoriens
35334,Thorigné-Fouillard,Thoré-Folléens
35351,Le Verger,Vergéens
35352,Vern-sur-Seiche,Vernois
51484,Saint-Gilles,Saint-Gillois
53042,Brecé,Brecéens
53214,Saint-Erblon,Saint-Erblonnais
56205,Saint-Armel,Armelois
61317,Orgères,Orgériens
61321,Pacé,Pacéens
