,INSEE_COM,Annee,Nb_mutations,NbMaisons,NbApparts,propmaison,propappart,PrixMoyen,Prixm2Moyen,SurfaceMoy
11772,35001,2023,54,38,16,70.3703703703704,29.6296296296296,295758.166666667,3095.27777777778,97.5555555555556
11791,35022,2023,8,8,0,100,0,159906.25,1827.25,88.25
11793,35024,2023,137,87,50,63.5036496350365,36.4963503649635,324213.138686131,3387.62773722628,95.1897810218978
11801,35032,2023,39,30,9,76.9230769230769,23.0769230769231,262718.076923077,2702.33333333333,98.3589743589744
11807,35039,2023,12,11,1,91.6666666666667,8.33333333333333,298250.916666667,2981.58333333333,100.333333333333
11814,35047,2023,221,109,112,49.3212669683258,50.6787330316742,269338.886877828,3276.34841628959,84.3348416289593
11817,35051,2023,194,99,95,51.0309278350515,48.9690721649485,372338.340206186,4096.52577319588,91.8505154639175
11820,35055,2023,147,47,100,31.9727891156463,68.0272108843537,259897.619047619,3256.20408163265,80.9931972789116
11823,35058,2023,9,9,0,100,0,272010.333333333,2697.66666666667,113.888888888889
11824,35059,2023,62,49,13,79.0322580645161,20.9677419354839,297054.85483871,3102.98387096774,97.9193548387097
11830,35065,2023,31,21,10,67.741935483871,32.258064516129,218711.225806452,2497.29032258065,88.6129032258064
11831,35066,2023,109,60,49,55.045871559633,44.954128440367,248095.779816514,3130.81651376147,80.0275229357798
11839,35076,2023,53,35,18,66.0377358490566,33.9622641509434,245528.094339623,2878.32075471698,87.4150943396226
11842,35079,2023,21,21,0,100,0,301809.428571429,2599.52380952381,114.666666666667
11843,35080,2023,27,24,3,88.8888888888889,11.1111111111111,236539.296296296,2461.66666666667,97.0740740740741
11844,35081,2023,7,7,0,100,0,280500,2602.14285714286,114.857142857143
11850,35088,2023,33,28,5,84.8484848484848,15.1515151515152,241358.696969697,2554.84848484848,99.7575757575758
11880,35120,2023,54,40,14,74.0740740740741,25.9259259259259,290923.740740741,2970.33333333333,98.5740740740741
11890,35131,2023,44,24,20,54.5454545454545,45.4545454545455,236696.386363636,3051.88636363636,81.6590909090909
11891,35132,2023,17,17,0,100,0,225552.941176471,2137.11764705882,106.117647058824
11894,35135,2023,20,17,3,85,15,191091.75,2238.2,91.65
11895,35136,2023,95,64,31,67.3684210526316,32.6315789473684,211439.610526316,2562.90526315789,87.6842105263158
11898,35139,2023,75,49,26,65.3333333333333,34.6666666666667,240137.373333333,2804.92,89.8666666666667
11903,35144,2023,9,9,0,100,0,261615.555555556,2542.77777777778,100.666666666667
11907,35150,2023,37,37,0,100,0,213284.864864865,2112.13513513513,102.027027027027
11916,35160,2023,5,5,0,100,0,113720,1550.6,73
11926,35170,2023,9,9,0,100,0,156771.666666667,1714.33333333333,93.5555555555556
11936,35180,2023,9,9,0,100,0,177675.555555556,2133.11111111111,88.1111111111111
11943,35189,2023,46,28,18,60.8695652173913,39.1304347826087,325600.195652174,3467.9347826087,95.6739130434783
11944,35190,2023,7,7,0,100,0,151328.571428571,1336.42857142857,120.571428571429
11950,35196,2023,70,38,32,54.2857142857143,45.7142857142857,242260.471428571,2931.47142857143,86.0428571428571
11954,35200,2023,3,3,0,100,0,193950,1378,143.333333333333
11958,35204,2023,25,22,3,88,12,296553.44,2834.4,106
11960,35206,2023,152,54,98,35.5263157894737,64.4736842105263,211509.855263158,2752.43421052632,78.1578947368421
11962,35208,2023,62,52,10,83.8709677419355,16.1290322580645,268528.290322581,2836.40322580645,96.6451612903226
11963,35210,2023,127,80,47,62.992125984252,37.007874015748,329686.763779528,3499.92913385827,95.1259842519685
11968,35216,2023,18,9,9,50,50,210220.555555556,2493.77777777778,84.8333333333333
11982,35230,2023,2,2,0,100,0,104450,1558.5,93
11987,35235,2023,10,10,0,100,0,156600,1653.6,89.9
11990,35238,2023,3154,391,2763,12.3969562460368,87.6030437539632,254654.467343056,4061.46385542169,63.0459733671528
11992,35240,2023,98,44,54,44.8979591836735,55.1020408163265,256164.653061224,2909.47959183673,91.1224489795918
11997,35245,2023,47,39,8,82.9787234042553,17.0212765957447,222666.85106383,2468.34042553192,92.1489361702128
12002,35250,2023,38,32,6,84.2105263157895,15.7894736842105,232367.921052632,2553.47368421053,93.1315789473684
12016,35266,2023,41,26,15,63.4146341463415,36.5853658536585,269035.975609756,2868.0243902439,96.8780487804878
12022,35275,2023,48,35,13,72.9166666666667,27.0833333333333,261270.333333333,3001.3125,90.0208333333333
12025,35278,2023,121,52,69,42.9752066115703,57.0247933884297,391106.512396694,3910.99173553719,98.5371900826446
12028,35281,2023,199,45,154,22.6130653266332,77.3869346733668,223832.085427136,3292.90452261307,68.6884422110553
12053,35310,2023,7,7,0,100,0,214638.571428571,2085.14285714286,102.714285714286
12057,35315,2023,5,5,0,100,0,356820,2903.4,117.6
12075,35334,2023,80,57,23,71.25,28.75,342012.225,3434.0625,100.2875
12088,35351,2023,14,13,1,92.8571428571429,7.14285714285714,220028.571428571,2481.07142857143,92.5
12089,35352,2023,75,54,21,72,28,314881.92,3029.46666666667,103
12090,35353,2023,63,33,30,52.3809523809524,47.6190476190476,269997.238095238,3119.98412698413,89.5238095238095
12100,35363,2023,43,27,16,62.7906976744186,37.2093023255814,261899.674418605,2742.76744186047,95.8837209302326
