INSEE_COM,annee,nb_mutations,NbMaisons,NbApparts,PropMaison,PropAppart,PrixMoyen,Prixm2Moyen,SurfaceMoy
35001,2024,53,31,22,42,58,261708,3011,89
35022,2024,6,6,0,0,100,224032,2149,105
35024,2024,106,53,53,50,50,301284,3523,86
35032,2024,65,36,29,45,55,229576,2515,91
35039,2024,28,21,7,25,75,226345,2648,85
35047,2024,228,111,117,51,49,252904,3122,84
35051,2024,176,87,89,51,49,332331,3829,90
35055,2024,112,24,88,79,21,242740,3246,75
35058,2024,11,11,0,0,100,237296,2123,117
35059,2024,43,30,13,30,70,270480,3175,88
35065,2024,14,13,1,7,93,292850,2527,115
35066,2024,88,42,46,52,48,228455,3055,78
35076,2024,40,32,8,20,80,270217,2853,98
35079,2024,16,15,1,6,94,315272,2955,113
35080,2024,20,18,2,10,90,234562,2412,104
35081,2024,7,7,0,0,100,241000,2554,98
35088,2024,27,21,6,22,78,227682,2535,93
35120,2024,57,46,11,19,81,279808,3048,94
35131,2024,31,25,6,19,81,285061,2852,102
35132,2024,14,14,0,0,100,230629,2338,98
35135,2024,21,18,3,14,86,194363,2102,102
35136,2024,94,61,33,35,65,209873,2391,89
35139,2024,67,51,16,24,76,272207,2630,104
35144,2024,14,11,3,21,79,193546,3014,83
35150,2024,37,37,0,0,100,209701,2110,99
35160,2024,4,4,0,0,100,114500,1674,78
35170,2024,5,4,1,20,80,170800,1705,103
35180,2024,7,7,0,0,100,179583,1478,117
35189,2024,32,23,9,28,72,340301,3502,95
35190,2024,2,2,0,0,100,36500,676,54
35196,2024,74,38,36,49,51,239667,2926,84
35200,2024,2,2,0,0,100,182005,1440,120
35204,2024,45,45,0,0,100,286235,2586,112
35206,2024,98,48,50,51,49,250871,2800,91
35208,2024,45,37,8,18,82,261580,2805,96
35210,2024,108,65,43,40,60,326630,3315,103
35216,2024,21,16,5,24,76,236422,2398,102
35230,2024,6,6,0,0,100,104617,1174,83
35235,2024,9,9,0,0,100,114389,1206,90
35238,2024,2951,398,2553,87,13,239906,3831,64
35240,2024,109,44,65,60,40,241653,2980,83
35245,2024,33,27,6,18,82,227920,2355,103
35250,2024,26,21,5,19,81,264179,2756,98
35266,2024,45,34,11,24,76,236223,2576,94
35275,2024,37,30,7,19,81,279341,2790,102
35278,2024,79,41,38,48,52,361159,3580,101
35281,2024,184,51,133,72,28,207586,3144,68
35310,2024,11,11,0,0,100,201073,1597,128
35315,2024,10,10,0,0,100,316000,2749,114
35334,2024,76,51,25,33,67,323597,3164,103
35351,2024,10,8,2,20,80,190230,2320,88
35352,2024,79,53,26,33,67,264951,2743,97
35353,2024,70,32,38,54,46,251684,3126,82
35363,2024,35,22,13,37,63,244839,2801,87
