idcom,idcomtxt,idreg,idregtxt,iddep,iddeptxt,epci21,epci21txt,scot,aav2020,aav2020txt,aav2020_typo,naf09art10,art09act10,art09hab10,art09mix10,art09inc10,naf10art11,art10act11,art10hab11,art10mix11,art10inc11,naf11art12,art11act12,art11hab12,art11mix12,art11inc12,naf12art13,art12act13,art12hab13,art12mix13,art12inc13,naf13art14,art13act14,art13hab14,art13mix14,art13inc14,naf14art15,art14act15,art14hab15,art14mix15,art14inc15,naf15art16,art15act16,art15hab16,art15mix16,art15inc16,naf16art17,art16act17,art16hab17,art16mix17,art16inc17,naf17art18,art17act18,art17hab18,art17mix18,art17inc18,naf18art19,art18act19,art18hab19,art18mix19,art18inc19,naf19art20,art19act20,art19hab20,art19mix20,art19inc20,naf20art21,art20act21,art20hab21,art20mix21,art20inc21,naf09art21,art09act21,art09hab21,art09mix21,art09inc21,artcom2020,pop13,pop18,pop1318,men13,men18,men1318,emp13,emp18,emp1318,mepart1318,menhab1318,artpop1318,surfcom2021
35001,Acigné,53,Bretagne,35,Ille-et-Vilaine,243500139,Rennes Métropole,SCoT du Pays de Rennes,013,013,T45_20,36327,252,35083,992,0,36328,252,35083,993,0,7320,0,3547,3773,0,87012,13639,65705,7575,93,3865,0,3177,0,688,66440,25852,38840,1000,748,2115,0,2115,0,0,580,0,580,0,0,77936,0,77936,0,0,0,0,0,0,0,1463,0,1463,0,0,41298,39325,1973,0,0,360684,79320,265502,14333,1529,1.20,6282,6814,532,2501,2786,285,1702,1804,102,25.64,23.24,283.71,30151796
35022,Bécherel,53,Bretagne,35,Ille-et-Vilaine,243500139,Rennes Métropole,SCoT du Pays de Rennes,013,013,T45_20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1545,0,1545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1545,0,1545,0,0,0.28,722,679,-43,308,312,4,463,350,-113,0,0,0,554281
35024,Betton,53,Bretagne,35,Ille-et-Vilaine,243500139,Rennes Métropole,SCoT du Pays de Rennes,013,013,T45_20,61015,2610,56826,0,1579,61015,2611,56826,0,1578,9291,6404,1879,1008,0,63280,4818,53200,2039,3223,71224,5273,65950,0,1,86538,32937,53600,0,1,29549,7696,15777,6076,0,30764,9981,19024,0,1759,34540,9210,25330,0,0,94190,0,94190,0,0,49737,41561,8175,0,1,572022,111672,453489,442,6419,1163165,234773,904266,9565,14561,4.35,10608,11968,1360,4395,5060,665,2834,2656,-178,19.28,37.01,185.75,26736088
35032,Bourgbarré,53,Bretagne,35,Ille-et-Vilaine,243500139,Rennes Métropole,SCoT du Pays de Rennes,013,013,T45_20,89113,29447,58550,1115,1,89114,29448,58551,1116,-1,19134,1462,12672,0,5000,48041,14957,33083,0,1,20149,0,13026,0,7123,50715,14896,35777,0,42,73827,69666,4161,0,0,260464,196189,48155,0,16120,26391,9798,16593,0,0,116306,10605,105701,0,0,15617,1420,14197,0,0,9417,1532,7885,0,0,818288,379420,408351,2231,28286,5.54,3737,4277,540,1348,1630,282,1120,1143,23,7.07,23.96,799.16,14771966
35039,Brécé,53,Bretagne,35,Ille-et-Vilaine,243500139,Rennes Métropole,SCoT du Pays de Rennes,013,013,T45_20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1357,0,1357,0,0,0,0,0,0,0,2989,0,2989,0,0,7778,4826,2952,0,0,3902,3800,102,0,0,8756,8651,105,0,0,20518,221,19729,0,568,2785,0,2785,0,0,86279,0,86279,0,0,134364,17498,116298,0,568,1.85,2051,2083,32,729,784,55,861,991,130,78.98,89.46,732.03,7257348
35047,Bruz,53,Bretagne,35,Ille-et-Vilaine,243500139,Rennes Métropole,SCoT du Pays de Rennes,013,013,T45_20,37548,1084,36332,132,0,37548,1084,36332,132,0,68848,51,68797,0,0,26833,2770,19059,0,5004,1713,0,1713,0,0,37175,2211,34964,0,0,42634,1541,38632,0,2461,41329,17886,23442,0,1,88404,20201,66252,1950,1,16667,9629,7037,0,1,79499,69264,10235,0,0,24205,15134,9071,0,0,502403,140855,351866,2214,7468,1.69,16855,18516,1661,7586,8505,919,9329,10147,818,82.22,55.7,127.19,29811619
35051,Cesson-Sévigné,53,Bretagne,35,Ille-et-Vilaine,243500139,Rennes Métropole,SCoT du Pays de Rennes,013,013,T45_10,43885,32660,8048,3176,1,43885,32661,8049,3176,-1,37974,12277,20821,4876,0,13991,8879,5112,0,0,53597,36839,15057,1701,0,34706,19183,7123,8400,0,204865,102503,102362,0,0,21288,1727,18441,1120,0,34122,8929,25193,0,0,11126,9609,1517,0,0,153184,56899,62585,33700,0,110186,93191,16594,0,401,762809,415357,290902,56149,401,2.38,16784,17312,528,7624,8531,907,21165,22699,1534,70.03,53.93,660.19,32109065
35055,Chantepie,53,Bretagne,35,Ille-et-Vilaine,243500139,Rennes Métropole,SCoT du Pays de Rennes,013,013,T45_10,12216,2211,9967,0,38,12216,2211,9968,0,37,200,0,200,0,0,340,0,340,0,0,6992,53,6939,0,0,6741,4542,2199,0,0,2135,0,2135,0,0,20639,17371,3268,0,0,37424,9210,28214,0,0,0,0,0,0,0,12065,0,12065,0,0,39500,24738,14762,0,0,150468,60336,90057,0,75,1.26,10410,10458,48,4604,4874,270,5662,5320,-342,-9.74,63.15,1540.23,11971058
35058,La Chapelle-Chaussée,53,Bretagne,35,Ille-et-Vilaine,243500139,Rennes Métropole,SCoT du Pays de Rennes,013,013,T45_20,8793,0,8793,0,0,8793,0,8793,0,0,1343,0,1343,0,0,1240,0,1240,0,0,18019,0,17709,310,0,1393,0,1393,0,0,0,0,0,0,0,380,0,101,279,0,8117,0,4621,339,3157,835,0,835,0,0,1486,0,1486,0,0,0,0,0,0,0,50399,0,46314,928,3157,0.34,1249,1283,34,437,455,18,110,164,54,25.8,7.56,820.85,14811216
35059,La Chapelle-des-Fougeretz,53,Bretagne,35,Ille-et-Vilaine,243500139,Rennes Métropole,SCoT du Pays de Rennes,013,013,T45_20,50841,2057,4503,44280,1,50841,2058,4504,44280,-1,73853,0,73050,803,0,18953,0,18628,325,0,4140,0,4140,0,0,488,0,488,0,0,9610,0,9610,0,0,172,0,172,0,0,1913,1913,0,0,0,1117,0,1117,0,0,14189,2419,11770,0,0,119624,0,119624,0,0,345741,8447,247606,89688,0,3.99,4673,4735,62,1856,1934,78,962,1181,219,181.95,54.13,263.27,8657100
