REG,DEP,EPCI,CODGEO,LIBGEO,ARTICLE
53,35,243500782,35132,Hirel,https://fr.wikipedia.org/wiki/Hirel
53,35,243500634,35136,Janzé,https://fr.wikipedia.org/wiki/Janz%C3%A9
53,35,243500139,35001,Acigné,https://fr.wikipedia.org/wiki/Acign%C3%A9
53,35,243500139,35022,Bécherel,https://fr.wikipedia.org/wiki/B%C3%A9cherel
53,35,243500139,35024,Betton,https://fr.wikipedia.org/wiki/Betton
53,35,243500139,35032,Bourgbarré,https://fr.wikipedia.org/wiki/Bourgbarr%C3%A9
53,35,243500139,35039,Brécé,https://fr.wikipedia.org/wiki/Br%C3%A9c%C3%A9
53,35,243500139,35047,Bruz,https://fr.wikipedia.org/wiki/Bruz
53,35,243500139,35051,Cesson-Sévigné,https://fr.wikipedia.org/wiki/Cesson-S%C3%A9vign%C3%A9
53,35,243500139,35055,Chantepie,https://fr.wikipedia.org/wiki/Chantepie
53,35,243500139,35058,La Chapelle-Chaussée,https://fr.wikipedia.org/wiki/La_Chapelle-Chauss%C3%A9e
53,35,243500139,35059,La Chapelle-des-Fougeretz,https://fr.wikipedia.org/wiki/La_Chapelle-des-Fougeretz
53,35,243500139,35065,La Chapelle-Thouarault,https://fr.wikipedia.org/wiki/La_Chapelle-Thouarault
53,35,243500139,35066,Chartres-de-Bretagne,https://fr.wikipedia.org/wiki/Chartres-de-Bretagne
53,35,243500139,35076,Chavagne,https://fr.wikipedia.org/wiki/Chavagne
53,35,243500139,35079,Chevaigné,https://fr.wikipedia.org/wiki/Chevaign%C3%A9
53,35,243500139,35080,Cintré,https://fr.wikipedia.org/wiki/Cintr%C3%A9
53,35,243500139,35081,Clayes,https://fr.wikipedia.org/wiki/Clayes
53,35,243500139,35088,Corps-Nuds,https://fr.wikipedia.org/wiki/Corps-Nuds
53,35,243500139,35120,Gévezé,https://fr.wikipedia.org/wiki/G%C3%A9vez%C3%A9
53,35,243500139,35131,L'Hermitage,https://fr.wikipedia.org/wiki/L%27Hermitage
53,35,243500139,35139,Laillé,https://fr.wikipedia.org/wiki/Laill%C3%A9
53,35,243500139,35144,Langan,https://fr.wikipedia.org/wiki/Langan
53,35,243500139,35180,Miniac-sous-Bécherel,https://fr.wikipedia.org/wiki/Miniac-sous-B%C3%A9cherel
53,35,243500139,35189,Montgermont,https://fr.wikipedia.org/wiki/Montgermont
53,35,243500139,35196,Mordelles,https://fr.wikipedia.org/wiki/Mordelles
53,35,243500139,35204,Nouvoitou,https://fr.wikipedia.org/wiki/Nouvoitou
53,35,243500139,35206,Noyal-Châtillon-sur-Seiche,https://fr.wikipedia.org/wiki/Noyal-Ch%C3%A2tillon-sur-Seiche
53,35,243500139,35208,Orgères,https://fr.wikipedia.org/wiki/Org%C3%A8res_(Ille-et-Vilaine)
53,35,243500139,35210,Pacé,https://fr.wikipedia.org/wiki/Pac%C3%A9_(Ille-et-Vilaine)
53,35,243500139,35216,Parthenay-de-Bretagne,https://fr.wikipedia.org/wiki/Parthenay-de-Bretagne
53,35,243500139,35238,Rennes,https://fr.wikipedia.org/wiki/Rennes
53,35,243500139,35240,Le Rheu,https://fr.wikipedia.org/wiki/Le_Rheu
53,35,243500139,35245,Romillé,https://fr.wikipedia.org/wiki/Romill%C3%A9
53,35,243500139,35250,Saint-Armel,https://fr.wikipedia.org/wiki/Saint-Armel_(Ille-et-Vilaine)
53,35,243500139,35266,Saint-Erblon,https://fr.wikipedia.org/wiki/Saint-Erblon_(Ille-et-Vilaine)
53,35,243500139,35275,Saint-Gilles,https://fr.wikipedia.org/wiki/Saint-Gilles_(Gard)
53,35,243500139,35278,Saint-Grégoire,https://fr.wikipedia.org/wiki/Saint-Gr%C3%A9goire_(Ille-et-Vilaine)
53,35,243500139,35281,Saint-Jacques-de-la-Lande,https://fr.wikipedia.org/wiki/Saint-Jacques-de-la-Lande
53,35,243500139,35315,Saint-Sulpice-la-Forêt,https://fr.wikipedia.org/wiki/Saint-Sulpice-la-For%C3%AAt
53,35,243500139,35334,Thorigné-Fouillard,https://fr.wikipedia.org/wiki/Thorign%C3%A9-Fouillard
53,35,243500139,35351,Le Verger,https://fr.wikipedia.org/wiki/Le_Verger
53,35,243500139,35352,Vern-sur-Seiche,https://fr.wikipedia.org/wiki/Vern-sur-Seiche
53,35,243500139,35353,Vezin-le-Coquet,https://fr.wikipedia.org/wiki/Vezin-le-Coquet
53,35,243500139,35363,Pont-Péan,https://fr.wikipedia.org/wiki/Pont-P%C3%A9an
53,35,200072452,35150,Lécousse,https://fr.wikipedia.org/wiki/L%C3%A9cousse
53,35,200072452,35190,Monthault,https://fr.wikipedia.org/wiki/Monthault
53,35,200072452,35230,Poilley,https://fr.wikipedia.org/wiki/Poilley_(Ille-et-Vilaine)
53,35,200072452,35310,Saint-Sauveur-des-Landes,https://fr.wikipedia.org/wiki/Saint-Sauveur-des-Landes
53,35,200043990,35160,Loutehel,https://fr.wikipedia.org/wiki/Loutehel
53,35,200039022,35170,Mecé,https://fr.wikipedia.org/wiki/Mec%C3%A9
53,35,200039022,35200,Moutiers,https://fr.wikipedia.org/wiki/Moutiers_(Eure-et-Loir)
53,35,200039022,35235,Rannée,https://fr.wikipedia.org/wiki/Rann%C3%A9e
53,35,200038990,35135,Irodouër,https://fr.wikipedia.org/wiki/Irodou%C3%ABr
